Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Feb 07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,
RM, 	4 , 	89 , 	80 , 	40 , 	209 , 	68 , 	63 , 	38 , 	57 , 	12 , 	56 , 	44 , 	15 , 	24 , 	23 , 	10 , 	7 , 	16 , 	18 , 	5 , 	9 , 	8 , 	3 , 	9 , 	15 , 	65 , 	74 , 	224 , 	96 , 	72 , 	88 , 	17 , 	25 , 	19 , 	6 , 	3 , 	13 , 	2 , 	25 , 	5 , 	5 , 	15 , 	9 ," 	1,681 ",,,,,,,,,,
EN, 	108 , 	9 , 	83 , 	57 , 	419 , 	110 , 	116 , 	60 , 	127 , 	30 , 	102 , 	114 , 	34 , 	42 , 	34 , 	18 , 	19 , 	43 , 	27 , 	11 , 	21 , 	8 , 	10 , 	18 , 	25 , 	183 , 	207 , 	646 , 	182 , 	76 , 	115 , 	32 , 	52 , 	52 , 	16 , 	8 , 	18 , 	3 , 	38 , 	12 , 	11 , 	30 , 	14 ," 	3,333 ",,,,,,,,,,
EP, 	92 , 	69 , 	4 , 	48 , 	361 , 	69 , 	55 , 	41 , 	102 , 	29 , 	38 , 	53 , 	13 , 	14 , 	11 , 	6 , 	6 , 	23 , 	9 , 	9 , 	11 , 	5 , 	6 , 	20 , 	6 , 	121 , 	122 , 	360 , 	139 , 	42 , 	38 , 	10 , 	17 , 	16 , 	4 , 	2 , 	8 , 	2 , 	10 , 	2 , 	4 , 	24 , 	10 ," 	2,026 ",,,,,,,,,,
NB, 	44 , 	44 , 	47 , 	6 , 	141 , 	47 , 	39 , 	46 , 	75 , 	21 , 	55 , 	49 , 	13 , 	14 , 	18 , 	5 , 	5 , 	19 , 	10 , 	10 , 	13 , 	8 , 	4 , 	9 , 	6 , 	152 , 	161 , 	425 , 	209 , 	84 , 	71 , 	21 , 	15 , 	13 , 	3 , 	3 , 	8 , 	4 , 	11 , 	3 , 	3 , 	32 , 	12 ," 	1,975 ",,,,,,,,,,
BK, 	214 , 	418 , 	377 , 	144 , 	13 , 	264 , 	243 , 	159 , 	275 , 	126 , 	169 , 	158 , 	99 , 	111 , 	70 , 	58 , 	64 , 	180 , 	53 , 	72 , 	78 , 	58 , 	45 , 	50 , 	55 , 	403 , 	336 ," 	1,236 ", 	497 , 	193 , 	176 , 	84 , 	57 , 	93 , 	11 , 	29 , 	71 , 	14 , 	31 , 	8 , 	9 , 	59 , 	61 ," 	6,917 ",,,,,,,,,,
AS, 	70 , 	109 , 	58 , 	43 , 	216 , 	6 , 	93 , 	63 , 	121 , 	40 , 	82 , 	69 , 	30 , 	35 , 	25 , 	11 , 	13 , 	31 , 	12 , 	7 , 	16 , 	10 , 	2 , 	17 , 	34 , 	133 , 	132 , 	354 , 	204 , 	120 , 	93 , 	21 , 	17 , 	15 , 	6 , 	9 , 	15 , 	3 , 	13 , 	4 , 	4 , 	12 , 	6 ," 	2,366 ",,,,,,,,,,
MA, 	68 , 	108 , 	54 , 	40 , 	221 , 	79 , 	11 , 	48 , 	88 , 	28 , 	95 , 	93 , 	47 , 	67 , 	44 , 	23 , 	20 , 	38 , 	46 , 	29 , 	32 , 	13 , 	14 , 	30 , 	42 , 	214 , 	225 , 	644 , 	299 , 	157 , 	112 , 	29 , 	30 , 	34 , 	7 , 	8 , 	20 , 	6 , 	62 , 	4 , 	4 , 	27 , 	11 ," 	3,265 ",,,,,,,,,,
19, 	33 , 	52 , 	49 , 	41 , 	146 , 	66 , 	51 , 	3 , 	16 , 	13 , 	54 , 	57 , 	38 , 	55 , 	38 , 	20 , 	22 , 	41 , 	33 , 	28 , 	35 , 	15 , 	11 , 	27 , 	25 , 	101 , 	108 , 	283 , 	165 , 	79 , 	64 , 	25 , 	25 , 	33 , 	11 , 	8 , 	23 , 	6 , 	29 , 	7 , 	4 , 	8 , 	8 ," 	1,949 ",,,,,,,,,,
12, 	62 , 	116 , 	101 , 	65 , 	257 , 	104 , 	71 , 	20 , 	6 , 	15 , 	117 , 	130 , 	113 , 	119 , 	69 , 	41 , 	60 , 	102 , 	56 , 	60 , 	66 , 	30 , 	25 , 	47 , 	65 , 	242 , 	242 , 	617 , 	252 , 	94 , 	77 , 	34 , 	58 , 	61 , 	12 , 	11 , 	29 , 	11 , 	59 , 	4 , 	10 , 	20 , 	15 ," 	3,761 ",,,,,,,,,,
LM, 	12 , 	32 , 	27 , 	24 , 	136 , 	37 , 	24 , 	12 , 	19 , 	5 , 	58 , 	78 , 	106 , 	100 , 	49 , 	22 , 	45 , 	57 , 	12 , 	4 , 	9 , 	8 , 	4 , 	11 , 	21 , 	141 , 	183 , 	505 , 	181 , 	70 , 	71 , 	21 , 	36 , 	24 , 	8 , 	49 , 	68 , 	2 , 	9 , 	6 , 	13 , 	25 , 	9 ," 	2,331 ",,,,,,,,,,
