Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Mar 07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	86 , 	83 , 	39 , 	200 , 	76 , 	71 , 	34 , 	61 , 	13 , 	61 , 	50 , 	23 , 	27 , 	23 , 	15 , 	8 , 	15 , 	15 , 	8 , 	11 , 	6 , 	6 , 	8 , 	14 , 	78 , 	89 , 	240 , 	97 , 	81 , 	98 , 	15 , 	31 , 	20 , 	7 , 	4 , 	12 , 	3 , 	23 , 	6 , 	7 , 	12 , 	8 ," 	1,791 ",,,Eastbay," 	38,591 ",,SF CBD, 	-   ,,,,
EN, 	105 , 	13 , 	97 , 	57 , 	409 , 	130 , 	122 , 	69 , 	171 , 	31 , 	118 , 	97 , 	36 , 	44 , 	35 , 	16 , 	26 , 	46 , 	30 , 	14 , 	22 , 	7 , 	9 , 	18 , 	25 , 	274 , 	345 , 	818 , 	230 , 	83 , 	134 , 	34 , 	63 , 	53 , 	21 , 	7 , 	20 , 	3 , 	41 , 	9 , 	9 , 	30 , 	12 ," 	3,931 ",,,Westbay," 	59,654 ",,non-CBD, 	-   ,,,,
EP, 	102 , 	83 , 	5 , 	49 , 	351 , 	73 , 	53 , 	54 , 	129 , 	39 , 	47 , 	41 , 	14 , 	13 , 	16 , 	6 , 	10 , 	20 , 	13 , 	14 , 	16 , 	6 , 	8 , 	23 , 	8 , 	154 , 	203 , 	456 , 	151 , 	36 , 	42 , 	14 , 	19 , 	16 , 	3 , 	6 , 	8 , 	1 , 	8 , 	1 , 	2 , 	21 , 	10 ," 	2,347 ",,,Transbay," 	87,632 ",,,,,,,
NB, 	47 , 	53 , 	51 , 	6 , 	114 , 	45 , 	43 , 	44 , 	143 , 	24 , 	69 , 	40 , 	14 , 	19 , 	13 , 	3 , 	10 , 	20 , 	10 , 	13 , 	21 , 	10 , 	7 , 	13 , 	8 , 	198 , 	254 , 	474 , 	232 , 	100 , 	80 , 	27 , 	15 , 	16 , 	2 , 	5 , 	11 , 	2 , 	8 , 	1 , 	5 , 	37 , 	9 ," 	2,314 ",,,,,,,,,,,
BK, 	226 , 	409 , 	365 , 	128 , 	18 , 	257 , 	255 , 	196 , 	458 , 	112 , 	202 , 	309 , 	80 , 	91 , 	64 , 	28 , 	57 , 	196 , 	54 , 	59 , 	95 , 	60 , 	42 , 	43 , 	53 , 	448 , 	433 ," 	1,328 ", 	513 , 	201 , 	207 , 	74 , 	62 , 	88 , 	9 , 	32 , 	78 , 	12 , 	34 , 	10 , 	10 , 	115 , 	59 ," 	7,569 ",,,,,,,,,,,
AS, 	75 , 	129 , 	69 , 	54 , 	208 , 	5 , 	97 , 	91 , 	177 , 	40 , 	92 , 	72 , 	30 , 	38 , 	27 , 	16 , 	15 , 	30 , 	15 , 	12 , 	21 , 	7 , 	3 , 	19 , 	44 , 	157 , 	214 , 	421 , 	222 , 	127 , 	95 , 	23 , 	25 , 	20 , 	3 , 	9 , 	15 , 	3 , 	17 , 	3 , 	3 , 	21 , 	10 ," 	2,771 ",,,,,,,,,,,
MA, 	75 , 	115 , 	58 , 	47 , 	234 , 	100 , 	11 , 	61 , 	153 , 	32 , 	100 , 	95 , 	49 , 	64 , 	49 , 	23 , 	26 , 	33 , 	47 , 	35 , 	47 , 	14 , 	16 , 	28 , 	48 , 	275 , 	340 , 	763 , 	333 , 	160 , 	132 , 	28 , 	34 , 	29 , 	6 , 	11 , 	22 , 	8 , 	72 , 	4 , 	5 , 	27 , 	9 ," 	3,817 ",,,,,,,,,,,
19, 	42 , 	70 , 	54 , 	48 , 	172 , 	88 , 	53 , 	7 , 	24 , 	13 , 	72 , 	57 , 	39 , 	63 , 	38 , 	20 , 	42 , 	39 , 	33 , 	27 , 	35 , 	18 , 	12 , 	33 , 	31 , 	123 , 	152 , 	350 , 	187 , 	84 , 	72 , 	27 , 	21 , 	33 , 	6 , 	8 , 	24 , 	6 , 	45 , 	4 , 	2 , 	10 , 	9 ," 	2,291 ",,,,,,,,,,,
12, 	70 , 	164 , 	140 , 	144 , 	437 , 	193 , 	154 , 	21 , 	14 , 	25 , 	158 , 	149 , 	140 , 	141 , 	83 , 	42 , 	73 , 	131 , 	70 , 	73 , 	91 , 	43 , 	43 , 	139 , 	67 , 	294 , 	325 , 	772 , 	336 , 	133 , 	113 , 	56 , 	75 , 	79 , 	12 , 	15 , 	45 , 	14 , 	69 , 	7 , 	5 , 	21 , 	36 ," 	5,212 ",,,,,,,,,,,
LM, 	13 , 	29 , 	35 , 	23 , 	105 , 	38 , 	27 , 	11 , 	22 , 	7 , 	71 , 	84 , 	107 , 	123 , 	43 , 	28 , 	48 , 	64 , 	10 , 	6 , 	13 , 	7 , 	5 , 	15 , 	22 , 	182 , 	283 , 	649 , 	201 , 	85 , 	72 , 	25 , 	39 , 	25 , 	8 , 	48 , 	84 , 	3 , 	6 , 	7 , 	10 , 	25 , 	13 ," 	2,721 ",,,,,,,,,,,
