Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Mar 07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	8 , 	58 , 	67 , 	23 , 	142 , 	54 , 	53 , 	23 , 	42 , 	25 , 	56 , 	49 , 	10 , 	23 , 	15 , 	9 , 	5 , 	13 , 	12 , 	7 , 	6 , 	3 , 	6 , 	8 , 	13 , 	60 , 	50 , 	148 , 	78 , 	53 , 	57 , 	14 , 	28 , 	15 , 	6 , 	2 , 	10 , 	1 , 	19 , 	5 , 	6 , 	14 , 	11 ," 	1,300 ",,,Eastbay," 	24,993 ",,SF CBD, 	-   ,,,,
EN, 	73 , 	6 , 	62 , 	39 , 	235 , 	101 , 	75 , 	40 , 	93 , 	35 , 	72 , 	85 , 	22 , 	32 , 	26 , 	15 , 	17 , 	44 , 	13 , 	7 , 	16 , 	5 , 	4 , 	13 , 	20 , 	118 , 	107 , 	393 , 	148 , 	59 , 	79 , 	27 , 	40 , 	34 , 	16 , 	6 , 	14 , 	3 , 	31 , 	7 , 	6 , 	33 , 	11 ," 	2,278 ",,,Westbay," 	38,753 ",,non-CBD, 	-   ,,,,
EP, 	67 , 	53 , 	6 , 	35 , 	228 , 	47 , 	37 , 	30 , 	62 , 	31 , 	27 , 	48 , 	10 , 	10 , 	8 , 	5 , 	7 , 	17 , 	7 , 	7 , 	8 , 	5 , 	3 , 	15 , 	8 , 	76 , 	70 , 	206 , 	135 , 	32 , 	24 , 	10 , 	14 , 	11 , 	3 , 	3 , 	8 , 	1 , 	6 , 	1 , 	2 , 	27 , 	7 ," 	1,413 ",,,Transbay," 	50,262 ",,,,,,,
NB, 	35 , 	45 , 	41 , 	3 , 	51 , 	38 , 	36 , 	27 , 	46 , 	20 , 	36 , 	50 , 	12 , 	10 , 	5 , 	5 , 	6 , 	18 , 	9 , 	5 , 	10 , 	6 , 	5 , 	8 , 	6 , 	123 , 	102 , 	235 , 	252 , 	58 , 	45 , 	15 , 	9 , 	13 , 	2 , 	3 , 	6 , 	-   , 	4 , 	4 , 	1 , 	39 , 	9 ," 	1,446 ",,,,,,,,,,,
BK, 	162 , 	215 , 	220 , 	60 , 	20 , 	146 , 	134 , 	120 , 	186 , 	73 , 	107 , 	204 , 	44 , 	56 , 	45 , 	19 , 	47 , 	208 , 	31 , 	33 , 	55 , 	26 , 	18 , 	25 , 	31 , 	272 , 	211 , 	717 , 	412 , 	137 , 	138 , 	54 , 	40 , 	64 , 	3 , 	18 , 	58 , 	10 , 	23 , 	6 , 	13 , 	104 , 	57 ," 	4,616 ",,,,,,,,,,,
AS, 	53 , 	89 , 	48 , 	28 , 	121 , 	4 , 	88 , 	52 , 	84 , 	45 , 	69 , 	76 , 	21 , 	25 , 	16 , 	13 , 	18 , 	27 , 	9 , 	6 , 	7 , 	8 , 	5 , 	9 , 	25 , 	111 , 	99 , 	246 , 	203 , 	96 , 	74 , 	15 , 	15 , 	13 , 	1 , 	6 , 	13 , 	1 , 	12 , 	1 , 	2 , 	30 , 	9 ," 	1,887 ",,,,,,,,,,,
MA, 	47 , 	68 , 	33 , 	32 , 	137 , 	83 , 	9 , 	29 , 	54 , 	22 , 	70 , 	96 , 	28 , 	41 , 	30 , 	18 , 	16 , 	37 , 	29 , 	23 , 	24 , 	11 , 	12 , 	22 , 	31 , 	152 , 	141 , 	400 , 	315 , 	122 , 	83 , 	23 , 	26 , 	20 , 	4 , 	6 , 	13 , 	3 , 	57 , 	2 , 	5 , 	46 , 	7 ," 	2,421 ",,,,,,,,,,,
19, 	29 , 	35 , 	29 , 	32 , 	115 , 	48 , 	23 , 	5 , 	23 , 	12 , 	33 , 	52 , 	19 , 	24 , 	15 , 	10 , 	15 , 	18 , 	16 , 	15 , 	19 , 	7 , 	9 , 	26 , 	20 , 	67 , 	67 , 	211 , 	141 , 	63 , 	42 , 	17 , 	16 , 	15 , 	4 , 	4 , 	9 , 	3 , 	16 , 	2 , 	2 , 	13 , 	4 ," 	1,338 ",,,,,,,,,,,
12, 	47 , 	66 , 	46 , 	42 , 	167 , 	73 , 	47 , 	12 , 	8 , 	16 , 	75 , 	115 , 	70 , 	70 , 	44 , 	27 , 	38 , 	59 , 	40 , 	28 , 	36 , 	21 , 	18 , 	38 , 	39 , 	182 , 	168 , 	534 , 	211 , 	79 , 	58 , 	22 , 	40 , 	35 , 	8 , 	9 , 	18 , 	10 , 	46 , 	3 , 	5 , 	34 , 	12 ," 	2,709 ",,,,,,,,,,,
LM, 	24 , 	34 , 	29 , 	21 , 	68 , 	43 , 	25 , 	10 , 	15 , 	5 , 	92 , 	72 , 	80 , 	78 , 	35 , 	12 , 	30 , 	55 , 	9 , 	3 , 	7 , 	9 , 	5 , 	10 , 	27 , 	129 , 	140 , 	421 , 	196 , 	74 , 	74 , 	25 , 	35 , 	21 , 	7 , 	35 , 	52 , 	3 , 	14 , 	6 , 	7 , 	32 , 	15 ," 	2,079 ",,,,,,,,,,,
FV, 	62 , 	75 , 	31 , 	38 , 	112 , 	84 , 	70 , 	49 , 	75 , 	93 , 	8 , 	101 , 	101 , 	205 , 	95 , 	44 , 	38 , 	71 , 	22 , 	8 , 	21 , 	13 , 	12 , 	24 , 	83 , 	130 , 	116 , 	450 , 	209 , 	103 , 	108 , 	24 , 	42 , 	35 , 	8 , 	24 , 	67 , 	3 , 	28 , 	7 , 	11 , 	26 , 	15 ," 	2,933 ",,,,,,,,,,,
CL, 	45 , 	76 , 	27 , 	31 , 	170 , 	62 , 	75 , 	43 , 	122 , 	54 , 	97 , 	10 , 	46 , 	88 , 	74 , 	45 , 	43 , 	55 , 	29 , 	27 , 	19 , 	10 , 	8 , 	17 , 	49 , 	191 , 	160 , 	484 , 	225 , 	66 , 	72 , 	29 , 	29 , 	42 , 	7 , 	23 , 	91 , 	7 , 	51 , 	8 , 	6 , 	49 , 	14 ," 	2,871 ",,,,,,,,,,,
SL, 	13 , 	19 , 	9 , 	7 , 	43 , 	25 , 	35 , 	21 , 	64 , 	68 , 	104 , 	54 , 	6 , 	73 , 	56 , 	36 , 	26 , 	35 , 	9 , 	4 , 	10 , 	2 , 	4 , 	8 , 	10 , 	80 , 	74 , 	250 , 	82 , 	22 , 	26 , 	12 , 	11 , 	14 , 	7 , 	19 , 	38 , 	2 , 	14 , 	4 , 	3 , 	21 , 	6 ," 	1,422 ",,,,,,,,,,,
BF, 	18 , 	26 , 	13 , 	9 , 	48 , 	29 , 	42 , 	31 , 	71 , 	74 , 	211 , 	94 , 	72 , 	7 , 	99 , 	74 , 	61 , 	100 , 	11 , 	4 , 	7 , 	4 , 	2 , 	6 , 	29 , 	80 , 	79 , 	239 , 	84 , 	25 , 	29 , 	14 , 	20 , 	23 , 	7 , 	47 , 	119 , 	3 , 	18 , 	4 , 	7 , 	13 , 	7 ," 	1,956 ",,,,,,,,,,,
HY, 	17 , 	24 , 	13 , 	9 , 	40 , 	19 , 	39 , 	23 , 	49 , 	37 , 	95 , 	84 , 	59 , 	97 , 	7 , 	68 , 	67 , 	117 , 	6 , 	4 , 	3 , 	2 , 	2 , 	7 , 	13 , 	55 , 	32 , 	133 , 	55 , 	19 , 	18 , 	8 , 	17 , 	12 , 	5 , 	12 , 	31 , 	3 , 	16 , 	4 , 	4 , 	9 , 	2 ," 	1,328 ",,,,,,,,,,,
SH, 	12 , 	16 , 	4 , 	5 , 	16 , 	13 , 	13 , 	10 , 	23 , 	17 , 	41 , 	52 , 	31 , 	79 , 	75 , 	3 , 	33 , 	65 , 	5 , 	3 , 	2 , 	-   , 	1 , 	3 , 	8 , 	27 , 	27 , 	104 , 	30 , 	10 , 	23 , 	6 , 	10 , 	8 , 	3 , 	9 , 	27 , 	1 , 	11 , 	2 , 	2 , 	10 , 	4 , 	837 ,,,,,,,,,,,
UC, 	9 , 	17 , 	8 , 	6 , 	38 , 	18 , 	20 , 	14 , 	35 , 	36 , 	43 , 	45 , 	29 , 	65 , 	62 , 	36 , 	5 , 	87 , 	8 , 	4 , 	7 , 	2 , 	1 , 	6 , 	6 , 	67 , 	43 , 	181 , 	41 , 	12 , 	11 , 	7 , 	14 , 	15 , 	7 , 	7 , 	28 , 	1 , 	11 , 	5 , 	3 , 	14 , 	3 ," 	1,072 ",,,,,,,,,,,
FM, 	20 , 	42 , 	20 , 	15 , 	129 , 	24 , 	40 , 	25 , 	70 , 	62 , 	72 , 	79 , 	45 , 	109 , 	120 , 	75 , 	84 , 	11 , 	16 , 	14 , 	13 , 	5 , 	3 , 	10 , 	8 , 	110 , 	93 , 	371 , 	97 , 	22 , 	19 , 	11 , 	25 , 	25 , 	6 , 	14 , 	49 , 	4 , 	18 , 	6 , 	3 , 	32 , 	8 ," 	2,019 ",,,,,,,,,,,
CN, 	10 , 	17 , 	7 , 	10 , 	36 , 	10 , 	31 , 	21 , 	44 , 	6 , 	24 , 	42 , 	11 , 	11 , 	9 , 	5 , 	8 , 	15 , 	8 , 	36 , 	161 , 	49 , 	23 , 	30 , 	3 , 	90 , 	57 , 	200 , 	70 , 	25 , 	28 , 	14 , 	20 , 	33 , 	6 , 	5 , 	7 , 	14 , 	146 , 	5 , 	7 , 	35 , 	10 ," 	1,395 ",,,,,,,,,,,
PH, 	3 , 	7 , 	9 , 	6 , 	31 , 	8 , 	16 , 	12 , 	33 , 	2 , 	9 , 	51 , 	4 , 	4 , 	5 , 	3 , 	8 , 	13 , 	35 , 	5 , 	49 , 	14 , 	10 , 	29 , 	2 , 	116 , 	94 , 	243 , 	105 , 	22 , 	19 , 	7 , 	17 , 	26 , 	3 , 	1 , 	4 , 	5 , 	35 , 	4 , 	3 , 	62 , 	9 ," 	1,136 ",,,,,,,,,,,
WC, 	8 , 	20 , 	10 , 	11 , 	54 , 	12 , 	29 , 	17 , 	42 , 	10 , 	14 , 	35 , 	10 , 	8 , 	4 , 	4 , 	4 , 	12 , 	210 , 	55 , 	7 , 	32 , 	24 , 	64 , 	5 , 	168 , 	112 , 	327 , 	159 , 	21 , 	27 , 	17 , 	14 , 	30 , 	3 , 	-   , 	4 , 	27 , 	68 , 	4 , 	5 , 	54 , 	11 ," 	1,745 ",,,,,,,,,,,
LF, 	5 , 	6 , 	5 , 	4 , 	31 , 	7 , 	11 , 	8 , 	24 , 	8 , 	10 , 	20 , 	3 , 	3 , 	2 , 	1 , 	2 , 	5 , 	49 , 	13 , 	46 , 	3 , 	10 , 	40 , 	2 , 	87 , 	60 , 	185 , 	119 , 	14 , 	10 , 	9 , 	9 , 	14 , 	2 , 	1 , 	3 , 	5 , 	16 , 	1 , 	4 , 	22 , 	5 , 	877 ,,,,,,,,,,,
OR, 	4 , 	3 , 	4 , 	4 , 	25 , 	3 , 	13 , 	9 , 	23 , 	4 , 	13 , 	16 , 	2 , 	3 , 	3 , 	1 , 	2 , 	6 , 	20 , 	13 , 	21 , 	10 , 	3 , 	43 , 	3 , 	67 , 	52 , 	165 , 	79 , 	14 , 	10 , 	5 , 	5 , 	8 , 	0 , 	3 , 	1 , 	3 , 	7 , 	2 , 	2 , 	22 , 	4 , 	695 ,,,,,,,,,,,
RR, 	7 , 	12 , 	14 , 	11 , 	28 , 	11 , 	17 , 	29 , 	36 , 	13 , 	20 , 	46 , 	9 , 	8 , 	7 , 	1 , 	5 , 	10 , 	29 , 	28 , 	66 , 	37 , 	44 , 	7 , 	9 , 	190 , 	156 , 	402 , 	289 , 	90 , 	71 , 	25 , 	17 , 	21 , 	1 , 	3 , 	4 , 	7 , 	18 , 	2 , 	2 , 	56 , 	12 ," 	1,867 ",,,,,,,,,,,
OW, 	13 , 	17 , 	7 , 	7 , 	44 , 	26 , 	29 , 	23 , 	42 , 	21 , 	75 , 	52 , 	9 , 	26 , 	18 , 	4 , 	8 , 	5 , 	6 , 	1 , 	6 , 	3 , 	2 , 	5 , 	5 , 	154 , 	144 , 	459 , 	219 , 	71 , 	62 , 	16 , 	21 , 	15 , 	5 , 	5 , 	7 , 	1 , 	17 , 	3 , 	6 , 	21 , 	4 ," 	1,678 ",,,,,,,,,,,
EM, 	64 , 	169 , 	143 , 	241 , 	376 , 	185 , 	270 , 	122 , 	251 , 	151 , 	166 , 	238 , 	94 , 	105 , 	58 , 	45 , 	80 , 	147 , 	103 , 	138 , 	196 , 	106 , 	80 , 	276 , 	244 , 	37 , 	22 , 	193 , 	173 , 	321 , 	379 , 	195 , 	259 , 	181 , 	59 , 	89 , 	317 , 	39 , 	88 , 	40 , 	45 , 	236 , 	141 ," 	6,856 ",,,,,,,,,,,
MT, 	57 , 	116 , 	82 , 	117 , 	229 , 	104 , 	167 , 	91 , 	219 , 	171 , 	139 , 	170 , 	94 , 	95 , 	51 , 	28 , 	57 , 	122 , 	49 , 	96 , 	101 , 	64 , 	49 , 	145 , 	174 , 	25 , 	26 , 	65 , 	71 , 	346 , 	431 , 	357 ," 	1,037 ", 	171 , 	74 , 	54 , 	161 , 	28 , 	74 , 	33 , 	35 , 	202 , 	71 ," 	6,040 ",,,,,,,,,,,
PL, 	132 , 	322 , 	170 , 	210 , 	651 , 	249 , 	389 , 	221 , 	479 , 	351 , 	397 , 	434 , 	234 , 	219 , 	113 , 	96 , 	159 , 	338 , 	168 , 	213 , 	304 , 	165 , 	154 , 	347 , 	466 , 	179 , 	61 , 	105 , 	187 ," 	1,148 "," 	1,421 ", 	747 ," 	1,461 ", 	707 , 	209 , 	153 , 	610 , 	83 , 	221 , 	154 , 	147 , 	869 , 	328 ," 	15,767 ",,,,,,,,,,,
CC, 	61 , 	105 , 	85 , 	147 , 	291 , 	146 , 	213 , 	123 , 	165 , 	137 , 	179 , 	204 , 	71 , 	69 , 	40 , 	30 , 	37 , 	79 , 	59 , 	86 , 	129 , 	103 , 	79 , 	202 , 	184 , 	105 , 	60 , 	210 , 	73 , 	674 , 	625 , 	282 , 	556 , 	229 , 	109 , 	45 , 	149 , 	21 , 	73 , 	51 , 	93 , 	373 , 	134 ," 	6,880 ",,,,,,,,,,,
16, 	45 , 	50 , 	25 , 	57 , 	146 , 	87 , 	107 , 	65 , 	65 , 	74 , 	99 , 	87 , 	17 , 	27 , 	14 , 	10 , 	11 , 	19 , 	22 , 	17 , 	19 , 	11 , 	11 , 	77 , 	78 , 	257 , 	255 ," 	1,257 ", 	724 , 	32 , 	214 , 	161 , 	361 , 	138 , 	66 , 	15 , 	42 , 	8 , 	36 , 	32 , 	58 , 	132 , 	51 ," 	5,074 ",,,,,,,,,,,
24, 	62 , 	73 , 	23 , 	46 , 	110 , 	71 , 	94 , 	41 , 	61 , 	61 , 	118 , 	103 , 	26 , 	27 , 	22 , 	19 , 	6 , 	17 , 	32 , 	18 , 	22 , 	12 , 	8 , 	64 , 	61 , 	302 , 	311 ," 	1,598 ", 	778 , 	208 , 	47 , 	143 , 	364 , 	139 , 	81 , 	16 , 	32 , 	8 , 	46 , 	40 , 	93 , 	138 , 	55 ," 	5,593 ",,,,,,,,,,,
GP, 	15 , 	20 , 	10 , 	15 , 	53 , 	17 , 	22 , 	12 , 	25 , 	22 , 	24 , 	43 , 	18 , 	12 , 	8 , 	7 , 	7 , 	10 , 	19 , 	9 , 	17 , 	9 , 	7 , 	21 , 	18 , 	151 , 	195 , 	963 , 	276 , 	165 , 	143 , 	26 , 	48 , 	34 , 	27 , 	8 , 	20 , 	4 , 	24 , 	10 , 	37 , 	64 , 	23 ," 	2,654 ",,,,,,,,,,,
BP, 	25 , 	44 , 	14 , 	9 , 	26 , 	16 , 	24 , 	15 , 	40 , 	28 , 	42 , 	40 , 	14 , 	20 , 	14 , 	8 , 	12 , 	21 , 	20 , 	17 , 	11 , 	9 , 	5 , 	17 , 	31 , 	264 , 	330 ," 	2,288 ", 	525 , 	344 , 	361 , 	58 , 	39 , 	62 , 	51 , 	8 , 	24 , 	7 , 	40 , 	22 , 	69 , 	72 , 	45 ," 	5,125 ",,,,,,,,,,,
DC, 	28 , 	38 , 	11 , 	8 , 	57 , 	10 , 	19 , 	16 , 	39 , 	18 , 	27 , 	56 , 	14 , 	19 , 	18 , 	8 , 	14 , 	29 , 	28 , 	27 , 	30 , 	13 , 	10 , 	18 , 	18 , 	123 , 	137 , 	779 , 	261 , 	142 , 	156 , 	35 , 	79 , 	10 , 	24 , 	7 , 	49 , 	12 , 	45 , 	21 , 	59 , 	129 , 	56 ," 	2,692 ",,,,,,,,,,,
