Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Apr 07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	138 , 	124 , 	77 , 	368 , 	97 , 	113 , 	115 , 	184 , 	36 , 	106 , 	88 , 	42 , 	32 , 	40 , 	20 , 	19 , 	36 , 	30 , 	17 , 	20 , 	11 , 	10 , 	15 , 	27 , 	229 , 	230 , 	289 , 	231 , 	120 , 	133 , 	27 , 	48 , 	42 , 	10 , 	6 , 	21 , 	4 , 	30 , 	7 , 	8 , 	23 , 	9 ," 	3,241 ",,,Eastbay," 	81,187 ",,SF CBD, 	-   ,,,,
EN, 	167 , 	9 , 	115 , 	84 , 	878 , 	169 , 	245 , 	448 , 	624 , 	99 , 	152 , 	205 , 	66 , 	58 , 	87 , 	31 , 	40 , 	83 , 	54 , 	28 , 	39 , 	10 , 	14 , 	22 , 	41 , 	884 , 	922 , 	820 , 	655 , 	137 , 	174 , 	52 , 	90 , 	149 , 	23 , 	11 , 	50 , 	6 , 	38 , 	16 , 	18 , 	53 , 	22 ," 	7,887 ",,,Westbay," 	100,746 ",,non-CBD, 	-   ,,,,
EP, 	131 , 	94 , 	5 , 	55 , 	627 , 	80 , 	105 , 	202 , 	293 , 	80 , 	53 , 	106 , 	21 , 	15 , 	30 , 	8 , 	14 , 	35 , 	25 , 	16 , 	27 , 	9 , 	10 , 	28 , 	11 , 	476 , 	544 , 	392 , 	314 , 	54 , 	50 , 	22 , 	33 , 	50 , 	3 , 	4 , 	21 , 	5 , 	9 , 	5 , 	6 , 	32 , 	14 ," 	4,115 ",,,Transbay," 	161,062 ",,,,,,,
NB, 	86 , 	75 , 	55 , 	7 , 	197 , 	56 , 	76 , 	180 , 	252 , 	61 , 	77 , 	121 , 	30 , 	17 , 	25 , 	9 , 	11 , 	31 , 	19 , 	14 , 	20 , 	12 , 	9 , 	14 , 	11 , 	578 , 	601 , 	416 , 	412 , 	94 , 	72 , 	26 , 	28 , 	57 , 	3 , 	4 , 	16 , 	3 , 	8 , 	4 , 	4 , 	47 , 	12 ," 	3,849 ",,,,,,,,,,,
BK, 	394 , 	899 , 	641 , 	215 , 	16 , 	407 , 	438 , 	447 , 	575 , 	230 , 	318 , 	350 , 	151 , 	158 , 	160 , 	79 , 	150 , 	316 , 	111 , 	152 , 	144 , 	75 , 	72 , 	55 , 	64 , 	722 , 	720 , 	940 , 	754 , 	299 , 	312 , 	130 , 	92 , 	166 , 	27 , 	52 , 	142 , 	42 , 	77 , 	23 , 	17 , 	105 , 	75 ," 	11,312 ",,,,,,,,,,,
AS, 	93 , 	164 , 	75 , 	53 , 	336 , 	7 , 	99 , 	187 , 	251 , 	73 , 	103 , 	133 , 	44 , 	45 , 	51 , 	27 , 	29 , 	66 , 	32 , 	20 , 	26 , 	8 , 	9 , 	17 , 	41 , 	495 , 	543 , 	372 , 	370 , 	131 , 	109 , 	24 , 	45 , 	56 , 	9 , 	11 , 	32 , 	5 , 	19 , 	3 , 	3 , 	31 , 	13 ," 	4,258 ",,,,,,,,,,,
MA, 	134 , 	238 , 	109 , 	78 , 	396 , 	102 , 	9 , 	153 , 	232 , 	72 , 	163 , 	212 , 	103 , 	108 , 	111 , 	60 , 	92 , 	146 , 	120 , 	111 , 	108 , 	40 , 	39 , 	55 , 	69 , 	776 , 	799 , 	715 , 	629 , 	196 , 	171 , 	70 , 	86 , 	111 , 	17 , 	20 , 	76 , 	33 , 	145 , 	17 , 	14 , 	43 , 	20 ," 	6,999 ",,,,,,,,,,,
19, 	131 , 	445 , 	204 , 	188 , 	383 , 	184 , 	143 , 	8 , 	72 , 	35 , 	127 , 	193 , 	211 , 	195 , 	194 , 	153 , 	178 , 	357 , 	265 , 	331 , 	223 , 	141 , 	97 , 	129 , 	54 , 	619 , 	609 , 	489 , 	556 , 	177 , 	160 , 	115 , 	86 , 	160 , 	53 , 	73 , 	197 , 	94 , 	234 , 	42 , 	28 , 	22 , 	48 ," 	8,402 ",,,,,,,,,,,
12, 	193 , 	626 , 	285 , 	254 , 	510 , 	255 , 	230 , 	74 , 	17 , 	47 , 	254 , 	380 , 	376 , 	355 , 	318 , 	197 , 	254 , 	425 , 	305 , 	403 , 	299 , 	183 , 	141 , 	201 , 	94 , 	898 , 	905 , 	886 , 	780 , 	229 , 	245 , 	132 , 	152 , 	233 , 	85 , 	114 , 	301 , 	123 , 	296 , 	55 , 	39 , 	46 , 	63 ," 	12,256 ",,,,,,,,,,,
LM, 	30 , 	92 , 	77 , 	58 , 	235 , 	79 , 	61 , 	36 , 	47 , 	7 , 	149 , 	227 , 	234 , 	205 , 	156 , 	96 , 	116 , 	154 , 	24 , 	25 , 	31 , 	12 , 	10 , 	30 , 	41 , 	563 , 	627 , 	541 , 	409 , 	109 , 	94 , 	45 , 	63 , 	99 , 	14 , 	94 , 	205 , 	15 , 	35 , 	21 , 	16 , 	46 , 	25 ," 	5,253 ",,,,,,,,,,,
