Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Jun 07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,
RM, 	6 , 	65 , 	67 , 	33 , 	118 , 	74 , 	49 , 	23 , 	47 , 	15 , 	60 , 	64 , 	16 , 	21 , 	20 , 	10 , 	7 , 	16 , 	13 , 	2 , 	6 , 	3 , 	2 , 	9 , 	11 , 	71 , 	54 , 	168 , 	122 , 	56 , 	72 , 	17 , 	23 , 	20 , 	3 , 	3 , 	14 , 	3 , 	21 , 	5 , 	6 , 	13 , 	10 ," 	1,436 ",,,,,,,,,,
EN, 	77 , 	11 , 	63 , 	40 , 	232 , 	118 , 	78 , 	35 , 	80 , 	23 , 	77 , 	189 , 	22 , 	38 , 	31 , 	13 , 	23 , 	41 , 	15 , 	9 , 	15 , 	4 , 	3 , 	12 , 	15 , 	210 , 	126 , 	442 , 	332 , 	62 , 	81 , 	30 , 	47 , 	35 , 	11 , 	5 , 	24 , 	2 , 	26 , 	5 , 	7 , 	37 , 	12 ," 	2,750 ",,,,,,,,,,
EP, 	68 , 	51 , 	3 , 	39 , 	199 , 	59 , 	37 , 	28 , 	62 , 	24 , 	30 , 	102 , 	10 , 	14 , 	9 , 	3 , 	7 , 	23 , 	9 , 	8 , 	11 , 	6 , 	5 , 	15 , 	6 , 	131 , 	86 , 	247 , 	199 , 	34 , 	31 , 	16 , 	16 , 	12 , 	3 , 	5 , 	10 , 	1 , 	6 , 	1 , 	3 , 	35 , 	7 ," 	1,666 ",,,,,,,,,,
NB, 	38 , 	35 , 	35 , 	5 , 	61 , 	53 , 	43 , 	32 , 	55 , 	26 , 	41 , 	102 , 	11 , 	13 , 	11 , 	6 , 	10 , 	24 , 	9 , 	8 , 	11 , 	6 , 	5 , 	11 , 	7 , 	172 , 	130 , 	282 , 	280 , 	78 , 	58 , 	24 , 	18 , 	14 , 	3 , 	3 , 	15 , 	2 , 	10 , 	3 , 	3 , 	50 , 	10 ," 	1,806 ",,,,,,,,,,
BK, 	133 , 	210 , 	197 , 	67 , 	11 , 	166 , 	130 , 	111 , 	167 , 	65 , 	100 , 	279 , 	36 , 	37 , 	46 , 	13 , 	35 , 	162 , 	23 , 	28 , 	37 , 	19 , 	23 , 	22 , 	25 , 	315 , 	225 , 	784 , 	504 , 	133 , 	108 , 	47 , 	34 , 	46 , 	4 , 	14 , 	42 , 	9 , 	16 , 	6 , 	4 , 	155 , 	49 ," 	4,632 ",,,,,,,,,,
AS, 	77 , 	99 , 	45 , 	48 , 	126 , 	6 , 	78 , 	58 , 	96 , 	58 , 	84 , 	122 , 	25 , 	26 , 	16 , 	11 , 	17 , 	23 , 	17 , 	6 , 	10 , 	5 , 	5 , 	10 , 	35 , 	141 , 	113 , 	285 , 	278 , 	103 , 	78 , 	18 , 	17 , 	12 , 	1 , 	6 , 	27 , 	5 , 	12 , 	2 , 	2 , 	37 , 	14 ," 	2,248 ",,,,,,,,,,
MA, 	56 , 	76 , 	29 , 	39 , 	122 , 	84 , 	13 , 	31 , 	63 , 	24 , 	74 , 	142 , 	35 , 	44 , 	37 , 	20 , 	18 , 	28 , 	33 , 	28 , 	24 , 	14 , 	11 , 	21 , 	27 , 	220 , 	168 , 	473 , 	464 , 	130 , 	95 , 	29 , 	24 , 	21 , 	5 , 	5 , 	19 , 	5 , 	52 , 	2 , 	3 , 	46 , 	9 ," 	2,859 ",,,,,,,,,,
19, 	17 , 	35 , 	22 , 	27 , 	104 , 	65 , 	35 , 	4 , 	11 , 	12 , 	34 , 	67 , 	23 , 	30 , 	20 , 	10 , 	15 , 	17 , 	19 , 	14 , 	17 , 	10 , 	6 , 	20 , 	18 , 	92 , 	81 , 	233 , 	222 , 	61 , 	44 , 	14 , 	11 , 	13 , 	2 , 	2 , 	11 , 	2 , 	20 , 	2 , 	2 , 	20 , 	6 ," 	1,486 ",,,,,,,,,,
12, 	40 , 	65 , 	52 , 	39 , 	142 , 	91 , 	46 , 	11 , 	10 , 	11 , 	84 , 	131 , 	62 , 	61 , 	42 , 	21 , 	43 , 	62 , 	41 , 	24 , 	36 , 	16 , 	14 , 	36 , 	29 , 	194 , 	165 , 	492 , 	259 , 	72 , 	61 , 	19 , 	35 , 	35 , 	9 , 	7 , 	18 , 	7 , 	46 , 	3 , 	6 , 	44 , 	11 ," 	2,688 ",,,,,,,,,,
LM, 	15 , 	26 , 	23 , 	23 , 	62 , 	45 , 	27 , 	10 , 	11 , 	4 , 	86 , 	126 , 	78 , 	81 , 	37 , 	23 , 	35 , 	42 , 	10 , 	6 , 	9 , 	7 , 	3 , 	9 , 	16 , 	176 , 	144 , 	444 , 	270 , 	90 , 	86 , 	18 , 	36 , 	21 , 	7 , 	37 , 	48 , 	3 , 	9 , 	7 , 	6 , 	52 , 	15 ," 	2,276 ",,,,,,,,,,
FV, 	67 , 	78 , 	30 , 	38 , 	108 , 	93 , 	78 , 	41 , 	76 , 	69 , 	13 , 	143 , 	98 , 	197 , 	110 , 	44 , 	42 , 	63 , 	32 , 	6 , 	17 , 	13 , 	10 , 	25 , 	63 , 	184 , 	120 , 	474 , 	379 , 	111 , 	110 , 	33 , 	43 , 	36 , 	11 , 	23 , 	77 , 	4 , 	35 , 	9 , 	9 , 	47 , 	14 ," 	3,264 ",,,,,,,,,,
CL, 	60 , 	181 , 	80 , 	90 , 	128 , 	87 , 	110 , 	63 , 	118 , 	105 , 	121 , 	9 , 	124 , 	176 , 	114 , 	84 , 	103 , 	289 , 	84 , 	99 , 	107 , 	59 , 	53 , 	54 , 	47 , 	292 , 	192 , 	616 , 	287 , 	83 , 	102 , 	48 , 	40 , 	62 , 	14 , 	101 , 	609 , 	44 , 	110 , 	15 , 	12 , 	46 , 	23 ," 	5,235 ",,,,,,,,,,
SL, 	22 , 	22 , 	12 , 	12 , 	40 , 	30 , 	38 , 	25 , 	63 , 	76 , 	98 , 	140 , 	10 , 	80 , 	62 , 	28 , 	20 , 	38 , 	10 , 	6 , 	10 , 	4 , 	5 , 	9 , 	19 , 	147 , 	71 , 	283 , 	209 , 	28 , 	31 , 	11 , 	17 , 	16 , 	6 , 	24 , 	44 , 	3 , 	16 , 	6 , 	5 , 	30 , 	5 ," 	1,822 ",,,,,,,,,,
BF, 	21 , 	32 , 	13 , 	14 , 	40 , 	31 , 	47 , 	40 , 	75 , 	73 , 	198 , 	188 , 	87 , 	8 , 	98 , 	69 , 	52 , 	99 , 	16 , 	5 , 	8 , 	3 , 	1 , 	6 , 	23 , 	133 , 	85 , 	254 , 	176 , 	24 , 	32 , 	14 , 	19 , 	17 , 	9 , 	45 , 	117 , 	3 , 	19 , 	4 , 	7 , 	16 , 	5 ," 	2,219 ",,,,,,,,,,
HY, 	20 , 	34 , 	11 , 	10 , 	43 , 	21 , 	38 , 	30 , 	48 , 	31 , 	112 , 	136 , 	58 , 	102 , 	8 , 	67 , 	61 , 	123 , 	9 , 	9 , 	3 , 	3 , 	3 , 	3 , 	14 , 	68 , 	37 , 	142 , 	128 , 	24 , 	20 , 	7 , 	11 , 	11 , 	5 , 	9 , 	38 , 	4 , 	17 , 	5 , 	3 , 	13 , 	4 ," 	1,536 ",,,,,,,,,,
SH, 	12 , 	17 , 	3 , 	4 , 	18 , 	11 , 	16 , 	12 , 	24 , 	22 , 	45 , 	101 , 	32 , 	73 , 	66 , 	5 , 	43 , 	74 , 	7 , 	2 , 	2 , 	1 , 	1 , 	1 , 	3 , 	50 , 	30 , 	127 , 	80 , 	11 , 	21 , 	5 , 	10 , 	5 , 	2 , 	11 , 	27 , 	2 , 	12 , 	1 , 	3 , 	10 , 	2 , 	999 ,,,,,,,,,,
UC, 	11 , 	20 , 	8 , 	8 , 	31 , 	16 , 	16 , 	16 , 	37 , 	35 , 	48 , 	117 , 	31 , 	68 , 	68 , 	37 , 	4 , 	85 , 	8 , 	5 , 	6 , 	0 , 	2 , 	5 , 	11 , 	91 , 	48 , 	196 , 	94 , 	14 , 	16 , 	8 , 	13 , 	17 , 	9 , 	7 , 	37 , 	1 , 	15 , 	2 , 	4 , 	18 , 	1 ," 	1,278 ",,,,,,,,,,
FM, 	22 , 	39 , 	23 , 	21 , 	119 , 	27 , 	34 , 	23 , 	66 , 	57 , 	67 , 	316 , 	40 , 	106 , 	120 , 	69 , 	78 , 	14 , 	17 , 	13 , 	12 , 	3 , 	4 , 	10 , 	10 , 	233 , 	115 , 	413 , 	307 , 	26 , 	20 , 	19 , 	23 , 	25 , 	4 , 	18 , 	45 , 	5 , 	19 , 	4 , 	4 , 	46 , 	5 ," 	2,637 ",,,,,,,,,,
CN, 	14 , 	19 , 	8 , 	11 , 	23 , 	12 , 	40 , 	21 , 	43 , 	11 , 	30 , 	100 , 	9 , 	13 , 	18 , 	7 , 	8 , 	18 , 	13 , 	48 , 	187 , 	59 , 	24 , 	35 , 	7 , 	159 , 	71 , 	232 , 	173 , 	26 , 	31 , 	17 , 	21 , 	28 , 	8 , 	6 , 	11 , 	20 , 	159 , 	5 , 	10 , 	37 , 	9 ," 	1,793 ",,,,,,,,,,
PH, 	3 , 	9 , 	9 , 	8 , 	31 , 	9 , 	26 , 	13 , 	31 , 	6 , 	7 , 	123 , 	5 , 	5 , 	7 , 	4 , 	8 , 	17 , 	48 , 	5 , 	54 , 	13 , 	10 , 	34 , 	3 , 	235 , 	100 , 	264 , 	176 , 	30 , 	25 , 	16 , 	12 , 	20 , 	3 , 	1 , 	3 , 	8 , 	38 , 	3 , 	4 , 	82 , 	13 ," 	1,519 ",,,,,,,,,,
WC, 	8 , 	15 , 	10 , 	12 , 	39 , 	10 , 	31 , 	19 , 	42 , 	6 , 	14 , 	129 , 	9 , 	4 , 	6 , 	1 , 	4 , 	12 , 	214 , 	68 , 	9 , 	31 , 	27 , 	62 , 	3 , 	290 , 	160 , 	318 , 	213 , 	30 , 	27 , 	22 , 	14 , 	25 , 	3 , 	1 , 	6 , 	22 , 	67 , 	5 , 	3 , 	68 , 	13 ," 	2,064 ",,,,,,,,,,
LF, 	5 , 	4 , 	7 , 	2 , 	25 , 	6 , 	13 , 	10 , 	23 , 	5 , 	13 , 	68 , 	4 , 	6 , 	1 , 	1 , 	1 , 	4 , 	58 , 	13 , 	30 , 	7 , 	7 , 	38 , 	2 , 	188 , 	95 , 	169 , 	135 , 	15 , 	11 , 	12 , 	7 , 	8 , 	0 , 	2 , 	1 , 	4 , 	16 , 	1 , 	1 , 	39 , 	6 ," 	1,057 ",,,,,,,,,,
OR, 	2 , 	3 , 	3 , 	6 , 	29 , 	5 , 	13 , 	7 , 	17 , 	4 , 	10 , 	55 , 	4 , 	2 , 	3 , 	1 , 	2 , 	6 , 	23 , 	10 , 	21 , 	6 , 	4 , 	39 , 	2 , 	151 , 	77 , 	160 , 	135 , 	18 , 	17 , 	7 , 	8 , 	11 , 	1 , 	1 , 	1 , 	1 , 	6 , 	0 , 	1 , 	47 , 	4 , 	919 ,,,,,,,,,,
RR, 	7 , 	12 , 	17 , 	13 , 	27 , 	11 , 	26 , 	25 , 	41 , 	12 , 	23 , 	85 , 	8 , 	9 , 	5 , 	1 , 	5 , 	13 , 	29 , 	29 , 	63 , 	42 , 	37 , 	7 , 	6 , 	260 , 	190 , 	453 , 	415 , 	106 , 	74 , 	29 , 	16 , 	18 , 	5 , 	3 , 	7 , 	9 , 	19 , 	2 , 	1 , 	70 , 	14 ," 	2,240 ",,,,,,,,,,
OW, 	12 , 	17 , 	5 , 	9 , 	27 , 	36 , 	27 , 	14 , 	32 , 	15 , 	57 , 	52 , 	15 , 	29 , 	21 , 	8 , 	7 , 	6 , 	10 , 	3 , 	4 , 	3 , 	2 , 	5 , 	8 , 	283 , 	175 , 	532 , 	452 , 	94 , 	63 , 	18 , 	17 , 	14 , 	5 , 	3 , 	13 , 	2 , 	14 , 	2 , 	3 , 	24 , 	3 ," 	2,139 ",,,,,,,,,,
