Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Sep 07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	10 , 	96 , 	86 , 	54 , 	273 , 	79 , 	71 , 	33 , 	68 , 	17 , 	76 , 	72 , 	25 , 	26 , 	28 , 	11 , 	12 , 	21 , 	19 , 	9 , 	11 , 	10 , 	5 , 	8 , 	18 , 	125 , 	83 , 	279 , 	123 , 	101 , 	123 , 	18 , 	44 , 	28 , 	12 , 	4 , 	11 , 	4 , 	27 , 	10 , 	5 , 	21 , 	9 ," 	2,167 ",,,Eastbay," 	49,255 ",,SF CBD," 	125,265 ",60.6%,,,
EN, 	106 , 	14 , 	97 , 	60 , 	930 , 	123 , 	132 , 	71 , 	182 , 	37 , 	128 , 	171 , 	40 , 	44 , 	37 , 	22 , 	25 , 	45 , 	26 , 	16 , 	23 , 	11 , 	9 , 	22 , 	33 , 	313 , 	231 , 	809 , 	278 , 	97 , 	146 , 	50 , 	85 , 	76 , 	26 , 	8 , 	24 , 	4 , 	35 , 	15 , 	15 , 	57 , 	22 ," 	4,696 ",,,Westbay," 	59,268 ",,non-CBD," 	76,511 ",37.0%,,,
EP, 	95 , 	79 , 	7 , 	52 , 	688 , 	74 , 	54 , 	45 , 	127 , 	39 , 	43 , 	70 , 	10 , 	10 , 	13 , 	7 , 	10 , 	22 , 	11 , 	10 , 	12 , 	7 , 	7 , 	22 , 	8 , 	163 , 	139 , 	389 , 	187 , 	43 , 	45 , 	22 , 	18 , 	23 , 	5 , 	3 , 	9 , 	2 , 	8 , 	4 , 	3 , 	39 , 	13 ," 	2,639 ",,,Transbay," 	98,053 ",,,,,,,
NB, 	61 , 	65 , 	53 , 	7 , 	260 , 	47 , 	42 , 	45 , 	101 , 	30 , 	67 , 	78 , 	15 , 	19 , 	11 , 	4 , 	9 , 	22 , 	12 , 	11 , 	16 , 	9 , 	8 , 	18 , 	7 , 	226 , 	183 , 	435 , 	297 , 	107 , 	93 , 	29 , 	20 , 	25 , 	5 , 	4 , 	14 , 	3 , 	13 , 	3 , 	6 , 	41 , 	15 ," 	2,537 ",,,,,,,,,,,
BK, 	291 , 	941 , 	712 , 	277 , 	26 , 	386 , 	425 , 	217 , 	383 , 	197 , 	295 , 	331 , 	173 , 	198 , 	152 , 	67 , 	153 , 	538 , 	122 , 	208 , 	269 , 	194 , 	172 , 	71 , 	58 ," 	1,169 ", 	719 ," 	2,181 "," 	1,078 ", 	282 , 	321 , 	190 , 	86 , 	294 , 	25 , 	71 , 	332 , 	45 , 	89 , 	32 , 	40 , 	107 , 	202 ," 	14,119 ",,,,,,,,,,,
AS, 	83 , 	118 , 	70 , 	45 , 	332 , 	10 , 	86 , 	79 , 	147 , 	40 , 	96 , 	86 , 	20 , 	39 , 	25 , 	12 , 	16 , 	33 , 	14 , 	10 , 	17 , 	9 , 	7 , 	18 , 	33 , 	196 , 	176 , 	428 , 	324 , 	143 , 	117 , 	26 , 	23 , 	27 , 	3 , 	6 , 	20 , 	5 , 	18 , 	6 , 	4 , 	28 , 	12 ," 	3,008 ",,,,,,,,,,,
MA, 	70 , 	132 , 	60 , 	42 , 	392 , 	100 , 	10 , 	54 , 	120 , 	37 , 	112 , 	135 , 	44 , 	70 , 	45 , 	26 , 	21 , 	40 , 	48 , 	35 , 	43 , 	20 , 	15 , 	40 , 	51 , 	392 , 	264 , 	855 , 	443 , 	211 , 	212 , 	47 , 	43 , 	52 , 	10 , 	12 , 	29 , 	8 , 	68 , 	5 , 	4 , 	43 , 	18 ," 	4,478 ",,,,,,,,,,,
19, 	37 , 	63 , 	48 , 	51 , 	204 , 	86 , 	51 , 	9 , 	26 , 	16 , 	56 , 	74 , 	42 , 	45 , 	34 , 	21 , 	19 , 	43 , 	33 , 	21 , 	38 , 	20 , 	14 , 	45 , 	32 , 	153 , 	141 , 	332 , 	238 , 	112 , 	91 , 	30 , 	29 , 	31 , 	7 , 	6 , 	18 , 	7 , 	34 , 	3 , 	4 , 	12 , 	11 ," 	2,388 ",,,,,,,,,,,
12, 	64 , 	168 , 	127 , 	115 , 	352 , 	138 , 	120 , 	22 , 	11 , 	27 , 	141 , 	178 , 	137 , 	138 , 	98 , 	45 , 	65 , 	128 , 	74 , 	77 , 	72 , 	40 , 	44 , 	99 , 	65 , 	336 , 	274 , 	842 , 	351 , 	123 , 	122 , 	77 , 	77 , 	82 , 	13 , 	29 , 	59 , 	16 , 	67 , 	14 , 	6 , 	32 , 	32 ," 	5,096 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	19 , 	36 , 	40 , 	33 , 	158 , 	44 , 	29 , 	14 , 	23 , 	7 , 	77 , 	120 , 	102 , 	123 , 	54 , 	26 , 	49 , 	81 , 	9 , 	7 , 	13 , 	5 , 	8 , 	17 , 	25 , 	230 , 	230 , 	608 , 	258 , 	113 , 	85 , 	38 , 	48 , 	37 , 	8 , 	64 , 	67 , 	3 , 	9 , 	10 , 	8 , 	40 , 	19 ," 	2,994 ",,,Dtwn SF," 	2,880 "," 	8,306 "," 	18,679 "," 	10,685 "," 	8,526 "," 	11,344 "," 	4,962 ",65381
FV, 	74 , 	114 , 	45 , 	62 , 	289 , 	98 , 	109 , 	68 , 	158 , 	63 , 	17 , 	207 , 	157 , 	244 , 	152 , 	62 , 	55 , 	93 , 	38 , 	17 , 	30 , 	21 , 	23 , 	34 , 	101 , 	264 , 	230 , 	696 , 	398 , 	161 , 	167 , 	50 , 	71 , 	65 , 	12 , 	42 , 	108 , 	7 , 	54 , 	12 , 	13 , 	43 , 	22 ," 	4,748 ",,,OAK," 	7,883 ", 	925 ," 	2,083 "," 	2,724 "," 	1,111 "," 	2,992 ", 	306 ,18024.6
CL, 	70 , 	182 , 	79 , 	79 , 	272 , 	84 , 	146 , 	89 , 	169 , 	95 , 	202 , 	11 , 	144 , 	235 , 	166 , 	102 , 	126 , 	278 , 	99 , 	91 , 	90 , 	57 , 	44 , 	58 , 	73 , 	357 , 	217 , 	590 , 	335 , 	110 , 	144 , 	75 , 	69 , 	77 , 	20 , 	92 , 	494 , 	35 , 	108 , 	26 , 	20 , 	48 , 	33 ," 	5,894 ",,,CM line," 	18,219 "," 	2,107 "," 	5,952 "," 	2,781 "," 	1,625 "," 	2,100 "," 	1,668 ",34452.2
