Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Nov 07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	93 , 	87 , 	48 , 	225 , 	75 , 	66 , 	41 , 	59 , 	16 , 	70 , 	54 , 	16 , 	24 , 	26 , 	13 , 	11 , 	21 , 	15 , 	10 , 	7 , 	9 , 	8 , 	11 , 	16 , 	82 , 	70 , 	259 , 	104 , 	75 , 	98 , 	12 , 	31 , 	28 , 	11 , 	2 , 	16 , 	2 , 	27 , 	5 , 	9 , 	18 , 	9 ," 	1,879 ",,,Eastbay," 	42,319 ",,SF CBD," 	116,374 ",62.5%,,,
EN, 	106 , 	11 , 	79 , 	45 , 	717 , 	126 , 	135 , 	65 , 	157 , 	29 , 	112 , 	90 , 	35 , 	36 , 	38 , 	25 , 	27 , 	46 , 	35 , 	14 , 	19 , 	9 , 	9 , 	24 , 	29 , 	239 , 	221 , 	773 , 	301 , 	67 , 	128 , 	32 , 	63 , 	46 , 	23 , 	8 , 	15 , 	7 , 	32 , 	12 , 	13 , 	43 , 	24 ," 	4,057 ",,,Westbay," 	58,114 ",,non-CBD," 	64,891 ",34.9%,,,
EP, 	97 , 	69 , 	8 , 	44 , 	590 , 	76 , 	58 , 	41 , 	99 , 	41 , 	40 , 	55 , 	12 , 	11 , 	11 , 	5 , 	9 , 	23 , 	13 , 	9 , 	19 , 	6 , 	10 , 	21 , 	11 , 	117 , 	118 , 	442 , 	157 , 	35 , 	37 , 	11 , 	19 , 	17 , 	2 , 	5 , 	10 , 	2 , 	10 , 	3 , 	3 , 	34 , 	12 ," 	2,406 ",,,Transbay," 	85,695 ",,,,,,,
NB, 	58 , 	53 , 	46 , 	7 , 	251 , 	50 , 	49 , 	41 , 	89 , 	25 , 	60 , 	61 , 	16 , 	23 , 	11 , 	7 , 	10 , 	21 , 	11 , 	10 , 	19 , 	9 , 	5 , 	15 , 	9 , 	180 , 	173 , 	458 , 	212 , 	76 , 	71 , 	24 , 	16 , 	14 , 	3 , 	3 , 	8 , 	3 , 	11 , 	3 , 	4 , 	46 , 	12 ," 	2,268 ",,,,,,,,,,,
BK, 	250 , 	728 , 	605 , 	272 , 	22 , 	424 , 	397 , 	208 , 	320 , 	152 , 	250 , 	310 , 	163 , 	164 , 	141 , 	73 , 	151 , 	496 , 	84 , 	182 , 	273 , 	162 , 	155 , 	60 , 	63 , 	898 , 	604 ," 	2,140 ", 	777 , 	226 , 	224 , 	148 , 	68 , 	234 , 	15 , 	63 , 	296 , 	29 , 	71 , 	20 , 	27 , 	120 , 	138 ," 	12,199 ",,,,,,,,,,,
AS, 	86 , 	117 , 	72 , 	45 , 	334 , 	8 , 	89 , 	74 , 	126 , 	43 , 	94 , 	91 , 	22 , 	38 , 	25 , 	13 , 	15 , 	30 , 	11 , 	10 , 	21 , 	5 , 	6 , 	14 , 	36 , 	154 , 	154 , 	411 , 	231 , 	126 , 	85 , 	22 , 	21 , 	20 , 	4 , 	7 , 	19 , 	2 , 	16 , 	3 , 	4 , 	33 , 	14 ," 	2,746 ",,,,,,,,,,,
MA, 	74 , 	119 , 	55 , 	50 , 	371 , 	93 , 	10 , 	57 , 	101 , 	25 , 	108 , 	121 , 	42 , 	71 , 	46 , 	33 , 	17 , 	51 , 	49 , 	32 , 	47 , 	14 , 	15 , 	37 , 	47 , 	268 , 	227 , 	724 , 	366 , 	152 , 	128 , 	30 , 	32 , 	27 , 	4 , 	8 , 	27 , 	6 , 	57 , 	6 , 	7 , 	52 , 	17 ," 	3,820 ",,,,,,,,,,,
19, 	44 , 	64 , 	49 , 	46 , 	198 , 	74 , 	53 , 	7 , 	23 , 	11 , 	62 , 	65 , 	40 , 	46 , 	33 , 	20 , 	26 , 	51 , 	31 , 	28 , 	44 , 	16 , 	20 , 	52 , 	36 , 	133 , 	136 , 	349 , 	222 , 	83 , 	84 , 	30 , 	26 , 	31 , 	5 , 	8 , 	26 , 	6 , 	36 , 	4 , 	7 , 	18 , 	13 ," 	2,351 ",,,,,,,,,,,
12, 	66 , 	132 , 	98 , 	81 , 	295 , 	111 , 	77 , 	23 , 	11 , 	20 , 	116 , 	148 , 	94 , 	131 , 	69 , 	30 , 	40 , 	98 , 	54 , 	59 , 	60 , 	26 , 	27 , 	59 , 	68 , 	241 , 	231 , 	707 , 	252 , 	98 , 	93 , 	42 , 	52 , 	61 , 	13 , 	16 , 	36 , 	12 , 	51 , 	9 , 	7 , 	38 , 	20 ," 	3,963 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	15 , 	26 , 	32 , 	24 , 	133 , 	36 , 	25 , 	11 , 	17 , 	5 , 	65 , 	79 , 	97 , 	124 , 	43 , 	25 , 	46 , 	70 , 	8 , 	9 , 	12 , 	4 , 	9 , 	16 , 	21 , 	175 , 	183 , 	633 , 	227 , 	76 , 	66 , 	27 , 	32 , 	27 , 	9 , 	57 , 	73 , 	2 , 	13 , 	7 , 	7 , 	43 , 	19 ," 	2,625 ",,,Dtwn SF," 	2,943 "," 	7,257 "," 	18,492 "," 	9,216 "," 	7,844 "," 	10,537 "," 	4,364 "," 	60,652 "
