Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Nov 07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	75 , 	65 , 	32 , 	136 , 	69 , 	53 , 	24 , 	52 , 	23 , 	58 , 	105 , 	17 , 	17 , 	22 , 	7 , 	7 , 	14 , 	21 , 	5 , 	7 , 	3 , 	4 , 	7 , 	14 , 	56 , 	47 , 	176 , 	70 , 	50 , 	73 , 	15 , 	29 , 	22 , 	6 , 	3 , 	9 , 	2 , 	28 , 	7 , 	6 , 	19 , 	6 ," 	1,463 ",,,Eastbay," 	37,483 ",,SF CBD," 	76,739 ",56.4%,,,
EN, 	76 , 	12 , 	47 , 	42 , 	242 , 	89 , 	95 , 	36 , 	87 , 	37 , 	71 , 	404 , 	17 , 	29 , 	22 , 	11 , 	19 , 	36 , 	15 , 	7 , 	17 , 	6 , 	4 , 	16 , 	15 , 	141 , 	109 , 	451 , 	162 , 	48 , 	80 , 	27 , 	44 , 	39 , 	15 , 	5 , 	15 , 	4 , 	23 , 	9 , 	8 , 	50 , 	13 ," 	2,688 ",,,Westbay," 	42,160 ",,non-CBD," 	54,414 ",40.0%,,,
EP, 	74 , 	50 , 	5 , 	33 , 	250 , 	56 , 	42 , 	35 , 	59 , 	30 , 	27 , 	147 , 	11 , 	16 , 	9 , 	5 , 	4 , 	21 , 	8 , 	8 , 	11 , 	5 , 	2 , 	14 , 	6 , 	86 , 	71 , 	238 , 	109 , 	29 , 	30 , 	8 , 	12 , 	10 , 	3 , 	2 , 	8 , 	2 , 	9 , 	2 , 	1 , 	38 , 	12 ," 	1,591 ",,,Transbay," 	56,417 ",,,,,,,
NB, 	40 , 	47 , 	34 , 	8 , 	54 , 	37 , 	46 , 	34 , 	56 , 	23 , 	31 , 	121 , 	13 , 	13 , 	9 , 	4 , 	7 , 	16 , 	12 , 	9 , 	12 , 	7 , 	2 , 	10 , 	6 , 	129 , 	95 , 	264 , 	164 , 	65 , 	52 , 	22 , 	12 , 	13 , 	4 , 	5 , 	7 , 	1 , 	7 , 	2 , 	2 , 	54 , 	10 ," 	1,551 ",,,,,,,,,,,
BK, 	177 , 	237 , 	238 , 	55 , 	14 , 	156 , 	147 , 	119 , 	188 , 	78 , 	142 , 	750 , 	47 , 	59 , 	52 , 	20 , 	71 , 	269 , 	29 , 	33 , 	60 , 	33 , 	24 , 	28 , 	41 , 	311 , 	203 , 	822 , 	359 , 	133 , 	119 , 	62 , 	48 , 	80 , 	6 , 	14 , 	60 , 	14 , 	18 , 	12 , 	11 , 	227 , 	64 ," 	5,622 ",,,,,,,,,,,
AS, 	75 , 	81 , 	60 , 	37 , 	137 , 	7 , 	70 , 	68 , 	79 , 	40 , 	79 , 	150 , 	17 , 	28 , 	19 , 	7 , 	13 , 	26 , 	8 , 	8 , 	17 , 	4 , 	4 , 	12 , 	29 , 	104 , 	95 , 	251 , 	176 , 	98 , 	66 , 	21 , 	15 , 	19 , 	1 , 	3 , 	13 , 	3 , 	16 , 	3 , 	3 , 	44 , 	9 ," 	2,013 ",,,,,,,,,,,
MA, 	51 , 	80 , 	39 , 	34 , 	138 , 	68 , 	7 , 	33 , 	61 , 	26 , 	72 , 	220 , 	36 , 	54 , 	31 , 	16 , 	14 , 	33 , 	33 , 	22 , 	29 , 	11 , 	10 , 	33 , 	37 , 	177 , 	135 , 	447 , 	272 , 	115 , 	90 , 	20 , 	25 , 	18 , 	3 , 	4 , 	18 , 	7 , 	52 , 	4 , 	4 , 	49 , 	7 ," 	2,628 ",,,,,,,,,,,
19, 	22 , 	34 , 	30 , 	26 , 	105 , 	74 , 	29 , 	3 , 	13 , 	12 , 	40 , 	87 , 	27 , 	28 , 	21 , 	11 , 	15 , 	26 , 	22 , 	13 , 	21 , 	11 , 	7 , 	24 , 	15 , 	86 , 	76 , 	223 , 	154 , 	73 , 	45 , 	16 , 	14 , 	19 , 	2 , 	5 , 	8 , 	3 , 	17 , 	2 , 	5 , 	24 , 	5 ," 	1,490 ",,,,,,,,,,,
12, 	42 , 	72 , 	55 , 	47 , 	166 , 	74 , 	51 , 	8 , 	9 , 	12 , 	68 , 	226 , 	68 , 	72 , 	50 , 	23 , 	32 , 	64 , 	39 , 	35 , 	46 , 	16 , 	14 , 	40 , 	44 , 	169 , 	146 , 	483 , 	202 , 	75 , 	61 , 	29 , 	41 , 	37 , 	7 , 	5 , 	18 , 	6 , 	39 , 	3 , 	6 , 	43 , 	20 ," 	2,761 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	26 , 	31 , 	29 , 	27 , 	67 , 	51 , 	23 , 	12 , 	11 , 	4 , 	104 , 	215 , 	60 , 	76 , 	48 , 	23 , 	29 , 	44 , 	9 , 	5 , 	9 , 	7 , 	5 , 	11 , 	20 , 	118 , 	138 , 	452 , 	202 , 	75 , 	82 , 	22 , 	28 , 	23 , 	9 , 	41 , 	46 , 	3 , 	12 , 	10 , 	7 , 	58 , 	13 ," 	2,283 ",,,Dtwn SF," 	1,725 "," 	4,795 "," 	12,446 "," 	4,631 "," 	4,586 "," 	7,336 "," 	3,575 "," 	39,094 "
