Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Dec 07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,
RM, 	9 , 	77 , 	59 , 	32 , 	125 , 	56 , 	48 , 	24 , 	45 , 	21 , 	53 , 	107 , 	15 , 	19 , 	18 , 	10 , 	6 , 	8 , 	12 , 	4 , 	5 , 	5 , 	2 , 	6 , 	14 , 	59 , 	45 , 	202 , 	65 , 	48 , 	66 , 	12 , 	26 , 	16 , 	7 , 	3 , 	8 , 	1 , 	22 , 	4 , 	4 , 	10 , 	7 ," 	1,383 ",,,,,,,,,,
EN, 	86 , 	8 , 	62 , 	39 , 	230 , 	96 , 	95 , 	41 , 	89 , 	29 , 	69 , 	388 , 	19 , 	31 , 	24 , 	13 , 	19 , 	30 , 	19 , 	8 , 	17 , 	6 , 	6 , 	12 , 	21 , 	137 , 	110 , 	545 , 	141 , 	48 , 	73 , 	23 , 	57 , 	40 , 	12 , 	4 , 	15 , 	4 , 	25 , 	6 , 	10 , 	38 , 	12 ," 	2,755 ",,,,,,,,,,
EP, 	69 , 	55 , 	6 , 	33 , 	215 , 	52 , 	46 , 	33 , 	51 , 	27 , 	28 , 	278 , 	12 , 	11 , 	5 , 	4 , 	8 , 	21 , 	10 , 	6 , 	11 , 	5 , 	5 , 	15 , 	7 , 	97 , 	83 , 	339 , 	106 , 	28 , 	26 , 	8 , 	16 , 	10 , 	2 , 	2 , 	10 , 	2 , 	7 , 	1 , 	2 , 	37 , 	8 ," 	1,798 ",,,,,,,,,,
NB, 	43 , 	42 , 	40 , 	6 , 	62 , 	42 , 	40 , 	36 , 	60 , 	25 , 	39 , 	127 , 	12 , 	13 , 	7 , 	2 , 	7 , 	19 , 	6 , 	7 , 	11 , 	5 , 	2 , 	12 , 	6 , 	128 , 	127 , 	349 , 	156 , 	57 , 	54 , 	14 , 	11 , 	14 , 	2 , 	3 , 	6 , 	1 , 	6 , 	2 , 	1 , 	35 , 	7 ," 	1,642 ",,,,,,,,,,
BK, 	126 , 	225 , 	208 , 	60 , 	14 , 	146 , 	144 , 	124 , 	164 , 	80 , 	109 , 	162 , 	39 , 	43 , 	46 , 	18 , 	44 , 	142 , 	26 , 	23 , 	52 , 	25 , 	21 , 	21 , 	33 , 	228 , 	171 , 	726 , 	299 , 	109 , 	102 , 	44 , 	37 , 	55 , 	7 , 	16 , 	37 , 	11 , 	17 , 	5 , 	6 , 	96 , 	50 ," 	4,109 ",,,,,,,,,,
AS, 	60 , 	85 , 	47 , 	41 , 	129 , 	6 , 	67 , 	67 , 	79 , 	39 , 	68 , 	135 , 	14 , 	25 , 	18 , 	6 , 	14 , 	18 , 	13 , 	12 , 	11 , 	5 , 	6 , 	12 , 	29 , 	85 , 	81 , 	306 , 	165 , 	85 , 	73 , 	15 , 	14 , 	14 , 	2 , 	5 , 	11 , 	2 , 	12 , 	2 , 	3 , 	33 , 	7 ," 	1,919 ",,,,,,,,,,
MA, 	50 , 	82 , 	39 , 	32 , 	139 , 	76 , 	8 , 	39 , 	64 , 	28 , 	83 , 	222 , 	34 , 	57 , 	38 , 	18 , 	15 , 	34 , 	35 , 	19 , 	29 , 	13 , 	8 , 	28 , 	30 , 	154 , 	143 , 	559 , 	226 , 	116 , 	82 , 	28 , 	24 , 	19 , 	4 , 	6 , 	12 , 	9 , 	53 , 	3 , 	5 , 	44 , 	9 ," 	2,717 ",,,,,,,,,,
19, 	27 , 	39 , 	31 , 	37 , 	115 , 	65 , 	40 , 	4 , 	12 , 	11 , 	41 , 	89 , 	25 , 	32 , 	21 , 	17 , 	15 , 	27 , 	24 , 	15 , 	25 , 	10 , 	9 , 	35 , 	18 , 	92 , 	79 , 	284 , 	142 , 	60 , 	59 , 	19 , 	19 , 	18 , 	3 , 	5 , 	10 , 	3 , 	20 , 	2 , 	5 , 	13 , 	7 ," 	1,623 ",,,,,,,,,,
12, 	41 , 	71 , 	47 , 	49 , 	128 , 	74 , 	51 , 	13 , 	6 , 	15 , 	71 , 	199 , 	61 , 	77 , 	42 , 	23 , 	31 , 	59 , 	38 , 	29 , 	40 , 	17 , 	15 , 	35 , 	42 , 	168 , 	154 , 	522 , 	199 , 	62 , 	58 , 	21 , 	35 , 	31 , 	9 , 	5 , 	11 , 	3 , 	33 , 	4 , 	6 , 	33 , 	9 ," 	2,639 ",,,,,,,,,,
LM, 	24 , 	25 , 	32 , 	20 , 	70 , 	43 , 	24 , 	12 , 	14 , 	5 , 	101 , 	243 , 	63 , 	85 , 	37 , 	20 , 	28 , 	47 , 	10 , 	8 , 	9 , 	6 , 	4 , 	9 , 	25 , 	130 , 	138 , 	560 , 	188 , 	73 , 	86 , 	27 , 	31 , 	23 , 	8 , 	42 , 	48 , 	3 , 	6 , 	6 , 	10 , 	43 , 	15 ," 	2,400 ",,,,,,,,,,
