Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Jan 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,
RM, 	7 , 	79 , 	90 , 	40 , 	184 , 	67 , 	56 , 	38 , 	50 , 	11 , 	66 , 	49 , 	15 , 	19 , 	19 , 	5 , 	10 , 	18 , 	20 , 	9 , 	8 , 	6 , 	6 , 	9 , 	12 , 	79 , 	71 , 	219 , 	84 , 	65 , 	84 , 	16 , 	27 , 	19 , 	11 , 	3 , 	14 , 	4 , 	25 , 	7 , 	4 , 	17 , 	8 ," 	1,644 ",,,,,,,,,,
EN, 	98 , 	8 , 	84 , 	57 , 	406 , 	105 , 	120 , 	66 , 	136 , 	30 , 	100 , 	127 , 	25 , 	34 , 	31 , 	16 , 	20 , 	47 , 	29 , 	8 , 	21 , 	7 , 	6 , 	19 , 	26 , 	199 , 	190 , 	628 , 	180 , 	74 , 	115 , 	32 , 	59 , 	47 , 	13 , 	6 , 	16 , 	6 , 	34 , 	14 , 	11 , 	42 , 	12 ," 	3,298 ",,,,,,,,,,
EP, 	94 , 	74 , 	3 , 	42 , 	348 , 	65 , 	60 , 	45 , 	85 , 	32 , 	31 , 	43 , 	11 , 	13 , 	15 , 	5 , 	8 , 	24 , 	13 , 	8 , 	18 , 	5 , 	5 , 	18 , 	10 , 	112 , 	102 , 	322 , 	104 , 	31 , 	34 , 	14 , 	16 , 	13 , 	1 , 	4 , 	8 , 	2 , 	10 , 	2 , 	2 , 	31 , 	13 ," 	1,892 ",,,,,,,,,,
NB, 	50 , 	56 , 	51 , 	5 , 	120 , 	40 , 	43 , 	38 , 	87 , 	22 , 	60 , 	44 , 	14 , 	24 , 	12 , 	4 , 	9 , 	22 , 	8 , 	8 , 	11 , 	10 , 	4 , 	13 , 	7 , 	151 , 	147 , 	344 , 	191 , 	79 , 	70 , 	19 , 	13 , 	10 , 	2 , 	5 , 	9 , 	2 , 	10 , 	3 , 	4 , 	38 , 	13 ," 	1,869 ",,,,,,,,,,
BK, 	212 , 	393 , 	334 , 	129 , 	14 , 	267 , 	254 , 	182 , 	274 , 	108 , 	192 , 	233 , 	93 , 	105 , 	56 , 	62 , 	50 , 	174 , 	41 , 	76 , 	106 , 	78 , 	48 , 	46 , 	53 , 	352 , 	282 , 	932 , 	413 , 	166 , 	160 , 	61 , 	37 , 	84 , 	9 , 	40 , 	78 , 	12 , 	31 , 	9 , 	18 , 	109 , 	60 ," 	6,427 ",,,,,,,,,,
AS, 	67 , 	101 , 	55 , 	43 , 	228 , 	8 , 	74 , 	62 , 	107 , 	30 , 	68 , 	63 , 	19 , 	39 , 	22 , 	7 , 	13 , 	25 , 	15 , 	10 , 	14 , 	7 , 	6 , 	16 , 	32 , 	134 , 	123 , 	330 , 	199 , 	114 , 	84 , 	19 , 	18 , 	15 , 	3 , 	5 , 	14 , 	3 , 	11 , 	3 , 	2 , 	28 , 	11 ," 	2,242 ",,,,,,,,,,
MA, 	61 , 	109 , 	54 , 	42 , 	228 , 	77 , 	8 , 	62 , 	78 , 	29 , 	107 , 	100 , 	40 , 	73 , 	56 , 	21 , 	20 , 	41 , 	45 , 	37 , 	35 , 	19 , 	17 , 	47 , 	47 , 	247 , 	213 , 	588 , 	283 , 	161 , 	128 , 	31 , 	34 , 	29 , 	5 , 	9 , 	23 , 	5 , 	67 , 	6 , 	5 , 	39 , 	18 ," 	3,339 ",,,,,,,,,,
19, 	43 , 	62 , 	41 , 	38 , 	175 , 	68 , 	51 , 	6 , 	17 , 	10 , 	52 , 	62 , 	37 , 	46 , 	36 , 	19 , 	32 , 	36 , 	29 , 	20 , 	33 , 	14 , 	14 , 	46 , 	32 , 	116 , 	112 , 	270 , 	174 , 	85 , 	71 , 	17 , 	22 , 	33 , 	9 , 	7 , 	24 , 	9 , 	35 , 	5 , 	5 , 	14 , 	12 ," 	2,031 ",,,,,,,,,,
12, 	55 , 	120 , 	86 , 	80 , 	245 , 	105 , 	80 , 	20 , 	8 , 	12 , 	99 , 	118 , 	101 , 	115 , 	68 , 	33 , 	49 , 	88 , 	61 , 	54 , 	66 , 	28 , 	32 , 	61 , 	67 , 	203 , 	194 , 	576 , 	228 , 	73 , 	77 , 	38 , 	49 , 	44 , 	15 , 	12 , 	31 , 	8 , 	54 , 	9 , 	10 , 	44 , 	13 ," 	3,525 ",,,,,,,,,,
LM, 	14 , 	32 , 	26 , 	29 , 	100 , 	34 , 	29 , 	11 , 	18 , 	6 , 	64 , 	76 , 	93 , 	107 , 	41 , 	27 , 	34 , 	58 , 	6 , 	7 , 	10 , 	3 , 	6 , 	13 , 	27 , 	183 , 	163 , 	523 , 	191 , 	77 , 	63 , 	24 , 	34 , 	30 , 	7 , 	64 , 	55 , 	4 , 	9 , 	6 , 	6 , 	15 , 	16 ," 	2,335 ",,,,,,,,,,
FV, 	60 , 	97 , 	39 , 	52 , 	201 , 	79 , 	94 , 	70 , 	100 , 	56 , 	11 , 	154 , 	158 , 	223 , 	130 , 	58 , 	54 , 	88 , 	30 , 	17 , 	25 , 	16 , 	18 , 	30 , 	90 , 	218 , 	183 , 	575 , 	223 , 	124 , 	138 , 	37 , 	48 , 	36 , 	9 , 	42 , 	87 , 	5 , 	49 , 	11 , 	12 , 	31 , 	18 ," 	3,790 ",,,,,,,,,,
CL, 	57 , 	121 , 	41 , 	45 , 	119 , 	67 , 	105 , 	74 , 	128 , 	68 , 	146 , 	7 , 	71 , 	154 , 	111 , 	60 , 	56 , 	91 , 	42 , 	34 , 	31 , 	20 , 	17 , 	27 , 	63 , 	139 , 	113 , 	332 , 	161 , 	58 , 	71 , 	28 , 	45 , 	46 , 	12 , 	35 , 	128 , 	10 , 	76 , 	12 , 	14 , 	24 , 	10 ," 	3,062 ",,,,,,,,,,
SL, 	19 , 	31 , 	13 , 	13 , 	100 , 	21 , 	45 , 	46 , 	97 , 	92 , 	158 , 	78 , 	7 , 	88 , 	72 , 	31 , 	33 , 	51 , 	14 , 	8 , 	11 , 	6 , 	3 , 	13 , 	28 , 	136 , 	107 , 	359 , 	108 , 	40 , 	40 , 	15 , 	21 , 	22 , 	7 , 	25 , 	40 , 	2 , 	18 , 	4 , 	7 , 	20 , 	7 ," 	2,052 ",,,,,,,,,,
BF, 	17 , 	29 , 	12 , 	17 , 	112 , 	44 , 	71 , 	57 , 	111 , 	104 , 	225 , 	151 , 	100 , 	6 , 	130 , 	96 , 	81 , 	119 , 	14 , 	5 , 	10 , 	2 , 	2 , 	12 , 	38 , 	131 , 	106 , 	319 , 	101 , 	29 , 	34 , 	19 , 	21 , 	20 , 	9 , 	56 , 	143 , 	3 , 	26 , 	4 , 	6 , 	11 , 	7 ," 	2,606 ",,,,,,,,,,
HY, 	20 , 	22 , 	14 , 	12 , 	52 , 	27 , 	52 , 	39 , 	70 , 	35 , 	125 , 	112 , 	80 , 	146 , 	6 , 	86 , 	91 , 	129 , 	13 , 	4 , 	8 , 	3 , 	2 , 	10 , 	24 , 	66 , 	64 , 	178 , 	61 , 	24 , 	31 , 	10 , 	15 , 	13 , 	5 , 	15 , 	46 , 	4 , 	18 , 	4 , 	11 , 	11 , 	4 ," 	1,757 ",,,,,,,,,,
SH, 	6 , 	19 , 	4 , 	4 , 	56 , 	7 , 	22 , 	17 , 	34 , 	27 , 	59 , 	51 , 	35 , 	96 , 	75 , 	5 , 	43 , 	78 , 	8 , 	3 , 	6 , 	2 , 	1 , 	3 , 	9 , 	43 , 	37 , 	130 , 	42 , 	20 , 	26 , 	6 , 	6 , 	12 , 	4 , 	11 , 	26 , 	3 , 	12 , 	2 , 	4 , 	7 , 	2 ," 	1,055 ",,,,,,,,,,
UC, 	11 , 	21 , 	5 , 	6 , 	55 , 	17 , 	20 , 	34 , 	53 , 	37 , 	58 , 	63 , 	32 , 	82 , 	90 , 	46 , 	8 , 	85 , 	11 , 	8 , 	8 , 	2 , 	3 , 	3 , 	11 , 	77 , 	67 , 	227 , 	64 , 	21 , 	16 , 	9 , 	16 , 	18 , 	12 , 	9 , 	22 , 	2 , 	11 , 	3 , 	4 , 	17 , 	6 ," 	1,367 ",,,,,,,,,,
FM, 	19 , 	40 , 	25 , 	22 , 	203 , 	27 , 	46 , 	35 , 	86 , 	57 , 	90 , 	92 , 	48 , 	135 , 	130 , 	88 , 	93 , 	22 , 	15 , 	14 , 	13 , 	7 , 	5 , 	22 , 	12 , 	174 , 	137 , 	477 , 	116 , 	30 , 	28 , 	17 , 	20 , 	31 , 	6 , 	20 , 	45 , 	2 , 	20 , 	5 , 	5 , 	35 , 	4 ," 	2,516 ",,,,,,,,,,
CN, 	22 , 	23 , 	14 , 	7 , 	38 , 	12 , 	55 , 	30 , 	61 , 	7 , 	29 , 	44 , 	15 , 	16 , 	11 , 	7 , 	9 , 	14 , 	9 , 	51 , 	208 , 	65 , 	34 , 	31 , 	10 , 	137 , 	91 , 	263 , 	84 , 	26 , 	40 , 	19 , 	19 , 	33 , 	7 , 	5 , 	10 , 	24 , 	216 , 	12 , 	7 , 	42 , 	9 ," 	1,859 ",,,,,,,,,,
PH, 	8 , 	9 , 	7 , 	6 , 	71 , 	10 , 	30 , 	19 , 	53 , 	9 , 	13 , 	40 , 	9 , 	8 , 	4 , 	3 , 	5 , 	9 , 	54 , 	7 , 	76 , 	24 , 	12 , 	51 , 	7 , 	201 , 	144 , 	356 , 	111 , 	27 , 	29 , 	15 , 	13 , 	22 , 	8 , 	2 , 	5 , 	11 , 	64 , 	6 , 	5 , 	52 , 	9 ," 	1,619 ",,,,,,,,,,
WC, 	11 , 	22 , 	20 , 	11 , 	116 , 	16 , 	44 , 	37 , 	73 , 	7 , 	24 , 	43 , 	10 , 	8 , 	7 , 	7 , 	10 , 	11 , 	269 , 	85 , 	9 , 	45 , 	30 , 	79 , 	8 , 	267 , 	175 , 	430 , 	154 , 	36 , 	28 , 	23 , 	15 , 	33 , 	6 , 	3 , 	6 , 	27 , 	96 , 	5 , 	9 , 	65 , 	15 ," 	2,391 ",,,,,,,,,,
LF, 	8 , 	8 , 	4 , 	8 , 	77 , 	10 , 	20 , 	13 , 	28 , 	4 , 	16 , 	22 , 	6 , 	1 , 	3 , 	2 , 	2 , 	5 , 	83 , 	30 , 	43 , 	3 , 	14 , 	56 , 	4 , 	149 , 	84 , 	203 , 	80 , 	22 , 	10 , 	9 , 	3 , 	10 , 	-   , 	0 , 	2 , 	12 , 	21 , 	1 , 	2 , 	29 , 	6 ," 	1,108 ",,,,,,,,,,
OR, 	4 , 	9 , 	5 , 	5 , 	43 , 	7 , 	18 , 	15 , 	40 , 	6 , 	14 , 	18 , 	3 , 	4 , 	4 , 	1 , 	3 , 	6 , 	33 , 	20 , 	32 , 	11 , 	4 , 	43 , 	3 , 	114 , 	98 , 	224 , 	61 , 	18 , 	19 , 	9 , 	6 , 	11 , 	3 , 	1 , 	3 , 	2 , 	11 , 	2 , 	2 , 	27 , 	5 , 	958 ,,,,,,,,,,
