Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Apr 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	6 , 	78 , 	59 , 	30 , 	151 , 	73 , 	54 , 	22 , 	46 , 	21 , 	66 , 	67 , 	13 , 	18 , 	20 , 	12 , 	9 , 	17 , 	13 , 	5 , 	8 , 	2 , 	2 , 	8 , 	14 , 	80 , 	42 , 	162 , 	62 , 	56 , 	67 , 	13 , 	26 , 	17 , 	4 , 	2 , 	12 , 	1 , 	25 , 	6 , 	6 , 	21 , 	13 ," 	1,426 ",,,Eastbay," 	29,040 ",,SF CBD," 	71,321 ",58.3%,,,
EN, 	87 , 	7 , 	65 , 	48 , 	254 , 	100 , 	90 , 	40 , 	97 , 	39 , 	74 , 	129 , 	21 , 	28 , 	24 , 	16 , 	16 , 	35 , 	17 , 	10 , 	15 , 	8 , 	3 , 	21 , 	20 , 	168 , 	118 , 	388 , 	124 , 	63 , 	68 , 	29 , 	50 , 	35 , 	14 , 	6 , 	12 , 	3 , 	31 , 	11 , 	10 , 	52 , 	13 ," 	2,452 ",,,Westbay," 	40,751 ",,non-CBD," 	46,347 ",37.9%,,,
EP, 	69 , 	63 , 	5 , 	43 , 	242 , 	61 , 	48 , 	31 , 	58 , 	29 , 	32 , 	80 , 	12 , 	11 , 	7 , 	7 , 	9 , 	24 , 	11 , 	9 , 	9 , 	4 , 	5 , 	22 , 	7 , 	101 , 	65 , 	181 , 	100 , 	28 , 	31 , 	11 , 	13 , 	10 , 	4 , 	3 , 	7 , 	3 , 	6 , 	2 , 	2 , 	38 , 	11 ," 	1,510 ",,,Transbay," 	52,565 ",,,,,,,
NB, 	38 , 	40 , 	41 , 	3 , 	66 , 	50 , 	39 , 	37 , 	71 , 	31 , 	34 , 	83 , 	14 , 	11 , 	12 , 	6 , 	7 , 	18 , 	5 , 	5 , 	11 , 	5 , 	5 , 	13 , 	4 , 	128 , 	87 , 	221 , 	164 , 	67 , 	57 , 	13 , 	5 , 	9 , 	3 , 	4 , 	7 , 	1 , 	10 , 	1 , 	1 , 	57 , 	14 ," 	1,492 ",,,,,,,,,,,
BK, 	171 , 	234 , 	250 , 	67 , 	11 , 	158 , 	150 , 	126 , 	190 , 	76 , 	119 , 	269 , 	50 , 	47 , 	56 , 	25 , 	65 , 	259 , 	28 , 	31 , 	49 , 	32 , 	21 , 	26 , 	46 , 	291 , 	181 , 	709 , 	374 , 	141 , 	125 , 	55 , 	48 , 	65 , 	9 , 	15 , 	52 , 	11 , 	26 , 	12 , 	16 , 	148 , 	75 ," 	4,906 ",,,,,,,,,,,
AS, 	76 , 	92 , 	58 , 	45 , 	134 , 	8 , 	93 , 	61 , 	94 , 	42 , 	88 , 	102 , 	23 , 	32 , 	19 , 	10 , 	14 , 	27 , 	18 , 	9 , 	14 , 	5 , 	4 , 	17 , 	34 , 	129 , 	87 , 	229 , 	206 , 	112 , 	89 , 	21 , 	12 , 	14 , 	3 , 	5 , 	19 , 	1 , 	15 , 	4 , 	3 , 	46 , 	14 ," 	2,124 ",,,,,,,,,,,
MA, 	57 , 	75 , 	46 , 	36 , 	148 , 	85 , 	6 , 	33 , 	52 , 	27 , 	77 , 	121 , 	31 , 	48 , 	34 , 	16 , 	16 , 	37 , 	30 , 	17 , 	28 , 	15 , 	15 , 	25 , 	34 , 	202 , 	132 , 	383 , 	267 , 	147 , 	98 , 	25 , 	19 , 	23 , 	6 , 	7 , 	22 , 	6 , 	58 , 	6 , 	4 , 	76 , 	9 ," 	2,595 ",,,,,,,,,,,
19, 	22 , 	36 , 	25 , 	36 , 	134 , 	62 , 	28 , 	2 , 	13 , 	17 , 	41 , 	61 , 	24 , 	36 , 	20 , 	10 , 	12 , 	27 , 	19 , 	11 , 	21 , 	5 , 	7 , 	38 , 	26 , 	99 , 	58 , 	217 , 	158 , 	79 , 	58 , 	18 , 	14 , 	19 , 	7 , 	3 , 	16 , 	5 , 	19 , 	3 , 	3 , 	37 , 	10 ," 	1,550 ",,,,,,,,,,,
12, 	48 , 	89 , 	61 , 	56 , 	154 , 	91 , 	53 , 	9 , 	8 , 	13 , 	77 , 	108 , 	58 , 	72 , 	46 , 	23 , 	35 , 	54 , 	41 , 	27 , 	47 , 	17 , 	20 , 	49 , 	36 , 	186 , 	157 , 	416 , 	206 , 	75 , 	59 , 	27 , 	34 , 	38 , 	11 , 	8 , 	31 , 	8 , 	48 , 	9 , 	8 , 	62 , 	10 ," 	2,679 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	18 , 	34 , 	29 , 	29 , 	84 , 	46 , 	25 , 	10 , 	14 , 	4 , 	107 , 	100 , 	68 , 	84 , 	37 , 	22 , 	28 , 	54 , 	9 , 	11 , 	9 , 	8 , 	4 , 	12 , 	26 , 	181 , 	138 , 	451 , 	201 , 	80 , 	99 , 	31 , 	35 , 	26 , 	6 , 	43 , 	50 , 	5 , 	9 , 	7 , 	6 , 	28 , 	14 ," 	2,280 ",,,Dtwn SF," 	1,555 "," 	4,519 "," 	11,899 "," 	4,281 "," 	4,455 "," 	6,127 "," 	3,295 "," 	36,129 "
