Fast Pass Adjusted OD,,,,,,May 08,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,78,53,221,233,673,"1,095",867,"1,367","4,587"
MT,55,62,128,236,890,"1,551","1,242","2,576","6,739"
PL,314,184,89,182,896,"1,282",863,"2,260","6,071"
CC,211,208,205,63,583,776,586,"1,493","4,124"
16,596,712,"1,101",591,28,261,256,726,"4,271"
24,894,"1,149","1,549",797,286,43,181,656,"5,555"
GP,778,924,"1,068",515,248,203,27,175,"3,940"
BP,"1,201","1,409","3,205","1,343",722,695,180,53,"8,808"
Entries,"4,127","4,701","7,567","3,960","4,326","5,907","4,201","9,306","44,094"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,31,11,76,53,266,312,174,345,"1,267"
MT,10,17,36,39,311,374,338,"1,172","2,297"
PL,87,31,79,77,736,"1,049",616,"1,497","4,172"
CC,44,26,81,47,382,453,230,552,"1,815"
16,226,168,867,415,38,198,164,404,"2,480"
24,257,211,"1,139",492,188,49,134,376,"2,846"
GP,156,152,805,199,156,121,24,85,"1,699"
BP,314,333,"2,246",473,385,350,90,45,"4,237"
Entries,"1,125",950,"5,329","1,794","2,463","2,906","1,770","4,475","20,814"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,28,6,50,41,198,228,114,216,882
MT,9,18,19,42,222,257,233,787,"1,587"
PL,47,20,77,70,581,762,427,"1,054","3,036"
CC,43,16,78,59,355,401,179,461,"1,591"
16,169,115,709,411,46,157,125,296,"2,027"
24,192,152,883,430,164,56,120,331,"2,328"
GP,105,94,614,170,134,127,24,37,"1,304"
BP,220,228,"1,676",395,296,298,48,42,"3,203"
Entries,813,648,"4,105","1,618","1,995","2,284","1,270","3,223","15,956"
