Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,May 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	71 , 	59 , 	36 , 	123 , 	61 , 	54 , 	22 , 	41 , 	24 , 	85 , 	63 , 	15 , 	22 , 	24 , 	9 , 	6 , 	13 , 	16 , 	5 , 	8 , 	3 , 	3 , 	10 , 	15 , 	77 , 	46 , 	179 , 	79 , 	67 , 	75 , 	13 , 	26 , 	22 , 	7 , 	1 , 	11 , 	1 , 	20 , 	11 , 	5 , 	21 , 	9 ," 	1,458 ",,,Eastbay," 	32,444 ",,SF CBD," 	86,518 ",58.5%,,,
EN, 	75 , 	6 , 	63 , 	52 , 	241 , 	87 , 	97 , 	41 , 	95 , 	36 , 	112 , 	207 , 	23 , 	30 , 	31 , 	12 , 	17 , 	29 , 	17 , 	8 , 	14 , 	5 , 	3 , 	17 , 	25 , 	215 , 	129 , 	435 , 	166 , 	103 , 	99 , 	28 , 	42 , 	45 , 	20 , 	5 , 	18 , 	2 , 	26 , 	10 , 	12 , 	58 , 	16 ," 	2,766 ",,,Westbay," 	49,653 ",,non-CBD," 	56,074 ",37.9%,,,
EP, 	68 , 	58 , 	3 , 	34 , 	235 , 	56 , 	39 , 	32 , 	49 , 	26 , 	46 , 	116 , 	7 , 	15 , 	13 , 	6 , 	8 , 	20 , 	9 , 	6 , 	11 , 	6 , 	3 , 	20 , 	6 , 	119 , 	79 , 	231 , 	139 , 	53 , 	49 , 	13 , 	16 , 	11 , 	3 , 	3 , 	10 , 	3 , 	6 , 	2 , 	1 , 	41 , 	9 ," 	1,676 ",,,Transbay," 	65,730 ",,,,,,,
NB, 	39 , 	51 , 	35 , 	4 , 	63 , 	50 , 	43 , 	38 , 	59 , 	23 , 	57 , 	117 , 	12 , 	18 , 	9 , 	4 , 	6 , 	20 , 	9 , 	8 , 	13 , 	7 , 	5 , 	11 , 	8 , 	162 , 	119 , 	308 , 	209 , 	108 , 	80 , 	18 , 	12 , 	12 , 	2 , 	5 , 	9 , 	1 , 	7 , 	3 , 	2 , 	48 , 	17 ," 	1,826 ",,,,,,,,,,,
BK, 	140 , 	235 , 	245 , 	70 , 	11 , 	156 , 	144 , 	123 , 	174 , 	81 , 	130 , 	227 , 	45 , 	51 , 	71 , 	15 , 	36 , 	156 , 	29 , 	39 , 	56 , 	33 , 	30 , 	29 , 	37 , 	301 , 	219 , 	774 , 	429 , 	172 , 	142 , 	56 , 	48 , 	60 , 	8 , 	20 , 	53 , 	6 , 	18 , 	11 , 	12 , 	148 , 	72 ," 	4,907 ",,,,,,,,,,,
AS, 	65 , 	94 , 	53 , 	47 , 	124 , 	8 , 	77 , 	54 , 	78 , 	41 , 	96 , 	131 , 	20 , 	32 , 	27 , 	8 , 	13 , 	18 , 	14 , 	7 , 	12 , 	5 , 	5 , 	14 , 	27 , 	139 , 	109 , 	264 , 	215 , 	161 , 	97 , 	24 , 	18 , 	19 , 	4 , 	4 , 	14 , 	2 , 	14 , 	5 , 	2 , 	54 , 	13 ," 	2,224 ",,,,,,,,,,,
MA, 	58 , 	78 , 	47 , 	43 , 	145 , 	74 , 	8 , 	38 , 	62 , 	24 , 	96 , 	160 , 	36 , 	54 , 	35 , 	15 , 	16 , 	31 , 	28 , 	22 , 	30 , 	15 , 	15 , 	31 , 	31 , 	255 , 	179 , 	481 , 	321 , 	229 , 	120 , 	30 , 	23 , 	18 , 	6 , 	8 , 	14 , 	8 , 	58 , 	3 , 	4 , 	64 , 	13 ," 	3,022 ",,,,,,,,,,,
19, 	27 , 	43 , 	31 , 	34 , 	114 , 	61 , 	37 , 	5 , 	13 , 	13 , 	43 , 	67 , 	33 , 	33 , 	27 , 	10 , 	12 , 	32 , 	22 , 	20 , 	27 , 	10 , 	9 , 	26 , 	21 , 	113 , 	85 , 	231 , 	189 , 	97 , 	78 , 	19 , 	13 , 	19 , 	5 , 	5 , 	11 , 	4 , 	22 , 	4 , 	4 , 	30 , 	5 ," 	1,699 ",,,,,,,,,,,
12, 	40 , 	78 , 	44 , 	50 , 	150 , 	68 , 	55 , 	10 , 	5 , 	12 , 	80 , 	141 , 	56 , 	61 , 	49 , 	19 , 	29 , 	47 , 	37 , 	26 , 	39 , 	14 , 	16 , 	27 , 	38 , 	195 , 	146 , 	485 , 	211 , 	103 , 	71 , 	27 , 	37 , 	37 , 	15 , 	7 , 	20 , 	6 , 	54 , 	7 , 	7 , 	63 , 	10 ," 	2,689 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	26 , 	36 , 	24 , 	24 , 	74 , 	45 , 	26 , 	9 , 	13 , 	6 , 	97 , 	136 , 	71 , 	83 , 	39 , 	23 , 	30 , 	46 , 	9 , 	7 , 	7 , 	5 , 	3 , 	11 , 	21 , 	183 , 	150 , 	480 , 	233 , 	142 , 	120 , 	30 , 	37 , 	31 , 	5 , 	46 , 	48 , 	6 , 	10 , 	8 , 	6 , 	28 , 	19 ," 	2,447 ",,,Dtwn SF," 	1,894 "," 	5,198 "," 	14,560 "," 	5,122 "," 	5,634 "," 	7,737 "," 	4,201 "," 	44,345 "
