Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,May 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	8 , 	145 , 	136 , 	99 , 	400 , 	115 , 	154 , 	149 , 	207 , 	39 , 	112 , 	101 , 	42 , 	44 , 	40 , 	20 , 	14 , 	40 , 	30 , 	20 , 	27 , 	10 , 	11 , 	18 , 	27 , 	292 , 	258 , 	318 , 	261 , 	125 , 	120 , 	28 , 	45 , 	53 , 	14 , 	7 , 	25 , 	8 , 	36 , 	12 , 	12 , 	28 , 	16 ," 	3,661 ",,,Eastbay," 	84,904 ",,SF CBD," 	231,391 ",63.8%,,,
EN, 	188 , 	10 , 	131 , 	100 , 	906 , 	203 , 	284 , 	479 , 	658 , 	114 , 	163 , 	192 , 	59 , 	59 , 	76 , 	32 , 	36 , 	80 , 	50 , 	25 , 	48 , 	11 , 	15 , 	32 , 	45 , 	927 , 	885 , 	841 , 	695 , 	167 , 	169 , 	61 , 	87 , 	139 , 	25 , 	13 , 	53 , 	10 , 	43 , 	26 , 	28 , 	69 , 	43 ," 	8,280 ",,,Westbay," 	109,203 ",,non-CBD," 	124,199 ",34.2%,,,
EP, 	142 , 	112 , 	7 , 	65 , 	646 , 	88 , 	124 , 	233 , 	308 , 	86 , 	69 , 	89 , 	25 , 	17 , 	28 , 	10 , 	10 , 	39 , 	26 , 	15 , 	23 , 	9 , 	13 , 	33 , 	13 , 	509 , 	522 , 	370 , 	324 , 	65 , 	47 , 	29 , 	36 , 	50 , 	4 , 	6 , 	17 , 	3 , 	13 , 	7 , 	4 , 	44 , 	18 ," 	4,296 ",,,Transbay," 	168,654 ",,,,,,,
NB, 	98 , 	84 , 	67 , 	7 , 	199 , 	72 , 	90 , 	190 , 	257 , 	64 , 	84 , 	81 , 	32 , 	23 , 	23 , 	11 , 	14 , 	30 , 	19 , 	16 , 	24 , 	13 , 	9 , 	22 , 	16 , 	618 , 	624 , 	397 , 	406 , 	107 , 	77 , 	28 , 	33 , 	53 , 	4 , 	7 , 	19 , 	2 , 	13 , 	5 , 	4 , 	60 , 	19 ," 	4,018 ",,,,,,,,,,,
BK, 	425 , 	930 , 	648 , 	230 , 	17 , 	408 , 	454 , 	471 , 	580 , 	263 , 	312 , 	286 , 	161 , 	159 , 	151 , 	86 , 	130 , 	285 , 	133 , 	161 , 	151 , 	83 , 	71 , 	57 , 	79 , 	794 , 	720 , 	928 , 	749 , 	299 , 	307 , 	128 , 	104 , 	153 , 	32 , 	56 , 	131 , 	41 , 	83 , 	24 , 	25 , 	128 , 	117 ," 	11,548 ",,,,,,,,,,,
AS, 	109 , 	173 , 	79 , 	67 , 	344 , 	7 , 	101 , 	201 , 	254 , 	99 , 	125 , 	123 , 	53 , 	52 , 	54 , 	28 , 	30 , 	59 , 	37 , 	22 , 	29 , 	10 , 	14 , 	18 , 	39 , 	530 , 	551 , 	411 , 	404 , 	166 , 	106 , 	29 , 	41 , 	62 , 	7 , 	11 , 	37 , 	6 , 	23 , 	4 , 	4 , 	39 , 	23 ," 	4,579 ",,,,,,,,,,,
MA, 	173 , 	280 , 	123 , 	88 , 	410 , 	101 , 	12 , 	179 , 	260 , 	89 , 	185 , 	204 , 	115 , 	128 , 	126 , 	71 , 	87 , 	151 , 	131 , 	114 , 	122 , 	42 , 	45 , 	68 , 	74 , 	879 , 	840 , 	774 , 	684 , 	248 , 	187 , 	68 , 	83 , 	101 , 	25 , 	26 , 	87 , 	46 , 	161 , 	23 , 	22 , 	71 , 	44 ," 	7,748 ",,,,,,,,,,,
19, 	156 , 	484 , 	238 , 	198 , 	421 , 	202 , 	170 , 	13 , 	78 , 	46 , 	155 , 	192 , 	237 , 	218 , 	202 , 	150 , 	168 , 	353 , 	260 , 	345 , 	240 , 	140 , 	103 , 	129 , 	54 , 	701 , 	659 , 	528 , 	564 , 	199 , 	178 , 	122 , 	107 , 	143 , 	62 , 	75 , 	220 , 	137 , 	229 , 	54 , 	37 , 	36 , 	69 ," 	9,066 ",,,,,,,,,,,
12, 	212 , 	660 , 	304 , 	258 , 	517 , 	263 , 	249 , 	81 , 	18 , 	55 , 	278 , 	381 , 	381 , 	390 , 	280 , 	202 , 	235 , 	427 , 	335 , 	426 , 	343 , 	201 , 	149 , 	202 , 	93 , 	953 , 	900 , 	877 , 	801 , 	249 , 	261 , 	140 , 	163 , 	210 , 	104 , 	123 , 	323 , 	147 , 	291 , 	78 , 	56 , 	84 , 	113 ," 	12,812 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	40 , 	104 , 	82 , 	67 , 	254 , 	95 , 	94 , 	47 , 	54 , 	8 , 	177 , 	239 , 	269 , 	238 , 	177 , 	130 , 	149 , 	233 , 	28 , 	28 , 	36 , 	15 , 	9 , 	40 , 	41 , 	653 , 	645 , 	614 , 	437 , 	140 , 	99 , 	46 , 	71 , 	107 , 	12 , 	107 , 	228 , 	28 , 	36 , 	14 , 	11 , 	29 , 	19 ," 	5,950 ",,,Dtwn SF,"6,240","15,101","35,635","12,423","18,950","22,517","8,553","119,419"
