Exit stations,Entry stations->,,SUNDAY,,,Jul 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	8 , 	58 , 	64 , 	35 , 	129 , 	69 , 	53 , 	23 , 	43 , 	24 , 	50 , 	59 , 	13 , 	20 , 	22 , 	12 , 	8 , 	17 , 	14 , 	4 , 	7 , 	3 , 	4 , 	9 , 	11 , 	81 , 	52 , 	180 , 	70 , 	52 , 	57 , 	12 , 	27 , 	24 , 	6 , 	2 , 	8 , 	1 , 	29 , 	6 , 	8 , 	22 , 	12 ," 	1,403 ",,,Eastbay," 	31,145 ",,SF CBD," 	84,411 ",60.8%,,,
EN, 	76 , 	9 , 	64 , 	45 , 	234 , 	106 , 	90 , 	30 , 	91 , 	40 , 	74 , 	182 , 	23 , 	33 , 	29 , 	11 , 	17 , 	46 , 	18 , 	10 , 	14 , 	7 , 	7 , 	14 , 	27 , 	245 , 	118 , 	441 , 	131 , 	49 , 	77 , 	29 , 	43 , 	32 , 	15 , 	6 , 	27 , 	1 , 	30 , 	10 , 	11 , 	60 , 	14 ," 	2,631 ",,,Westbay," 	45,339 ",,non-CBD," 	49,112 ",35.3%,,,
EP, 	74 , 	54 , 	6 , 	34 , 	250 , 	63 , 	43 , 	32 , 	44 , 	23 , 	40 , 	86 , 	12 , 	13 , 	8 , 	6 , 	9 , 	32 , 	6 , 	6 , 	9 , 	8 , 	5 , 	19 , 	5 , 	130 , 	89 , 	234 , 	102 , 	33 , 	30 , 	13 , 	20 , 	12 , 	5 , 	5 , 	14 , 	3 , 	11 , 	3 , 	1 , 	48 , 	12 ," 	1,648 ",,,Transbay," 	62,466 ",,,,,,,
NB, 	35 , 	41 , 	38 , 	7 , 	67 , 	42 , 	51 , 	34 , 	55 , 	20 , 	40 , 	94 , 	14 , 	14 , 	9 , 	5 , 	12 , 	26 , 	8 , 	13 , 	8 , 	6 , 	4 , 	12 , 	6 , 	186 , 	121 , 	312 , 	159 , 	68 , 	53 , 	17 , 	8 , 	14 , 	4 , 	3 , 	10 , 	2 , 	10 , 	1 , 	3 , 	74 , 	12 ," 	1,713 ",,,,,,,,,,,
BK, 	149 , 	243 , 	241 , 	66 , 	12 , 	164 , 	156 , 	127 , 	171 , 	72 , 	113 , 	277 , 	44 , 	51 , 	45 , 	28 , 	54 , 	232 , 	46 , 	32 , 	50 , 	37 , 	28 , 	25 , 	31 , 	453 , 	268 ," 	1,084 ", 	381 , 	159 , 	102 , 	51 , 	43 , 	51 , 	11 , 	21 , 	70 , 	13 , 	19 , 	8 , 	17 , 	208 , 	82 ," 	5,531 ",,,,,,,,,,,
AS, 	74 , 	87 , 	51 , 	47 , 	128 , 	5 , 	83 , 	53 , 	76 , 	52 , 	80 , 	111 , 	18 , 	32 , 	23 , 	9 , 	13 , 	33 , 	15 , 	10 , 	13 , 	7 , 	4 , 	14 , 	36 , 	143 , 	120 , 	278 , 	187 , 	103 , 	71 , 	17 , 	13 , 	14 , 	3 , 	6 , 	16 , 	1 , 	19 , 	4 , 	3 , 	50 , 	13 ," 	2,128 ",,,,,,,,,,,
MA, 	58 , 	88 , 	40 , 	43 , 	147 , 	80 , 	12 , 	35 , 	73 , 	27 , 	76 , 	144 , 	37 , 	50 , 	31 , 	16 , 	15 , 	40 , 	26 , 	18 , 	31 , 	13 , 	14 , 	27 , 	34 , 	237 , 	172 , 	478 , 	259 , 	146 , 	100 , 	32 , 	21 , 	23 , 	6 , 	8 , 	24 , 	5 , 	58 , 	5 , 	5 , 	81 , 	15 ," 	2,841 ",,,,,,,,,,,
19, 	25 , 	30 , 	26 , 	32 , 	120 , 	53 , 	29 , 	3 , 	15 , 	10 , 	36 , 	60 , 	29 , 	31 , 	25 , 	10 , 	15 , 	24 , 	21 , 	18 , 	16 , 	8 , 	6 , 	26 , 	15 , 	103 , 	93 , 	248 , 	142 , 	65 , 	61 , 	19 , 	13 , 	12 , 	8 , 	5 , 	12 , 	4 , 	24 , 	1 , 	3 , 	32 , 	8 ," 	1,532 ",,,,,,,,,,,
12, 	39 , 	77 , 	47 , 	53 , 	136 , 	84 , 	70 , 	10 , 	8 , 	17 , 	68 , 	116 , 	56 , 	68 , 	45 , 	21 , 	31 , 	58 , 	37 , 	34 , 	41 , 	20 , 	21 , 	41 , 	33 , 	197 , 	173 , 	476 , 	198 , 	69 , 	58 , 	27 , 	33 , 	29 , 	18 , 	8 , 	19 , 	7 , 	49 , 	6 , 	7 , 	77 , 	14 ," 	2,692 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	23 , 	41 , 	25 , 	25 , 	78 , 	46 , 	33 , 	9 , 	15 , 	5 , 	101 , 	131 , 	78 , 	94 , 	31 , 	23 , 	36 , 	52 , 	11 , 	5 , 	8 , 	8 , 	4 , 	13 , 	22 , 	180 , 	173 , 	470 , 	243 , 	98 , 	89 , 	27 , 	38 , 	29 , 	7 , 	39 , 	60 , 	4 , 	13 , 	5 , 	4 , 	24 , 	16 ," 	2,433 ",,,Dtwn SF," 	1,740 "," 	5,068 "," 	12,802 "," 	5,467 "," 	5,501 "," 	7,865 "," 	4,505 "," 	42,948 "
