Exit stations,Entry stations->,,WEEKDAY,,,Jul 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	8 , 	148 , 	134 , 	85 , 	391 , 	124 , 	152 , 	142 , 	205 , 	41 , 	110 , 	100 , 	49 , 	44 , 	40 , 	23 , 	17 , 	37 , 	32 , 	19 , 	25 , 	8 , 	10 , 	18 , 	27 , 	281 , 	264 , 	328 , 	259 , 	122 , 	118 , 	30 , 	47 , 	31 , 	13 , 	9 , 	23 , 	8 , 	45 , 	11 , 	10 , 	37 , 	20 ," 	3,643 ",,,Eastbay," 	88,148 ",,SF CBD," 	241,225 ",64.3%,,,
EN, 	188 , 	12 , 	136 , 	101 , 	939 , 	208 , 	299 , 	476 , 	674 , 	121 , 	165 , 	200 , 	72 , 	61 , 	74 , 	36 , 	36 , 	86 , 	54 , 	31 , 	51 , 	12 , 	16 , 	32 , 	54 , 	957 , 	916 , 	900 , 	688 , 	164 , 	169 , 	58 , 	79 , 	95 , 	25 , 	10 , 	55 , 	9 , 	47 , 	29 , 	28 , 	79 , 	47 ," 	8,489 ",,,Westbay," 	110,700 ",,non-CBD," 	125,747 ",33.5%,,,
EP, 	138 , 	119 , 	7 , 	71 , 	671 , 	87 , 	129 , 	225 , 	309 , 	101 , 	71 , 	83 , 	25 , 	17 , 	33 , 	10 , 	8 , 	44 , 	29 , 	19 , 	28 , 	12 , 	12 , 	34 , 	14 , 	542 , 	547 , 	418 , 	314 , 	69 , 	43 , 	31 , 	31 , 	29 , 	4 , 	10 , 	24 , 	4 , 	13 , 	5 , 	5 , 	54 , 	17 ," 	4,455 ",,,Transbay," 	176,119 ",,,,,,,
NB, 	87 , 	90 , 	70 , 	7 , 	179 , 	68 , 	89 , 	196 , 	253 , 	63 , 	84 , 	88 , 	31 , 	27 , 	19 , 	9 , 	13 , 	36 , 	21 , 	17 , 	26 , 	12 , 	12 , 	21 , 	19 , 	668 , 	654 , 	426 , 	380 , 	115 , 	79 , 	27 , 	20 , 	28 , 	4 , 	8 , 	21 , 	3 , 	13 , 	4 , 	6 , 	70 , 	28 ," 	4,092 ",,,,,,,,,,,
BK, 	427 , 	957 , 	656 , 	197 , 	21 , 	383 , 	473 , 	484 , 	611 , 	273 , 	348 , 	290 , 	204 , 	206 , 	147 , 	117 , 	151 , 	368 , 	152 , 	188 , 	197 , 	110 , 	92 , 	59 , 	81 , 	997 , 	910 ," 	1,220 ", 	792 , 	317 , 	284 , 	149 , 	119 , 	143 , 	36 , 	87 , 	235 , 	43 , 	118 , 	39 , 	32 , 	149 , 	170 ," 	13,030 ",,,,,,,,,,,
AS, 	120 , 	183 , 	84 , 	63 , 	329 , 	8 , 	105 , 	199 , 	272 , 	83 , 	129 , 	132 , 	53 , 	53 , 	49 , 	28 , 	34 , 	60 , 	40 , 	28 , 	33 , 	14 , 	16 , 	20 , 	47 , 	545 , 	574 , 	434 , 	412 , 	168 , 	107 , 	29 , 	32 , 	36 , 	10 , 	15 , 	47 , 	9 , 	26 , 	6 , 	5 , 	45 , 	26 ," 	4,705 ",,,,,,,,,,,
MA, 	169 , 	290 , 	124 , 	90 , 	444 , 	106 , 	14 , 	172 , 	260 , 	92 , 	177 , 	209 , 	116 , 	125 , 	117 , 	76 , 	82 , 	151 , 	143 , 	122 , 	143 , 	44 , 	48 , 	53 , 	79 , 	907 , 	883 , 	819 , 	709 , 	249 , 	191 , 	73 , 	74 , 	71 , 	28 , 	30 , 	94 , 	45 , 	170 , 	28 , 	23 , 	82 , 	50 ," 	7,973 ",,,,,,,,,,,
19, 	150 , 	485 , 	227 , 	201 , 	448 , 	204 , 	155 , 	12 , 	81 , 	48 , 	139 , 	186 , 	225 , 	223 , 	190 , 	146 , 	167 , 	376 , 	256 , 	357 , 	258 , 	140 , 	105 , 	132 , 	50 , 	744 , 	672 , 	555 , 	564 , 	196 , 	188 , 	120 , 	98 , 	130 , 	60 , 	80 , 	237 , 	144 , 	234 , 	61 , 	38 , 	39 , 	92 ," 	9,212 ",,,,,,,,,,,
12, 	211 , 	687 , 	298 , 	257 , 	551 , 	274 , 	258 , 	81 , 	18 , 	48 , 	282 , 	397 , 	384 , 	408 , 	292 , 	209 , 	236 , 	440 , 	330 , 	422 , 	348 , 	202 , 	162 , 	211 , 	100 , 	985 , 	920 , 	930 , 	804 , 	257 , 	266 , 	148 , 	160 , 	177 , 	110 , 	127 , 	355 , 	160 , 	304 , 	83 , 	58 , 	85 , 	125 ," 	13,159 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	42 , 	120 , 	97 , 	62 , 	256 , 	81 , 	84 , 	49 , 	54 , 	9 , 	176 , 	238 , 	283 , 	244 , 	178 , 	115 , 	125 , 	211 , 	32 , 	29 , 	37 , 	15 , 	16 , 	40 , 	46 , 	682 , 	646 , 	665 , 	454 , 	144 , 	99 , 	51 , 	60 , 	73 , 	11 , 	113 , 	256 , 	22 , 	52 , 	17 , 	13 , 	32 , 	22 ," 	6,048 ",,,Dtwn SF,"6,404","15,620","35,549","13,731","19,946","23,757","9,625","124,631"
