Exit stations,Entry stations->,,SATURDAY,,,Aug-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	8 , 	78 , 	86 , 	42 , 	220 , 	81 , 	75 , 	38 , 	75 , 	13 , 	76 , 	80 , 	21 , 	31 , 	25 , 	14 , 	13 , 	22 , 	22 , 	8 , 	8 , 	6 , 	7 , 	9 , 	19 , 	127 , 	92 , 	271 , 	110 , 	88 , 	102 , 	18 , 	34 , 	27 , 	6 , 	3 , 	13 , 	2 , 	32 , 	7 , 	11 , 	21 , 	13 ," 	2,054 ",,,Eastbay," 	47,121 ",,SF CBD," 	117,470 ",60.3%,,,
EN, 	108 , 	13 , 	91 , 	55 , 	523 , 	131 , 	138 , 	71 , 	185 , 	30 , 	114 , 	212 , 	35 , 	56 , 	40 , 	21 , 	20 , 	51 , 	27 , 	12 , 	23 , 	11 , 	12 , 	19 , 	36 , 	278 , 	218 , 	719 , 	187 , 	86 , 	117 , 	34 , 	62 , 	56 , 	19 , 	10 , 	24 , 	4 , 	36 , 	13 , 	14 , 	56 , 	23 ," 	3,989 ",,,Westbay," 	61,829 ",,non-CBD," 	71,718 ",36.8%,,,
EP, 	93 , 	87 , 	7 , 	50 , 	464 , 	80 , 	72 , 	49 , 	128 , 	34 , 	47 , 	89 , 	13 , 	17 , 	12 , 	10 , 	11 , 	32 , 	13 , 	10 , 	18 , 	10 , 	5 , 	24 , 	11 , 	183 , 	130 , 	404 , 	126 , 	50 , 	34 , 	18 , 	20 , 	17 , 	4 , 	6 , 	10 , 	1 , 	9 , 	3 , 	4 , 	48 , 	10 ," 	2,464 ",,,Transbay," 	85,847 ",,,,,,,
NB, 	51 , 	56 , 	53 , 	8 , 	172 , 	54 , 	59 , 	48 , 	107 , 	28 , 	65 , 	84 , 	16 , 	20 , 	12 , 	7 , 	5 , 	29 , 	13 , 	9 , 	18 , 	10 , 	5 , 	14 , 	8 , 	222 , 	173 , 	413 , 	235 , 	92 , 	82 , 	17 , 	14 , 	22 , 	2 , 	5 , 	13 , 	1 , 	10 , 	3 , 	5 , 	49 , 	16 ," 	2,326 ",,,,,,,,,,,
BK, 	237 , 	543 , 	450 , 	172 , 	20 , 	287 , 	322 , 	215 , 	329 , 	128 , 	219 , 	250 , 	104 , 	114 , 	84 , 	42 , 	89 , 	333 , 	75 , 	111 , 	194 , 	111 , 	91 , 	55 , 	59 , 	779 , 	500 ," 	1,564 ", 	638 , 	241 , 	205 , 	83 , 	51 , 	149 , 	14 , 	50 , 	193 , 	26 , 	59 , 	22 , 	18 , 	159 , 	153 ," 	9,536 ",,,,,,,,,,,
AS, 	87 , 	120 , 	67 , 	55 , 	226 , 	8 , 	90 , 	83 , 	135 , 	45 , 	98 , 	108 , 	28 , 	42 , 	30 , 	12 , 	17 , 	35 , 	17 , 	8 , 	18 , 	7 , 	10 , 	17 , 	42 , 	168 , 	152 , 	385 , 	224 , 	139 , 	88 , 	21 , 	20 , 	17 , 	4 , 	7 , 	18 , 	2 , 	18 , 	3 , 	2 , 	38 , 	17 ," 	2,728 ",,,,,,,,,,,
MA, 	82 , 	128 , 	72 , 	60 , 	288 , 	93 , 	11 , 	60 , 	137 , 	32 , 	114 , 	167 , 	52 , 	77 , 	52 , 	21 , 	22 , 	54 , 	56 , 	31 , 	45 , 	19 , 	18 , 	40 , 	50 , 	368 , 	275 , 	761 , 	356 , 	194 , 	154 , 	33 , 	29 , 	37 , 	9 , 	9 , 	33 , 	8 , 	82 , 	4 , 	9 , 	63 , 	19 ," 	4,225 ",,,,,,,,,,,
19, 	44 , 	69 , 	48 , 	39 , 	193 , 	86 , 	59 , 	6 , 	24 , 	10 , 	66 , 	75 , 	43 , 	57 , 	35 , 	18 , 	25 , 	41 , 	34 , 	23 , 	37 , 	17 , 	16 , 	53 , 	33 , 	164 , 	130 , 	361 , 	205 , 	103 , 	95 , 	29 , 	22 , 	32 , 	9 , 	8 , 	17 , 	8 , 	40 , 	7 , 	7 , 	26 , 	10 ," 	2,426 ",,,,,,,,,,,
12, 	76 , 	172 , 	128 , 	102 , 	298 , 	127 , 	132 , 	24 , 	10 , 	23 , 	128 , 	197 , 	128 , 	154 , 	98 , 	49 , 	58 , 	120 , 	78 , 	73 , 	88 , 	37 , 	48 , 	102 , 	78 , 	318 , 	242 , 	712 , 	273 , 	109 , 	90 , 	59 , 	64 , 	51 , 	21 , 	20 , 	50 , 	13 , 	80 , 	17 , 	17 , 	56 , 	33 ," 	4,754 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	16 , 	33 , 	35 , 	32 , 	127 , 	42 , 	39 , 	12 , 	26 , 	9 , 	88 , 	137 , 	127 , 	145 , 	54 , 	30 , 	53 , 	77 , 	9 , 	10 , 	16 , 	7 , 	6 , 	18 , 	22 , 	245 , 	208 , 	612 , 	214 , 	98 , 	75 , 	25 , 	39 , 	27 , 	6 , 	67 , 	88 , 	5 , 	10 , 	4 , 	7 , 	21 , 	20 ," 	2,943 ",,,Dtwn SF," 	2,784 "," 	7,430 "," 	18,510 "," 	8,518 "," 	7,574 "," 	10,556 "," 	6,007 "," 	61,379 "
FV, 	75 , 	106 , 	51 , 	65 , 	218 , 	103 , 	121 , 	76 , 	143 , 	67 , 	14 , 	239 , 	161 , 	279 , 	168 , 	79 , 	53 , 	108 , 	39 , 	19 , 	28 , 	20 , 	17 , 	32 , 	92 , 	265 , 	206 , 	667 , 	288 , 	138 , 	161 , 	38 , 	55 , 	44 , 	14 , 	46 , 	107 , 	8 , 	54 , 	13 , 	18 , 	44 , 	24 ," 	4,559 ",,,OAK," 	7,087 ", 	996 ," 	1,705 "," 	2,558 "," 	1,188 "," 	3,174 ", 	366 ," 	17,074 "
CL, 	77 , 	228 , 	92 , 	94 , 	244 , 	113 , 	172 , 	97 , 	194 , 	123 , 	239 , 	8 , 	243 , 	311 , 	189 , 	110 , 	141 , 	309 , 	110 , 	130 , 	114 , 	71 , 	58 , 	73 , 	86 , 	307 , 	190 , 	540 , 	217 , 	93 , 	103 , 	50 , 	52 , 	62 , 	16 , 	173 , 	567 , 	59 , 	152 , 	18 , 	26 , 	47 , 	32 ," 	6,330 ",,,CM line," 	18,032 "," 	1,730 "," 	6,196 "," 	2,060 "," 	1,278 "," 	1,842 "," 	2,081 "," 	33,220 "
SL, 	21 , 	33 , 	16 , 	17 , 	106 , 	31 , 	61 , 	49 , 	145 , 	126 , 	164 , 	237 , 	14 , 	110 , 	95 , 	45 , 	37 , 	62 , 	19 , 	9 , 	14 , 	5 , 	6 , 	12 , 	27 , 	166 , 	131 , 	408 , 	115 , 	40 , 	41 , 	14 , 	25 , 	30 , 	9 , 	30 , 	56 , 	4 , 	26 , 	7 , 	8 , 	30 , 	16 ," 	2,611 ",,,RM line," 	8,299 "," 	2,672 "," 	2,053 "," 	4,879 "," 	1,230 "," 	3,256 ", 	709 ," 	23,097 "
BF, 	28 , 	45 , 	12 , 	18 , 	114 , 	44 , 	74 , 	71 , 	154 , 	122 , 	257 , 	306 , 	117 , 	10 , 	150 , 	99 , 	79 , 	176 , 	19 , 	7 , 	10 , 	5 , 	6 , 	10 , 	37 , 	175 , 	117 , 	396 , 	109 , 	40 , 	42 , 	15 , 	26 , 	24 , 	7 , 	65 , 	180 , 	2 , 	25 , 	8 , 	6 , 	14 , 	8 ," 	3,229 ",,,WP line," 	7,330 "," 	1,234 "," 	1,330 "," 	1,277 "," 	3,715 "," 	1,566 ", 	751 ," 	17,202 "
HY, 	29 , 	39 , 	15 , 	13 , 	87 , 	31 , 	54 , 	47 , 	100 , 	54 , 	171 , 	185 , 	102 , 	166 , 	10 , 	96 , 	86 , 	186 , 	20 , 	8 , 	9 , 	4 , 	4 , 	10 , 	26 , 	104 , 	61 , 	224 , 	68 , 	31 , 	31 , 	14 , 	24 , 	21 , 	8 , 	21 , 	55 , 	3 , 	23 , 	7 , 	7 , 	16 , 	7 ," 	2,274 ",,,FT/ED line," 	10,204 "," 	3,252 "," 	1,973 "," 	3,378 "," 	1,558 "," 	11,190 ", 	718 ," 	32,273 "
