Exit stations,Entry stations->,,SUNDAY,,,Aug-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	6 , 	53 , 	61 , 	31 , 	132 , 	70 , 	61 , 	29 , 	56 , 	20 , 	61 , 	73 , 	15 , 	18 , 	25 , 	10 , 	8 , 	15 , 	13 , 	4 , 	6 , 	3 , 	3 , 	10 , 	16 , 	88 , 	63 , 	196 , 	73 , 	63 , 	71 , 	11 , 	30 , 	16 , 	6 , 	3 , 	10 , 	2 , 	25 , 	7 , 	10 , 	32 , 	13 ," 	1,518 ",,,Eastbay," 	34,752 ",,SF CBD," 	85,122 ",59.0%,,,
EN, 	65 , 	12 , 	67 , 	38 , 	253 , 	99 , 	87 , 	41 , 	123 , 	41 , 	84 , 	178 , 	28 , 	36 , 	29 , 	13 , 	16 , 	49 , 	17 , 	9 , 	15 , 	6 , 	4 , 	14 , 	24 , 	212 , 	126 , 	424 , 	140 , 	58 , 	68 , 	24 , 	56 , 	33 , 	12 , 	7 , 	18 , 	2 , 	35 , 	9 , 	8 , 	71 , 	16 ," 	2,670 ",,,Westbay," 	46,779 ",,non-CBD," 	53,452 ",37.1%,,,
EP, 	68 , 	63 , 	4 , 	38 , 	254 , 	64 , 	46 , 	36 , 	109 , 	24 , 	39 , 	99 , 	13 , 	12 , 	10 , 	7 , 	9 , 	25 , 	9 , 	6 , 	12 , 	10 , 	3 , 	20 , 	7 , 	129 , 	87 , 	266 , 	98 , 	33 , 	26 , 	13 , 	14 , 	10 , 	3 , 	4 , 	10 , 	1 , 	7 , 	1 , 	5 , 	45 , 	13 ," 	1,751 ",,,Transbay," 	62,639 ",,,,,,,
NB, 	41 , 	41 , 	42 , 	7 , 	72 , 	43 , 	42 , 	42 , 	108 , 	28 , 	42 , 	102 , 	11 , 	15 , 	8 , 	6 , 	9 , 	25 , 	5 , 	11 , 	9 , 	5 , 	4 , 	9 , 	5 , 	190 , 	125 , 	295 , 	185 , 	70 , 	55 , 	14 , 	9 , 	17 , 	4 , 	4 , 	13 , 	1 , 	8 , 	2 , 	2 , 	66 , 	15 ," 	1,805 ",,,,,,,,,,,
BK, 	142 , 	225 , 	255 , 	74 , 	20 , 	187 , 	164 , 	131 , 	235 , 	98 , 	125 , 	258 , 	48 , 	46 , 	48 , 	20 , 	40 , 	213 , 	42 , 	40 , 	59 , 	33 , 	25 , 	36 , 	37 , 	416 , 	249 ," 	1,030 ", 	428 , 	157 , 	112 , 	42 , 	42 , 	50 , 	10 , 	19 , 	61 , 	11 , 	22 , 	7 , 	12 , 	200 , 	88 ," 	5,560 ",,,,,,,,,,,
AS, 	71 , 	87 , 	59 , 	44 , 	136 , 	6 , 	84 , 	66 , 	117 , 	44 , 	83 , 	114 , 	22 , 	29 , 	27 , 	8 , 	14 , 	32 , 	16 , 	9 , 	14 , 	8 , 	6 , 	15 , 	32 , 	159 , 	104 , 	275 , 	195 , 	101 , 	91 , 	17 , 	15 , 	12 , 	1 , 	9 , 	19 , 	2 , 	16 , 	3 , 	4 , 	48 , 	15 ," 	2,227 ",,,,,,,,,,,
MA, 	69 , 	84 , 	44 , 	42 , 	148 , 	90 , 	10 , 	43 , 	130 , 	28 , 	75 , 	181 , 	36 , 	48 , 	29 , 	21 , 	14 , 	50 , 	38 , 	16 , 	33 , 	16 , 	14 , 	26 , 	38 , 	266 , 	186 , 	498 , 	281 , 	141 , 	108 , 	32 , 	24 , 	23 , 	6 , 	10 , 	19 , 	8 , 	63 , 	5 , 	5 , 	82 , 	15 ," 	3,094 ",,,,,,,,,,,
19, 	26 , 	42 , 	33 , 	33 , 	127 , 	64 , 	34 , 	4 , 	18 , 	18 , 	44 , 	76 , 	30 , 	32 , 	26 , 	12 , 	12 , 	34 , 	21 , 	17 , 	17 , 	7 , 	7 , 	30 , 	22 , 	107 , 	87 , 	240 , 	147 , 	79 , 	52 , 	13 , 	14 , 	19 , 	4 , 	7 , 	11 , 	3 , 	21 , 	3 , 	3 , 	29 , 	5 ," 	1,629 ",,,,,,,,,,,
12, 	50 , 	137 , 	104 , 	99 , 	199 , 	118 , 	131 , 	18 , 	8 , 	25 , 	123 , 	166 , 	106 , 	106 , 	73 , 	32 , 	44 , 	111 , 	57 , 	54 , 	67 , 	33 , 	32 , 	115 , 	50 , 	261 , 	183 , 	523 , 	250 , 	92 , 	84 , 	43 , 	39 , 	45 , 	17 , 	24 , 	47 , 	14 , 	53 , 	15 , 	13 , 	80 , 	29 ," 	3,871 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	20 , 	37 , 	25 , 	27 , 	84 , 	48 , 	32 , 	13 , 	23 , 	3 , 	113 , 	146 , 	90 , 	111 , 	42 , 	21 , 	38 , 	63 , 	11 , 	6 , 	12 , 	6 , 	5 , 	14 , 	26 , 	188 , 	157 , 	507 , 	247 , 	102 , 	105 , 	27 , 	35 , 	25 , 	5 , 	44 , 	59 , 	5 , 	9 , 	8 , 	7 , 	31 , 	20 ," 	2,598 ",,,Dtwn SF," 	1,964 "," 	5,403 "," 	12,959 "," 	5,541 "," 	5,215 "," 	7,569 "," 	4,741 "," 	43,391 "
FV, 	68 , 	71 , 	49 , 	38 , 	117 , 	90 , 	73 , 	46 , 	128 , 	100 , 	10 , 	199 , 	116 , 	199 , 	142 , 	50 , 	41 , 	83 , 	24 , 	12 , 	18 , 	11 , 	11 , 	31 , 	73 , 	212 , 	121 , 	463 , 	225 , 	107 , 	109 , 	27 , 	46 , 	36 , 	12 , 	32 , 	75 , 	5 , 	44 , 	7 , 	12 , 	47 , 	17 ," 	3,399 ",,,OAK," 	5,224 ", 	816 ," 	1,350 "," 	1,860 ", 	885 ," 	2,572 ", 	399 ," 	13,105 "
CL, 	66 , 	172 , 	85 , 	79 , 	172 , 	103 , 	157 , 	66 , 	165 , 	119 , 	175 , 	9 , 	160 , 	211 , 	155 , 	105 , 	128 , 	394 , 	84 , 	98 , 	96 , 	61 , 	43 , 	57 , 	72 , 	301 , 	176 , 	534 , 	218 , 	90 , 	111 , 	67 , 	40 , 	61 , 	12 , 	115 , 	587 , 	38 , 	132 , 	18 , 	15 , 	61 , 	58 ," 	5,668 ",,,CM line," 	13,291 "," 	1,366 "," 	4,471 "," 	1,354 ", 	966 ," 	1,604 "," 	2,042 "," 	25,093 "
SL, 	15 , 	23 , 	11 , 	9 , 	49 , 	24 , 	38 , 	33 , 	111 , 	86 , 	126 , 	165 , 	8 , 	83 , 	71 , 	35 , 	23 , 	59 , 	12 , 	7 , 	9 , 	3 , 	5 , 	10 , 	22 , 	145 , 	81 , 	288 , 	87 , 	29 , 	39 , 	12 , 	20 , 	22 , 	4 , 	28 , 	40 , 	3 , 	20 , 	4 , 	8 , 	30 , 	9 ," 	1,908 ",,,RM line," 	5,553 "," 	1,955 "," 	1,364 "," 	2,929 ", 	645 ," 	2,392 ", 	694 ," 	15,531 "
BF, 	19 , 	35 , 	11 , 	12 , 	53 , 	30 , 	57 , 	44 , 	103 , 	97 , 	196 , 	232 , 	91 , 	7 , 	121 , 	69 , 	61 , 	170 , 	14 , 	4 , 	6 , 	4 , 	2 , 	9 , 	26 , 	136 , 	83 , 	292 , 	93 , 	28 , 	27 , 	16 , 	23 , 	22 , 	6 , 	42 , 	144 , 	4 , 	24 , 	8 , 	7 , 	23 , 	5 ," 	2,456 ",,,WP line," 	5,272 ", 	978 ," 	1,004 ", 	679 ," 	2,454 "," 	1,341 ", 	755 ," 	12,484 "
HY, 	25 , 	30 , 	8 , 	11 , 	45 , 	25 , 	42 , 	28 , 	80 , 	43 , 	120 , 	164 , 	69 , 	142 , 	6 , 	62 , 	67 , 	142 , 	11 , 	6 , 	7 , 	2 , 	1 , 	4 , 	14 , 	77 , 	40 , 	132 , 	54 , 	16 , 	20 , 	5 , 	9 , 	10 , 	4 , 	15 , 	39 , 	2 , 	19 , 	5 , 	4 , 	14 , 	5 ," 	1,624 ",,,FT/ED line," 	7,693 "," 	2,602 "," 	1,591 "," 	2,249 "," 	1,212 "," 	9,185 ", 	741 ," 	25,272 "
SH, 	10 , 	12 , 	4 , 	6 , 	20 , 	8 , 	19 , 	12 , 	30 , 	20 , 	51 , 	104 , 	32 , 	83 , 	56 , 	6 , 	39 , 	76 , 	6 , 	4 , 	4 , 	4 , 	2 , 	5 , 	6 , 	42 , 	27 , 	105 , 	34 , 	16 , 	22 , 	5 , 	10 , 	13 , 	4 , 	7 , 	24 , 	2 , 	8 , 	2 , 	3 , 	9 , 	2 , 	954 ,,,SFIA," 	4,698 ", 	326 ," 	1,647 ", 	520 , 	578 , 	559 , 	966 ," 	9,294 "
UC, 	9 , 	17 , 	8 , 	5 , 	40 , 	16 , 	15 , 	16 , 	53 , 	41 , 	45 , 	139 , 	25 , 	68 , 	58 , 	40 , 	7 , 	95 , 	8 , 	3 , 	8 , 	2 , 	3 , 	6 , 	9 , 	90 , 	52 , 	192 , 	52 , 	14 , 	13 , 	10 , 	17 , 	14 , 	6 , 	11 , 	29 , 	1 , 	11 , 	2 , 	5 , 	19 , 	5 ," 	1,280 ",,,Entries," 	43,695 "," 	13,445 "," 	24,386 "," 	15,132 "," 	11,954 "," 	25,221 "," 	10,337 "," 	144,170 "
FM, 	15 , 	45 , 	24 , 	29 , 	202 , 	30 , 	50 , 	39 , 	116 , 	72 , 	81 , 	399 , 	58 , 	149 , 	143 , 	84 , 	99 , 	26 , 	23 , 	16 , 	14 , 	4 , 	4 , 	14 , 	11 , 	230 , 	129 , 	461 , 	142 , 	30 , 	28 , 	19 , 	25 , 	32 , 	5 , 	23 , 	62 , 	4 , 	28 , 	10 , 	7 , 	68 , 	8 ," 	3,058 ",,,,,,,,,,,
CN, 	14 , 	17 , 	10 , 	7 , 	39 , 	16 , 	42 , 	20 , 	58 , 	8 , 	24 , 	99 , 	13 , 	13 , 	13 , 	9 , 	8 , 	18 , 	10 , 	46 , 	177 , 	55 , 	26 , 	31 , 	6 , 	151 , 	77 , 	235 , 	96 , 	29 , 	38 , 	16 , 	22 , 	23 , 	8 , 	2 , 	11 , 	19 , 	173 , 	7 , 	8 , 	75 , 	17 ," 	1,785 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	4 , 	5 , 	6 , 	9 , 	43 , 	10 , 	19 , 	18 , 	53 , 	6 , 	13 , 	121 , 	7 , 	7 , 	6 , 	5 , 	5 , 	19 , 	42 , 	12 , 	72 , 	18 , 	11 , 	39 , 	3 , 	225 , 	103 , 	250 , 	108 , 	28 , 	23 , 	13 , 	11 , 	21 , 	4 , 	2 , 	6 , 	4 , 	40 , 	7 , 	4 , 	106 , 	13 ," 	1,519 ",,,Dtwn SF," 	1,964 ",,,,,,,
WC, 	8 , 	14 , 	13 , 	12 , 	66 , 	18 , 	37 , 	20 , 	72 , 	9 , 	17 , 	113 , 	6 , 	8 , 	9 , 	5 , 	5 , 	16 , 	214 , 	74 , 	13 , 	40 , 	29 , 	74 , 	6 , 	324 , 	147 , 	388 , 	155 , 	31 , 	31 , 	15 , 	13 , 	27 , 	5 , 	2 , 	6 , 	18 , 	76 , 	6 , 	6 , 	115 , 	15 ," 	2,274 ",,,OAK," 	10,626 ", 	816 ,,,,,,
LF, 	5 , 	6 , 	9 , 	7 , 	36 , 	8 , 	21 , 	10 , 	32 , 	6 , 	14 , 	72 , 	2 , 	3 , 	1 , 	3 , 	3 , 	7 , 	69 , 	15 , 	38 , 	7 , 	12 , 	52 , 	2 , 	174 , 	77 , 	177 , 	84 , 	23 , 	19 , 	11 , 	4 , 	11 , 	3 , 	0 , 	2 , 	7 , 	15 , 	2 , 	2 , 	45 , 	8 ," 	1,108 ",,,CM line," 	26,250 "," 	2,716 "," 	4,471 ",,,,,
OR, 	6 , 	5 , 	5 , 	5 , 	26 , 	6 , 	14 , 	8 , 	37 , 	4 , 	9 , 	49 , 	6 , 	2 , 	3 , 	1 , 	2 , 	5 , 	22 , 	13 , 	29 , 	10 , 	2 , 	40 , 	2 , 	135 , 	72 , 	147 , 	78 , 	14 , 	14 , 	10 , 	5 , 	12 , 	1 , 	2 , 	2 , 	2 , 	8 , 	1 , 	1 , 	47 , 	7 , 	869 ,,,RM line," 	11,094 "," 	3,814 "," 	2,718 "," 	2,929 ",,,,
RR, 	11 , 	12 , 	20 , 	13 , 	41 , 	13 , 	32 , 	32 , 	135 , 	17 , 	29 , 	84 , 	8 , 	7 , 	5 , 	4 , 	6 , 	18 , 	36 , 	36 , 	73 , 	52 , 	40 , 	8 , 	10 , 	306 , 	197 , 	473 , 	261 , 	128 , 	80 , 	29 , 	13 , 	20 , 	2 , 	2 , 	11 , 	8 , 	23 , 	4 , 	3 , 	106 , 	17 ," 	2,427 ",,,WP line," 	10,487 "," 	1,863 "," 	1,970 "," 	1,324 "," 	2,454 ",,,
OW, 	15 , 	20 , 	5 , 	5 , 	36 , 	29 , 	36 , 	18 , 	56 , 	26 , 	69 , 	80 , 	18 , 	24 , 	17 , 	6 , 	6 , 	9 , 	8 , 	2 , 	7 , 	2 , 	3 , 	10 , 	5 , 	279 , 	161 , 	482 , 	175 , 	94 , 	66 , 	15 , 	21 , 	15 , 	5 , 	4 , 	12 , 	2 , 	19 , 	3 , 	4 , 	35 , 	9 ," 	1,914 ",,,FT/ED line," 	15,261 "," 	5,174 "," 	3,195 "," 	4,640 "," 	2,553 "," 	9,185 ",,
EM, 	100 , 	233 , 	158 , 	239 , 	552 , 	205 , 	301 , 	164 , 	301 , 	202 , 	231 , 	349 , 	162 , 	144 , 	82 , 	54 , 	114 , 	253 , 	168 , 	254 , 	360 , 	182 , 	165 , 	327 , 	322 , 	59 , 	40 , 	293 , 	147 , 	354 , 	425 , 	252 , 	348 , 	178 , 	77 , 	130 , 	793 , 	81 , 	184 , 	58 , 	68 , 	430 , 	197 ," 	9,736 ",,,SFIA," 	9,439 ", 	725 ," 	3,689 "," 	1,214 "," 	1,333 "," 	1,301 ", 	966 ," 	144,170 "
