Exit stations,Entry stations->,,WEEKDAY,,,Aug-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,,
RM, 	8 , 	141 , 	125 , 	92 , 	378 , 	112 , 	146 , 	140 , 	197 , 	40 , 	106 , 	103 , 	45 , 	41 , 	40 , 	26 , 	17 , 	35 , 	30 , 	17 , 	23 , 	8 , 	10 , 	17 , 	24 , 	281 , 	252 , 	321 , 	243 , 	119 , 	130 , 	29 , 	48 , 	36 , 	14 , 	7 , 	24 , 	9 , 	41 , 	12 , 	12 , 	34 , 	20 ," 	3,555 ",,,Eastbay," 	85,415 ",,SF CBD," 	237,522 ",64.2%,,,,
EN, 	183 , 	12 , 	122 , 	92 , 	888 , 	196 , 	297 , 	455 , 	638 , 	105 , 	155 , 	219 , 	59 , 	52 , 	73 , 	38 , 	37 , 	90 , 	54 , 	27 , 	45 , 	12 , 	17 , 	33 , 	56 , 	943 , 	885 , 	861 , 	674 , 	158 , 	158 , 	54 , 	89 , 	110 , 	21 , 	13 , 	48 , 	10 , 	50 , 	28 , 	27 , 	75 , 	46 ," 	8,206 ",,,Westbay," 	111,667 ",,non-CBD," 	124,249 ",33.6%,,,,
EP, 	139 , 	107 , 	7 , 	65 , 	653 , 	85 , 	128 , 	219 , 	299 , 	72 , 	63 , 	89 , 	25 , 	19 , 	29 , 	9 , 	11 , 	43 , 	29 , 	20 , 	27 , 	12 , 	12 , 	33 , 	13 , 	519 , 	538 , 	407 , 	305 , 	70 , 	42 , 	29 , 	36 , 	39 , 	4 , 	11 , 	19 , 	3 , 	13 , 	4 , 	6 , 	59 , 	19 ," 	4,333 ",,,Transbay," 	172,802 ",,,,,,,,
NB, 	91 , 	89 , 	69 , 	8 , 	191 , 	62 , 	93 , 	187 , 	244 , 	56 , 	80 , 	96 , 	28 , 	26 , 	18 , 	11 , 	14 , 	34 , 	19 , 	17 , 	26 , 	11 , 	10 , 	19 , 	16 , 	635 , 	625 , 	436 , 	375 , 	118 , 	83 , 	28 , 	29 , 	37 , 	3 , 	7 , 	16 , 	1 , 	12 , 	4 , 	5 , 	75 , 	27 ," 	4,031 ",,,,,,,,,,,,
BK, 	416 , 	920 , 	654 , 	208 , 	23 , 	377 , 	467 , 	461 , 	577 , 	241 , 	312 , 	301 , 	169 , 	163 , 	151 , 	97 , 	139 , 	348 , 	140 , 	179 , 	175 , 	96 , 	77 , 	59 , 	80 , 	895 , 	814 ," 	1,199 ", 	780 , 	317 , 	287 , 	129 , 	120 , 	149 , 	34 , 	71 , 	171 , 	41 , 	91 , 	33 , 	29 , 	178 , 	154 ," 	12,324 ",,,,,,,,,,,,
AS, 	115 , 	175 , 	80 , 	61 , 	322 , 	8 , 	104 , 	195 , 	258 , 	81 , 	133 , 	131 , 	52 , 	52 , 	46 , 	27 , 	37 , 	61 , 	34 , 	28 , 	34 , 	12 , 	12 , 	19 , 	41 , 	503 , 	537 , 	419 , 	399 , 	162 , 	108 , 	27 , 	40 , 	42 , 	9 , 	15 , 	46 , 	7 , 	26 , 	8 , 	6 , 	50 , 	25 ," 	4,544 ",,,,,,,,,,,,
MA, 	169 , 	287 , 	123 , 	90 , 	434 , 	112 , 	16 , 	172 , 	271 , 	87 , 	168 , 	217 , 	115 , 	118 , 	123 , 	71 , 	82 , 	163 , 	141 , 	119 , 	147 , 	45 , 	45 , 	57 , 	77 , 	888 , 	894 , 	823 , 	714 , 	265 , 	193 , 	75 , 	93 , 	86 , 	26 , 	32 , 	88 , 	43 , 	168 , 	27 , 	22 , 	88 , 	48 ," 	8,018 ",,,,,,,,,,,,
19, 	148 , 	473 , 	214 , 	196 , 	411 , 	202 , 	156 , 	11 , 	80 , 	48 , 	136 , 	179 , 	215 , 	202 , 	199 , 	154 , 	174 , 	380 , 	244 , 	357 , 	257 , 	137 , 	106 , 	133 , 	52 , 	701 , 	661 , 	562 , 	569 , 	188 , 	180 , 	120 , 	104 , 	130 , 	63 , 	81 , 	227 , 	143 , 	227 , 	62 , 	37 , 	44 , 	85 ," 	9,046 ",,,,,,,,,,,,
12, 	205 , 	647 , 	288 , 	246 , 	508 , 	258 , 	274 , 	82 , 	22 , 	53 , 	263 , 	375 , 	371 , 	393 , 	290 , 	210 , 	242 , 	461 , 	313 , 	411 , 	339 , 	197 , 	151 , 	201 , 	95 , 	986 , 	895 , 	939 , 	776 , 	251 , 	262 , 	137 , 	157 , 	182 , 	107 , 	130 , 	344 , 	155 , 	303 , 	84 , 	61 , 	86 , 	116 ," 	12,863 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits,
LM, 	38 , 	97 , 	70 , 	62 , 	222 , 	78 , 	81 , 	48 , 	50 , 	8 , 	157 , 	232 , 	266 , 	228 , 	169 , 	108 , 	124 , 	177 , 	31 , 	28 , 	31 , 	17 , 	14 , 	35 , 	48 , 	641 , 	630 , 	637 , 	444 , 	140 , 	97 , 	53 , 	68 , 	81 , 	12 , 	109 , 	240 , 	23 , 	42 , 	16 , 	13 , 	35 , 	20 ," 	5,718 ",,,Dtwn SF," 	6,222 "," 	15,322 "," 	35,395 "," 	13,174 "," 	19,381 "," 	23,225 "," 	9,754 "," 	122,473 ",
