Exit stations,Entry stations->,,SATURDAY,,,Sep 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	84 , 	87 , 	43 , 	235 , 	78 , 	78 , 	42 , 	80 , 	22 , 	85 , 	67 , 	29 , 	21 , 	24 , 	13 , 	11 , 	21 , 	24 , 	8 , 	9 , 	5 , 	6 , 	10 , 	22 , 	106 , 	91 , 	262 , 	112 , 	94 , 	106 , 	19 , 	42 , 	28 , 	9 , 	7 , 	17 , 	3 , 	34 , 	6 , 	9 , 	28 , 	9 ," 	2,087 ",,,Eastbay," 	45,416 ",,SF CBD," 	117,771 ",60.7%,,,
EN, 	97 , 	10 , 	97 , 	63 , 	608 , 	129 , 	130 , 	70 , 	160 , 	46 , 	113 , 	167 , 	38 , 	50 , 	46 , 	17 , 	25 , 	52 , 	26 , 	17 , 	20 , 	8 , 	9 , 	25 , 	32 , 	294 , 	225 , 	703 , 	211 , 	89 , 	109 , 	43 , 	61 , 	47 , 	24 , 	7 , 	16 , 	5 , 	39 , 	16 , 	16 , 	53 , 	20 ," 	4,029 ",,,Westbay," 	61,869 ",,non-CBD," 	70,928 ",36.6%,,,
EP, 	96 , 	81 , 	5 , 	44 , 	528 , 	84 , 	84 , 	41 , 	104 , 	42 , 	43 , 	64 , 	13 , 	15 , 	11 , 	10 , 	13 , 	28 , 	16 , 	15 , 	23 , 	8 , 	5 , 	24 , 	13 , 	164 , 	136 , 	400 , 	152 , 	49 , 	49 , 	13 , 	17 , 	23 , 	4 , 	6 , 	13 , 	3 , 	14 , 	4 , 	5 , 	30 , 	14 ," 	2,501 ",,,Transbay," 	86,588 ",,,,,,,
NB, 	56 , 	64 , 	50 , 	9 , 	165 , 	59 , 	61 , 	50 , 	84 , 	47 , 	69 , 	55 , 	23 , 	19 , 	10 , 	5 , 	12 , 	24 , 	10 , 	10 , 	16 , 	10 , 	10 , 	12 , 	10 , 	225 , 	183 , 	423 , 	257 , 	109 , 	82 , 	21 , 	20 , 	20 , 	2 , 	5 , 	12 , 	2 , 	13 , 	4 , 	4 , 	40 , 	14 ," 	2,369 ",,,,,,,,,,,
BK, 	251 , 	606 , 	521 , 	190 , 	25 , 	289 , 	319 , 	246 , 	294 , 	177 , 	265 , 	199 , 	127 , 	134 , 	126 , 	56 , 	104 , 	349 , 	93 , 	107 , 	175 , 	105 , 	70 , 	59 , 	70 , 	717 , 	501 ," 	1,606 ", 	745 , 	253 , 	212 , 	99 , 	76 , 	176 , 	24 , 	46 , 	184 , 	26 , 	60 , 	35 , 	24 , 	83 , 	132 ," 	9,952 ",,,,,,,,,,,
AS, 	84 , 	132 , 	66 , 	54 , 	228 , 	7 , 	95 , 	82 , 	122 , 	68 , 	97 , 	99 , 	31 , 	40 , 	27 , 	13 , 	18 , 	33 , 	18 , 	8 , 	17 , 	9 , 	9 , 	19 , 	43 , 	173 , 	156 , 	361 , 	238 , 	153 , 	103 , 	23 , 	20 , 	22 , 	3 , 	8 , 	16 , 	3 , 	24 , 	4 , 	4 , 	28 , 	18 ," 	2,767 ",,,,,,,,,,,
MA, 	90 , 	130 , 	73 , 	66 , 	294 , 	87 , 	15 , 	60 , 	96 , 	48 , 	125 , 	161 , 	57 , 	75 , 	59 , 	25 , 	25 , 	53 , 	55 , 	31 , 	50 , 	25 , 	16 , 	41 , 	55 , 	356 , 	286 , 	742 , 	390 , 	196 , 	164 , 	40 , 	39 , 	47 , 	10 , 	12 , 	27 , 	8 , 	83 , 	8 , 	8 , 	49 , 	20 ," 	4,294 ",,,,,,,,,,,
19, 	42 , 	72 , 	42 , 	48 , 	205 , 	89 , 	57 , 	9 , 	23 , 	17 , 	55 , 	68 , 	49 , 	53 , 	42 , 	17 , 	27 , 	46 , 	38 , 	26 , 	36 , 	21 , 	20 , 	53 , 	37 , 	151 , 	140 , 	368 , 	222 , 	117 , 	87 , 	27 , 	26 , 	31 , 	6 , 	6 , 	21 , 	4 , 	34 , 	5 , 	6 , 	25 , 	13 ," 	2,481 ",,,,,,,,,,,
12, 	68 , 	146 , 	107 , 	81 , 	252 , 	114 , 	94 , 	24 , 	10 , 	27 , 	102 , 	155 , 	109 , 	120 , 	83 , 	38 , 	53 , 	104 , 	69 , 	55 , 	71 , 	29 , 	38 , 	54 , 	60 , 	277 , 	254 , 	697 , 	293 , 	116 , 	91 , 	43 , 	54 , 	53 , 	19 , 	15 , 	37 , 	18 , 	72 , 	15 , 	12 , 	64 , 	24 ," 	4,209 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	28 , 	42 , 	42 , 	53 , 	168 , 	68 , 	60 , 	15 , 	25 , 	7 , 	81 , 	145 , 	124 , 	143 , 	51 , 	33 , 	49 , 	85 , 	11 , 	7 , 	13 , 	10 , 	7 , 	29 , 	30 , 	263 , 	234 , 	648 , 	265 , 	123 , 	118 , 	35 , 	43 , 	36 , 	10 , 	64 , 	79 , 	4 , 	17 , 	6 , 	10 , 	16 , 	24 ," 	3,317 ",,,Dtwn SF," 	2,487 "," 	7,662 "," 	18,985 "," 	8,656 "," 	7,650 "," 	10,248 "," 	5,430 "," 	61,118 "
