Exit stations,Entry stations->,,SUNDAY,,,Sep 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	8 , 	50 , 	63 , 	36 , 	125 , 	70 , 	67 , 	26 , 	43 , 	22 , 	75 , 	85 , 	18 , 	16 , 	21 , 	9 , 	11 , 	17 , 	16 , 	4 , 	8 , 	6 , 	3 , 	11 , 	18 , 	80 , 	55 , 	168 , 	76 , 	50 , 	61 , 	18 , 	32 , 	24 , 	5 , 	4 , 	10 , 	3 , 	29 , 	8 , 	7 , 	24 , 	11 ," 	1,486 ",,,Eastbay," 	37,730 ",,SF CBD," 	83,529 ",57.3%,,,
EN, 	63 , 	13 , 	67 , 	49 , 	249 , 	97 , 	87 , 	46 , 	87 , 	37 , 	78 , 	324 , 	27 , 	30 , 	26 , 	16 , 	18 , 	41 , 	18 , 	8 , 	14 , 	7 , 	6 , 	19 , 	25 , 	204 , 	140 , 	416 , 	151 , 	59 , 	73 , 	33 , 	61 , 	37 , 	15 , 	7 , 	17 , 	3 , 	30 , 	9 , 	8 , 	58 , 	17 ," 	2,785 ",,,Westbay," 	45,582 ",,non-CBD," 	56,957 ",39.1%,,,
EP, 	73 , 	55 , 	5 , 	40 , 	271 , 	55 , 	50 , 	36 , 	52 , 	24 , 	37 , 	127 , 	13 , 	15 , 	9 , 	7 , 	10 , 	26 , 	12 , 	6 , 	12 , 	9 , 	5 , 	31 , 	6 , 	109 , 	101 , 	223 , 	134 , 	43 , 	28 , 	13 , 	20 , 	14 , 	4 , 	5 , 	12 , 	1 , 	8 , 	2 , 	5 , 	44 , 	11 ," 	1,757 ",,,Transbay," 	62,390 ",,,,,,,
NB, 	45 , 	51 , 	46 , 	6 , 	89 , 	44 , 	53 , 	51 , 	61 , 	36 , 	46 , 	114 , 	18 , 	15 , 	10 , 	5 , 	12 , 	27 , 	7 , 	15 , 	12 , 	8 , 	8 , 	18 , 	9 , 	160 , 	138 , 	302 , 	190 , 	66 , 	61 , 	15 , 	14 , 	19 , 	5 , 	8 , 	13 , 	1 , 	11 , 	2 , 	3 , 	58 , 	12 ," 	1,878 ",,,,,,,,,,,
BK, 	155 , 	238 , 	281 , 	85 , 	20 , 	158 , 	160 , 	148 , 	194 , 	105 , 	124 , 	290 , 	60 , 	54 , 	59 , 	31 , 	68 , 	306 , 	43 , 	48 , 	75 , 	44 , 	24 , 	49 , 	37 , 	391 , 	281 , 	858 , 	449 , 	164 , 	138 , 	55 , 	58 , 	80 , 	16 , 	22 , 	85 , 	11 , 	20 , 	14 , 	16 , 	137 , 	101 ," 	5,746 ",,,,,,,,,,,
AS, 	71 , 	79 , 	54 , 	38 , 	131 , 	7 , 	82 , 	74 , 	84 , 	43 , 	86 , 	120 , 	19 , 	28 , 	14 , 	6 , 	14 , 	36 , 	14 , 	9 , 	17 , 	8 , 	6 , 	18 , 	36 , 	144 , 	113 , 	246 , 	196 , 	112 , 	77 , 	20 , 	18 , 	15 , 	4 , 	7 , 	18 , 	2 , 	19 , 	2 , 	3 , 	38 , 	16 ," 	2,138 ",,,,,,,,,,,
MA, 	56 , 	95 , 	51 , 	50 , 	151 , 	88 , 	12 , 	36 , 	69 , 	28 , 	87 , 	196 , 	39 , 	48 , 	45 , 	21 , 	14 , 	41 , 	39 , 	20 , 	35 , 	14 , 	12 , 	40 , 	33 , 	244 , 	189 , 	467 , 	334 , 	162 , 	105 , 	29 , 	30 , 	29 , 	3 , 	12 , 	20 , 	8 , 	72 , 	6 , 	5 , 	79 , 	15 ," 	3,124 ",,,,,,,,,,,
19, 	26 , 	36 , 	29 , 	38 , 	137 , 	63 , 	31 , 	6 , 	15 , 	14 , 	45 , 	93 , 	29 , 	38 , 	22 , 	15 , 	18 , 	28 , 	20 , 	14 , 	25 , 	9 , 	5 , 	46 , 	16 , 	116 , 	90 , 	236 , 	192 , 	84 , 	66 , 	18 , 	15 , 	16 , 	6 , 	9 , 	16 , 	5 , 	23 , 	3 , 	2 , 	34 , 	10 ," 	1,754 ",,,,,,,,,,,
12, 	48 , 	74 , 	46 , 	54 , 	166 , 	78 , 	62 , 	15 , 	6 , 	13 , 	71 , 	156 , 	64 , 	83 , 	46 , 	24 , 	25 , 	53 , 	37 , 	28 , 	43 , 	20 , 	20 , 	43 , 	43 , 	207 , 	175 , 	480 , 	211 , 	67 , 	63 , 	31 , 	29 , 	33 , 	13 , 	10 , 	18 , 	9 , 	51 , 	7 , 	7 , 	83 , 	13 ," 	2,820 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	22 , 	34 , 	26 , 	33 , 	109 , 	53 , 	38 , 	16 , 	17 , 	8 , 	124 , 	180 , 	79 , 	96 , 	40 , 	22 , 	38 , 	58 , 	13 , 	11 , 	12 , 	5 , 	8 , 	15 , 	33 , 	176 , 	190 , 	489 , 	259 , 	115 , 	111 , 	27 , 	34 , 	24 , 	6 , 	43 , 	50 , 	6 , 	13 , 	12 , 	6 , 	27 , 	17 ," 	2,691 ",,,Dtwn SF," 	1,786 "," 	5,376 "," 	12,986 "," 	5,175 "," 	5,089 "," 	7,591 "," 	4,377 "," 	42,379 "
FV, 	84 , 	76 , 	41 , 	44 , 	137 , 	83 , 	88 , 	47 , 	73 , 	123 , 	10 , 	313 , 	158 , 	206 , 	147 , 	64 , 	48 , 	82 , 	25 , 	12 , 	12 , 	15 , 	12 , 	37 , 	93 , 	205 , 	136 , 	485 , 	255 , 	118 , 	121 , 	35 , 	45 , 	41 , 	12 , 	38 , 	73 , 	10 , 	45 , 	7 , 	14 , 	50 , 	23 ," 	3,737 ",,,OAK," 	5,240 ", 	635 ," 	1,326 "," 	1,675 ", 	772 ," 	2,390 ", 	376 ," 	12,413 "
CL, 	86 , 	320 , 	111 , 	103 , 	162 , 	104 , 	178 , 	93 , 	178 , 	167 , 	293 , 	7 , 	353 , 	355 , 	215 , 	138 , 	180 , 	558 , 	115 , 	137 , 	124 , 	101 , 	65 , 	82 , 	92 , 	353 , 	175 , 	633 , 	261 , 	89 , 	102 , 	64 , 	59 , 	79 , 	13 , 	177 ," 	1,006 ", 	70 , 	172 , 	20 , 	19 , 	66 , 	54 ," 	7,722 ",,,CM line," 	13,336 "," 	1,300 "," 	4,607 "," 	1,429 "," 	1,102 "," 	1,727 "," 	1,926 "," 	25,425 "
SL, 	16 , 	22 , 	15 , 	19 , 	62 , 	23 , 	42 , 	33 , 	74 , 	80 , 	153 , 	349 , 	8 , 	74 , 	71 , 	29 , 	24 , 	50 , 	13 , 	7 , 	10 , 	6 , 	6 , 	11 , 	26 , 	143 , 	92 , 	291 , 	96 , 	29 , 	33 , 	14 , 	20 , 	18 , 	8 , 	31 , 	43 , 	5 , 	29 , 	5 , 	12 , 	27 , 	6 ," 	2,122 ",,,RM line," 	5,324 "," 	1,794 "," 	1,521 "," 	2,982 ", 	751 ," 	2,817 ", 	602 ," 	15,790 "
BF, 	20 , 	34 , 	13 , 	15 , 	59 , 	24 , 	54 , 	39 , 	68 , 	97 , 	203 , 	368 , 	80 , 	8 , 	119 , 	66 , 	54 , 	108 , 	16 , 	7 , 	9 , 	3 , 	3 , 	10 , 	23 , 	134 , 	100 , 	272 , 	102 , 	27 , 	26 , 	14 , 	20 , 	19 , 	10 , 	46 , 	134 , 	4 , 	33 , 	7 , 	8 , 	19 , 	7 ," 	2,476 ",,,WP line," 	5,308 ", 	861 ," 	1,113 ", 	765 ," 	2,698 "," 	1,593 ", 	758 ," 	13,095 "
HY, 	19 , 	35 , 	10 , 	8 , 	52 , 	18 , 	41 , 	26 , 	40 , 	37 , 	140 , 	217 , 	81 , 	124 , 	8 , 	67 , 	72 , 	126 , 	9 , 	6 , 	8 , 	3 , 	3 , 	7 , 	12 , 	72 , 	43 , 	132 , 	59 , 	16 , 	20 , 	8 , 	15 , 	17 , 	4 , 	15 , 	41 , 	5 , 	24 , 	3 , 	4 , 	13 , 	5 ," 	1,660 ",,,FT/ED line," 	7,794 "," 	2,459 "," 	1,709 "," 	2,508 "," 	1,553 "," 	11,479 ", 	699 ," 	28,201 "
SH, 	11 , 	14 , 	6 , 	4 , 	20 , 	10 , 	17 , 	15 , 	24 , 	24 , 	66 , 	144 , 	32 , 	75 , 	55 , 	5 , 	39 , 	75 , 	7 , 	4 , 	7 , 	3 , 	2 , 	6 , 	5 , 	54 , 	38 , 	100 , 	37 , 	16 , 	17 , 	5 , 	13 , 	14 , 	9 , 	10 , 	22 , 	1 , 	11 , 	2 , 	3 , 	12 , 	3 ," 	1,034 ",,,SFIA," 	4,148 ", 	287 ," 	1,560 ", 	459 , 	557 , 	534 , 	857 ," 	8,400 "
UC, 	10 , 	20 , 	12 , 	7 , 	46 , 	18 , 	16 , 	20 , 	30 , 	41 , 	58 , 	178 , 	31 , 	64 , 	66 , 	36 , 	7 , 	85 , 	14 , 	5 , 	12 , 	4 , 	3 , 	7 , 	10 , 	81 , 	59 , 	186 , 	51 , 	18 , 	16 , 	8 , 	16 , 	15 , 	10 , 	9 , 	26 , 	2 , 	10 , 	4 , 	4 , 	16 , 	5 ," 	1,330 ",,,Entries," 	42,936 "," 	12,710 "," 	24,821 "," 	14,992 "," 	12,520 "," 	28,130 "," 	9,593 "," 	145,702 "
FM, 	20 , 	40 , 	26 , 	25 , 	185 , 	29 , 	41 , 	32 , 	67 , 	66 , 	79 , 	552 , 	49 , 	110 , 	126 , 	83 , 	85 , 	14 , 	27 , 	13 , 	13 , 	6 , 	7 , 	15 , 	12 , 	193 , 	132 , 	412 , 	130 , 	29 , 	20 , 	15 , 	23 , 	29 , 	6 , 	19 , 	56 , 	7 , 	34 , 	8 , 	6 , 	53 , 	8 ," 	2,897 ",,,,,,,,,,,
CN, 	18 , 	23 , 	9 , 	7 , 	43 , 	13 , 	37 , 	22 , 	43 , 	7 , 	27 , 	127 , 	10 , 	14 , 	13 , 	8 , 	8 , 	21 , 	9 , 	50 , 	169 , 	65 , 	23 , 	48 , 	5 , 	137 , 	82 , 	190 , 	95 , 	28 , 	33 , 	19 , 	32 , 	21 , 	10 , 	3 , 	11 , 	18 , 	169 , 	8 , 	9 , 	61 , 	15 ," 	1,753 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	4 , 	10 , 	7 , 	8 , 	55 , 	10 , 	25 , 	16 , 	30 , 	8 , 	11 , 	152 , 	4 , 	4 , 	4 , 	5 , 	7 , 	15 , 	50 , 	8 , 	73 , 	35 , 	11 , 	50 , 	3 , 	194 , 	112 , 	265 , 	120 , 	18 , 	23 , 	14 , 	26 , 	26 , 	6 , 	2 , 	3 , 	4 , 	40 , 	5 , 	3 , 	106 , 	13 ," 	1,578 ",,,Dtwn SF," 	1,786 ",,,,,,,
WC, 	6 , 	16 , 	15 , 	13 , 	77 , 	18 , 	41 , 	26 , 	46 , 	9 , 	16 , 	133 , 	10 , 	7 , 	6 , 	4 , 	7 , 	14 , 	202 , 	70 , 	8 , 	58 , 	30 , 	79 , 	7 , 	292 , 	157 , 	362 , 	165 , 	33 , 	25 , 	21 , 	31 , 	23 , 	8 , 	1 , 	7 , 	21 , 	80 , 	9 , 	7 , 	110 , 	14 ," 	2,281 ",,,OAK," 	10,616 ", 	635 ,,,,,,
LF, 	4 , 	5 , 	9 , 	6 , 	48 , 	11 , 	20 , 	12 , 	18 , 	6 , 	14 , 	101 , 	4 , 	3 , 	3 , 	3 , 	4 , 	7 , 	78 , 	43 , 	70 , 	7 , 	19 , 	54 , 	1 , 	168 , 	96 , 	171 , 	94 , 	20 , 	21 , 	12 , 	10 , 	15 , 	2 , 	1 , 	6 , 	7 , 	20 , 	1 , 	3 , 	55 , 	8 ," 	1,257 ",,,CM line," 	26,322 "," 	2,625 "," 	4,607 ",,,,,
OR, 	2 , 	5 , 	6 , 	6 , 	29 , 	6 , 	14 , 	11 , 	22 , 	6 , 	10 , 	66 , 	7 , 	3 , 	5 , 	1 , 	4 , 	8 , 	22 , 	16 , 	26 , 	17 , 	3 , 	55 , 	2 , 	149 , 	87 , 	182 , 	85 , 	15 , 	18 , 	9 , 	12 , 	11 , 	2 , 	-   , 	2 , 	3 , 	13 , 	1 , 	2 , 	49 , 	5 , 	992 ,,,RM line," 	10,498 "," 	3,469 "," 	2,950 "," 	2,982 ",,,,
RR, 	11 , 	14 , 	35 , 	21 , 	51 , 	19 , 	50 , 	55 , 	56 , 	20 , 	30 , 	104 , 	10 , 	13 , 	9 , 	3 , 	8 , 	19 , 	49 , 	48 , 	82 , 	61 , 	47 , 	9 , 	14 , 	280 , 	215 , 	450 , 	292 , 	109 , 	77 , 	31 , 	19 , 	20 , 	6 , 	5 , 	13 , 	6 , 	28 , 	5 , 	4 , 	92 , 	17 ," 	2,502 ",,,WP line," 	10,397 "," 	1,633 "," 	2,215 "," 	1,516 "," 	2,698 ",,,
OW, 	14 , 	15 , 	5 , 	8 , 	35 , 	39 , 	32 , 	22 , 	39 , 	27 , 	89 , 	89 , 	18 , 	22 , 	18 , 	5 , 	8 , 	10 , 	6 , 	4 , 	5 , 	3 , 	2 , 	14 , 	6 , 	248 , 	193 , 	496 , 	250 , 	97 , 	55 , 	15 , 	25 , 	16 , 	8 , 	6 , 	10 , 	1 , 	23 , 	3 , 	7 , 	36 , 	9 ," 	2,026 ",,,FT/ED line," 	15,385 "," 	4,849 "," 	3,436 "," 	5,324 "," 	3,146 "," 	11,479 ",,
EM, 	94 , 	229 , 	140 , 	210 , 	433 , 	169 , 	288 , 	155 , 	249 , 	204 , 	236 , 	405 , 	152 , 	160 , 	85 , 	68 , 	107 , 	229 , 	154 , 	216 , 	315 , 	188 , 	172 , 	295 , 	310 , 	50 , 	31 , 	223 , 	121 , 	317 , 	396 , 	244 , 	348 , 	191 , 	71 , 	138 , 	686 , 	82 , 	186 , 	49 , 	48 , 	406 , 	157 ," 	9,001 ",,,SFIA," 	8,524 ", 	662 ," 	3,486 "," 	1,061 "," 	1,315 "," 	1,232 ", 	857 ," 	145,702 "
MT, 	64 , 	149 , 	107 , 	156 , 	285 , 	125 , 	229 , 	121 , 	248 , 	210 , 	171 , 	197 , 	117 , 	109 , 	44 , 	46 , 	76 , 	164 , 	92 , 	117 , 	173 , 	86 , 	92 , 	200 , 	212 , 	34 , 	31 , 	64 , 	97 , 	348 , 	424 , 	365 ," 	1,126 ", 	195 , 	87 , 	65 , 	251 , 	49 , 	116 , 	53 , 	41 , 	333 , 	111 ," 	7,377 ",,,,,,,,,,,
PL, 	141 , 	329 , 	193 , 	255 , 	785 , 	242 , 	422 , 	238 , 	414 , 	419 , 	410 , 	529 , 	242 , 	232 , 	127 , 	90 , 	154 , 	342 , 	153 , 	238 , 	313 , 	159 , 	142 , 	370 , 	500 , 	232 , 	52 , 	134 , 	220 ," 	1,142 "," 	1,460 ", 	816 ," 	1,608 ", 	707 , 	271 , 	153 , 	618 , 	84 , 	242 , 	204 , 	193 ," 	1,339 ", 	415 ," 	17,323 ",,,,,,,,,,,
CC, 	72 , 	135 , 	128 , 	175 , 	379 , 	184 , 	315 , 	181 , 	192 , 	231 , 	214 , 	226 , 	91 , 	103 , 	49 , 	47 , 	52 , 	132 , 	81 , 	109 , 	142 , 	84 , 	75 , 	245 , 	240 , 	107 , 	74 , 	220 , 	97 , 	642 , 	747 , 	366 , 	686 , 	292 , 	141 , 	71 , 	207 , 	36 , 	86 , 	79 , 	109 , 	616 , 	225 ," 	8,678 ",,,,,,,,,,,
16, 	48 , 	51 , 	33 , 	66 , 	146 , 	92 , 	131 , 	87 , 	76 , 	77 , 	114 , 	112 , 	26 , 	24 , 	20 , 	17 , 	19 , 	36 , 	27 , 	21 , 	29 , 	21 , 	15 , 	95 , 	94 , 	314 , 	258 ," 	1,286 ", 	714 , 	47 , 	223 , 	182 , 	444 , 	151 , 	70 , 	16 , 	40 , 	5 , 	35 , 	35 , 	59 , 	221 , 	88 ," 	5,660 ",,,,,,,,,,,
24, 	68 , 	74 , 	29 , 	58 , 	135 , 	75 , 	122 , 	68 , 	66 , 	89 , 	120 , 	107 , 	27 , 	28 , 	18 , 	14 , 	13 , 	20 , 	38 , 	19 , 	24 , 	19 , 	11 , 	76 , 	65 , 	407 , 	292 ," 	1,664 ", 	791 , 	211 , 	65 , 	172 , 	415 , 	156 , 	91 , 	17 , 	38 , 	9 , 	53 , 	38 , 	104 , 	220 , 	78 ," 	6,200 ",,,,,,,,,,,
