Exit stations,Entry stations->,,SATURDAY,,,Oct 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	11 , 	77 , 	91 , 	45 , 	264 , 	77 , 	70 , 	40 , 	70 , 	22 , 	77 , 	65 , 	22 , 	29 , 	26 , 	9 , 	9 , 	27 , 	22 , 	13 , 	11 , 	7 , 	6 , 	11 , 	21 , 	108 , 	82 , 	268 , 	116 , 	84 , 	106 , 	16 , 	38 , 	28 , 	9 , 	3 , 	16 , 	2 , 	32 , 	11 , 	7 , 	23 , 	12 ," 	2,078 ",,,Eastbay," 	46,006 ",,SF CBD," 	132,473 ",61.9%,,,
EN, 	103 , 	11 , 	100 , 	62 , 	690 , 	117 , 	125 , 	65 , 	150 , 	37 , 	119 , 	124 , 	39 , 	49 , 	38 , 	18 , 	23 , 	42 , 	29 , 	20 , 	23 , 	9 , 	10 , 	20 , 	36 , 	294 , 	221 , 	723 , 	276 , 	121 , 	127 , 	37 , 	67 , 	59 , 	22 , 	12 , 	15 , 	6 , 	43 , 	17 , 	18 , 	52 , 	18 ," 	4,180 ",,,Westbay," 	69,686 ",,non-CBD," 	76,143 ",35.6%,,,
EP, 	98 , 	83 , 	9 , 	45 , 	619 , 	78 , 	69 , 	46 , 	103 , 	36 , 	43 , 	50 , 	18 , 	16 , 	11 , 	9 , 	11 , 	28 , 	11 , 	12 , 	18 , 	6 , 	3 , 	26 , 	11 , 	173 , 	127 , 	370 , 	198 , 	80 , 	46 , 	16 , 	20 , 	19 , 	6 , 	8 , 	12 , 	1 , 	10 , 	2 , 	4 , 	38 , 	17 ," 	2,600 ",,,Transbay," 	98,466 ",,,,,,,
NB, 	56 , 	61 , 	56 , 	7 , 	265 , 	57 , 	57 , 	59 , 	92 , 	43 , 	72 , 	54 , 	18 , 	17 , 	15 , 	6 , 	9 , 	27 , 	12 , 	14 , 	18 , 	8 , 	7 , 	23 , 	10 , 	208 , 	190 , 	467 , 	316 , 	141 , 	86 , 	23 , 	22 , 	17 , 	3 , 	8 , 	11 , 	4 , 	11 , 	3 , 	4 , 	52 , 	13 ," 	2,637 ",,,,,,,,,,,
BK, 	283 , 	716 , 	635 , 	276 , 	30 , 	318 , 	401 , 	303 , 	381 , 	175 , 	310 , 	264 , 	152 , 	173 , 	123 , 	62 , 	137 , 	490 , 	88 , 	156 , 	219 , 	149 , 	115 , 	59 , 	70 , 	834 , 	525 ," 	1,880 "," 	1,101 ", 	363 , 	273 , 	146 , 	77 , 	200 , 	23 , 	59 , 	230 , 	24 , 	77 , 	26 , 	33 , 	102 , 	185 ," 	12,233 ",,,,,,,,,,,
AS, 	75 , 	118 , 	65 , 	56 , 	253 , 	11 , 	99 , 	81 , 	134 , 	53 , 	100 , 	83 , 	23 , 	44 , 	29 , 	12 , 	19 , 	30 , 	13 , 	11 , 	18 , 	9 , 	6 , 	24 , 	41 , 	182 , 	156 , 	387 , 	326 , 	187 , 	114 , 	27 , 	26 , 	21 , 	5 , 	4 , 	18 , 	2 , 	23 , 	4 , 	4 , 	28 , 	16 ," 	2,930 ",,,,,,,,,,,
MA, 	75 , 	134 , 	68 , 	60 , 	372 , 	99 , 	14 , 	64 , 	112 , 	39 , 	133 , 	127 , 	59 , 	80 , 	59 , 	27 , 	17 , 	45 , 	53 , 	35 , 	51 , 	21 , 	15 , 	43 , 	53 , 	409 , 	279 , 	801 , 	485 , 	289 , 	161 , 	35 , 	34 , 	39 , 	9 , 	12 , 	17 , 	11 , 	84 , 	6 , 	9 , 	54 , 	16 ," 	4,598 ",,,,,,,,,,,
19, 	43 , 	65 , 	44 , 	52 , 	256 , 	79 , 	59 , 	8 , 	24 , 	14 , 	76 , 	68 , 	38 , 	56 , 	48 , 	18 , 	28 , 	48 , 	39 , 	33 , 	40 , 	21 , 	18 , 	60 , 	33 , 	181 , 	139 , 	427 , 	247 , 	164 , 	91 , 	39 , 	26 , 	37 , 	11 , 	7 , 	28 , 	9 , 	41 , 	10 , 	7 , 	21 , 	14 ," 	2,764 ",,,,,,,,,,,
12, 	72 , 	132 , 	105 , 	90 , 	315 , 	125 , 	99 , 	22 , 	12 , 	16 , 	104 , 	166 , 	119 , 	132 , 	75 , 	37 , 	47 , 	103 , 	66 , 	49 , 	61 , 	27 , 	33 , 	58 , 	72 , 	313 , 	233 , 	722 , 	313 , 	141 , 	101 , 	46 , 	61 , 	51 , 	18 , 	18 , 	39 , 	10 , 	71 , 	14 , 	11 , 	57 , 	23 ," 	4,374 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	20 , 	39 , 	38 , 	44 , 	175 , 	47 , 	37 , 	16 , 	16 , 	7 , 	104 , 	140 , 	121 , 	139 , 	59 , 	32 , 	54 , 	72 , 	13 , 	10 , 	15 , 	7 , 	9 , 	24 , 	26 , 	256 , 	217 , 	623 , 	281 , 	153 , 	96 , 	27 , 	43 , 	32 , 	11 , 	75 , 	82 , 	4 , 	15 , 	8 , 	8 , 	17 , 	20 ," 	3,229 ",,,Dtwn SF," 	3,322 "," 	8,127 "," 	21,104 "," 	10,025 "," 	9,122 "," 	11,564 "," 	6,353 "," 	69,617 "
