Exit stations,Entry stations->,,WEEKDAY,,,Nov 08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	8 , 	141 , 	133 , 	103 , 	437 , 	105 , 	148 , 	149 , 	203 , 	52 , 	121 , 	74 , 	47 , 	38 , 	42 , 	20 , 	17 , 	38 , 	26 , 	16 , 	22 , 	9 , 	11 , 	20 , 	26 , 	262 , 	254 , 	320 , 	254 , 	123 , 	123 , 	31 , 	54 , 	60 , 	14 , 	5 , 	23 , 	5 , 	36 , 	12 , 	12 , 	26 , 	22 ," 	3,639 ",,,Eastbay," 	84,969 ",,SF CBD," 	231,058 ",63.4%,,,
EN, 	174 , 	11 , 	129 , 	105 , 	977 , 	175 , 	289 , 	461 , 	669 , 	118 , 	158 , 	163 , 	67 , 	55 , 	86 , 	35 , 	41 , 	88 , 	57 , 	28 , 	37 , 	10 , 	19 , 	34 , 	53 , 	874 , 	882 , 	829 , 	702 , 	154 , 	163 , 	56 , 	96 , 	156 , 	17 , 	11 , 	48 , 	9 , 	39 , 	24 , 	34 , 	71 , 	36 ," 	8,241 ",,,Westbay," 	109,632 ",,non-CBD," 	125,887 ",34.6%,,,
EP, 	136 , 	102 , 	7 , 	70 , 	695 , 	81 , 	133 , 	222 , 	316 , 	88 , 	63 , 	65 , 	26 , 	17 , 	44 , 	11 , 	12 , 	45 , 	31 , 	18 , 	25 , 	9 , 	12 , 	32 , 	15 , 	491 , 	547 , 	367 , 	335 , 	64 , 	49 , 	28 , 	44 , 	65 , 	3 , 	6 , 	18 , 	4 , 	11 , 	5 , 	6 , 	46 , 	15 ," 	4,379 ",,,Transbay," 	169,728 ",,,,,,,
NB, 	97 , 	92 , 	64 , 	7 , 	214 , 	64 , 	95 , 	200 , 	263 , 	69 , 	83 , 	65 , 	29 , 	23 , 	22 , 	12 , 	12 , 	40 , 	18 , 	15 , 	22 , 	12 , 	11 , 	19 , 	18 , 	606 , 	618 , 	401 , 	441 , 	116 , 	74 , 	30 , 	34 , 	57 , 	4 , 	6 , 	15 , 	2 , 	13 , 	6 , 	6 , 	60 , 	23 ," 	4,077 ",,,,,,,,,,,
BK, 	461 ," 	1,024 ", 	716 , 	239 , 	16 , 	397 , 	523 , 	503 , 	617 , 	310 , 	337 , 	260 , 	178 , 	160 , 	171 , 	115 , 	165 , 	360 , 	142 , 	176 , 	168 , 	96 , 	84 , 	65 , 	93 , 	813 , 	764 , 	914 , 	805 , 	331 , 	307 , 	139 , 	118 , 	186 , 	41 , 	74 , 	159 , 	47 , 	97 , 	36 , 	33 , 	131 , 	149 ," 	12,521 ",,,,,,,,,,,
AS, 	101 , 	165 , 	76 , 	60 , 	320 , 	7 , 	100 , 	195 , 	259 , 	91 , 	120 , 	105 , 	51 , 	49 , 	48 , 	24 , 	26 , 	61 , 	31 , 	22 , 	31 , 	11 , 	9 , 	21 , 	46 , 	472 , 	515 , 	407 , 	417 , 	159 , 	106 , 	29 , 	46 , 	66 , 	11 , 	14 , 	38 , 	7 , 	27 , 	7 , 	6 , 	37 , 	22 ," 	4,416 ",,,,,,,,,,,
MA, 	166 , 	278 , 	124 , 	98 , 	474 , 	106 , 	13 , 	178 , 	264 , 	104 , 	198 , 	186 , 	119 , 	122 , 	139 , 	73 , 	74 , 	159 , 	131 , 	115 , 	129 , 	46 , 	48 , 	69 , 	78 , 	866 , 	886 , 	802 , 	749 , 	259 , 	192 , 	75 , 	95 , 	105 , 	28 , 	31 , 	84 , 	46 , 	160 , 	25 , 	23 , 	72 , 	46 ," 	8,033 ",,,,,,,,,,,
19, 	153 , 	465 , 	229 , 	206 , 	447 , 	196 , 	164 , 	9 , 	82 , 	58 , 	143 , 	181 , 	210 , 	207 , 	223 , 	165 , 	183 , 	396 , 	258 , 	374 , 	248 , 	146 , 	104 , 	153 , 	59 , 	733 , 	670 , 	581 , 	592 , 	214 , 	185 , 	127 , 	110 , 	148 , 	66 , 	75 , 	233 , 	145 , 	228 , 	65 , 	38 , 	39 , 	88 ," 	9,398 ",,,,,,,,,,,
12, 	214 , 	677 , 	302 , 	269 , 	532 , 	262 , 	267 , 	80 , 	17 , 	55 , 	282 , 	362 , 	369 , 	397 , 	315 , 	224 , 	249 , 	463 , 	327 , 	399 , 	330 , 	191 , 	159 , 	211 , 	97 , 	947 , 	884 , 	873 , 	804 , 	255 , 	271 , 	135 , 	158 , 	207 , 	105 , 	123 , 	343 , 	158 , 	296 , 	89 , 	61 , 	86 , 	111 ," 	12,960 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	50 , 	118 , 	91 , 	76 , 	302 , 	87 , 	97 , 	59 , 	56 , 	10 , 	197 , 	225 , 	279 , 	244 , 	196 , 	118 , 	121 , 	196 , 	37 , 	25 , 	37 , 	15 , 	15 , 	41 , 	47 , 	615 , 	646 , 	639 , 	451 , 	146 , 	105 , 	49 , 	78 , 	121 , 	11 , 	106 , 	243 , 	21 , 	46 , 	13 , 	13 , 	29 , 	19 ," 	6,089 ",,,Dtwn SF,"6,162","15,303","35,415","12,267","18,944","22,005","8,278","118,375"
