Fast Pass OD,,,,,,Dec 08,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,73,51,240,195,608,"1,021",773,"1,275","4,238"
MT,61,63,140,189,817,"1,381","1,168","2,415","6,233"
PL,354,208,105,189,864,"1,210",779,"2,191","5,899"
CC,166,172,209,57,552,749,527,"1,382","3,814"
16,557,640,"1,090",573,27,247,234,668,"4,035"
24,818,"1,028","1,508",779,253,43,175,611,"5,215"
GP,705,833,"1,045",473,232,197,26,155,"3,666"
BP,"1,125","1,307","3,215","1,272",656,665,155,52,"8,448"
Entries,"3,858","4,303","7,552","3,727","4,010","5,513","3,836","8,750","41,548"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,31,13,79,49,232,287,161,336,"1,189"
MT,13,22,44,34,309,343,338,"1,139","2,242"
PL,97,38,104,89,771,"1,133",684,"1,775","4,690"
CC,35,27,100,47,380,450,212,505,"1,755"
16,207,180,939,396,42,191,158,411,"2,523"
24,234,196,"1,231",463,175,45,153,374,"2,871"
GP,142,150,870,187,142,131,22,81,"1,724"
BP,308,335,"2,486",433,386,348,95,44,"4,434"
Entries,"1,067",960,"5,852","1,698","2,435","2,927","1,822","4,665","21,426"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,29,7,55,28,139,158,74,192,680
MT,7,21,24,27,176,208,207,740,"1,409"
PL,63,18,116,73,533,743,431,"1,117","3,092"
CC,23,14,82,53,302,304,164,403,"1,344"
16,138,99,633,320,44,123,93,269,"1,718"
24,160,124,874,334,128,49,96,248,"2,012"
GP,88,77,607,148,101,85,21,37,"1,163"
BP,202,194,"1,714",349,251,240,49,41,"3,039"
Entries,709,552,"4,103","1,330","1,674","1,907","1,134","3,047","14,455"
