Exit stations,Entry stations->,,SATURDAY,,,Jan 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	9 , 	66 , 	86 , 	39 , 	195 , 	68 , 	81 , 	36 , 	64 , 	15 , 	73 , 	53 , 	20 , 	21 , 	17 , 	9 , 	4 , 	18 , 	20 , 	7 , 	8 , 	6 , 	5 , 	15 , 	15 , 	90 , 	67 , 	227 , 	94 , 	74 , 	86 , 	15 , 	27 , 	19 , 	6 , 	7 , 	12 , 	2 , 	26 , 	8 , 	8 , 	20 , 	9 ," 	1,746 ",,,Eastbay," 	34,615 ",,SF CBD," 	98,390 ",61.8%,,,
EN, 	78 , 	12 , 	72 , 	54 , 	368 , 	100 , 	127 , 	68 , 	153 , 	31 , 	99 , 	88 , 	32 , 	39 , 	38 , 	17 , 	21 , 	43 , 	23 , 	11 , 	20 , 	6 , 	6 , 	17 , 	34 , 	222 , 	183 , 	615 , 	182 , 	75 , 	114 , 	35 , 	59 , 	47 , 	18 , 	7 , 	16 , 	4 , 	40 , 	9 , 	14 , 	51 , 	15 ," 	3,261 ",,,Westbay," 	54,642 ",,non-CBD," 	56,202 ",35.3%,,,
EP, 	93 , 	71 , 	6 , 	49 , 	389 , 	77 , 	61 , 	50 , 	87 , 	33 , 	41 , 	35 , 	14 , 	15 , 	9 , 	8 , 	8 , 	27 , 	8 , 	9 , 	12 , 	5 , 	4 , 	21 , 	9 , 	136 , 	113 , 	360 , 	140 , 	36 , 	31 , 	11 , 	17 , 	14 , 	2 , 	5 , 	14 , 	3 , 	7 , 	2 , 	4 , 	43 , 	12 ," 	2,090 ",,,Transbay," 	70,015 ",,,,,,,
NB, 	45 , 	54 , 	46 , 	6 , 	113 , 	52 , 	55 , 	51 , 	85 , 	29 , 	64 , 	37 , 	14 , 	20 , 	13 , 	6 , 	8 , 	21 , 	16 , 	9 , 	16 , 	5 , 	5 , 	15 , 	12 , 	171 , 	157 , 	401 , 	248 , 	83 , 	78 , 	26 , 	16 , 	16 , 	4 , 	3 , 	9 , 	2 , 	12 , 	6 , 	4 , 	52 , 	16 ," 	2,100 ",,,,,,,,,,,
BK, 	209 , 	367 , 	377 , 	120 , 	17 , 	225 , 	280 , 	215 , 	255 , 	102 , 	179 , 	188 , 	85 , 	101 , 	71 , 	46 , 	63 , 	135 , 	45 , 	57 , 	86 , 	47 , 	36 , 	43 , 	54 , 	383 , 	278 ," 	1,015 ", 	418 , 	189 , 	150 , 	54 , 	58 , 	70 , 	7 , 	29 , 	72 , 	12 , 	29 , 	10 , 	12 , 	151 , 	60 ," 	6,400 ",,,,,,,,,,,
AS, 	66 , 	112 , 	68 , 	39 , 	177 , 	5 , 	93 , 	82 , 	103 , 	39 , 	92 , 	67 , 	26 , 	39 , 	26 , 	9 , 	15 , 	27 , 	15 , 	10 , 	18 , 	10 , 	5 , 	20 , 	54 , 	146 , 	122 , 	317 , 	216 , 	145 , 	99 , 	20 , 	16 , 	18 , 	5 , 	8 , 	14 , 	1 , 	27 , 	3 , 	4 , 	39 , 	14 ," 	2,431 ",,,,,,,,,,,
MA, 	79 , 	118 , 	64 , 	52 , 	240 , 	100 , 	14 , 	55 , 	89 , 	36 , 	120 , 	105 , 	46 , 	69 , 	53 , 	21 , 	17 , 	39 , 	39 , 	30 , 	43 , 	14 , 	16 , 	41 , 	56 , 	281 , 	245 , 	631 , 	360 , 	195 , 	147 , 	37 , 	34 , 	30 , 	7 , 	8 , 	26 , 	7 , 	72 , 	6 , 	8 , 	64 , 	13 ," 	3,728 ",,,,,,,,,,,
19, 	38 , 	64 , 	44 , 	53 , 	193 , 	82 , 	50 , 	8 , 	22 , 	14 , 	64 , 	64 , 	37 , 	53 , 	39 , 	18 , 	20 , 	39 , 	28 , 	26 , 	34 , 	15 , 	12 , 	57 , 	32 , 	149 , 	114 , 	355 , 	208 , 	122 , 	96 , 	28 , 	23 , 	29 , 	5 , 	6 , 	20 , 	7 , 	33 , 	7 , 	5 , 	28 , 	9 ," 	2,352 ",,,,,,,,,,,
12, 	58 , 	135 , 	87 , 	81 , 	221 , 	106 , 	88 , 	16 , 	11 , 	16 , 	102 , 	107 , 	88 , 	124 , 	70 , 	35 , 	43 , 	90 , 	63 , 	43 , 	66 , 	28 , 	35 , 	59 , 	70 , 	222 , 	205 , 	587 , 	251 , 	95 , 	80 , 	37 , 	60 , 	44 , 	17 , 	15 , 	37 , 	9 , 	72 , 	14 , 	12 , 	50 , 	19 ," 	3,667 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	13 , 	29 , 	34 , 	28 , 	111 , 	40 , 	31 , 	14 , 	20 , 	7 , 	69 , 	89 , 	110 , 	133 , 	44 , 	27 , 	45 , 	63 , 	12 , 	6 , 	10 , 	5 , 	8 , 	18 , 	27 , 	196 , 	182 , 	555 , 	207 , 	95 , 	72 , 	25 , 	33 , 	22 , 	8 , 	45 , 	61 , 	3 , 	8 , 	5 , 	6 , 	17 , 	14 ," 	2,549 ",,,Dtwn SF," 	2,218 "," 	6,676 "," 	17,235 "," 	6,429 "," 	6,378 "," 	8,079 "," 	4,032 "," 	51,047 "
