Exit stations,Entry stations->,,SUNDAY,,,Feb 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	33 , 	42 , 	24 , 	99 , 	43 , 	47 , 	24 , 	68 , 	15 , 	57 , 	32 , 	14 , 	18 , 	17 , 	10 , 	7 , 	17 , 	10 , 	3 , 	6 , 	5 , 	4 , 	8 , 	17 , 	58 , 	37 , 	141 , 	69 , 	44 , 	47 , 	11 , 	21 , 	22 , 	3 , 	1 , 	6 , 	2 , 	18 , 	4 , 	6 , 	22 , 	7 ," 	1,141 ",,,Eastbay," 	22,755 ",,SF CBD," 	58,025 ",58.0%,,,
EN, 	45 , 	8 , 	47 , 	38 , 	183 , 	57 , 	73 , 	36 , 	71 , 	26 , 	59 , 	78 , 	20 , 	29 , 	27 , 	10 , 	15 , 	31 , 	17 , 	7 , 	12 , 	3 , 	4 , 	12 , 	21 , 	106 , 	95 , 	296 , 	123 , 	51 , 	58 , 	26 , 	32 , 	29 , 	16 , 	7 , 	16 , 	2 , 	25 , 	10 , 	8 , 	56 , 	11 ," 	1,892 ",,,Westbay," 	34,822 ",,non-CBD," 	37,994 ",37.9%,,,
EP, 	47 , 	36 , 	4 , 	30 , 	204 , 	44 , 	51 , 	28 , 	50 , 	17 , 	27 , 	31 , 	7 , 	9 , 	5 , 	6 , 	9 , 	19 , 	9 , 	5 , 	10 , 	5 , 	3 , 	13 , 	7 , 	50 , 	54 , 	171 , 	88 , 	27 , 	24 , 	8 , 	13 , 	10 , 	3 , 	4 , 	8 , 	1 , 	5 , 	2 , 	4 , 	33 , 	10 ," 	1,185 ",,,Transbay," 	42,551 ",,,,,,,
NB, 	22 , 	32 , 	33 , 	4 , 	63 , 	33 , 	49 , 	42 , 	50 , 	22 , 	32 , 	40 , 	14 , 	16 , 	7 , 	3 , 	7 , 	23 , 	8 , 	9 , 	10 , 	7 , 	5 , 	10 , 	6 , 	97 , 	88 , 	244 , 	156 , 	66 , 	59 , 	20 , 	15 , 	11 , 	3 , 	3 , 	10 , 	1 , 	10 , 	2 , 	3 , 	59 , 	12 ," 	1,398 ",,,,,,,,,,,
BK, 	129 , 	167 , 	198 , 	69 , 	13 , 	146 , 	145 , 	119 , 	177 , 	75 , 	88 , 	160 , 	39 , 	49 , 	33 , 	21 , 	43 , 	206 , 	23 , 	29 , 	45 , 	26 , 	17 , 	29 , 	43 , 	214 , 	156 , 	657 , 	335 , 	150 , 	112 , 	46 , 	41 , 	56 , 	7 , 	18 , 	44 , 	5 , 	19 , 	8 , 	9 , 	131 , 	65 ," 	4,157 ",,,,,,,,,,,
AS, 	49 , 	55 , 	39 , 	36 , 	119 , 	5 , 	57 , 	52 , 	60 , 	21 , 	57 , 	60 , 	16 , 	25 , 	13 , 	9 , 	10 , 	20 , 	12 , 	7 , 	13 , 	6 , 	4 , 	16 , 	30 , 	87 , 	66 , 	196 , 	159 , 	87 , 	75 , 	21 , 	17 , 	10 , 	3 , 	6 , 	14 , 	1 , 	13 , 	3 , 	3 , 	32 , 	12 ," 	1,589 ",,,,,,,,,,,
MA, 	61 , 	71 , 	42 , 	41 , 	147 , 	63 , 	11 , 	43 , 	62 , 	25 , 	69 , 	88 , 	29 , 	39 , 	31 , 	15 , 	12 , 	37 , 	22 , 	16 , 	25 , 	9 , 	8 , 	27 , 	42 , 	139 , 	117 , 	357 , 	230 , 	134 , 	91 , 	26 , 	24 , 	26 , 	4 , 	8 , 	17 , 	7 , 	52 , 	4 , 	10 , 	56 , 	11 ," 	2,344 ",,,,,,,,,,,
19, 	53 , 	30 , 	23 , 	34 , 	131 , 	57 , 	34 , 	2 , 	11 , 	12 , 	35 , 	43 , 	22 , 	29 , 	15 , 	10 , 	14 , 	22 , 	21 , 	9 , 	23 , 	12 , 	6 , 	41 , 	22 , 	90 , 	73 , 	222 , 	169 , 	82 , 	76 , 	16 , 	16 , 	18 , 	5 , 	6 , 	10 , 	4 , 	19 , 	3 , 	3 , 	26 , 	7 ," 	1,550 ",,,,,,,,,,,
12, 	38 , 	62 , 	45 , 	49 , 	153 , 	57 , 	50 , 	10 , 	6 , 	13 , 	55 , 	89 , 	52 , 	72 , 	50 , 	17 , 	34 , 	50 , 	27 , 	23 , 	36 , 	19 , 	15 , 	32 , 	42 , 	133 , 	129 , 	397 , 	199 , 	62 , 	54 , 	25 , 	32 , 	27 , 	9 , 	18 , 	20 , 	5 , 	38 , 	7 , 	8 , 	71 , 	14 ," 	2,340 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	13 , 	23 , 	19 , 	19 , 	83 , 	26 , 	25 , 	10 , 	12 , 	4 , 	60 , 	72 , 	51 , 	65 , 	28 , 	15 , 	25 , 	37 , 	6 , 	4 , 	7 , 	5 , 	5 , 	14 , 	19 , 	105 , 	118 , 	349 , 	163 , 	74 , 	67 , 	25 , 	27 , 	18 , 	5 , 	35 , 	35 , 	2 , 	9 , 	5 , 	4 , 	22 , 	13 ," 	1,717 ",,,Dtwn SF," 	1,464 "," 	3,859 "," 	9,909 "," 	3,498 "," 	3,206 "," 	4,306 "," 	2,780 "," 	29,020 "
FV, 	54 , 	48 , 	32 , 	33 , 	96 , 	60 , 	64 , 	43 , 	57 , 	64 , 	6 , 	92 , 	79 , 	150 , 	81 , 	42 , 	30 , 	58 , 	21 , 	9 , 	11 , 	6 , 	6 , 	23 , 	64 , 	110 , 	88 , 	344 , 	215 , 	89 , 	76 , 	22 , 	37 , 	28 , 	6 , 	25 , 	58 , 	5 , 	35 , 	5 , 	8 , 	33 , 	13 ," 	2,421 ",,,OAK," 	3,763 ", 	580 ," 	1,124 "," 	1,445 ", 	596 ," 	1,605 ", 	304 ," 	9,417 "
CL, 	34 , 	55 , 	24 , 	30 , 	112 , 	50 , 	72 , 	45 , 	118 , 	58 , 	83 , 	8 , 	51 , 	90 , 	76 , 	49 , 	38 , 	88 , 	22 , 	26 , 	21 , 	13 , 	9 , 	25 , 	41 , 	143 , 	99 , 	320 , 	128 , 	49 , 	50 , 	26 , 	27 , 	35 , 	10 , 	26 , 	101 , 	8 , 	56 , 	12 , 	10 , 	39 , 	16 ," 	2,388 ",,,CM line," 	10,333 "," 	1,117 "," 	3,902 "," 	1,179 ", 	770 ," 	1,155 "," 	1,491 "," 	19,946 "
