Exit stations,Entry stations->,,WEEKDAY,,,Feb 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	116 , 	118 , 	92 , 	418 , 	101 , 	138 , 	145 , 	186 , 	45 , 	113 , 	78 , 	38 , 	34 , 	36 , 	19 , 	10 , 	37 , 	23 , 	17 , 	19 , 	10 , 	9 , 	20 , 	27 , 	262 , 	234 , 	280 , 	237 , 	112 , 	108 , 	29 , 	47 , 	59 , 	11 , 	6 , 	19 , 	4 , 	38 , 	8 , 	11 , 	24 , 	18 ," 	3,362 ",,,Eastbay," 	80,809 ",,SF CBD," 	220,582 ",63.4%,,,
EN, 	152 , 	10 , 	115 , 	93 , 	969 , 	164 , 	268 , 	454 , 	649 , 	111 , 	146 , 	150 , 	62 , 	52 , 	80 , 	33 , 	33 , 	74 , 	49 , 	26 , 	30 , 	11 , 	17 , 	30 , 	45 , 	834 , 	848 , 	723 , 	695 , 	148 , 	151 , 	54 , 	103 , 	178 , 	22 , 	9 , 	40 , 	7 , 	42 , 	19 , 	27 , 	62 , 	32 ," 	7,816 ",,,Westbay," 	104,756 ",,non-CBD," 	120,908 ",34.7%,,,
EP, 	124 , 	89 , 	7 , 	62 , 	697 , 	77 , 	115 , 	229 , 	311 , 	87 , 	62 , 	65 , 	23 , 	15 , 	34 , 	8 , 	10 , 	42 , 	24 , 	16 , 	23 , 	8 , 	14 , 	29 , 	12 , 	467 , 	529 , 	331 , 	332 , 	66 , 	49 , 	23 , 	47 , 	66 , 	4 , 	6 , 	15 , 	3 , 	11 , 	5 , 	4 , 	40 , 	15 ," 	4,196 ",,,Transbay," 	162,481 ",,,,,,,
NB, 	85 , 	77 , 	63 , 	5 , 	227 , 	65 , 	92 , 	225 , 	260 , 	73 , 	71 , 	61 , 	26 , 	17 , 	17 , 	9 , 	11 , 	32 , 	18 , 	14 , 	21 , 	11 , 	10 , 	19 , 	16 , 	584 , 	616 , 	365 , 	418 , 	117 , 	73 , 	24 , 	35 , 	66 , 	3 , 	5 , 	14 , 	2 , 	13 , 	5 , 	5 , 	53 , 	25 ," 	3,947 ",,,,,,,,,,,
BK, 	448 , 	997 , 	707 , 	250 , 	19 , 	414 , 	514 , 	507 , 	628 , 	311 , 	318 , 	249 , 	182 , 	150 , 	161 , 	100 , 	172 , 	327 , 	122 , 	167 , 	157 , 	90 , 	80 , 	69 , 	97 , 	772 , 	750 , 	870 , 	814 , 	343 , 	315 , 	135 , 	121 , 	193 , 	46 , 	64 , 	154 , 	43 , 	87 , 	28 , 	30 , 	118 , 	137 ," 	12,258 ",,,,,,,,,,,
AS, 	92 , 	148 , 	75 , 	57 , 	368 , 	5 , 	100 , 	199 , 	240 , 	99 , 	108 , 	102 , 	44 , 	48 , 	49 , 	24 , 	21 , 	62 , 	31 , 	19 , 	30 , 	10 , 	8 , 	21 , 	42 , 	478 , 	485 , 	365 , 	400 , 	158 , 	105 , 	27 , 	49 , 	73 , 	9 , 	11 , 	32 , 	5 , 	30 , 	6 , 	6 , 	33 , 	20 ," 	4,292 ",,,,,,,,,,,
MA, 	151 , 	264 , 	111 , 	90 , 	475 , 	101 , 	11 , 	184 , 	248 , 	132 , 	168 , 	191 , 	110 , 	111 , 	130 , 	60 , 	76 , 	143 , 	115 , 	104 , 	117 , 	45 , 	43 , 	70 , 	85 , 	811 , 	859 , 	708 , 	712 , 	245 , 	187 , 	68 , 	96 , 	116 , 	24 , 	26 , 	76 , 	41 , 	156 , 	19 , 	20 , 	64 , 	37 ," 	7,600 ",,,,,,,,,,,
19, 	139 , 	447 , 	222 , 	229 , 	455 , 	196 , 	176 , 	11 , 	75 , 	60 , 	139 , 	183 , 	209 , 	214 , 	230 , 	157 , 	185 , 	392 , 	254 , 	340 , 	248 , 	148 , 	109 , 	161 , 	57 , 	715 , 	662 , 	562 , 	603 , 	222 , 	196 , 	124 , 	115 , 	155 , 	69 , 	64 , 	226 , 	135 , 	229 , 	58 , 	36 , 	36 , 	81 ," 	9,322 ",,,,,,,,,,,
12, 	197 , 	648 , 	303 , 	264 , 	530 , 	246 , 	248 , 	71 , 	18 , 	61 , 	259 , 	362 , 	351 , 	375 , 	292 , 	208 , 	229 , 	464 , 	323 , 	388 , 	321 , 	175 , 	153 , 	204 , 	98 , 	907 , 	896 , 	835 , 	788 , 	250 , 	274 , 	133 , 	156 , 	202 , 	106 , 	116 , 	352 , 	142 , 	288 , 	80 , 	60 , 	86 , 	101 ," 	12,560 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	42 , 	108 , 	90 , 	78 , 	324 , 	101 , 	126 , 	57 , 	56 , 	7 , 	185 , 	251 , 	261 , 	243 , 	194 , 	107 , 	120 , 	174 , 	32 , 	25 , 	32 , 	19 , 	13 , 	43 , 	56 , 	595 , 	631 , 	593 , 	443 , 	148 , 	105 , 	48 , 	76 , 	138 , 	12 , 	90 , 	215 , 	24 , 	38 , 	13 , 	11 , 	24 , 	16 ," 	5,963 ",,,Dtwn SF,"5,630","14,740","34,004","11,664","18,185","20,942","7,785","112,950"
FV, 	111 , 	139 , 	67 , 	66 , 	321 , 	115 , 	200 , 	165 , 	278 , 	189 , 	13 , 	242 , 	267 , 	282 , 	276 , 	108 , 	83 , 	140 , 	40 , 	27 , 	44 , 	27 , 	27 , 	61 , 	120 , 	695 , 	695 , 	695 , 	594 , 	190 , 	159 , 	52 , 	96 , 	146 , 	14 , 	56 , 	159 , 	14 , 	58 , 	17 , 	18 , 	45 , 	20 ," 	7,131 ",,,OAK,"14,767","2,146","3,696","6,040","4,658","8,364",806,"40,478"
