Exit stations,Entry stations->,,WEEKDAY,,,Mar 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	7 , 	120 , 	121 , 	91 , 	411 , 	96 , 	134 , 	152 , 	192 , 	38 , 	115 , 	74 , 	41 , 	38 , 	38 , 	17 , 	10 , 	35 , 	23 , 	16 , 	22 , 	8 , 	9 , 	22 , 	29 , 	252 , 	226 , 	285 , 	235 , 	115 , 	112 , 	33 , 	48 , 	48 , 	12 , 	6 , 	20 , 	4 , 	38 , 	10 , 	10 , 	28 , 	17 ," 	3,355 ",,,Eastbay," 	79,189 ",,SF CBD," 	221,688 ",64.0%,,,
EN, 	144 , 	11 , 	117 , 	95 , 	919 , 	166 , 	265 , 	456 , 	647 , 	112 , 	137 , 	144 , 	61 , 	51 , 	71 , 	35 , 	34 , 	79 , 	49 , 	24 , 	27 , 	12 , 	15 , 	30 , 	41 , 	833 , 	834 , 	731 , 	684 , 	151 , 	154 , 	52 , 	103 , 	134 , 	21 , 	9 , 	37 , 	7 , 	41 , 	19 , 	27 , 	64 , 	34 ," 	7,677 ",,,Westbay," 	105,249 ",,non-CBD," 	118,063 ",34.1%,,,
EP, 	138 , 	89 , 	7 , 	63 , 	689 , 	81 , 	124 , 	234 , 	311 , 	88 , 	63 , 	61 , 	24 , 	14 , 	28 , 	8 , 	12 , 	38 , 	26 , 	18 , 	25 , 	10 , 	15 , 	30 , 	13 , 	471 , 	524 , 	353 , 	329 , 	62 , 	53 , 	26 , 	45 , 	54 , 	3 , 	6 , 	17 , 	4 , 	14 , 	5 , 	4 , 	43 , 	14 ," 	4,232 ",,,Transbay," 	162,220 ",,,,,,,
NB, 	83 , 	82 , 	62 , 	7 , 	213 , 	60 , 	88 , 	214 , 	252 , 	69 , 	71 , 	64 , 	24 , 	19 , 	16 , 	8 , 	13 , 	31 , 	21 , 	12 , 	22 , 	12 , 	9 , 	23 , 	20 , 	602 , 	603 , 	386 , 	415 , 	122 , 	79 , 	28 , 	36 , 	52 , 	3 , 	5 , 	15 , 	2 , 	14 , 	6 , 	6 , 	64 , 	26 ," 	3,954 ",,,,,,,,,,,
BK, 	425 , 	952 , 	700 , 	237 , 	19 , 	390 , 	484 , 	490 , 	602 , 	295 , 	315 , 	272 , 	166 , 	138 , 	152 , 	91 , 	167 , 	308 , 	121 , 	156 , 	148 , 	87 , 	72 , 	65 , 	89 , 	783 , 	717 , 	885 , 	797 , 	337 , 	305 , 	132 , 	109 , 	161 , 	41 , 	56 , 	150 , 	39 , 	83 , 	25 , 	30 , 	184 , 	130 ," 	11,906 ",,,,,,,,,,,
AS, 	91 , 	141 , 	78 , 	53 , 	335 , 	5 , 	98 , 	204 , 	237 , 	87 , 	111 , 	100 , 	46 , 	48 , 	43 , 	26 , 	24 , 	58 , 	29 , 	21 , 	32 , 	10 , 	10 , 	19 , 	44 , 	480 , 	495 , 	371 , 	395 , 	153 , 	101 , 	28 , 	47 , 	57 , 	8 , 	11 , 	31 , 	6 , 	30 , 	6 , 	7 , 	44 , 	21 ," 	4,240 ",,,,,,,,,,,
MA, 	144 , 	270 , 	123 , 	94 , 	456 , 	98 , 	11 , 	180 , 	246 , 	111 , 	171 , 	178 , 	118 , 	112 , 	115 , 	61 , 	75 , 	139 , 	121 , 	102 , 	119 , 	44 , 	44 , 	70 , 	78 , 	823 , 	851 , 	722 , 	699 , 	248 , 	187 , 	69 , 	93 , 	97 , 	27 , 	27 , 	80 , 	40 , 	154 , 	21 , 	19 , 	73 , 	35 ," 	7,547 ",,,,,,,,,,,
19, 	143 , 	460 , 	226 , 	224 , 	441 , 	200 , 	171 , 	12 , 	74 , 	52 , 	138 , 	179 , 	212 , 	197 , 	220 , 	162 , 	187 , 	390 , 	257 , 	333 , 	248 , 	146 , 	109 , 	164 , 	58 , 	741 , 	657 , 	586 , 	603 , 	214 , 	197 , 	126 , 	113 , 	141 , 	68 , 	62 , 	225 , 	129 , 	226 , 	61 , 	41 , 	39 , 	85 ," 	9,316 ",,,,,,,,,,,
12, 	198 , 	633 , 	304 , 	256 , 	494 , 	244 , 	243 , 	72 , 	19 , 	53 , 	246 , 	348 , 	357 , 	378 , 	292 , 	212 , 	241 , 	463 , 	326 , 	382 , 	314 , 	177 , 	151 , 	199 , 	91 , 	903 , 	868 , 	825 , 	773 , 	258 , 	270 , 	131 , 	151 , 	183 , 	107 , 	114 , 	346 , 	136 , 	276 , 	79 , 	58 , 	78 , 	100 ," 	12,350 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	35 , 	108 , 	85 , 	75 , 	309 , 	87 , 	106 , 	50 , 	53 , 	7 , 	177 , 	231 , 	261 , 	236 , 	178 , 	108 , 	116 , 	184 , 	36 , 	25 , 	31 , 	18 , 	14 , 	42 , 	51 , 	605 , 	608 , 	596 , 	443 , 	147 , 	106 , 	44 , 	70 , 	109 , 	10 , 	98 , 	213 , 	17 , 	34 , 	14 , 	9 , 	29 , 	19 ," 	5,794 ",,,Dtwn SF,"5,635","14,824","33,876","11,663","18,268","21,059","8,266","113,591"
