Exit stations,Entry stations->,,SUNDAY,,,Apr 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	5 , 	48 , 	60 , 	27 , 	130 , 	57 , 	58 , 	23 , 	48 , 	16 , 	62 , 	59 , 	15 , 	18 , 	15 , 	8 , 	9 , 	15 , 	9 , 	3 , 	7 , 	1 , 	2 , 	8 , 	13 , 	75 , 	44 , 	150 , 	69 , 	52 , 	56 , 	11 , 	23 , 	19 , 	6 , 	1 , 	10 , 	1 , 	19 , 	5 , 	8 , 	23 , 	10 ," 	1,290 ",,,Eastbay," 	27,173 ",,SF CBD," 	69,529 ",58.2%,,,
EN, 	58 , 	6 , 	49 , 	44 , 	210 , 	94 , 	87 , 	39 , 	84 , 	28 , 	68 , 	136 , 	23 , 	36 , 	26 , 	16 , 	22 , 	29 , 	19 , 	10 , 	13 , 	2 , 	5 , 	13 , 	19 , 	177 , 	109 , 	354 , 	153 , 	53 , 	61 , 	26 , 	43 , 	34 , 	17 , 	9 , 	13 , 	3 , 	25 , 	6 , 	9 , 	52 , 	15 ," 	2,288 ",,,Westbay," 	40,578 ",,non-CBD," 	44,946 ",37.6%,,,
EP, 	61 , 	44 , 	7 , 	40 , 	233 , 	66 , 	51 , 	34 , 	49 , 	23 , 	40 , 	77 , 	10 , 	13 , 	8 , 	6 , 	8 , 	23 , 	8 , 	8 , 	9 , 	6 , 	4 , 	23 , 	7 , 	93 , 	60 , 	191 , 	102 , 	34 , 	26 , 	15 , 	12 , 	11 , 	4 , 	5 , 	11 , 	2 , 	8 , 	4 , 	2 , 	55 , 	8 ," 	1,497 ",,,Transbay," 	51,716 ",,,,,,,
NB, 	36 , 	40 , 	38 , 	5 , 	76 , 	44 , 	48 , 	41 , 	60 , 	29 , 	36 , 	76 , 	9 , 	16 , 	12 , 	4 , 	8 , 	25 , 	11 , 	15 , 	11 , 	8 , 	6 , 	12 , 	8 , 	166 , 	94 , 	271 , 	199 , 	96 , 	76 , 	19 , 	15 , 	20 , 	3 , 	4 , 	11 , 	1 , 	9 , 	5 , 	5 , 	85 , 	14 ," 	1,764 ",,,,,,,,,,,
BK, 	151 , 	195 , 	223 , 	80 , 	15 , 	132 , 	134 , 	118 , 	175 , 	75 , 	95 , 	216 , 	42 , 	51 , 	45 , 	28 , 	46 , 	228 , 	30 , 	31 , 	47 , 	26 , 	19 , 	27 , 	39 , 	289 , 	175 , 	703 , 	342 , 	168 , 	116 , 	45 , 	38 , 	55 , 	11 , 	20 , 	52 , 	8 , 	24 , 	9 , 	13 , 	187 , 	63 ," 	4,579 ",,,,,,,,,,,
AS, 	57 , 	76 , 	51 , 	44 , 	111 , 	3 , 	74 , 	69 , 	78 , 	43 , 	81 , 	86 , 	23 , 	31 , 	19 , 	7 , 	13 , 	33 , 	10 , 	11 , 	16 , 	7 , 	4 , 	18 , 	37 , 	125 , 	92 , 	208 , 	164 , 	130 , 	73 , 	22 , 	18 , 	16 , 	3 , 	10 , 	18 , 	3 , 	14 , 	2 , 	5 , 	55 , 	12 ," 	1,965 ",,,,,,,,,,,
MA, 	60 , 	74 , 	50 , 	42 , 	132 , 	71 , 	8 , 	35 , 	70 , 	23 , 	82 , 	109 , 	32 , 	40 , 	37 , 	12 , 	15 , 	34 , 	31 , 	20 , 	29 , 	10 , 	14 , 	23 , 	35 , 	235 , 	150 , 	399 , 	267 , 	170 , 	100 , 	27 , 	22 , 	21 , 	7 , 	10 , 	24 , 	8 , 	50 , 	5 , 	6 , 	105 , 	13 ," 	2,700 ",,,,,,,,,,,
19, 	23 , 	35 , 	29 , 	33 , 	114 , 	56 , 	33 , 	3 , 	19 , 	13 , 	40 , 	54 , 	25 , 	31 , 	25 , 	8 , 	14 , 	23 , 	17 , 	13 , 	18 , 	8 , 	10 , 	41 , 	19 , 	117 , 	72 , 	218 , 	164 , 	92 , 	66 , 	14 , 	14 , 	11 , 	2 , 	4 , 	14 , 	5 , 	20 , 	2 , 	4 , 	41 , 	10 ," 	1,568 ",,,,,,,,,,,
12, 	45 , 	74 , 	44 , 	56 , 	150 , 	71 , 	55 , 	12 , 	6 , 	14 , 	63 , 	105 , 	48 , 	75 , 	42 , 	21 , 	30 , 	57 , 	38 , 	26 , 	32 , 	13 , 	16 , 	29 , 	36 , 	177 , 	128 , 	404 , 	181 , 	80 , 	53 , 	26 , 	28 , 	27 , 	15 , 	9 , 	16 , 	8 , 	47 , 	4 , 	5 , 	66 , 	14 ," 	2,441 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	18 , 	27 , 	22 , 	27 , 	81 , 	39 , 	34 , 	11 , 	18 , 	7 , 	91 , 	111 , 	81 , 	78 , 	34 , 	19 , 	28 , 	42 , 	6 , 	4 , 	10 , 	5 , 	5 , 	9 , 	26 , 	158 , 	145 , 	390 , 	192 , 	103 , 	89 , 	23 , 	35 , 	23 , 	6 , 	27 , 	52 , 	3 , 	8 , 	7 , 	6 , 	34 , 	16 ," 	2,142 ",,,Dtwn SF," 	1,440 "," 	4,467 "," 	11,449 "," 	4,269 "," 	4,213 "," 	5,661 "," 	3,688 "," 	35,187 "
FV, 	64 , 	77 , 	38 , 	39 , 	103 , 	82 , 	71 , 	53 , 	66 , 	97 , 	7 , 	124 , 	102 , 	174 , 	106 , 	51 , 	31 , 	69 , 	20 , 	11 , 	15 , 	11 , 	8 , 	21 , 	74 , 	174 , 	108 , 	369 , 	216 , 	102 , 	104 , 	28 , 	47 , 	38 , 	10 , 	31 , 	61 , 	3 , 	41 , 	5 , 	8 , 	48 , 	11 ," 	2,912 ",,,OAK," 	4,345 ", 	606 ," 	1,261 "," 	1,486 ", 	629 ," 	1,882 ", 	380 ," 	10,588 "
