Fast Pass OD,,,,,,May 09,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,78,46,185,192,629,"1,058",815,"1,289","4,291"
MT,48,61,126,194,839,"1,453","1,177","2,407","6,305"
PL,277,169,88,161,803,"1,136",770,"2,108","5,512"
CC,171,187,171,59,582,773,548,"1,435","3,927"
16,584,665,"1,019",626,34,241,267,728,"4,163"
24,863,"1,094","1,406",797,257,40,189,655,"5,302"
GP,733,887,988,501,263,211,26,158,"3,767"
BP,"1,154","1,322","3,064","1,312",716,681,170,47,"8,466"
Entries,"3,908","4,430","7,046","3,843","4,123","5,594","3,962","8,827","41,733"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,32,8,71,47,230,305,170,358,"1,221"
MT,9,20,31,32,300,352,327,"1,103","2,173"
PL,85,31,79,78,637,932,568,"1,464","3,874"
CC,43,29,78,51,361,444,206,535,"1,747"
16,193,180,802,409,32,173,176,416,"2,381"
24,225,231,"1,045",476,164,41,144,371,"2,697"
GP,160,148,745,176,148,133,25,81,"1,617"
BP,328,333,"2,180",468,396,345,85,55,"4,190"
Entries,"1,076",979,"5,030","1,738","2,268","2,726","1,700","4,385","19,901"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,29,7,35,38,161,205,98,239,812
MT,8,20,26,31,207,222,213,761,"1,488"
PL,38,19,79,58,502,661,410,997,"2,764"
CC,38,22,66,64,321,357,164,418,"1,450"
16,148,110,611,358,41,151,123,278,"1,820"
24,177,150,765,377,134,56,116,290,"2,066"
GP,96,98,565,149,113,118,30,47,"1,216"
BP,224,216,"1,609",394,275,292,50,47,"3,107"
Entries,758,643,"3,755","1,469","1,754","2,063","1,204","3,077","14,723"
