Exit stations,Entry stations->,,SUNDAY,,,May 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	8 , 	43 , 	61 , 	32 , 	127 , 	56 , 	53 , 	24 , 	42 , 	23 , 	61 , 	56 , 	15 , 	24 , 	15 , 	9 , 	8 , 	15 , 	9 , 	4 , 	7 , 	2 , 	4 , 	11 , 	15 , 	80 , 	48 , 	172 , 	74 , 	68 , 	69 , 	14 , 	24 , 	18 , 	5 , 	3 , 	11 , 	1 , 	20 , 	4 , 	8 , 	25 , 	10 ," 	1,376 ",,,Eastbay," 	25,405 ",,SF CBD," 	80,404 ",61.0%,,,
EN, 	55 , 	8 , 	55 , 	37 , 	200 , 	75 , 	84 , 	38 , 	78 , 	31 , 	66 , 	102 , 	24 , 	33 , 	27 , 	15 , 	15 , 	41 , 	16 , 	8 , 	14 , 	4 , 	7 , 	12 , 	20 , 	207 , 	114 , 	382 , 	156 , 	83 , 	89 , 	24 , 	37 , 	30 , 	14 , 	7 , 	18 , 	2 , 	23 , 	10 , 	8 , 	64 , 	11 ," 	2,342 ",,,Westbay," 	46,766 ",,non-CBD," 	46,013 ",34.9%,,,
EP, 	65 , 	48 , 	3 , 	39 , 	227 , 	56 , 	50 , 	33 , 	51 , 	20 , 	28 , 	54 , 	10 , 	9 , 	5 , 	5 , 	8 , 	20 , 	6 , 	6 , 	13 , 	2 , 	5 , 	20 , 	6 , 	101 , 	82 , 	249 , 	130 , 	45 , 	29 , 	13 , 	12 , 	11 , 	4 , 	6 , 	8 , 	1 , 	6 , 	2 , 	6 , 	48 , 	8 ," 	1,551 ",,,Transbay," 	59,569 ",,,,,,,
NB, 	33 , 	35 , 	41 , 	6 , 	77 , 	37 , 	41 , 	51 , 	52 , 	26 , 	38 , 	58 , 	13 , 	18 , 	10 , 	6 , 	9 , 	23 , 	12 , 	12 , 	15 , 	6 , 	5 , 	11 , 	9 , 	177 , 	133 , 	321 , 	225 , 	111 , 	75 , 	19 , 	16 , 	16 , 	2 , 	3 , 	17 , 	1 , 	11 , 	4 , 	2 , 	81 , 	17 ," 	1,878 ",,,,,,,,,,,
BK, 	141 , 	193 , 	215 , 	81 , 	11 , 	132 , 	145 , 	128 , 	164 , 	76 , 	87 , 	152 , 	47 , 	46 , 	37 , 	22 , 	42 , 	176 , 	29 , 	32 , 	53 , 	26 , 	16 , 	25 , 	36 , 	316 , 	220 , 	714 , 	413 , 	178 , 	115 , 	54 , 	37 , 	48 , 	9 , 	19 , 	51 , 	7 , 	18 , 	9 , 	13 , 	180 , 	62 ," 	4,574 ",,,,,,,,,,,
AS, 	62 , 	67 , 	52 , 	32 , 	104 , 	3 , 	63 , 	68 , 	63 , 	31 , 	62 , 	82 , 	22 , 	28 , 	18 , 	10 , 	10 , 	28 , 	10 , 	6 , 	16 , 	5 , 	5 , 	14 , 	33 , 	146 , 	100 , 	230 , 	215 , 	126 , 	93 , 	21 , 	18 , 	13 , 	5 , 	6 , 	13 , 	1 , 	19 , 	2 , 	5 , 	49 , 	15 ," 	1,971 ",,,,,,,,,,,
MA, 	55 , 	79 , 	46 , 	45 , 	128 , 	66 , 	10 , 	38 , 	59 , 	25 , 	73 , 	107 , 	29 , 	37 , 	33 , 	10 , 	15 , 	38 , 	34 , 	20 , 	28 , 	11 , 	9 , 	24 , 	34 , 	234 , 	178 , 	448 , 	341 , 	194 , 	128 , 	27 , 	25 , 	24 , 	4 , 	9 , 	22 , 	8 , 	46 , 	4 , 	6 , 	96 , 	15 ," 	2,861 ",,,,,,,,,,,
19, 	25 , 	33 , 	32 , 	35 , 	119 , 	72 , 	33 , 	4 , 	14 , 	15 , 	39 , 	57 , 	25 , 	35 , 	22 , 	14 , 	11 , 	26 , 	21 , 	16 , 	17 , 	11 , 	5 , 	35 , 	21 , 	135 , 	90 , 	255 , 	178 , 	108 , 	67 , 	20 , 	15 , 	12 , 	7 , 	5 , 	13 , 	4 , 	19 , 	4 , 	4 , 	49 , 	11 ," 	1,733 ",,,,,,,,,,,
12, 	41 , 	59 , 	47 , 	57 , 	131 , 	62 , 	49 , 	13 , 	6 , 	12 , 	56 , 	99 , 	54 , 	61 , 	46 , 	22 , 	24 , 	49 , 	31 , 	20 , 	30 , 	14 , 	16 , 	37 , 	36 , 	165 , 	142 , 	401 , 	213 , 	88 , 	60 , 	28 , 	37 , 	24 , 	15 , 	8 , 	17 , 	4 , 	44 , 	4 , 	6 , 	75 , 	13 ," 	2,416 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	20 , 	29 , 	22 , 	23 , 	75 , 	36 , 	25 , 	12 , 	16 , 	4 , 	96 , 	88 , 	69 , 	77 , 	28 , 	23 , 	25 , 	43 , 	7 , 	4 , 	11 , 	5 , 	7 , 	10 , 	24 , 	167 , 	150 , 	425 , 	233 , 	123 , 	91 , 	32 , 	34 , 	22 , 	7 , 	30 , 	43 , 	2 , 	12 , 	5 , 	7 , 	25 , 	21 ," 	2,209 ",,,Dtwn SF," 	1,819 "," 	5,026 "," 	13,183 "," 	4,856 "," 	5,291 "," 	6,529 "," 	4,240 "," 	40,944 "
FV, 	62 , 	73 , 	28 , 	41 , 	92 , 	60 , 	73 , 	47 , 	67 , 	93 , 	6 , 	110 , 	98 , 	180 , 	108 , 	43 , 	32 , 	61 , 	24 , 	13 , 	13 , 	10 , 	6 , 	21 , 	66 , 	184 , 	110 , 	412 , 	238 , 	155 , 	138 , 	23 , 	42 , 	34 , 	12 , 	28 , 	58 , 	4 , 	36 , 	14 , 	11 , 	41 , 	15 ," 	2,981 ",,,OAK," 	4,898 ", 	586 ," 	1,525 "," 	1,436 ", 	618 ," 	1,782 ", 	398 ," 	11,243 "
CL, 	51 , 	92 , 	48 , 	36 , 	129 , 	60 , 	90 , 	51 , 	92 , 	66 , 	97 , 	5 , 	74 , 	116 , 	91 , 	54 , 	41 , 	115 , 	44 , 	47 , 	42 , 	26 , 	17 , 	31 , 	47 , 	197 , 	122 , 	396 , 	172 , 	77 , 	71 , 	21 , 	20 , 	21 , 	6 , 	47 , 	210 , 	19 , 	67 , 	6 , 	9 , 	46 , 	15 ," 	3,086 ",,,CM line," 	12,849 "," 	1,548 "," 	5,493 "," 	1,533 "," 	1,079 "," 	1,723 "," 	2,080 "," 	26,306 "
SL, 	17 , 	25 , 	11 , 	16 , 	48 , 	23 , 	32 , 	30 , 	62 , 	71 , 	107 , 	82 , 	7 , 	65 , 	70 , 	25 , 	21 , 	36 , 	9 , 	7 , 	7 , 	1 , 	4 , 	8 , 	21 , 	126 , 	78 , 	254 , 	103 , 	54 , 	45 , 	14 , 	16 , 	18 , 	4 , 	26 , 	37 , 	2 , 	14 , 	5 , 	5 , 	26 , 	8 ," 	1,640 ",,,RM line," 	5,006 "," 	1,553 "," 	1,544 "," 	2,518 ", 	558 ," 	1,871 ", 	641 ," 	13,691 "
BF, 	25 , 	33 , 	7 , 	13 , 	44 , 	26 , 	50 , 	41 , 	69 , 	74 , 	167 , 	139 , 	67 , 	8 , 	104 , 	69 , 	65 , 	99 , 	11 , 	3 , 	8 , 	3 , 	1 , 	10 , 	20 , 	115 , 	82 , 	240 , 	111 , 	44 , 	40 , 	14 , 	19 , 	23 , 	7 , 	40 , 	110 , 	3 , 	23 , 	5 , 	4 , 	20 , 	8 ," 	2,062 ",,,WP line," 	5,424 ", 	699 ," 	1,086 ", 	590 ," 	2,078 ", 	910 , 	785 ," 	11,571 "
HY, 	17 , 	27 , 	6 , 	11 , 	32 , 	19 , 	38 , 	27 , 	43 , 	32 , 	106 , 	91 , 	61 , 	104 , 	7 , 	60 , 	64 , 	107 , 	11 , 	5 , 	6 , 	1 , 	3 , 	7 , 	12 , 	55 , 	33 , 	113 , 	57 , 	30 , 	24 , 	8 , 	11 , 	11 , 	4 , 	11 , 	28 , 	3 , 	22 , 	6 , 	3 , 	12 , 	4 ," 	1,331 ",,,FT/ED line," 	6,739 "," 	1,851 "," 	1,637 "," 	1,739 ", 	806 ," 	5,808 ", 	572 ," 	19,152 "
