Fast Pass OD,,,,,,Jun 09,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,71,45,180,196,632,"1,046",820,"1,248","4,237"
MT,49,55,114,197,796,"1,403","1,157","2,274","6,044"
PL,262,163,85,142,752,"1,054",716,"1,852","5,026"
CC,170,180,154,54,531,731,521,"1,228","3,569"
16,571,655,971,580,30,229,244,615,"3,896"
24,847,"1,067","1,314",754,243,39,178,520,"4,962"
GP,735,865,940,479,242,193,25,117,"3,596"
BP,"1,090","1,256","2,738","1,113",607,541,126,48,"7,516"
Entries,"3,795","4,286","6,496","3,514","3,832","5,237","3,786","7,902","38,846"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,35,13,54,52,243,307,177,340,"1,221"
MT,9,19,33,37,296,357,316,"1,126","2,191"
PL,77,29,79,73,664,930,575,"1,426","3,853"
CC,47,30,77,56,409,454,218,499,"1,790"
16,209,179,796,425,29,178,188,405,"2,408"
24,243,215,"1,046",472,177,46,140,342,"2,682"
GP,158,146,720,202,163,128,26,75,"1,618"
BP,317,332,"2,116",439,367,316,73,46,"4,005"
Entries,"1,094",962,"4,921","1,757","2,347","2,714","1,713","4,258","19,766"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,40,6,49,43,156,204,96,235,828
MT,6,23,27,37,193,218,216,740,"1,459"
PL,46,18,85,87,495,640,402,"1,047","2,821"
CC,39,30,89,66,355,420,217,466,"1,682"
16,156,111,612,385,43,130,114,283,"1,835"
24,178,145,778,457,131,52,93,249,"2,082"
GP,99,97,582,188,121,96,22,42,"1,247"
BP,244,211,"1,618",438,277,247,46,38,"3,119"
Entries,806,641,"3,839","1,700","1,772","2,007","1,205","3,101","15,070"
