Exit stations,Entry stations->,,SUNDAY,,,Jun 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	10 , 	46 , 	64 , 	38 , 	124 , 	62 , 	54 , 	24 , 	36 , 	22 , 	55 , 	63 , 	14 , 	24 , 	19 , 	7 , 	9 , 	13 , 	10 , 	6 , 	5 , 	2 , 	4 , 	9 , 	13 , 	79 , 	50 , 	168 , 	134 , 	47 , 	62 , 	18 , 	20 , 	15 , 	6 , 	3 , 	9 , 	1 , 	21 , 	7 , 	6 , 	31 , 	8 ," 	1,414 ",,,Eastbay," 	26,915 ",,SF CBD," 	98,065 ",65.9%,,,
EN, 	56 , 	5 , 	60 , 	43 , 	207 , 	81 , 	75 , 	42 , 	80 , 	32 , 	66 , 	120 , 	24 , 	31 , 	24 , 	12 , 	21 , 	31 , 	16 , 	9 , 	15 , 	5 , 	5 , 	16 , 	22 , 	213 , 	118 , 	470 , 	369 , 	72 , 	70 , 	25 , 	46 , 	28 , 	15 , 	6 , 	15 , 	4 , 	24 , 	9 , 	7 , 	65 , 	13 ," 	2,656 ",,,Westbay," 	51,864 ",,non-CBD," 	45,365 ",30.5%,,,
EP, 	70 , 	43 , 	4 , 	37 , 	235 , 	55 , 	53 , 	35 , 	49 , 	21 , 	35 , 	72 , 	11 , 	15 , 	10 , 	7 , 	6 , 	21 , 	12 , 	8 , 	13 , 	5 , 	6 , 	22 , 	8 , 	140 , 	91 , 	273 , 	273 , 	35 , 	32 , 	15 , 	14 , 	10 , 	4 , 	6 , 	9 , 	3 , 	9 , 	1 , 	4 , 	54 , 	11 ," 	1,832 ",,,Transbay," 	69,983 ",,,,,,,
NB, 	37 , 	38 , 	38 , 	7 , 	63 , 	40 , 	43 , 	33 , 	63 , 	27 , 	36 , 	67 , 	14 , 	18 , 	9 , 	5 , 	10 , 	19 , 	10 , 	12 , 	15 , 	8 , 	8 , 	13 , 	8 , 	211 , 	126 , 	331 , 	343 , 	102 , 	77 , 	21 , 	17 , 	12 , 	5 , 	4 , 	10 , 	1 , 	8 , 	2 , 	4 , 	70 , 	16 ," 	1,998 ",,,,,,,,,,,
BK, 	146 , 	189 , 	228 , 	70 , 	16 , 	122 , 	140 , 	119 , 	155 , 	70 , 	86 , 	273 , 	39 , 	40 , 	40 , 	18 , 	41 , 	164 , 	37 , 	28 , 	45 , 	29 , 	17 , 	23 , 	33 , 	331 , 	229 , 	820 , 	573 , 	159 , 	114 , 	48 , 	33 , 	41 , 	8 , 	18 , 	59 , 	6 , 	19 , 	9 , 	7 , 	242 , 	66 ," 	4,945 ",,,,,,,,,,,
AS, 	68 , 	72 , 	50 , 	39 , 	95 , 	5 , 	75 , 	65 , 	72 , 	40 , 	61 , 	89 , 	28 , 	24 , 	16 , 	10 , 	12 , 	35 , 	13 , 	5 , 	17 , 	5 , 	5 , 	16 , 	37 , 	144 , 	110 , 	265 , 	331 , 	139 , 	72 , 	18 , 	19 , 	15 , 	4 , 	6 , 	17 , 	1 , 	19 , 	4 , 	3 , 	57 , 	13 ," 	2,186 ",,,,,,,,,,,
MA, 	57 , 	71 , 	53 , 	41 , 	135 , 	77 , 	7 , 	42 , 	54 , 	35 , 	80 , 	124 , 	37 , 	41 , 	38 , 	15 , 	15 , 	44 , 	32 , 	22 , 	27 , 	13 , 	12 , 	30 , 	37 , 	245 , 	183 , 	497 , 	628 , 	204 , 	124 , 	29 , 	29 , 	22 , 	9 , 	6 , 	20 , 	9 , 	57 , 	5 , 	6 , 	89 , 	12 ," 	3,308 ",,,,,,,,,,,
19, 	22 , 	36 , 	33 , 	34 , 	114 , 	67 , 	34 , 	3 , 	11 , 	13 , 	33 , 	62 , 	21 , 	27 , 	25 , 	14 , 	14 , 	28 , 	14 , 	19 , 	22 , 	9 , 	7 , 	24 , 	19 , 	136 , 	98 , 	266 , 	291 , 	104 , 	72 , 	18 , 	17 , 	16 , 	2 , 	4 , 	14 , 	7 , 	24 , 	2 , 	5 , 	39 , 	7 ," 	1,824 ",,,,,,,,,,,
12, 	34 , 	68 , 	37 , 	48 , 	136 , 	64 , 	52 , 	12 , 	8 , 	14 , 	68 , 	99 , 	52 , 	66 , 	39 , 	21 , 	29 , 	54 , 	34 , 	22 , 	35 , 	14 , 	16 , 	32 , 	35 , 	200 , 	162 , 	458 , 	256 , 	82 , 	62 , 	31 , 	37 , 	27 , 	15 , 	8 , 	16 , 	7 , 	41 , 	5 , 	5 , 	87 , 	11 ," 	2,595 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	22 , 	34 , 	25 , 	28 , 	72 , 	43 , 	35 , 	10 , 	19 , 	5 , 	100 , 	106 , 	89 , 	87 , 	36 , 	23 , 	29 , 	44 , 	8 , 	6 , 	10 , 	6 , 	8 , 	13 , 	26 , 	181 , 	155 , 	470 , 	360 , 	130 , 	105 , 	30 , 	41 , 	22 , 	6 , 	35 , 	46 , 	3 , 	10 , 	5 , 	5 , 	28 , 	12 ," 	2,524 ",,,Dtwn SF," 	2,691 "," 	6,352 "," 	14,479 "," 	6,152 "," 	6,441 "," 	8,615 "," 	5,613 "," 	50,341 "
