Exit stations,Entry stations->,,SUNDAY,,,Aug 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	5 , 	41 , 	68 , 	38 , 	117 , 	59 , 	53 , 	23 , 	52 , 	21 , 	57 , 	58 , 	13 , 	16 , 	15 , 	7 , 	7 , 	13 , 	13 , 	4 , 	3 , 	2 , 	4 , 	10 , 	17 , 	80 , 	45 , 	158 , 	74 , 	49 , 	56 , 	14 , 	23 , 	15 , 	7 , 	2 , 	8 , 	1 , 	22 , 	7 , 	8 , 	25 , 	10 ," 	1,321 ",,,Eastbay," 	28,995 ",,SF CBD," 	74,361 ",59.1%,,,
EN, 	56 , 	5 , 	48 , 	38 , 	187 , 	79 , 	79 , 	41 , 	138 , 	37 , 	65 , 	125 , 	24 , 	34 , 	26 , 	12 , 	19 , 	40 , 	14 , 	5 , 	14 , 	7 , 	5 , 	12 , 	22 , 	194 , 	108 , 	357 , 	138 , 	50 , 	55 , 	22 , 	42 , 	27 , 	14 , 	8 , 	13 , 	4 , 	31 , 	8 , 	8 , 	51 , 	21 ," 	2,283 ",,,Westbay," 	41,008 ",,non-CBD," 	46,436 ",36.9%,,,
EP, 	68 , 	45 , 	2 , 	36 , 	223 , 	60 , 	52 , 	41 , 	90 , 	26 , 	33 , 	82 , 	12 , 	13 , 	7 , 	7 , 	7 , 	21 , 	11 , 	8 , 	12 , 	6 , 	5 , 	22 , 	9 , 	109 , 	78 , 	228 , 	95 , 	29 , 	35 , 	13 , 	13 , 	10 , 	2 , 	3 , 	7 , 	3 , 	5 , 	2 , 	2 , 	52 , 	10 ," 	1,592 ",,,Transbay," 	55,795 ",,,,,,,
NB, 	35 , 	38 , 	36 , 	3 , 	62 , 	38 , 	47 , 	49 , 	85 , 	30 , 	34 , 	76 , 	11 , 	13 , 	9 , 	3 , 	8 , 	27 , 	6 , 	7 , 	13 , 	5 , 	4 , 	11 , 	7 , 	166 , 	124 , 	268 , 	151 , 	86 , 	59 , 	19 , 	14 , 	13 , 	5 , 	4 , 	9 , 	2 , 	9 , 	3 , 	2 , 	65 , 	13 ," 	1,667 ",,,,,,,,,,,
BK, 	131 , 	182 , 	221 , 	60 , 	12 , 	132 , 	154 , 	130 , 	196 , 	85 , 	100 , 	203 , 	53 , 	51 , 	38 , 	16 , 	38 , 	184 , 	35 , 	33 , 	58 , 	28 , 	19 , 	22 , 	37 , 	391 , 	237 , 	867 , 	363 , 	163 , 	113 , 	42 , 	40 , 	67 , 	17 , 	15 , 	49 , 	7 , 	23 , 	7 , 	15 , 	222 , 	79 ," 	4,935 ",,,,,,,,,,,
AS, 	60 , 	83 , 	50 , 	31 , 	112 , 	5 , 	69 , 	65 , 	104 , 	42 , 	66 , 	91 , 	24 , 	26 , 	20 , 	10 , 	14 , 	38 , 	9 , 	10 , 	14 , 	4 , 	7 , 	15 , 	23 , 	121 , 	89 , 	228 , 	181 , 	115 , 	76 , 	19 , 	18 , 	15 , 	4 , 	5 , 	14 , 	1 , 	19 , 	3 , 	2 , 	58 , 	13 ," 	1,971 ",,,,,,,,,,,
MA, 	59 , 	76 , 	52 , 	36 , 	133 , 	68 , 	7 , 	42 , 	115 , 	26 , 	71 , 	136 , 	35 , 	47 , 	38 , 	13 , 	11 , 	41 , 	30 , 	19 , 	37 , 	14 , 	15 , 	28 , 	33 , 	229 , 	157 , 	435 , 	280 , 	157 , 	112 , 	33 , 	25 , 	16 , 	4 , 	8 , 	17 , 	8 , 	53 , 	4 , 	7 , 	82 , 	15 ," 	2,825 ",,,,,,,,,,,
19, 	28 , 	33 , 	35 , 	38 , 	116 , 	71 , 	37 , 	4 , 	17 , 	13 , 	40 , 	65 , 	28 , 	32 , 	24 , 	11 , 	14 , 	31 , 	17 , 	16 , 	25 , 	7 , 	10 , 	32 , 	18 , 	132 , 	85 , 	255 , 	170 , 	102 , 	75 , 	20 , 	17 , 	18 , 	3 , 	7 , 	18 , 	5 , 	20 , 	4 , 	5 , 	39 , 	9 ," 	1,745 ",,,,,,,,,,,
12, 	47 , 	132 , 	87 , 	74 , 	159 , 	102 , 	107 , 	18 , 	6 , 	33 , 	105 , 	153 , 	103 , 	105 , 	68 , 	31 , 	49 , 	99 , 	46 , 	36 , 	56 , 	23 , 	32 , 	74 , 	51 , 	207 , 	157 , 	427 , 	220 , 	74 , 	79 , 	48 , 	43 , 	42 , 	18 , 	17 , 	35 , 	13 , 	64 , 	12 , 	9 , 	71 , 	28 ," 	3,358 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	25 , 	38 , 	27 , 	35 , 	86 , 	45 , 	30 , 	11 , 	31 , 	5 , 	120 , 	97 , 	88 , 	79 , 	37 , 	19 , 	29 , 	48 , 	8 , 	9 , 	15 , 	3 , 	7 , 	13 , 	35 , 	165 , 	146 , 	430 , 	238 , 	120 , 	111 , 	34 , 	40 , 	24 , 	9 , 	38 , 	57 , 	2 , 	11 , 	6 , 	4 , 	28 , 	16 ," 	2,419 ",,,Dtwn SF," 	1,565 "," 	4,824 "," 	11,098 "," 	4,625 "," 	4,668 "," 	6,354 "," 	4,227 "," 	37,360 "
FV, 	60 , 	69 , 	32 , 	36 , 	91 , 	72 , 	77 , 	49 , 	102 , 	104 , 	8 , 	142 , 	100 , 	180 , 	95 , 	42 , 	32 , 	72 , 	25 , 	18 , 	14 , 	9 , 	9 , 	19 , 	63 , 	198 , 	115 , 	406 , 	222 , 	110 , 	103 , 	26 , 	47 , 	34 , 	8 , 	26 , 	60 , 	4 , 	43 , 	5 , 	11 , 	47 , 	21 ," 	3,007 ",,,OAK," 	4,709 ", 	789 ," 	1,428 "," 	1,706 ", 	795 ," 	2,284 ", 	382 ," 	12,092 "
CL, 	55 , 	118 , 	69 , 	61 , 	134 , 	72 , 	116 , 	64 , 	149 , 	76 , 	129 , 	8 , 	114 , 	150 , 	103 , 	74 , 	91 , 	187 , 	69 , 	70 , 	69 , 	40 , 	33 , 	55 , 	63 , 	243 , 	143 , 	443 , 	168 , 	72 , 	64 , 	29 , 	26 , 	26 , 	5 , 	88 , 	345 , 	31 , 	91 , 	10 , 	10 , 	47 , 	25 ," 	4,036 ",,,CM line," 	11,741 "," 	1,432 "," 	4,143 "," 	1,297 ", 	928 ," 	1,356 "," 	1,844 "," 	22,742 "
SL, 	17 , 	24 , 	11 , 	13 , 	52 , 	22 , 	38 , 	33 , 	114 , 	93 , 	96 , 	112 , 	6 , 	67 , 	55 , 	24 , 	19 , 	37 , 	7 , 	8 , 	8 , 	3 , 	3 , 	15 , 	15 , 	110 , 	82 , 	256 , 	85 , 	27 , 	32 , 	13 , 	18 , 	21 , 	7 , 	18 , 	35 , 	2 , 	18 , 	3 , 	5 , 	24 , 	8 ," 	1,659 ",,,RM line," 	4,847 "," 	1,826 "," 	1,360 "," 	2,465 ", 	582 ," 	2,005 ", 	686 ," 	13,770 "
BF, 	17 , 	32 , 	10 , 	9 , 	50 , 	25 , 	53 , 	41 , 	103 , 	82 , 	188 , 	167 , 	65 , 	4 , 	92 , 	54 , 	62 , 	109 , 	14 , 	6 , 	8 , 	2 , 	1 , 	11 , 	24 , 	112 , 	70 , 	238 , 	83 , 	27 , 	26 , 	14 , 	22 , 	22 , 	5 , 	38 , 	106 , 	2 , 	23 , 	5 , 	9 , 	14 , 	10 ," 	2,053 ",,,WP line," 	4,903 ", 	871 , 	913 , 	596 ," 	2,030 "," 	1,097 ", 	768 ," 	11,179 "
HY, 	16 , 	27 , 	6 , 	7 , 	32 , 	23 , 	36 , 	29 , 	70 , 	37 , 	98 , 	112 , 	62 , 	100 , 	5 , 	46 , 	61 , 	129 , 	8 , 	5 , 	5 , 	1 , 	3 , 	4 , 	10 , 	54 , 	32 , 	106 , 	43 , 	15 , 	18 , 	5 , 	10 , 	11 , 	5 , 	12 , 	27 , 	3 , 	21 , 	5 , 	4 , 	12 , 	5 ," 	1,315 ",,,FT/ED line," 	6,591 "," 	2,331 "," 	1,339 "," 	1,823 "," 	1,025 "," 	6,771 ", 	616 ," 	20,496 "
SH, 	4 , 	11 , 	5 , 	3 , 	15 , 	7 , 	13 , 	12 , 	34 , 	16 , 	38 , 	78 , 	23 , 	67 , 	49 , 	5 , 	27 , 	68 , 	5 , 	3 , 	5 , 	0 , 	1 , 	3 , 	7 , 	41 , 	24 , 	91 , 	32 , 	12 , 	17 , 	7 , 	8 , 	11 , 	3 , 	9 , 	17 , 	2 , 	10 , 	1 , 	1 , 	7 , 	3 , 	794 ,,,SFIA," 	4,210 ", 	302 ," 	1,476 ", 	480 , 	562 , 	425 , 	705 ," 	8,159 "
