Fast Pass OD,,,,,,Sep 09,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,77,47,175,194,599,"1,031",800,"1,270","4,195"
MT,48,58,103,188,760,"1,350","1,095","2,475","6,077"
PL,246,143,88,146,769,"1,085",718,"2,234","5,429"
CC,168,177,161,57,522,753,522,"1,450","3,810"
16,550,628,964,555,29,254,253,819,"4,051"
24,817,"1,034","1,333",783,252,40,202,811,"5,272"
GP,690,819,930,479,246,211,25,175,"3,574"
BP,"1,123","1,321","3,144","1,387",785,857,179,51,"8,848"
Entries,"3,718","4,226","6,898","3,789","3,963","5,581","3,796","9,286","41,257"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,48,9,72,63,253,295,165,356,"1,259"
MT,11,23,36,34,283,354,302,"1,121","2,163"
PL,80,26,106,69,647,921,552,"1,466","3,868"
CC,50,31,76,51,358,424,203,484,"1,677"
16,220,188,816,388,38,169,171,416,"2,404"
24,247,237,"1,049",473,160,49,146,405,"2,766"
GP,140,136,720,175,150,132,28,79,"1,559"
BP,305,340,"2,091",442,375,373,82,46,"4,054"
Entries,"1,100",989,"4,965","1,694","2,263","2,718","1,649","4,372","19,748"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,42,4,40,37,165,188,98,231,804
MT,5,21,22,32,173,237,197,725,"1,412"
PL,45,18,102,62,470,620,375,"1,005","2,696"
CC,33,24,68,58,304,353,194,434,"1,469"
16,164,106,594,318,38,118,112,307,"1,755"
24,176,148,782,393,117,60,113,291,"2,079"
GP,92,91,551,171,106,101,27,49,"1,186"
BP,218,232,"1,601",395,292,260,55,50,"3,101"
Entries,774,642,"3,758","1,465","1,665","1,937","1,170","3,091","14,500"
