Exit stations,Entry stations->,,WEEKDAY,,,Sep 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	6 , 	106 , 	120 , 	102 , 	407 , 	105 , 	152 , 	139 , 	190 , 	45 , 	112 , 	91 , 	43 , 	34 , 	42 , 	19 , 	12 , 	32 , 	24 , 	15 , 	24 , 	8 , 	6 , 	19 , 	29 , 	265 , 	235 , 	309 , 	241 , 	126 , 	135 , 	32 , 	63 , 	75 , 	15 , 	9 , 	22 , 	6 , 	36 , 	13 , 	12 , 	28 , 	19 ," 	3,525 ",,,Eastbay," 	80,739 ",,SF CBD," 	222,430 ",62.9%,,,
EN, 	138 , 	11 , 	117 , 	95 , 	981 , 	162 , 	263 , 	440 , 	605 , 	125 , 	147 , 	188 , 	54 , 	51 , 	71 , 	29 , 	35 , 	78 , 	48 , 	24 , 	32 , 	11 , 	15 , 	27 , 	46 , 	878 , 	844 , 	770 , 	701 , 	167 , 	176 , 	63 , 	122 , 	190 , 	24 , 	8 , 	33 , 	9 , 	42 , 	28 , 	32 , 	58 , 	54 ," 	7,993 ",,,Westbay," 	102,619 ",,non-CBD," 	124,006 ",35.1%,,,
EP, 	128 , 	91 , 	7 , 	68 , 	681 , 	75 , 	121 , 	228 , 	276 , 	98 , 	62 , 	81 , 	25 , 	15 , 	31 , 	11 , 	9 , 	39 , 	26 , 	19 , 	30 , 	7 , 	11 , 	33 , 	12 , 	489 , 	535 , 	362 , 	339 , 	71 , 	54 , 	29 , 	52 , 	82 , 	6 , 	5 , 	17 , 	5 , 	9 , 	8 , 	5 , 	51 , 	22 ," 	4,325 ",,,Transbay," 	170,323 ",,,,,,,
NB, 	91 , 	81 , 	65 , 	8 , 	191 , 	60 , 	90 , 	204 , 	249 , 	90 , 	80 , 	81 , 	26 , 	18 , 	16 , 	9 , 	13 , 	31 , 	17 , 	14 , 	21 , 	11 , 	12 , 	18 , 	15 , 	598 , 	608 , 	386 , 	434 , 	133 , 	81 , 	30 , 	38 , 	61 , 	4 , 	8 , 	15 , 	4 , 	13 , 	7 , 	6 , 	72 , 	25 ," 	4,033 ",,,,,,,,,,,
BK, 	449 ," 	1,020 ", 	692 , 	224 , 	22 , 	350 , 	480 , 	481 , 	556 , 	315 , 	300 , 	285 , 	169 , 	173 , 	143 , 	102 , 	185 , 	352 , 	133 , 	175 , 	162 , 	97 , 	74 , 	62 , 	80 , 	848 , 	715 , 	919 , 	811 , 	378 , 	375 , 	147 , 	129 , 	189 , 	47 , 	74 , 	164 , 	41 , 	91 , 	34 , 	45 , 	153 , 	160 ," 	12,401 ",,,,,,,,,,,
AS, 	98 , 	138 , 	67 , 	56 , 	294 , 	6 , 	87 , 	185 , 	212 , 	93 , 	120 , 	114 , 	46 , 	36 , 	40 , 	24 , 	26 , 	57 , 	29 , 	21 , 	28 , 	10 , 	12 , 	18 , 	37 , 	472 , 	482 , 	358 , 	402 , 	170 , 	123 , 	28 , 	60 , 	67 , 	8 , 	11 , 	33 , 	5 , 	32 , 	8 , 	8 , 	44 , 	23 ," 	4,188 ",,,,,,,,,,,
MA, 	161 , 	261 , 	115 , 	86 , 	441 , 	88 , 	12 , 	159 , 	229 , 	115 , 	184 , 	235 , 	111 , 	109 , 	114 , 	61 , 	82 , 	140 , 	119 , 	110 , 	118 , 	48 , 	46 , 	62 , 	79 , 	878 , 	878 , 	767 , 	782 , 	305 , 	228 , 	88 , 	101 , 	128 , 	29 , 	27 , 	77 , 	39 , 	170 , 	21 , 	20 , 	86 , 	44 ," 	7,950 ",,,,,,,,,,,
19, 	131 , 	436 , 	221 , 	212 , 	437 , 	187 , 	156 , 	10 , 	71 , 	59 , 	134 , 	188 , 	196 , 	205 , 	209 , 	153 , 	182 , 	365 , 	239 , 	321 , 	246 , 	145 , 	109 , 	144 , 	52 , 	810 , 	733 , 	636 , 	699 , 	267 , 	237 , 	140 , 	130 , 	157 , 	69 , 	59 , 	225 , 	114 , 	210 , 	71 , 	44 , 	46 , 	88 ," 	9,543 ",,,,,,,,,,,
12, 	200 , 	590 , 	284 , 	246 , 	471 , 	214 , 	221 , 	72 , 	14 , 	60 , 	236 , 	371 , 	351 , 	348 , 	296 , 	198 , 	236 , 	465 , 	309 , 	360 , 	301 , 	182 , 	154 , 	174 , 	89 , 	936 , 	849 , 	849 , 	785 , 	261 , 	260 , 	145 , 	149 , 	183 , 	92 , 	110 , 	330 , 	126 , 	275 , 	76 , 	59 , 	93 , 	118 ," 	12,140 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	42 , 	132 , 	98 , 	88 , 	299 , 	94 , 	109 , 	63 , 	55 , 	7 , 	193 , 	286 , 	282 , 	261 , 	173 , 	108 , 	127 , 	174 , 	36 , 	26 , 	32 , 	13 , 	15 , 	47 , 	58 , 	625 , 	623 , 	584 , 	466 , 	163 , 	122 , 	51 , 	92 , 	137 , 	11 , 	96 , 	221 , 	19 , 	44 , 	17 , 	10 , 	27 , 	21 ," 	6,144 ",,,Dtwn SF,"5,358","15,277","32,085","12,022","18,684","21,567","8,788","113,781"
