Exit stations,Entry stations->,,SUNDAY,,,Oct 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	8 , 	50 , 	61 , 	34 , 	140 , 	54 , 	55 , 	23 , 	44 , 	15 , 	52 , 	85 , 	9 , 	17 , 	19 , 	7 , 	11 , 	14 , 	10 , 	3 , 	3 , 	3 , 	3 , 	9 , 	15 , 	85 , 	49 , 	162 , 	81 , 	52 , 	67 , 	13 , 	28 , 	27 , 	8 , 	2 , 	7 , 	1 , 	23 , 	6 , 	9 , 	20 , 	16 ," 	1,398 ",,,Eastbay," 	35,103 ",,SF CBD," 	82,845 ",57.7%,,,
EN, 	56 , 	6 , 	51 , 	38 , 	199 , 	83 , 	85 , 	34 , 	83 , 	31 , 	72 , 	336 , 	18 , 	31 , 	28 , 	11 , 	24 , 	32 , 	17 , 	8 , 	14 , 	6 , 	4 , 	11 , 	19 , 	190 , 	123 , 	395 , 	176 , 	59 , 	72 , 	28 , 	62 , 	55 , 	17 , 	7 , 	20 , 	1 , 	26 , 	10 , 	13 , 	54 , 	24 ," 	2,623 ",,,Westbay," 	43,667 ",,non-CBD," 	55,657 ",38.7%,,,
EP, 	67 , 	43 , 	6 , 	62 , 	248 , 	55 , 	50 , 	38 , 	47 , 	24 , 	31 , 	116 , 	12 , 	14 , 	5 , 	5 , 	7 , 	19 , 	8 , 	7 , 	14 , 	7 , 	5 , 	21 , 	10 , 	125 , 	91 , 	238 , 	172 , 	37 , 	32 , 	11 , 	22 , 	31 , 	3 , 	3 , 	9 , 	3 , 	6 , 	2 , 	3 , 	59 , 	9 ," 	1,771 ",,,Transbay," 	64,906 ",,,,,,,
NB, 	38 , 	40 , 	39 , 	8 , 	58 , 	38 , 	43 , 	37 , 	57 , 	27 , 	34 , 	114 , 	17 , 	16 , 	10 , 	4 , 	8 , 	26 , 	10 , 	11 , 	9 , 	4 , 	6 , 	10 , 	9 , 	184 , 	129 , 	312 , 	256 , 	82 , 	72 , 	18 , 	20 , 	26 , 	6 , 	4 , 	10 , 	4 , 	10 , 	3 , 	1 , 	74 , 	14 ," 	1,891 ",,,,,,,,,,,
BK, 	176 , 	181 , 	243 , 	56 , 	21 , 	111 , 	158 , 	119 , 	183 , 	67 , 	102 , 	302 , 	53 , 	48 , 	45 , 	20 , 	62 , 	259 , 	27 , 	40 , 	53 , 	28 , 	25 , 	22 , 	28 , 	415 , 	270 , 	864 , 	499 , 	174 , 	139 , 	62 , 	46 , 	77 , 	12 , 	18 , 	64 , 	7 , 	24 , 	14 , 	12 , 	207 , 	98 ," 	5,428 ",,,,,,,,,,,
AS, 	53 , 	106 , 	51 , 	33 , 	94 , 	8 , 	55 , 	56 , 	72 , 	35 , 	69 , 	119 , 	21 , 	20 , 	21 , 	8 , 	12 , 	29 , 	12 , 	6 , 	19 , 	5 , 	4 , 	13 , 	27 , 	144 , 	99 , 	244 , 	253 , 	116 , 	89 , 	19 , 	20 , 	14 , 	3 , 	5 , 	14 , 	2 , 	13 , 	2 , 	2 , 	45 , 	16 ," 	2,042 ",,,,,,,,,,,
MA, 	57 , 	80 , 	47 , 	40 , 	130 , 	63 , 	7 , 	40 , 	56 , 	26 , 	76 , 	213 , 	34 , 	42 , 	35 , 	17 , 	13 , 	34 , 	29 , 	20 , 	31 , 	18 , 	10 , 	28 , 	33 , 	279 , 	173 , 	460 , 	361 , 	174 , 	122 , 	29 , 	33 , 	29 , 	7 , 	9 , 	18 , 	3 , 	61 , 	4 , 	6 , 	88 , 	11 ," 	3,037 ",,,,,,,,,,,
19, 	21 , 	37 , 	37 , 	27 , 	116 , 	56 , 	31 , 	4 , 	12 , 	10 , 	40 , 	99 , 	26 , 	29 , 	23 , 	11 , 	9 , 	24 , 	16 , 	18 , 	24 , 	6 , 	11 , 	26 , 	17 , 	145 , 	95 , 	276 , 	208 , 	102 , 	72 , 	17 , 	25 , 	16 , 	4 , 	5 , 	13 , 	5 , 	23 , 	4 , 	5 , 	34 , 	8 ," 	1,781 ",,,,,,,,,,,
12, 	41 , 	61 , 	48 , 	55 , 	131 , 	91 , 	50 , 	8 , 	9 , 	20 , 	59 , 	182 , 	61 , 	66 , 	41 , 	20 , 	32 , 	51 , 	40 , 	18 , 	37 , 	19 , 	22 , 	32 , 	38 , 	228 , 	162 , 	444 , 	228 , 	76 , 	62 , 	36 , 	37 , 	42 , 	18 , 	7 , 	21 , 	7 , 	46 , 	9 , 	7 , 	81 , 	22 ," 	2,762 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	24 , 	35 , 	25 , 	26 , 	69 , 	41 , 	23 , 	14 , 	14 , 	6 , 	111 , 	189 , 	77 , 	78 , 	34 , 	24 , 	27 , 	50 , 	11 , 	5 , 	10 , 	3 , 	5 , 	14 , 	30 , 	166 , 	154 , 	409 , 	232 , 	106 , 	98 , 	26 , 	38 , 	29 , 	6 , 	28 , 	56 , 	3 , 	9 , 	4 , 	6 , 	26 , 	7 ," 	2,339 ",,,Dtwn SF," 	1,777 "," 	5,345 "," 	11,848 "," 	5,347 "," 	5,360 "," 	7,447 "," 	4,343 "," 	41,467 "
