Fast Pass OD,,,,,,Nov 09,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,69,51,191,189,603,"1,039",810,"1,272","4,225"
MT,55,53,116,181,751,"1,363","1,113","2,405","6,036"
PL,270,155,90,155,795,"1,173",731,"2,200","5,569"
CC,157,167,164,54,518,772,516,"1,384","3,732"
16,539,627,981,544,27,260,259,795,"4,031"
24,832,"1,045","1,394",791,262,46,201,768,"5,339"
GP,702,844,937,464,247,217,25,169,"3,605"
BP,"1,099","1,310","3,077","1,287",743,807,170,51,"8,543"
Entries,"3,723","4,251","6,950","3,664","3,944","5,678","3,825","9,044","41,079"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,33,12,67,57,243,281,168,346,"1,205"
MT,8,26,31,32,281,356,316,"1,067","2,116"
PL,75,33,105,73,722,"1,013",590,"1,545","4,155"
CC,42,26,71,47,356,460,204,445,"1,651"
16,215,158,834,388,36,185,158,418,"2,393"
24,232,236,"1,129",468,154,45,152,409,"2,826"
GP,143,137,749,177,143,135,30,66,"1,580"
BP,305,325,"2,094",421,359,358,72,41,"3,975"
Entries,"1,053",953,"5,080","1,662","2,294","2,833","1,689","4,336","19,900"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,31,7,40,29,146,149,82,210,695
MT,5,22,17,21,171,215,184,653,"1,289"
PL,45,13,101,41,457,653,377,959,"2,647"
CC,24,17,54,57,251,305,155,385,"1,247"
16,148,95,577,265,39,96,100,276,"1,597"
24,161,142,802,331,100,45,96,238,"1,916"
GP,86,96,536,144,94,90,26,43,"1,116"
BP,216,222,"1,534",359,258,236,49,47,"2,920"
Entries,717,614,"3,661","1,248","1,517","1,790","1,069","2,811","13,427"
