Exit stations,Entry stations->,,SATURDAY,,,Nov 09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	8 , 	62 , 	80 , 	41 , 	214 , 	58 , 	82 , 	38 , 	66 , 	14 , 	68 , 	47 , 	26 , 	22 , 	17 , 	8 , 	11 , 	26 , 	16 , 	9 , 	12 , 	6 , 	5 , 	12 , 	17 , 	93 , 	66 , 	235 , 	102 , 	69 , 	83 , 	20 , 	42 , 	28 , 	8 , 	4 , 	9 , 	1 , 	30 , 	7 , 	9 , 	19 , 	15 ," 	1,798 ",,,Eastbay," 	39,567 ",,SF CBD," 	104,794 ",60.2%,,,
EN, 	79 , 	7 , 	75 , 	53 , 	628 , 	98 , 	106 , 	64 , 	140 , 	30 , 	104 , 	111 , 	24 , 	47 , 	36 , 	19 , 	21 , 	34 , 	19 , 	10 , 	20 , 	7 , 	6 , 	20 , 	27 , 	189 , 	181 , 	645 , 	189 , 	72 , 	127 , 	38 , 	59 , 	51 , 	24 , 	10 , 	20 , 	3 , 	36 , 	14 , 	15 , 	53 , 	20 ," 	3,524 ",,,Westbay," 	55,461 ",,non-CBD," 	63,839 ",36.7%,,,
EP, 	91 , 	63 , 	7 , 	48 , 	586 , 	70 , 	58 , 	53 , 	96 , 	21 , 	40 , 	52 , 	16 , 	15 , 	15 , 	3 , 	9 , 	29 , 	15 , 	11 , 	19 , 	9 , 	5 , 	25 , 	12 , 	132 , 	128 , 	367 , 	125 , 	42 , 	44 , 	16 , 	15 , 	14 , 	3 , 	5 , 	10 , 	3 , 	7 , 	5 , 	4 , 	38 , 	15 ," 	2,334 ",,,Transbay," 	79,032 ",,,,,,,
NB, 	48 , 	56 , 	49 , 	8 , 	232 , 	45 , 	51 , 	61 , 	86 , 	24 , 	61 , 	54 , 	18 , 	22 , 	15 , 	4 , 	7 , 	27 , 	12 , 	13 , 	15 , 	7 , 	4 , 	9 , 	9 , 	194 , 	168 , 	434 , 	244 , 	105 , 	91 , 	25 , 	21 , 	19 , 	4 , 	4 , 	7 , 	2 , 	10 , 	3 , 	3 , 	72 , 	13 ," 	2,353 ",,,,,,,,,,,
BK, 	232 , 	619 , 	595 , 	258 , 	24 , 	231 , 	369 , 	227 , 	286 , 	119 , 	196 , 	232 , 	126 , 	143 , 	103 , 	38 , 	113 , 	349 , 	88 , 	139 , 	200 , 	135 , 	106 , 	55 , 	78 , 	675 , 	426 ," 	1,306 ", 	652 , 	229 , 	207 , 	134 , 	74 , 	155 , 	22 , 	54 , 	232 , 	32 , 	65 , 	19 , 	31 , 	177 , 	198 ," 	9,744 ",,,,,,,,,,,
AS, 	72 , 	99 , 	59 , 	40 , 	189 , 	6 , 	77 , 	89 , 	105 , 	37 , 	91 , 	74 , 	27 , 	34 , 	24 , 	11 , 	8 , 	30 , 	11 , 	11 , 	19 , 	6 , 	6 , 	17 , 	41 , 	142 , 	110 , 	325 , 	223 , 	133 , 	94 , 	19 , 	25 , 	22 , 	5 , 	7 , 	19 , 	4 , 	21 , 	3 , 	4 , 	46 , 	16 ," 	2,393 ",,,,,,,,,,,
MA, 	84 , 	99 , 	63 , 	52 , 	334 , 	81 , 	8 , 	54 , 	91 , 	26 , 	89 , 	119 , 	45 , 	68 , 	49 , 	24 , 	24 , 	47 , 	49 , 	25 , 	44 , 	20 , 	19 , 	44 , 	45 , 	283 , 	243 , 	716 , 	355 , 	210 , 	158 , 	39 , 	42 , 	33 , 	7 , 	10 , 	32 , 	8 , 	68 , 	5 , 	10 , 	85 , 	15 ," 	3,913 ",,,,,,,,,,,
19, 	44 , 	55 , 	56 , 	57 , 	214 , 	99 , 	53 , 	10 , 	18 , 	11 , 	62 , 	80 , 	38 , 	48 , 	40 , 	19 , 	25 , 	45 , 	31 , 	28 , 	40 , 	22 , 	15 , 	61 , 	29 , 	191 , 	155 , 	406 , 	275 , 	154 , 	105 , 	41 , 	30 , 	25 , 	6 , 	11 , 	22 , 	8 , 	31 , 	6 , 	12 , 	42 , 	23 ," 	2,739 ",,,,,,,,,,,
12, 	55 , 	125 , 	94 , 	75 , 	227 , 	99 , 	80 , 	15 , 	10 , 	15 , 	93 , 	143 , 	89 , 	102 , 	66 , 	32 , 	44 , 	85 , 	60 , 	43 , 	70 , 	35 , 	36 , 	55 , 	57 , 	227 , 	204 , 	599 , 	251 , 	120 , 	88 , 	41 , 	48 , 	45 , 	24 , 	18 , 	44 , 	16 , 	69 , 	12 , 	13 , 	65 , 	32 ," 	3,714 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	12 , 	29 , 	24 , 	29 , 	118 , 	35 , 	30 , 	12 , 	14 , 	6 , 	74 , 	140 , 	100 , 	127 , 	51 , 	22 , 	41 , 	64 , 	9 , 	6 , 	14 , 	6 , 	7 , 	21 , 	19 , 	183 , 	170 , 	532 , 	198 , 	88 , 	79 , 	24 , 	36 , 	36 , 	4 , 	48 , 	65 , 	3 , 	11 , 	4 , 	6 , 	19 , 	7 ," 	2,519 ",,,Dtwn SF," 	2,488 "," 	7,001 "," 	17,059 "," 	7,419 "," 	6,969 "," 	8,957 "," 	4,504 "," 	54,397 "
FV, 	72 , 	95 , 	50 , 	54 , 	198 , 	96 , 	92 , 	70 , 	102 , 	68 , 	6 , 	140 , 	150 , 	241 , 	149 , 	51 , 	45 , 	77 , 	33 , 	15 , 	28 , 	18 , 	15 , 	37 , 	86 , 	210 , 	208 , 	629 , 	302 , 	126 , 	146 , 	33 , 	54 , 	50 , 	13 , 	38 , 	73 , 	7 , 	53 , 	10 , 	11 , 	43 , 	21 ," 	4,010 ",,,OAK," 	6,689 ", 	751 ," 	1,832 "," 	2,326 "," 	1,054 "," 	2,621 ", 	412 ," 	15,684 "
CL, 	52 , 	111 , 	41 , 	46 , 	162 , 	71 , 	118 , 	76 , 	147 , 	136 , 	138 , 	5 , 	106 , 	154 , 	120 , 	63 , 	88 , 	174 , 	47 , 	39 , 	39 , 	22 , 	14 , 	35 , 	79 , 	232 , 	141 , 	458 , 	183 , 	75 , 	78 , 	57 , 	57 , 	72 , 	12 , 	51 , 	159 , 	9 , 	77 , 	20 , 	23 , 	35 , 	26 ," 	3,843 ",,,CM line," 	16,865 "," 	1,940 "," 	6,000 "," 	2,144 "," 	1,216 "," 	1,815 "," 	2,070 "," 	32,048 "
SL, 	25 , 	25 , 	19 , 	17 , 	130 , 	26 , 	47 , 	48 , 	97 , 	97 , 	151 , 	106 , 	7 , 	102 , 	88 , 	32 , 	30 , 	51 , 	16 , 	10 , 	14 , 	5 , 	2 , 	12 , 	24 , 	151 , 	108 , 	411 , 	126 , 	34 , 	53 , 	16 , 	25 , 	26 , 	5 , 	23 , 	42 , 	3 , 	24 , 	5 , 	6 , 	25 , 	14 ," 	2,275 ",,,RM line," 	7,349 "," 	2,478 "," 	2,133 "," 	5,125 "," 	1,287 "," 	2,979 ", 	797 ," 	22,147 "
BF, 	22 , 	37 , 	16 , 	23 , 	147 , 	35 , 	74 , 	57 , 	122 , 	97 , 	238 , 	161 , 	100 , 	9 , 	111 , 	89 , 	84 , 	133 , 	13 , 	9 , 	11 , 	3 , 	5 , 	13 , 	32 , 	117 , 	113 , 	411 , 	120 , 	39 , 	46 , 	17 , 	29 , 	28 , 	9 , 	61 , 	133 , 	3 , 	25 , 	6 , 	6 , 	12 , 	9 ," 	2,822 ",,,WP line," 	6,781 "," 	1,122 "," 	1,261 "," 	1,297 "," 	3,339 "," 	1,020 ", 	813 ," 	15,633 "
HY, 	19 , 	36 , 	11 , 	16 , 	107 , 	25 , 	53 , 	43 , 	66 , 	51 , 	156 , 	118 , 	82 , 	130 , 	7 , 	75 , 	81 , 	140 , 	14 , 	7 , 	10 , 	6 , 	4 , 	10 , 	19 , 	89 , 	51 , 	223 , 	76 , 	24 , 	28 , 	10 , 	18 , 	13 , 	5 , 	17 , 	43 , 	4 , 	21 , 	3 , 	10 , 	11 , 	10 ," 	1,933 ",,,FT/ED line," 	8,843 "," 	2,681 "," 	1,829 "," 	2,956 "," 	1,005 "," 	7,526 ", 	608 ," 	25,449 "
SH, 	11 , 	14 , 	5 , 	6 , 	37 , 	14 , 	21 , 	22 , 	37 , 	19 , 	54 , 	60 , 	39 , 	84 , 	65 , 	3 , 	41 , 	75 , 	8 , 	2 , 	4 , 	3 , 	2 , 	5 , 	7 , 	55 , 	41 , 	157 , 	52 , 	22 , 	25 , 	9 , 	14 , 	16 , 	4 , 	14 , 	25 , 	2 , 	15 , 	4 , 	2 , 	9 , 	5 ," 	1,101 ",,,SFIA," 	3,872 ", 	356 ," 	1,877 ", 	677 , 	717 , 	478 , 	727 ," 	8,703 "
UC, 	6 , 	21 , 	9 , 	8 , 	117 , 	13 , 	22 , 	23 , 	50 , 	37 , 	53 , 	87 , 	34 , 	93 , 	87 , 	43 , 	9 , 	84 , 	9 , 	6 , 	9 , 	3 , 	3 , 	8 , 	8 , 	92 , 	66 , 	286 , 	81 , 	21 , 	16 , 	7 , 	17 , 	27 , 	10 , 	8 , 	34 , 	3 , 	10 , 	4 , 	6 , 	20 , 	6 ," 	1,550 ",,,Entries," 	52,886 "," 	16,329 "," 	31,989 "," 	21,943 "," 	15,586 "," 	25,396 "," 	9,931 "," 	174,060 "
FM, 	23 , 	35 , 	27 , 	26 , 	387 , 	31 , 	50 , 	48 , 	91 , 	55 , 	86 , 	175 , 	53 , 	129 , 	152 , 	71 , 	88 , 	14 , 	13 , 	21 , 	18 , 	7 , 	6 , 	17 , 	19 , 	197 , 	139 , 	596 , 	156 , 	34 , 	35 , 	17 , 	26 , 	31 , 	6 , 	20 , 	54 , 	4 , 	26 , 	4 , 	4 , 	44 , 	4 ," 	3,036 ",,,,,,,,,,,
CN, 	19 , 	18 , 	15 , 	9 , 	79 , 	13 , 	56 , 	30 , 	64 , 	9 , 	29 , 	47 , 	13 , 	16 , 	11 , 	9 , 	9 , 	16 , 	9 , 	63 , 	185 , 	59 , 	22 , 	49 , 	9 , 	160 , 	95 , 	301 , 	123 , 	34 , 	41 , 	19 , 	23 , 	27 , 	11 , 	2 , 	11 , 	15 , 	185 , 	11 , 	10 , 	56 , 	16 ," 	1,991 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	10 , 	12 , 	9 , 	13 , 	133 , 	12 , 	32 , 	30 , 	48 , 	4 , 	17 , 	39 , 	9 , 	9 , 	7 , 	2 , 	5 , 	13 , 	60 , 	10 , 	80 , 	21 , 	16 , 	83 , 	6 , 	216 , 	145 , 	404 , 	138 , 	34 , 	27 , 	19 , 	16 , 	28 , 	6 , 	5 , 	7 , 	10 , 	58 , 	7 , 	6 , 	96 , 	17 ," 	1,918 ",,,Dtwn SF," 	2,488 ",,,,,,,
WC, 	12 , 	24 , 	15 , 	14 , 	199 , 	21 , 	45 , 	46 , 	81 , 	11 , 	27 , 	45 , 	11 , 	10 , 	9 , 	4 , 	9 , 	17 , 	248 , 	88 , 	9 , 	56 , 	37 , 	145 , 	7 , 	270 , 	196 , 	579 , 	217 , 	45 , 	41 , 	23 , 	18 , 	32 , 	9 , 	5 , 	8 , 	21 , 	111 , 	10 , 	11 , 	122 , 	21 ," 	2,925 ",,,OAK," 	13,690 ", 	751 ,,,,,,
LF, 	8 , 	8 , 	10 , 	8 , 	134 , 	8 , 	21 , 	21 , 	33 , 	5 , 	16 , 	27 , 	4 , 	6 , 	5 , 	3 , 	2 , 	7 , 	80 , 	27 , 	58 , 	5 , 	15 , 	108 , 	5 , 	164 , 	110 , 	324 , 	123 , 	25 , 	22 , 	11 , 	6 , 	13 , 	2 , 	1 , 	3 , 	7 , 	22 , 	2 , 	5 , 	62 , 	9 ," 	1,526 ",,,CM line," 	33,923 "," 	3,772 "," 	6,000 ",,,,,
OR, 	5 , 	6 , 	4 , 	5 , 	106 , 	5 , 	22 , 	18 , 	47 , 	4 , 	13 , 	16 , 	2 , 	4 , 	4 , 	2 , 	2 , 	5 , 	27 , 	20 , 	27 , 	13 , 	4 , 	97 , 	7 , 	117 , 	107 , 	254 , 	97 , 	21 , 	23 , 	13 , 	8 , 	10 , 	5 , 	2 , 	3 , 	2 , 	13 , 	3 , 	2 , 	45 , 	12 ," 	1,199 ",,,RM line," 	14,767 "," 	4,804 "," 	4,276 "," 	5,125 ",,,,
RR, 	16 , 	19 , 	28 , 	13 , 	58 , 	15 , 	47 , 	61 , 	57 , 	22 , 	35 , 	46 , 	14 , 	10 , 	10 , 	6 , 	8 , 	17 , 	58 , 	86 , 	149 , 	109 , 	106 , 	12 , 	22 , 	328 , 	248 , 	657 , 	331 , 	141 , 	102 , 	34 , 	18 , 	22 , 	6 , 	6 , 	12 , 	18 , 	40 , 	6 , 	6 , 	99 , 	24 ," 	3,111 ",,,WP line," 	13,750 "," 	2,176 "," 	2,476 "," 	2,584 "," 	3,339 ",,,
OW, 	15 , 	25 , 	12 , 	8 , 	76 , 	33 , 	42 , 	29 , 	60 , 	13 , 	83 , 	61 , 	19 , 	37 , 	21 , 	7 , 	12 , 	17 , 	10 , 	4 , 	8 , 	6 , 	10 , 	22 , 	8 , 	302 , 	263 , 	845 , 	294 , 	154 , 	110 , 	28 , 	33 , 	23 , 	4 , 	8 , 	19 , 	5 , 	21 , 	3 , 	8 , 	35 , 	14 ," 	2,800 ",,,FT/ED line," 	17,801 "," 	5,302 "," 	3,644 "," 	5,934 "," 	2,026 "," 	7,526 ",,
EM, 	106 , 	222 , 	157 , 	243 , 	727 , 	174 , 	359 , 	239 , 	295 , 	198 , 	245 , 	266 , 	148 , 	140 , 	96 , 	52 , 	114 , 	237 , 	187 , 	240 , 	328 , 	186 , 	139 , 	387 , 	352 , 	58 , 	39 , 	361 , 	177 , 	457 , 	572 , 	330 , 	462 , 	194 , 	77 , 	116 , 	510 , 	66 , 	156 , 	63 , 	67 , 	352 , 	167 ," 	10,056 ",,,SFIA," 	8,376 ", 	768 ," 	3,947 "," 	1,474 "," 	1,529 "," 	1,086 ", 	727 ," 	174,060 "
MT, 	81 , 	216 , 	161 , 	221 , 	496 , 	163 , 	310 , 	214 , 	245 , 	206 , 	227 , 	168 , 	142 , 	143 , 	63 , 	59 , 	96 , 	171 , 	117 , 	177 , 	213 , 	133 , 	110 , 	324 , 	337 , 	36 , 	44 , 	83 , 	116 , 	491 , 	640 , 	483 ," 	1,368 ", 	282 , 	127 , 	91 , 	286 , 	46 , 	123 , 	75 , 	70 , 	264 , 	173 ," 	9,586 ",,,,,,,,,,,
PL, 	207 , 	590 , 	323 , 	410 ," 	1,260 ", 	308 , 	659 , 	428 , 	532 , 	471 , 	593 , 	455 , 	376 , 	369 , 	205 , 	120 , 	249 , 	531 , 	272 , 	382 , 	578 , 	321 , 	275 , 	604 , 	853 , 	388 , 	89 , 	166 , 	341 ," 	1,627 "," 	2,073 "," 	1,197 "," 	2,267 "," 	1,031 ", 	374 , 	259 ," 	1,059 ", 	149 , 	378 , 	302 , 	283 ," 	1,133 ", 	698 ," 	25,183 ",,,,,,,,,,,
