Fast Pass OD,,,,,,Jan 10,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,47,35,120,124,503,913,737,"1,040","3,517"
MT,35,36,72,124,623,"1,139",978,"1,795","4,801"
PL,164,105,46,98,545,853,559,"1,416","3,786"
CC,101,112,103,30,360,534,424,933,"2,597"
16,446,504,674,392,18,181,202,485,"2,902"
24,699,850,"1,024",551,180,24,147,418,"3,893"
GP,639,736,716,385,184,148,15,101,"2,924"
BP,894,"1,035","2,034",853,457,443,101,28,"5,845"
Entries,"3,026","3,412","4,789","2,556","2,869","4,234","3,162","6,216","30,265"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,8,33,25,160,223,119,254,841
MT,7,12,18,21,199,249,247,780,"1,533"
PL,42,15,52,40,431,689,439,"1,038","2,746"
CC,23,12,44,23,210,277,140,294,"1,023"
16,148,111,532,252,20,129,109,257,"1,559"
24,170,146,774,272,107,30,101,253,"1,852"
GP,103,111,548,129,102,96,13,41,"1,142"
BP,217,245,"1,488",274,238,241,44,33,"2,778"
Entries,728,660,"3,489","1,036","1,465","1,935","1,210","2,951","13,474"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,3,21,17,112,131,68,154,525
MT,1,10,12,13,125,157,136,507,961
PL,25,6,55,31,311,481,294,737,"1,940"
CC,12,7,34,32,173,213,108,271,850
16,111,65,397,193,25,78,79,185,"1,132"
24,124,97,607,231,75,29,71,166,"1,400"
GP,67,67,412,110,67,77,12,32,845
BP,159,151,"1,104",243,161,173,35,27,"2,053"
Entries,519,405,"2,642",871,"1,048","1,338",803,"2,080","9,706"
