Exit stations,Entry stations->,,SUNDAY,,,Jan 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	3 , 	39 , 	50 , 	30 , 	116 , 	44 , 	55 , 	24 , 	42 , 	17 , 	43 , 	50 , 	11 , 	18 , 	15 , 	7 , 	7 , 	15 , 	13 , 	4 , 	7 , 	3 , 	4 , 	8 , 	17 , 	52 , 	36 , 	141 , 	66 , 	48 , 	42 , 	13 , 	19 , 	15 , 	8 , 	1 , 	8 , 	1 , 	19 , 	6 , 	11 , 	21 , 	10 ," 	1,159 ",,,Eastbay," 	25,071 ",,SF CBD," 	58,615 ",56.9%,,,
EN, 	45 , 	6 , 	49 , 	38 , 	176 , 	58 , 	83 , 	38 , 	79 , 	26 , 	63 , 	158 , 	27 , 	25 , 	26 , 	15 , 	14 , 	33 , 	21 , 	8 , 	12 , 	3 , 	5 , 	11 , 	15 , 	108 , 	82 , 	298 , 	110 , 	39 , 	50 , 	21 , 	38 , 	30 , 	18 , 	5 , 	13 , 	3 , 	23 , 	11 , 	11 , 	45 , 	17 ," 	1,955 ",,,Westbay," 	33,616 ",,non-CBD," 	40,015 ",38.8%,,,
EP, 	50 , 	48 , 	2 , 	34 , 	209 , 	57 , 	39 , 	31 , 	48 , 	22 , 	31 , 	50 , 	12 , 	8 , 	5 , 	6 , 	6 , 	18 , 	10 , 	7 , 	9 , 	4 , 	3 , 	21 , 	8 , 	65 , 	55 , 	211 , 	89 , 	24 , 	22 , 	10 , 	10 , 	9 , 	2 , 	2 , 	8 , 	2 , 	3 , 	3 , 	1 , 	50 , 	11 ," 	1,319 ",,,Transbay," 	44,325 ",,,,,,,
NB, 	35 , 	38 , 	31 , 	4 , 	57 , 	34 , 	37 , 	41 , 	55 , 	21 , 	36 , 	49 , 	16 , 	16 , 	12 , 	3 , 	9 , 	22 , 	10 , 	7 , 	8 , 	7 , 	2 , 	6 , 	8 , 	100 , 	103 , 	262 , 	145 , 	57 , 	65 , 	17 , 	13 , 	13 , 	3 , 	2 , 	10 , 	1 , 	9 , 	4 , 	3 , 	61 , 	13 ," 	1,445 ",,,,,,,,,,,
BK, 	135 , 	170 , 	195 , 	55 , 	12 , 	104 , 	142 , 	117 , 	153 , 	63 , 	90 , 	216 , 	38 , 	42 , 	39 , 	16 , 	31 , 	156 , 	29 , 	27 , 	38 , 	23 , 	18 , 	21 , 	38 , 	212 , 	159 , 	598 , 	272 , 	139 , 	108 , 	38 , 	31 , 	38 , 	10 , 	15 , 	42 , 	9 , 	13 , 	7 , 	8 , 	245 , 	53 ," 	3,962 ",,,,,,,,,,,
AS, 	50 , 	61 , 	47 , 	32 , 	92 , 	4 , 	59 , 	60 , 	58 , 	30 , 	65 , 	74 , 	25 , 	24 , 	17 , 	8 , 	14 , 	23 , 	13 , 	8 , 	16 , 	7 , 	5 , 	12 , 	31 , 	92 , 	76 , 	205 , 	156 , 	101 , 	73 , 	17 , 	17 , 	11 , 	3 , 	4 , 	9 , 	4 , 	12 , 	3 , 	2 , 	45 , 	11 ," 	1,675 ",,,,,,,,,,,
MA, 	57 , 	76 , 	47 , 	35 , 	124 , 	61 , 	8 , 	36 , 	59 , 	26 , 	64 , 	120 , 	32 , 	45 , 	35 , 	12 , 	14 , 	30 , 	29 , 	22 , 	34 , 	12 , 	11 , 	29 , 	26 , 	161 , 	124 , 	393 , 	257 , 	136 , 	102 , 	23 , 	27 , 	23 , 	6 , 	7 , 	17 , 	6 , 	53 , 	4 , 	5 , 	88 , 	11 ," 	2,487 ",,,,,,,,,,,
19, 	27 , 	35 , 	29 , 	31 , 	101 , 	52 , 	38 , 	4 , 	17 , 	14 , 	35 , 	62 , 	24 , 	30 , 	24 , 	12 , 	10 , 	24 , 	19 , 	12 , 	19 , 	5 , 	6 , 	29 , 	21 , 	95 , 	79 , 	233 , 	155 , 	81 , 	69 , 	21 , 	13 , 	16 , 	3 , 	5 , 	9 , 	5 , 	22 , 	3 , 	4 , 	40 , 	9 ," 	1,545 ",,,,,,,,,,,
12, 	33 , 	66 , 	35 , 	50 , 	119 , 	52 , 	52 , 	8 , 	7 , 	12 , 	48 , 	93 , 	51 , 	62 , 	38 , 	12 , 	28 , 	42 , 	32 , 	23 , 	33 , 	15 , 	17 , 	38 , 	36 , 	137 , 	127 , 	367 , 	171 , 	67 , 	51 , 	24 , 	39 , 	24 , 	13 , 	7 , 	17 , 	5 , 	42 , 	8 , 	8 , 	66 , 	26 ," 	2,202 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	19 , 	23 , 	27 , 	18 , 	55 , 	34 , 	31 , 	12 , 	13 , 	3 , 	79 , 	94 , 	73 , 	75 , 	29 , 	19 , 	25 , 	44 , 	8 , 	3 , 	8 , 	2 , 	5 , 	13 , 	19 , 	115 , 	106 , 	370 , 	157 , 	87 , 	81 , 	26 , 	33 , 	18 , 	3 , 	32 , 	37 , 	1 , 	8 , 	4 , 	2 , 	25 , 	5 ," 	1,844 ",,,Dtwn SF," 	1,208 "," 	4,067 "," 	9,580 "," 	3,481 "," 	3,402 "," 	4,701 "," 	2,910 "," 	29,349 "
