Exit stations,Entry stations->,,WEEKDAY,,,Jan 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	5 , 	108 , 	108 , 	90 , 	346 , 	80 , 	142 , 	134 , 	182 , 	36 , 	94 , 	69 , 	44 , 	34 , 	36 , 	17 , 	15 , 	33 , 	24 , 	17 , 	20 , 	7 , 	7 , 	20 , 	23 , 	225 , 	221 , 	276 , 	226 , 	120 , 	110 , 	28 , 	53 , 	34 , 	13 , 	8 , 	19 , 	6 , 	31 , 	10 , 	13 , 	26 , 	18 ," 	3,128 ",,,Eastbay," 	72,414 ",,SF CBD," 	204,902 ",64.3%,,,
EN, 	129 , 	11 , 	101 , 	83 , 	787 , 	123 , 	264 , 	420 , 	610 , 	89 , 	129 , 	149 , 	52 , 	43 , 	81 , 	30 , 	33 , 	71 , 	42 , 	26 , 	30 , 	10 , 	13 , 	28 , 	42 , 	779 , 	747 , 	671 , 	647 , 	143 , 	133 , 	45 , 	95 , 	93 , 	22 , 	8 , 	34 , 	7 , 	39 , 	27 , 	29 , 	44 , 	60 ," 	7,019 ",,,Westbay," 	90,408 ",,non-CBD," 	107,560 ",33.7%,,,
EP, 	106 , 	83 , 	5 , 	58 , 	587 , 	70 , 	121 , 	225 , 	269 , 	67 , 	62 , 	56 , 	23 , 	12 , 	32 , 	9 , 	10 , 	35 , 	23 , 	16 , 	25 , 	9 , 	8 , 	29 , 	11 , 	467 , 	519 , 	336 , 	332 , 	70 , 	50 , 	30 , 	37 , 	37 , 	5 , 	3 , 	17 , 	4 , 	10 , 	7 , 	5 , 	47 , 	21 ," 	3,946 ",,,Transbay," 	156,004 ",,,,,,,
NB, 	77 , 	66 , 	61 , 	8 , 	187 , 	53 , 	86 , 	206 , 	242 , 	58 , 	68 , 	58 , 	21 , 	24 , 	19 , 	10 , 	12 , 	30 , 	15 , 	16 , 	18 , 	10 , 	8 , 	18 , 	14 , 	568 , 	587 , 	351 , 	398 , 	121 , 	75 , 	31 , 	30 , 	30 , 	4 , 	6 , 	15 , 	2 , 	10 , 	6 , 	7 , 	68 , 	29 ," 	3,723 ",,,,,,,,,,,
BK, 	382 , 	800 , 	581 , 	204 , 	14 , 	325 , 	428 , 	428 , 	503 , 	206 , 	252 , 	267 , 	134 , 	130 , 	127 , 	77 , 	137 , 	262 , 	108 , 	136 , 	136 , 	80 , 	66 , 	54 , 	77 , 	645 , 	620 , 	733 , 	680 , 	308 , 	292 , 	117 , 	85 , 	110 , 	33 , 	48 , 	124 , 	35 , 	76 , 	25 , 	28 , 	206 , 	119 ," 	10,198 ",,,,,,,,,,,
AS, 	75 , 	103 , 	63 , 	48 , 	287 , 	4 , 	82 , 	171 , 	213 , 	68 , 	100 , 	89 , 	37 , 	39 , 	46 , 	18 , 	24 , 	48 , 	24 , 	21 , 	27 , 	8 , 	9 , 	18 , 	36 , 	437 , 	470 , 	330 , 	387 , 	160 , 	110 , 	29 , 	41 , 	29 , 	7 , 	8 , 	28 , 	5 , 	26 , 	7 , 	5 , 	50 , 	20 ," 	3,804 ",,,,,,,,,,,
MA, 	149 , 	266 , 	116 , 	87 , 	409 , 	83 , 	10 , 	157 , 	227 , 	87 , 	167 , 	189 , 	109 , 	103 , 	118 , 	69 , 	83 , 	143 , 	134 , 	112 , 	111 , 	51 , 	37 , 	63 , 	76 , 	804 , 	849 , 	699 , 	705 , 	279 , 	198 , 	87 , 	87 , 	83 , 	27 , 	31 , 	83 , 	40 , 	177 , 	22 , 	25 , 	80 , 	40 ," 	7,472 ",,,,,,,,,,,
19, 	139 , 	414 , 	215 , 	209 , 	375 , 	171 , 	142 , 	10 , 	73 , 	44 , 	131 , 	175 , 	191 , 	189 , 	206 , 	141 , 	186 , 	357 , 	252 , 	311 , 	240 , 	150 , 	103 , 	139 , 	56 , 	736 , 	698 , 	553 , 	641 , 	229 , 	216 , 	134 , 	107 , 	121 , 	65 , 	66 , 	224 , 	105 , 	216 , 	66 , 	36 , 	42 , 	78 ," 	8,954 ",,,,,,,,,,,
12, 	190 , 	588 , 	271 , 	245 , 	419 , 	213 , 	229 , 	63 , 	17 , 	48 , 	206 , 	313 , 	338 , 	346 , 	307 , 	192 , 	239 , 	463 , 	302 , 	367 , 	309 , 	178 , 	162 , 	188 , 	80 , 	841 , 	856 , 	761 , 	768 , 	249 , 	248 , 	146 , 	138 , 	161 , 	95 , 	108 , 	347 , 	124 , 	274 , 	76 , 	62 , 	84 , 	116 ," 	11,726 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	33 , 	85 , 	63 , 	61 , 	196 , 	63 , 	82 , 	43 , 	49 , 	7 , 	144 , 	206 , 	211 , 	218 , 	155 , 	89 , 	124 , 	158 , 	33 , 	25 , 	29 , 	11 , 	12 , 	32 , 	38 , 	548 , 	572 , 	513 , 	395 , 	139 , 	110 , 	50 , 	66 , 	71 , 	10 , 	79 , 	199 , 	14 , 	39 , 	14 , 	9 , 	21 , 	20 ," 	5,036 ",,,Dtwn SF,"4,638","14,204","29,105","10,732","18,016","20,292","7,691","104,677"
