Fast Pass OD,,,,,,Feb 10,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,46,29,117,121,479,875,733,"1,044","3,442"
MT,35,32,75,124,589,"1,167",968,"1,906","4,896"
PL,164,105,49,103,524,858,563,"1,649","4,015"
CC,95,109,108,31,356,571,427,"1,076","2,773"
16,421,482,659,386,18,182,198,564,"2,911"
24,678,856,"1,043",565,176,27,167,593,"4,105"
GP,640,730,715,386,187,166,14,128,"2,966"
BP,891,"1,061","2,342","1,019",540,629,130,33,"6,645"
Entries,"2,968","3,405","5,108","2,734","2,870","4,476","3,201","6,992","31,753"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,11,49,34,186,228,134,262,925
MT,7,13,20,23,214,297,273,821,"1,667"
PL,60,20,63,50,477,736,462,"1,105","2,972"
CC,27,20,45,30,247,317,164,326,"1,176"
16,161,134,523,263,18,148,130,300,"1,677"
24,164,184,823,307,135,30,116,294,"2,052"
GP,99,139,581,137,109,102,13,55,"1,234"
BP,214,284,"1,506",295,253,277,61,27,"2,918"
Entries,753,804,"3,608","1,139","1,638","2,135","1,354","3,189","14,620"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,3,30,17,109,144,68,164,553
MT,4,14,12,15,116,164,144,490,959
PL,30,9,61,34,297,473,291,728,"1,923"
CC,20,9,36,31,176,227,120,264,881
16,106,72,371,197,22,88,90,186,"1,132"
24,135,105,568,244,79,32,73,175,"1,411"
GP,68,75,391,118,82,81,17,32,864
BP,162,164,"1,107",228,169,178,35,25,"2,067"
Entries,542,451,"2,575",883,"1,050","1,386",838,"2,064","9,789"
