Fast Pass OD,,,,,,Mar 10,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,42,27,112,117,462,841,726,"1,037","3,364"
MT,29,33,70,116,564,"1,091",939,"1,807","4,650"
PL,154,92,52,95,510,837,558,"1,587","3,884"
CC,91,104,102,33,337,544,418,"1,016","2,645"
16,419,451,632,376,21,170,192,536,"2,796"
24,641,811,997,548,172,34,153,528,"3,883"
GP,634,711,708,376,181,156,18,123,"2,907"
BP,904,"1,025","2,249",954,514,569,123,36,"6,373"
Entries,"2,913","3,253","4,922","2,615","2,761","4,241","3,128","6,669","30,503"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,6,44,35,177,212,132,288,912
MT,7,8,21,19,203,272,262,817,"1,608"
PL,45,14,58,45,469,702,444,"1,115","2,892"
CC,23,16,45,29,236,329,168,358,"1,203"
16,152,124,529,289,26,132,145,307,"1,703"
24,162,165,768,314,119,31,121,314,"1,993"
GP,108,133,529,148,112,116,16,65,"1,226"
BP,233,277,"1,553",318,267,291,57,29,"3,024"
Entries,748,742,"3,547","1,196","1,608","2,085","1,344","3,292","14,561"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,18,4,18,18,100,146,80,173,556
MT,2,11,11,17,106,168,129,506,948
PL,23,7,65,29,308,456,290,763,"1,941"
CC,11,8,36,38,180,198,111,285,865
16,112,66,364,193,29,81,92,211,"1,148"
24,130,110,563,220,72,35,77,186,"1,391"
GP,79,67,399,109,85,78,16,38,870
BP,174,148,"1,152",264,193,190,36,25,"2,181"
Entries,549,421,"2,606",885,"1,072","1,351",830,"2,187","9,899"
