Exit stations,Entry stations->,,SUNDAY,,,Mar 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	5 , 	41 , 	59 , 	33 , 	133 , 	57 , 	60 , 	29 , 	41 , 	23 , 	55 , 	49 , 	13 , 	21 , 	16 , 	8 , 	12 , 	18 , 	10 , 	2 , 	6 , 	4 , 	1 , 	9 , 	13 , 	57 , 	41 , 	149 , 	76 , 	45 , 	55 , 	12 , 	29 , 	24 , 	9 , 	2 , 	10 , 	1 , 	28 , 	8 , 	8 , 	19 , 	14 ," 	1,299 ",,,Eastbay," 	26,498 ",,SF CBD," 	64,128 ",57.2%,,,
EN, 	49 , 	8 , 	55 , 	37 , 	197 , 	76 , 	80 , 	47 , 	99 , 	37 , 	73 , 	81 , 	20 , 	26 , 	33 , 	13 , 	16 , 	34 , 	18 , 	7 , 	18 , 	6 , 	4 , 	14 , 	14 , 	142 , 	90 , 	337 , 	121 , 	41 , 	65 , 	23 , 	41 , 	33 , 	21 , 	5 , 	13 , 	2 , 	26 , 	9 , 	16 , 	41 , 	24 ," 	2,106 ",,,Westbay," 	35,975 ",,non-CBD," 	43,342 ",38.7%,,,
EP, 	58 , 	55 , 	3 , 	31 , 	242 , 	63 , 	48 , 	43 , 	63 , 	37 , 	35 , 	35 , 	15 , 	11 , 	9 , 	7 , 	6 , 	20 , 	7 , 	5 , 	13 , 	3 , 	5 , 	21 , 	7 , 	88 , 	61 , 	208 , 	103 , 	32 , 	32 , 	14 , 	15 , 	13 , 	1 , 	5 , 	12 , 	2 , 	6 , 	4 , 	4 , 	45 , 	7 ," 	1,489 ",,,Transbay," 	49,561 ",,,,,,,
NB, 	38 , 	42 , 	32 , 	4 , 	54 , 	40 , 	41 , 	49 , 	84 , 	28 , 	44 , 	47 , 	17 , 	16 , 	11 , 	3 , 	6 , 	28 , 	9 , 	11 , 	12 , 	11 , 	2 , 	9 , 	10 , 	143 , 	106 , 	270 , 	196 , 	78 , 	63 , 	18 , 	13 , 	15 , 	3 , 	2 , 	4 , 	2 , 	17 , 	1 , 	3 , 	68 , 	15 ," 	1,658 ",,,,,,,,,,,
BK, 	162 , 	187 , 	251 , 	56 , 	19 , 	118 , 	154 , 	141 , 	209 , 	67 , 	118 , 	386 , 	49 , 	40 , 	45 , 	26 , 	47 , 	204 , 	28 , 	23 , 	55 , 	26 , 	14 , 	29 , 	40 , 	321 , 	208 , 	672 , 	322 , 	156 , 	123 , 	47 , 	35 , 	53 , 	12 , 	12 , 	56 , 	8 , 	16 , 	8 , 	13 , 	392 , 	86 ," 	5,026 ",,,,,,,,,,,
AS, 	67 , 	73 , 	65 , 	33 , 	98 , 	6 , 	69 , 	88 , 	101 , 	51 , 	95 , 	66 , 	27 , 	24 , 	21 , 	10 , 	15 , 	28 , 	9 , 	7 , 	18 , 	6 , 	5 , 	11 , 	37 , 	115 , 	71 , 	209 , 	175 , 	114 , 	84 , 	18 , 	19 , 	14 , 	2 , 	3 , 	13 , 	3 , 	15 , 	3 , 	3 , 	60 , 	14 ," 	1,959 ",,,,,,,,,,,
MA, 	59 , 	82 , 	43 , 	33 , 	128 , 	67 , 	4 , 	55 , 	134 , 	34 , 	81 , 	87 , 	39 , 	57 , 	38 , 	15 , 	14 , 	31 , 	29 , 	21 , 	45 , 	21 , 	13 , 	28 , 	37 , 	191 , 	134 , 	391 , 	278 , 	157 , 	124 , 	29 , 	34 , 	19 , 	6 , 	8 , 	22 , 	8 , 	46 , 	6 , 	6 , 	82 , 	16 ," 	2,748 ",,,,,,,,,,,
19, 	27 , 	41 , 	35 , 	50 , 	128 , 	74 , 	44 , 	7 , 	24 , 	15 , 	42 , 	46 , 	27 , 	38 , 	26 , 	12 , 	15 , 	24 , 	20 , 	14 , 	35 , 	17 , 	11 , 	51 , 	29 , 	127 , 	94 , 	254 , 	178 , 	91 , 	71 , 	25 , 	18 , 	14 , 	6 , 	5 , 	11 , 	6 , 	26 , 	5 , 	2 , 	34 , 	12 ," 	1,827 ",,,,,,,,,,,
12, 	41 , 	78 , 	59 , 	67 , 	167 , 	89 , 	109 , 	15 , 	8 , 	19 , 	95 , 	98 , 	76 , 	81 , 	49 , 	26 , 	45 , 	63 , 	33 , 	18 , 	59 , 	35 , 	33 , 	108 , 	77 , 	198 , 	153 , 	439 , 	192 , 	90 , 	61 , 	37 , 	38 , 	33 , 	18 , 	11 , 	27 , 	7 , 	54 , 	10 , 	9 , 	60 , 	25 ," 	3,006 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	25 , 	36 , 	39 , 	29 , 	70 , 	52 , 	39 , 	12 , 	24 , 	6 , 	135 , 	87 , 	93 , 	94 , 	42 , 	27 , 	29 , 	44 , 	4 , 	4 , 	13 , 	4 , 	8 , 	21 , 	35 , 	153 , 	128 , 	402 , 	209 , 	114 , 	101 , 	25 , 	41 , 	30 , 	5 , 	33 , 	54 , 	3 , 	10 , 	4 , 	4 , 	19 , 	4 ," 	2,305 ",,,Dtwn SF," 	1,317 "," 	4,633 "," 	9,866 "," 	4,088 "," 	3,741 "," 	5,107 "," 	3,544 "," 	32,295 "
