Exit stations,Entry stations->,,SATURDAY,,,Apr 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	9 , 	71 , 	77 , 	35 , 	224 , 	75 , 	79 , 	44 , 	60 , 	16 , 	77 , 	68 , 	18 , 	27 , 	21 , 	10 , 	12 , 	21 , 	16 , 	7 , 	8 , 	3 , 	4 , 	13 , 	22 , 	92 , 	77 , 	241 , 	107 , 	79 , 	92 , 	18 , 	38 , 	24 , 	8 , 	8 , 	8 , 	1 , 	27 , 	9 , 	6 , 	13 , 	16 ," 	1,877 ",,,Eastbay," 	40,079 ",,SF CBD," 	102,036 ",60.0%,,,
EN, 	77 , 	10 , 	76 , 	52 , 	417 , 	104 , 	123 , 	67 , 	130 , 	27 , 	109 , 	161 , 	27 , 	40 , 	43 , 	15 , 	19 , 	41 , 	20 , 	12 , 	19 , 	6 , 	8 , 	20 , 	27 , 	247 , 	193 , 	634 , 	200 , 	74 , 	114 , 	29 , 	63 , 	59 , 	21 , 	6 , 	19 , 	3 , 	37 , 	11 , 	16 , 	42 , 	22 ," 	3,435 ",,,Westbay," 	51,421 ",,non-CBD," 	63,463 ",37.3%,,,
EP, 	86 , 	72 , 	6 , 	38 , 	423 , 	86 , 	63 , 	55 , 	108 , 	27 , 	47 , 	83 , 	18 , 	19 , 	11 , 	6 , 	6 , 	25 , 	12 , 	8 , 	17 , 	7 , 	6 , 	24 , 	10 , 	152 , 	125 , 	346 , 	148 , 	41 , 	44 , 	14 , 	15 , 	18 , 	3 , 	3 , 	13 , 	3 , 	6 , 	3 , 	4 , 	35 , 	12 ," 	2,243 ",,,Transbay," 	78,461 ",,,,,,,
NB, 	37 , 	50 , 	40 , 	5 , 	131 , 	45 , 	53 , 	62 , 	102 , 	30 , 	46 , 	66 , 	19 , 	22 , 	13 , 	7 , 	9 , 	19 , 	12 , 	9 , 	14 , 	7 , 	8 , 	13 , 	9 , 	191 , 	170 , 	386 , 	232 , 	95 , 	92 , 	21 , 	17 , 	18 , 	3 , 	4 , 	10 , 	2 , 	11 , 	4 , 	5 , 	47 , 	12 ," 	2,145 ",,,,,,,,,,,
BK, 	226 , 	414 , 	433 , 	156 , 	19 , 	225 , 	283 , 	232 , 	323 , 	106 , 	189 , 	232 , 	123 , 	91 , 	74 , 	55 , 	92 , 	271 , 	51 , 	55 , 	102 , 	56 , 	41 , 	43 , 	68 , 	543 , 	365 ," 	1,274 ", 	536 , 	258 , 	202 , 	79 , 	70 , 	114 , 	21 , 	33 , 	119 , 	18 , 	32 , 	16 , 	11 , 	120 , 	107 ," 	7,874 ",,,,,,,,,,,
AS, 	67 , 	91 , 	76 , 	48 , 	179 , 	6 , 	93 , 	104 , 	127 , 	30 , 	103 , 	95 , 	29 , 	33 , 	27 , 	11 , 	13 , 	28 , 	9 , 	12 , 	14 , 	6 , 	6 , 	9 , 	36 , 	175 , 	134 , 	311 , 	209 , 	133 , 	99 , 	21 , 	26 , 	16 , 	2 , 	4 , 	12 , 	3 , 	20 , 	3 , 	3 , 	33 , 	16 ," 	2,468 ",,,,,,,,,,,
MA, 	64 , 	114 , 	67 , 	49 , 	267 , 	96 , 	12 , 	76 , 	100 , 	26 , 	108 , 	148 , 	48 , 	69 , 	52 , 	22 , 	20 , 	39 , 	61 , 	27 , 	42 , 	23 , 	16 , 	37 , 	47 , 	322 , 	255 , 	672 , 	351 , 	187 , 	153 , 	37 , 	38 , 	32 , 	9 , 	9 , 	26 , 	11 , 	72 , 	5 , 	10 , 	52 , 	22 ," 	3,889 ",,,,,,,,,,,
19, 	44 , 	78 , 	48 , 	60 , 	216 , 	102 , 	77 , 	8 , 	20 , 	10 , 	68 , 	78 , 	35 , 	48 , 	31 , 	17 , 	23 , 	41 , 	33 , 	35 , 	48 , 	21 , 	25 , 	64 , 	29 , 	192 , 	164 , 	378 , 	268 , 	171 , 	116 , 	36 , 	28 , 	25 , 	8 , 	13 , 	30 , 	12 , 	39 , 	8 , 	6 , 	26 , 	21 ," 	2,796 ",,,,,,,,,,,
12, 	57 , 	123 , 	103 , 	110 , 	279 , 	114 , 	92 , 	17 , 	9 , 	13 , 	87 , 	142 , 	77 , 	105 , 	76 , 	27 , 	42 , 	87 , 	63 , 	39 , 	69 , 	28 , 	34 , 	76 , 	58 , 	269 , 	231 , 	578 , 	261 , 	119 , 	99 , 	40 , 	54 , 	50 , 	21 , 	15 , 	34 , 	14 , 	66 , 	15 , 	14 , 	39 , 	30 ," 	3,876 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	15 , 	25 , 	25 , 	20 , 	117 , 	51 , 	32 , 	10 , 	14 , 	9 , 	79 , 	142 , 	90 , 	138 , 	50 , 	24 , 	42 , 	60 , 	7 , 	6 , 	12 , 	2 , 	9 , 	14 , 	26 , 	200 , 	198 , 	560 , 	204 , 	113 , 	77 , 	28 , 	31 , 	30 , 	5 , 	47 , 	58 , 	3 , 	7 , 	4 , 	4 , 	17 , 	5 ," 	2,602 ",,,Dtwn SF," 	2,180 "," 	7,176 "," 	15,746 "," 	7,326 "," 	6,882 "," 	9,212 "," 	4,483 "," 	53,005 "
