Muni Fast Pass Adult/Translink OD,,,,,,Jun 10,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,50,28,105,133,471,836,704,"1,051","3,378"
MT,30,39,61,102,544,"1,036",899,"1,612","4,322"
PL,158,84,54,88,476,783,509,"1,262","3,413"
CC,102,93,94,32,295,472,382,835,"2,305"
16,412,436,589,334,21,149,168,371,"2,480"
24,627,753,921,470,144,29,126,301,"3,371"
GP,628,681,662,351,157,131,19,74,"2,703"
BP,889,942,"1,802",722,349,314,78,29,"5,125"
Entries,"2,896","3,056","4,288","2,231","2,457","3,750","2,884","5,535","27,097"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,28,7,36,36,189,244,140,287,966
MT,4,18,19,19,187,257,209,742,"1,455"
PL,44,10,62,43,417,640,421,"1,041","2,677"
CC,25,14,46,27,217,276,147,336,"1,086"
16,152,109,464,233,25,114,140,256,"1,493"
24,186,161,736,278,115,29,92,257,"1,853"
GP,125,113,511,125,111,96,16,41,"1,137"
BP,245,237,"1,421",271,224,229,40,25,"2,692"
Entries,809,667,"3,294","1,032","1,484","1,883","1,204","2,985","13,358"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,3,26,30,121,163,92,189,650
MT,4,13,9,15,110,168,128,457,903
PL,27,7,65,41,289,457,276,726,"1,887"
CC,27,15,39,41,196,249,144,295,"1,004"
16,115,68,357,188,29,79,79,171,"1,084"
24,153,115,568,275,76,39,79,172,"1,477"
GP,76,71,371,136,69,73,16,25,836
BP,171,150,"1,099",260,157,167,27,27,"2,056"
Entries,599,441,"2,533",985,"1,044","1,392",839,"2,061","9,895"
