Exit stations,Entry stations->,,SATURDAY,,,Jun 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	5 , 	58 , 	74 , 	40 , 	197 , 	71 , 	81 , 	44 , 	64 , 	12 , 	76 , 	65 , 	20 , 	24 , 	22 , 	11 , 	7 , 	22 , 	17 , 	5 , 	12 , 	2 , 	4 , 	12 , 	17 , 	93 , 	66 , 	216 , 	110 , 	83 , 	93 , 	16 , 	37 , 	24 , 	5 , 	6 , 	9 , 	3 , 	32 , 	8 , 	8 , 	22 , 	16 ," 	1,805 ",,,Eastbay," 	38,960 ",,SF CBD," 	105,717 ",60.3%,,,
EN, 	66 , 	7 , 	76 , 	50 , 	307 , 	115 , 	119 , 	74 , 	137 , 	24 , 	105 , 	168 , 	27 , 	40 , 	44 , 	20 , 	18 , 	39 , 	29 , 	12 , 	23 , 	7 , 	9 , 	18 , 	34 , 	255 , 	178 , 	565 , 	259 , 	112 , 	107 , 	33 , 	52 , 	47 , 	21 , 	7 , 	26 , 	4 , 	37 , 	12 , 	15 , 	46 , 	22 ," 	3,363 ",,,Westbay," 	54,040 ",,non-CBD," 	64,519 ",36.8%,,,
EP, 	82 , 	58 , 	7 , 	38 , 	325 , 	83 , 	57 , 	61 , 	81 , 	27 , 	47 , 	90 , 	13 , 	14 , 	11 , 	9 , 	10 , 	24 , 	12 , 	6 , 	16 , 	9 , 	6 , 	26 , 	9 , 	176 , 	114 , 	338 , 	156 , 	80 , 	40 , 	14 , 	21 , 	12 , 	4 , 	4 , 	13 , 	3 , 	14 , 	1 , 	1 , 	42 , 	13 ," 	2,161 ",,,Transbay," 	82,239 ",,,,,,,
NB, 	48 , 	56 , 	42 , 	6 , 	103 , 	39 , 	51 , 	55 , 	73 , 	28 , 	62 , 	96 , 	19 , 	22 , 	12 , 	6 , 	8 , 	22 , 	15 , 	11 , 	15 , 	14 , 	6 , 	18 , 	10 , 	271 , 	163 , 	357 , 	259 , 	154 , 	91 , 	28 , 	21 , 	10 , 	6 , 	6 , 	15 , 	4 , 	9 , 	3 , 	4 , 	60 , 	16 ," 	2,310 ",,,,,,,,,,,
BK, 	190 , 	323 , 	343 , 	113 , 	20 , 	205 , 	218 , 	197 , 	229 , 	86 , 	150 , 	201 , 	67 , 	71 , 	53 , 	35 , 	56 , 	168 , 	39 , 	36 , 	75 , 	35 , 	29 , 	41 , 	49 , 	514 , 	309 , 	937 , 	463 , 	307 , 	189 , 	68 , 	60 , 	58 , 	12 , 	24 , 	78 , 	11 , 	26 , 	7 , 	10 , 	144 , 	75 ," 	6,313 ",,,,,,,,,,,
AS, 	71 , 	104 , 	86 , 	41 , 	159 , 	4 , 	80 , 	84 , 	101 , 	27 , 	93 , 	102 , 	26 , 	34 , 	32 , 	11 , 	13 , 	26 , 	16 , 	11 , 	15 , 	10 , 	4 , 	10 , 	37 , 	187 , 	134 , 	292 , 	238 , 	195 , 	116 , 	26 , 	20 , 	12 , 	6 , 	8 , 	19 , 	2 , 	24 , 	3 , 	2 , 	35 , 	14 ," 	2,523 ",,,,,,,,,,,
MA, 	86 , 	110 , 	67 , 	58 , 	195 , 	83 , 	10 , 	61 , 	85 , 	25 , 	120 , 	172 , 	49 , 	70 , 	53 , 	28 , 	22 , 	46 , 	45 , 	34 , 	50 , 	20 , 	19 , 	38 , 	41 , 	373 , 	244 , 	592 , 	426 , 	353 , 	176 , 	34 , 	40 , 	26 , 	9 , 	8 , 	23 , 	8 , 	73 , 	7 , 	10 , 	65 , 	22 ," 	4,071 ",,,,,,,,,,,
19, 	44 , 	62 , 	58 , 	55 , 	183 , 	100 , 	59 , 	8 , 	18 , 	11 , 	58 , 	91 , 	38 , 	48 , 	42 , 	21 , 	22 , 	42 , 	34 , 	38 , 	46 , 	20 , 	20 , 	50 , 	35 , 	190 , 	164 , 	388 , 	288 , 	195 , 	135 , 	37 , 	30 , 	28 , 	8 , 	11 , 	24 , 	9 , 	40 , 	7 , 	6 , 	29 , 	25 ," 	2,813 ",,,,,,,,,,,
12, 	57 , 	123 , 	87 , 	65 , 	203 , 	95 , 	80 , 	17 , 	8 , 	9 , 	83 , 	155 , 	82 , 	104 , 	68 , 	35 , 	39 , 	79 , 	62 , 	34 , 	67 , 	23 , 	34 , 	49 , 	55 , 	250 , 	208 , 	554 , 	281 , 	132 , 	94 , 	40 , 	52 , 	39 , 	22 , 	9 , 	33 , 	9 , 	68 , 	11 , 	17 , 	43 , 	37 ," 	3,611 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	20 , 	23 , 	21 , 	24 , 	87 , 	26 , 	28 , 	8 , 	11 , 	6 , 	60 , 	147 , 	104 , 	121 , 	49 , 	26 , 	39 , 	53 , 	7 , 	7 , 	14 , 	3 , 	6 , 	18 , 	20 , 	219 , 	198 , 	483 , 	246 , 	140 , 	104 , 	23 , 	26 , 	28 , 	4 , 	44 , 	68 , 	2 , 	8 , 	4 , 	3 , 	21 , 	7 ," 	2,549 ",,,Dtwn SF," 	2,388 "," 	7,404 "," 	15,987 "," 	7,063 "," 	7,439 "," 	9,900 "," 	5,164 "," 	55,345 "
FV, 	74 , 	102 , 	45 , 	64 , 	155 , 	96 , 	104 , 	78 , 	90 , 	45 , 	13 , 	219 , 	150 , 	246 , 	158 , 	59 , 	51 , 	82 , 	35 , 	19 , 	36 , 	25 , 	22 , 	38 , 	91 , 	289 , 	227 , 	590 , 	361 , 	193 , 	117 , 	32 , 	52 , 	42 , 	9 , 	49 , 	101 , 	8 , 	49 , 	9 , 	12 , 	41 , 	21 ," 	4,294 ",,,OAK," 	6,924 ", 	750 ," 	2,209 "," 	2,064 "," 	1,008 "," 	2,680 ", 	370 ," 	16,005 "
CL, 	73 , 	168 , 	107 , 	96 , 	235 , 	100 , 	193 , 	104 , 	182 , 	133 , 	212 , 	9 , 	183 , 	247 , 	184 , 	100 , 	134 , 	343 , 	108 , 	102 , 	125 , 	72 , 	70 , 	101 , 	81 , 	304 , 	181 , 	486 , 	287 , 	96 , 	98 , 	45 , 	40 , 	79 , 	15 , 	134 , 	623 , 	39 , 	137 , 	16 , 	21 , 	41 , 	47 ," 	6,148 ",,,CM line," 	15,568 "," 	2,321 "," 	5,697 "," 	2,172 "," 	1,371 "," 	2,040 "," 	2,041 "," 	31,211 "
SL, 	21 , 	30 , 	19 , 	20 , 	80 , 	25 , 	45 , 	49 , 	87 , 	105 , 	143 , 	171 , 	8 , 	106 , 	69 , 	43 , 	35 , 	66 , 	15 , 	9 , 	11 , 	5 , 	5 , 	16 , 	25 , 	163 , 	127 , 	376 , 	142 , 	63 , 	49 , 	16 , 	28 , 	24 , 	6 , 	27 , 	49 , 	3 , 	19 , 	6 , 	8 , 	17 , 	8 ," 	2,334 ",,,RM line," 	6,647 "," 	2,162 "," 	2,176 "," 	3,607 ", 	787 ," 	2,520 ", 	575 ," 	18,473 "
BF, 	26 , 	41 , 	18 , 	19 , 	74 , 	42 , 	78 , 	64 , 	116 , 	99 , 	242 , 	235 , 	98 , 	10 , 	122 , 	82 , 	81 , 	131 , 	14 , 	8 , 	7 , 	3 , 	6 , 	11 , 	31 , 	153 , 	132 , 	337 , 	146 , 	57 , 	44 , 	12 , 	24 , 	28 , 	10 , 	60 , 	138 , 	4 , 	20 , 	9 , 	6 , 	12 , 	9 ," 	2,852 ",,,WP line," 	7,108 "," 	1,130 "," 	1,413 ", 	835 ," 	2,969 "," 	1,488 ", 	715 ," 	15,658 "
