Exit stations,Entry stations->,,SATURDAY,,,Aug 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	9 , 	65 , 	78 , 	40 , 	190 , 	81 , 	76 , 	41 , 	72 , 	20 , 	66 , 	83 , 	22 , 	26 , 	25 , 	10 , 	10 , 	22 , 	17 , 	11 , 	10 , 	4 , 	5 , 	10 , 	14 , 	120 , 	75 , 	243 , 	111 , 	76 , 	86 , 	21 , 	37 , 	26 , 	7 , 	4 , 	11 , 	4 , 	24 , 	8 , 	6 , 	23 , 	14 ," 	1,897 ",,,Eastbay," 	44,265 ",,SF CBD," 	107,285 ",58.5%,,,
EN, 	74 , 	10 , 	76 , 	59 , 	337 , 	106 , 	120 , 	61 , 	190 , 	34 , 	99 , 	266 , 	32 , 	41 , 	44 , 	20 , 	18 , 	44 , 	26 , 	12 , 	22 , 	7 , 	9 , 	21 , 	25 , 	269 , 	176 , 	612 , 	211 , 	86 , 	120 , 	34 , 	59 , 	42 , 	24 , 	10 , 	17 , 	3 , 	36 , 	12 , 	14 , 	49 , 	29 ," 	3,553 ",,,Westbay," 	56,858 ",,non-CBD," 	70,648 ",38.5%,,,
EP, 	81 , 	78 , 	8 , 	44 , 	342 , 	73 , 	67 , 	69 , 	130 , 	34 , 	48 , 	122 , 	18 , 	17 , 	13 , 	9 , 	10 , 	29 , 	12 , 	7 , 	15 , 	11 , 	9 , 	27 , 	8 , 	170 , 	116 , 	334 , 	133 , 	53 , 	53 , 	13 , 	21 , 	22 , 	4 , 	5 , 	15 , 	2 , 	11 , 	3 , 	4 , 	50 , 	13 ," 	2,301 ",,,Transbay," 	82,254 ",,,,,,,
NB, 	45 , 	50 , 	38 , 	9 , 	118 , 	45 , 	54 , 	69 , 	126 , 	36 , 	57 , 	83 , 	14 , 	15 , 	13 , 	5 , 	8 , 	24 , 	11 , 	12 , 	15 , 	6 , 	2 , 	14 , 	11 , 	243 , 	179 , 	362 , 	220 , 	120 , 	96 , 	24 , 	17 , 	16 , 	4 , 	6 , 	11 , 	2 , 	7 , 	5 , 	2 , 	67 , 	17 ," 	2,274 ",,,,,,,,,,,
BK, 	195 , 	357 , 	342 , 	130 , 	26 , 	213 , 	254 , 	219 , 	393 , 	100 , 	170 , 	229 , 	73 , 	73 , 	64 , 	30 , 	53 , 	175 , 	54 , 	49 , 	81 , 	43 , 	31 , 	48 , 	52 , 	644 , 	375 ," 	1,297 ", 	623 , 	302 , 	257 , 	77 , 	61 , 	82 , 	10 , 	28 , 	69 , 	10 , 	26 , 	14 , 	16 , 	165 , 	93 ," 	7,600 ",,,,,,,,,,,
AS, 	80 , 	94 , 	71 , 	45 , 	161 , 	6 , 	74 , 	103 , 	152 , 	35 , 	89 , 	112 , 	25 , 	35 , 	27 , 	10 , 	14 , 	31 , 	15 , 	12 , 	13 , 	10 , 	5 , 	11 , 	32 , 	166 , 	132 , 	304 , 	227 , 	122 , 	116 , 	22 , 	21 , 	17 , 	2 , 	6 , 	16 , 	4 , 	21 , 	3 , 	6 , 	40 , 	16 ," 	2,499 ",,,,,,,,,,,
MA, 	86 , 	121 , 	67 , 	53 , 	250 , 	87 , 	10 , 	76 , 	172 , 	29 , 	100 , 	185 , 	45 , 	73 , 	51 , 	24 , 	23 , 	47 , 	57 , 	32 , 	43 , 	21 , 	20 , 	35 , 	33 , 	322 , 	258 , 	636 , 	358 , 	245 , 	176 , 	47 , 	42 , 	30 , 	9 , 	13 , 	23 , 	8 , 	70 , 	4 , 	14 , 	72 , 	23 ," 	4,087 ",,,,,,,,,,,
19, 	45 , 	61 , 	62 , 	68 , 	205 , 	96 , 	72 , 	10 , 	30 , 	15 , 	70 , 	90 , 	38 , 	51 , 	38 , 	22 , 	21 , 	38 , 	38 , 	36 , 	45 , 	23 , 	19 , 	82 , 	33 , 	194 , 	153 , 	388 , 	290 , 	155 , 	134 , 	36 , 	26 , 	33 , 	5 , 	10 , 	21 , 	5 , 	34 , 	7 , 	5 , 	30 , 	26 ," 	2,855 ",,,,,,,,,,,
12, 	73 , 	185 , 	138 , 	134 , 	338 , 	156 , 	164 , 	31 , 	13 , 	20 , 	143 , 	186 , 	134 , 	144 , 	88 , 	51 , 	63 , 	146 , 	81 , 	55 , 	102 , 	57 , 	58 , 	160 , 	64 , 	313 , 	255 , 	684 , 	309 , 	152 , 	145 , 	70 , 	72 , 	63 , 	24 , 	21 , 	68 , 	19 , 	81 , 	20 , 	22 , 	59 , 	54 ," 	5,212 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	21 , 	34 , 	32 , 	28 , 	97 , 	40 , 	37 , 	13 , 	21 , 	6 , 	68 , 	165 , 	139 , 	164 , 	51 , 	29 , 	49 , 	85 , 	13 , 	8 , 	17 , 	13 , 	7 , 	16 , 	27 , 	228 , 	197 , 	523 , 	225 , 	105 , 	103 , 	36 , 	36 , 	38 , 	5 , 	59 , 	73 , 	1 , 	15 , 	3 , 	4 , 	23 , 	10 ," 	2,856 ",,,Dtwn SF," 	2,369 "," 	7,251 "," 	16,580 "," 	7,338 "," 	6,962 "," 	9,565 "," 	5,526 "," 	55,590 "
FV, 	65 , 	102 , 	47 , 	51 , 	169 , 	87 , 	99 , 	79 , 	146 , 	52 , 	15 , 	281 , 	134 , 	244 , 	159 , 	66 , 	41 , 	81 , 	35 , 	18 , 	35 , 	17 , 	17 , 	32 , 	89 , 	264 , 	202 , 	599 , 	299 , 	166 , 	158 , 	36 , 	62 , 	57 , 	8 , 	37 , 	86 , 	7 , 	50 , 	8 , 	14 , 	37 , 	17 ," 	4,266 ",,,OAK," 	6,976 "," 	1,019 "," 	2,134 "," 	2,608 "," 	1,329 "," 	3,219 ", 	423 ," 	17,708 "
CL, 	101 , 	270 , 	121 , 	86 , 	238 , 	112 , 	192 , 	99 , 	227 , 	148 , 	271 , 	14 , 	303 , 	387 , 	261 , 	149 , 	196 , 	484 , 	117 , 	119 , 	120 , 	81 , 	71 , 	74 , 	100 , 	327 , 	190 , 	603 , 	278 , 	100 , 	98 , 	68 , 	62 , 	115 , 	19 , 	187 , 	889 , 	67 , 	184 , 	22 , 	26 , 	53 , 	44 ," 	7,669 ",,,CM line," 	16,168 "," 	2,208 "," 	6,370 "," 	2,183 "," 	1,340 "," 	2,132 "," 	2,264 "," 	32,664 "
SL, 	23 , 	34 , 	18 , 	18 , 	76 , 	28 , 	49 , 	45 , 	142 , 	129 , 	132 , 	283 , 	6 , 	88 , 	84 , 	42 , 	35 , 	54 , 	20 , 	6 , 	9 , 	5 , 	4 , 	12 , 	25 , 	175 , 	120 , 	367 , 	126 , 	47 , 	57 , 	24 , 	22 , 	32 , 	7 , 	27 , 	43 , 	4 , 	21 , 	6 , 	6 , 	22 , 	9 ," 	2,474 ",,,RM line," 	7,342 "," 	2,669 "," 	2,147 "," 	3,770 ", 	810 ," 	2,717 ", 	669 ," 	20,123 "
BF, 	25 , 	42 , 	14 , 	17 , 	68 , 	31 , 	72 , 	65 , 	161 , 	125 , 	242 , 	376 , 	87 , 	6 , 	107 , 	89 , 	76 , 	136 , 	19 , 	7 , 	7 , 	5 , 	4 , 	11 , 	32 , 	163 , 	130 , 	385 , 	121 , 	43 , 	52 , 	17 , 	28 , 	25 , 	10 , 	55 , 	130 , 	2 , 	23 , 	5 , 	5 , 	13 , 	6 ," 	3,034 ",,,WP line," 	6,846 "," 	1,397 "," 	1,397 ", 	885 ," 	2,922 "," 	1,520 ", 	740 ," 	15,707 "
HY, 	22 , 	39 , 	14 , 	15 , 	67 , 	33 , 	56 , 	47 , 	85 , 	49 , 	156 , 	256 , 	79 , 	116 , 	5 , 	71 , 	93 , 	152 , 	18 , 	10 , 	12 , 	5 , 	2 , 	12 , 	22 , 	107 , 	58 , 	199 , 	78 , 	34 , 	31 , 	10 , 	26 , 	17 , 	4 , 	13 , 	49 , 	3 , 	23 , 	3 , 	8 , 	8 , 	8 ," 	2,107 ",,,FT/ED line," 	9,618 "," 	3,289 "," 	2,201 "," 	2,861 "," 	1,578 "," 	11,675 ", 	618 ," 	31,839 "
SH, 	12 , 	19 , 	9 , 	7 , 	34 , 	11 , 	26 , 	19 , 	47 , 	27 , 	68 , 	141 , 	43 , 	90 , 	68 , 	6 , 	38 , 	90 , 	8 , 	5 , 	7 , 	2 , 	3 , 	10 , 	13 , 	69 , 	47 , 	161 , 	55 , 	18 , 	36 , 	8 , 	14 , 	20 , 	10 , 	11 , 	28 , 	1 , 	15 , 	4 , 	5 , 	8 , 	6 ," 	1,314 ",,,SFIA," 	4,745 ", 	389 ," 	2,108 ", 	649 , 	637 , 	489 , 	730 ," 	9,746 "
UC, 	11 , 	20 , 	8 , 	6 , 	58 , 	16 , 	27 , 	20 , 	58 , 	53 , 	48 , 	200 , 	36 , 	73 , 	93 , 	41 , 	8 , 	86 , 	9 , 	6 , 	6 , 	6 , 	4 , 	7 , 	10 , 	146 , 	72 , 	271 , 	75 , 	19 , 	35 , 	10 , 	15 , 	27 , 	9 , 	8 , 	33 , 	2 , 	13 , 	7 , 	7 , 	17 , 	9 ," 	1,682 ",,,Entries," 	54,064 "," 	18,222 "," 	32,936 "," 	20,293 "," 	15,576 "," 	31,316 "," 	10,969 "," 	183,376 "
FM, 	24 , 	45 , 	34 , 	27 , 	240 , 	34 , 	44 , 	49 , 	146 , 	75 , 	87 , 	461 , 	57 , 	143 , 	159 , 	101 , 	108 , 	38 , 	23 , 	21 , 	17 , 	6 , 	4 , 	16 , 	15 , 	288 , 	188 , 	560 , 	153 , 	46 , 	59 , 	17 , 	28 , 	42 , 	8 , 	22 , 	62 , 	6 , 	24 , 	5 , 	6 , 	49 , 	6 ," 	3,540 ",,,,,,,,,,,
CN, 	17 , 	25 , 	10 , 	8 , 	58 , 	17 , 	51 , 	34 , 	83 , 	10 , 	34 , 	108 , 	18 , 	18 , 	13 , 	8 , 	10 , 	22 , 	8 , 	64 , 	199 , 	56 , 	27 , 	47 , 	8 , 	207 , 	115 , 	292 , 	127 , 	29 , 	61 , 	24 , 	31 , 	36 , 	11 , 	3 , 	13 , 	21 , 	197 , 	10 , 	12 , 	56 , 	20 ," 	2,213 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
