Exit stations,Entry stations->,,WEEKDAY,,,Aug 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	5 , 	115 , 	100 , 	78 , 	337 , 	96 , 	153 , 	139 , 	170 , 	43 , 	102 , 	87 , 	42 , 	35 , 	42 , 	24 , 	18 , 	35 , 	25 , 	16 , 	23 , 	9 , 	7 , 	17 , 	21 , 	255 , 	222 , 	320 , 	220 , 	130 , 	133 , 	28 , 	54 , 	47 , 	18 , 	7 , 	25 , 	8 , 	38 , 	11 , 	13 , 	27 , 	24 ," 	3,312 ",,,Eastbay," 	75,573 ",,SF CBD," 	218,025 ",64.3%,,,
EN, 	133 , 	13 , 	102 , 	89 , 	799 , 	133 , 	275 , 	413 , 	590 , 	93 , 	133 , 	161 , 	53 , 	54 , 	71 , 	30 , 	33 , 	74 , 	40 , 	23 , 	31 , 	8 , 	12 , 	30 , 	41 , 	830 , 	773 , 	727 , 	611 , 	150 , 	150 , 	51 , 	99 , 	108 , 	29 , 	11 , 	37 , 	11 , 	44 , 	27 , 	32 , 	58 , 	60 ," 	7,244 ",,,Westbay," 	96,519 ",,non-CBD," 	113,376 ",33.5%,,,
EP, 	101 , 	85 , 	6 , 	50 , 	612 , 	75 , 	122 , 	220 , 	284 , 	76 , 	62 , 	77 , 	29 , 	14 , 	25 , 	6 , 	13 , 	39 , 	23 , 	18 , 	24 , 	9 , 	10 , 	31 , 	15 , 	511 , 	549 , 	367 , 	297 , 	75 , 	50 , 	27 , 	35 , 	45 , 	6 , 	4 , 	20 , 	4 , 	12 , 	8 , 	4 , 	49 , 	26 ," 	4,114 ",,,Transbay," 	166,754 ",,,,,,,
NB, 	74 , 	76 , 	55 , 	7 , 	171 , 	55 , 	87 , 	193 , 	252 , 	63 , 	77 , 	77 , 	22 , 	22 , 	13 , 	9 , 	12 , 	30 , 	15 , 	13 , 	23 , 	10 , 	8 , 	18 , 	16 , 	639 , 	623 , 	384 , 	345 , 	133 , 	90 , 	28 , 	32 , 	34 , 	7 , 	8 , 	18 , 	4 , 	15 , 	5 , 	7 , 	88 , 	28 ," 	3,887 ",,,,,,,,,,,
BK, 	379 , 	838 , 	623 , 	196 , 	23 , 	324 , 	457 , 	466 , 	575 , 	224 , 	282 , 	280 , 	152 , 	134 , 	129 , 	86 , 	150 , 	348 , 	127 , 	150 , 	156 , 	93 , 	66 , 	64 , 	79 , 	905 , 	800 ," 	1,062 ", 	767 , 	364 , 	331 , 	135 , 	115 , 	139 , 	33 , 	53 , 	159 , 	37 , 	85 , 	32 , 	34 , 	220 , 	166 ," 	11,839 ",,,,,,,,,,,
AS, 	89 , 	112 , 	75 , 	52 , 	263 , 	6 , 	88 , 	168 , 	214 , 	72 , 	109 , 	101 , 	36 , 	42 , 	39 , 	17 , 	24 , 	51 , 	28 , 	25 , 	29 , 	11 , 	8 , 	13 , 	26 , 	458 , 	491 , 	356 , 	344 , 	158 , 	114 , 	26 , 	43 , 	38 , 	8 , 	12 , 	29 , 	6 , 	28 , 	4 , 	6 , 	50 , 	22 ," 	3,892 ",,,,,,,,,,,
MA, 	157 , 	270 , 	123 , 	88 , 	417 , 	91 , 	13 , 	166 , 	244 , 	85 , 	165 , 	188 , 	110 , 	114 , 	120 , 	71 , 	72 , 	129 , 	138 , 	107 , 	127 , 	45 , 	39 , 	51 , 	68 , 	908 , 	906 , 	778 , 	702 , 	288 , 	198 , 	82 , 	90 , 	92 , 	24 , 	32 , 	91 , 	36 , 	169 , 	24 , 	24 , 	98 , 	48 ," 	7,783 ",,,,,,,,,,,
19, 	141 , 	416 , 	215 , 	199 , 	413 , 	176 , 	162 , 	11 , 	57 , 	42 , 	130 , 	162 , 	195 , 	191 , 	193 , 	154 , 	166 , 	370 , 	270 , 	328 , 	243 , 	141 , 	98 , 	140 , 	56 , 	790 , 	746 , 	602 , 	660 , 	247 , 	226 , 	132 , 	108 , 	140 , 	65 , 	62 , 	237 , 	116 , 	245 , 	71 , 	38 , 	50 , 	98 ," 	9,301 ",,,,,,,,,,,
12, 	181 , 	581 , 	278 , 	253 , 	494 , 	224 , 	240 , 	54 , 	19 , 	42 , 	203 , 	337 , 	331 , 	348 , 	284 , 	209 , 	224 , 	459 , 	311 , 	337 , 	325 , 	175 , 	158 , 	186 , 	90 , 	907 , 	842 , 	878 , 	749 , 	260 , 	274 , 	152 , 	145 , 	177 , 	88 , 	96 , 	315 , 	123 , 	292 , 	79 , 	65 , 	94 , 	116 ," 	11,989 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	44 , 	91 , 	69 , 	63 , 	216 , 	70 , 	87 , 	43 , 	44 , 	8 , 	144 , 	222 , 	252 , 	228 , 	142 , 	107 , 	106 , 	166 , 	30 , 	25 , 	32 , 	14 , 	17 , 	32 , 	40 , 	576 , 	588 , 	555 , 	425 , 	150 , 	107 , 	50 , 	77 , 	89 , 	10 , 	86 , 	209 , 	9 , 	39 , 	14 , 	9 , 	26 , 	21 ," 	5,328 ",,,Dtwn SF,"4,887","14,873","29,892","11,942","18,640","21,798","9,417","111,449"
FV, 	100 , 	128 , 	64 , 	72 , 	273 , 	110 , 	174 , 	151 , 	228 , 	135 , 	10 , 	253 , 	225 , 	276 , 	232 , 	106 , 	79 , 	136 , 	55 , 	36 , 	51 , 	23 , 	31 , 	47 , 	104 , 	753 , 	671 , 	725 , 	586 , 	219 , 	151 , 	53 , 	95 , 	98 , 	14 , 	51 , 	152 , 	11 , 	57 , 	14 , 	16 , 	50 , 	23 ," 	6,840 ",,,OAK,"14,988","1,821","3,705","5,462","4,509","7,826",960,"39,272"
CL, 	86 , 	161 , 	76 , 	77 , 	256 , 	105 , 	193 , 	201 , 	361 , 	204 , 	249 , 	8 , 	137 , 	211 , 	204 , 	105 , 	96 , 	188 , 	81 , 	79 , 	83 , 	42 , 	35 , 	63 , 	94 , 	509 , 	408 , 	521 , 	356 , 	120 , 	106 , 	51 , 	63 , 	66 , 	15 , 	78 , 	304 , 	30 , 	119 , 	14 , 	16 , 	45 , 	29 ," 	6,247 ",,,CM line,"29,011","3,599","8,121","2,794","2,048","2,946","2,653","51,171"
SL, 	41 , 	54 , 	33 , 	26 , 	150 , 	39 , 	118 , 	216 , 	346 , 	253 , 	224 , 	144 , 	6 , 	112 , 	147 , 	71 , 	84 , 	144 , 	31 , 	23 , 	25 , 	8 , 	10 , 	18 , 	41 , 	636 , 	562 , 	462 , 	371 , 	95 , 	66 , 	35 , 	58 , 	61 , 	8 , 	40 , 	123 , 	5 , 	29 , 	8 , 	16 , 	28 , 	17 ," 	4,984 ",,,RM line,"12,858","5,633","3,063","6,347","1,502","3,883","1,002","34,288"
BF, 	35 , 	47 , 	13 , 	21 , 	132 , 	37 , 	116 , 	199 , 	339 , 	212 , 	274 , 	202 , 	112 , 	8 , 	157 , 	124 , 	127 , 	223 , 	28 , 	16 , 	21 , 	5 , 	7 , 	12 , 	42 , 	536 , 	543 , 	437 , 	345 , 	72 , 	59 , 	23 , 	46 , 	62 , 	14 , 	64 , 	260 , 	5 , 	24 , 	9 , 	11 , 	17 , 	15 ," 	5,051 ",,,WP line,"19,149","4,541","2,139","1,534","5,047","1,692","1,089","35,191"
HY, 	41 , 	75 , 	27 , 	15 , 	120 , 	42 , 	124 , 	209 , 	272 , 	135 , 	237 , 	203 , 	147 , 	170 , 	8 , 	107 , 	169 , 	313 , 	30 , 	19 , 	22 , 	7 , 	7 , 	15 , 	35 , 	381 , 	328 , 	271 , 	217 , 	60 , 	38 , 	24 , 	34 , 	40 , 	7 , 	23 , 	84 , 	9 , 	28 , 	7 , 	12 , 	14 , 	11 ," 	4,140 ",,,FT/ED line,"21,701","7,902","3,036","3,886","1,699","12,289",766,"51,278"
SH, 	22 , 	29 , 	7 , 	10 , 	85 , 	18 , 	65 , 	149 , 	197 , 	98 , 	115 , 	102 , 	74 , 	117 , 	101 , 	6 , 	61 , 	162 , 	15 , 	13 , 	10 , 	4 , 	2 , 	10 , 	18 , 	375 , 	317 , 	215 , 	184 , 	48 , 	35 , 	10 , 	19 , 	36 , 	8 , 	18 , 	56 , 	4 , 	16 , 	6 , 	5 , 	8 , 	7 ," 	2,856 ",,,SFIA,"8,869",950,"2,694",951,"1,069",688,976,"16,197"
UC, 	22 , 	33 , 	14 , 	12 , 	148 , 	28 , 	75 , 	173 , 	219 , 	107 , 	89 , 	104 , 	89 , 	131 , 	176 , 	67 , 	12 , 	166 , 	19 , 	19 , 	17 , 	4 , 	5 , 	8 , 	16 , 	650 , 	539 , 	299 , 	204 , 	44 , 	22 , 	14 , 	27 , 	44 , 	9 , 	16 , 	63 , 	3 , 	15 , 	6 , 	5 , 	22 , 	8 ," 	3,742 ",,,Entries,"111,463","39,318","52,650","32,916","34,514","51,123","16,862","338,846"
FM, 	36 , 	78 , 	37 , 	31 , 	364 , 	58 , 	126 , 	374 , 	450 , 	165 , 	145 , 	191 , 	147 , 	245 , 	318 , 	182 , 	167 , 	25 , 	28 , 	37 , 	28 , 	9 , 	9 , 	26 , 	25 ," 	1,377 "," 	1,092 ", 	546 , 	360 , 	94 , 	41 , 	23 , 	36 , 	68 , 	7 , 	31 , 	92 , 	7 , 	39 , 	7 , 	8 , 	56 , 	8 ," 	7,193 ",,,,,,,,,,,
CN, 	28 , 	40 , 	22 , 	14 , 	127 , 	31 , 	144 , 	266 , 	319 , 	27 , 	53 , 	83 , 	32 , 	30 , 	33 , 	18 , 	18 , 	27 , 	12 , 	112 , 	320 , 	95 , 	48 , 	100 , 	17 , 	802 , 	717 , 	412 , 	360 , 	67 , 	70 , 	44 , 	43 , 	64 , 	17 , 	6 , 	13 , 	65 , 	310 , 	13 , 	25 , 	82 , 	27 ," 	5,150 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	14 , 	23 , 	19 , 	14 , 	142 , 	25 , 	101 , 	312 , 	317 , 	26 , 	37 , 	80 , 	21 , 	16 , 	18 , 	12 , 	19 , 	31 , 	107 , 	10 , 	109 , 	41 , 	28 , 	103 , 	14 ," 	1,326 "," 	1,229 ", 	496 , 	413 , 	89 , 	49 , 	69 , 	37 , 	84 , 	22 , 	4 , 	8 , 	32 , 	124 , 	24 , 	23 , 	114 , 	24 ," 	5,803 ",,,Dtwn SF,"4,887",,,,,,,
WC, 	25 , 	31 , 	25 , 	22 , 	159 , 	31 , 	132 , 	251 , 	334 , 	30 , 	47 , 	87 , 	22 , 	19 , 	19 , 	11 , 	17 , 	27 , 	377 , 	116 , 	15 , 	66 , 	52 , 	174 , 	17 ," 	1,275 "," 	1,103 ", 	521 , 	355 , 	83 , 	55 , 	54 , 	33 , 	69 , 	17 , 	7 , 	9 , 	58 , 	208 , 	17 , 	18 , 	142 , 	30 ," 	6,160 ",,,OAK,"29,861","1,821",,,,,,
LF, 	10 , 	8 , 	11 , 	12 , 	96 , 	12 , 	44 , 	142 , 	176 , 	12 , 	22 , 	42 , 	8 , 	7 , 	7 , 	5 , 	4 , 	9 , 	124 , 	50 , 	79 , 	9 , 	20 , 	83 , 	7 , 	895 , 	762 , 	283 , 	210 , 	41 , 	24 , 	19 , 	9 , 	28 , 	3 , 	2 , 	2 , 	18 , 	32 , 	3 , 	9 , 	72 , 	12 ," 	3,419 ",,,CM line,"58,903","7,304","8,121",,,,,
OR, 	6 , 	14 , 	11 , 	9 , 	69 , 	11 , 	36 , 	96 , 	158 , 	15 , 	29 , 	35 , 	9 , 	5 , 	7 , 	3 , 	4 , 	9 , 	51 , 	34 , 	50 , 	21 , 	7 , 	71 , 	5 , 	762 , 	625 , 	220 , 	171 , 	36 , 	27 , 	23 , 	13 , 	21 , 	4 , 	2 , 	4 , 	7 , 	19 , 	4 , 	8 , 	58 , 	12 ," 	2,778 ",,,RM line,"24,800","11,094","5,856","6,347",,,,
