Muni Fast Pass Adult/Translink OD,,,,,,Sep 10,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,46,29,105,131,440,819,685,"1,063","3,320"
MT,30,36,67,114,506,"1,025",897,"1,820","4,493"
PL,145,88,50,93,456,805,524,"1,657","3,818"
CC,99,104,95,35,297,511,391,"1,032","2,563"
16,394,398,551,337,17,149,166,479,"2,491"
24,637,746,946,509,146,24,151,521,"3,680"
GP,598,656,687,355,161,163,16,116,"2,753"
BP,909,"1,029","2,267",980,466,552,121,30,"6,355"
Entries,"2,859","3,085","4,768","2,554","2,488","4,048","2,952","6,718","29,474"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,7,38,36,167,223,131,282,903
MT,8,14,17,22,165,266,224,763,"1,477"
PL,49,13,50,42,389,639,418,"1,087","2,686"
CC,18,15,49,22,198,268,144,325,"1,038"
16,144,98,464,219,18,119,130,257,"1,449"
24,184,163,718,274,113,32,102,271,"1,855"
GP,107,113,530,131,100,119,19,46,"1,163"
BP,221,268,"1,458",278,237,233,55,20,"2,768"
Entries,751,689,"3,323","1,023","1,385","1,899","1,220","3,050","13,339"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,22,4,17,20,93,132,65,181,533
MT,3,8,12,15,102,163,124,479,906
PL,22,6,52,38,265,433,265,739,"1,819"
CC,16,7,30,37,157,216,112,276,851
16,99,50,342,170,20,78,75,178,"1,011"
24,136,94,540,222,76,26,72,179,"1,343"
GP,72,74,374,109,72,73,11,25,810
BP,165,153,"1,146",231,161,169,27,26,"2,077"
Entries,535,397,"2,512",841,945,"1,288",750,"2,083","9,350"
