Muni Fast Pass Adult/Translink OD,,,,,,Oct 10,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,47,30,114,144,471,825,691,"1,039","3,360"
MT,33,40,69,127,497,"1,040",920,"1,787","4,513"
PL,164,89,60,92,467,806,545,"1,635","3,857"
CC,101,108,103,35,304,505,390,"1,007","2,553"
16,406,410,571,334,19,147,164,480,"2,531"
24,648,748,975,503,143,30,142,513,"3,701"
GP,612,674,683,358,161,155,16,111,"2,770"
BP,869,"1,009","2,253",954,456,519,115,30,"6,204"
Entries,"2,879","3,106","4,828","2,547","2,518","4,026","2,982","6,602","29,490"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,21,6,41,33,175,215,119,285,895
MT,8,15,17,18,160,259,204,736,"1,417"
PL,48,15,52,46,393,635,398,"1,075","2,660"
CC,24,10,41,27,198,257,126,311,994
16,141,89,445,213,23,116,119,227,"1,373"
24,166,151,720,275,109,38,106,263,"1,828"
GP,105,114,499,126,92,100,20,51,"1,107"
BP,213,255,"1,416",268,207,229,39,16,"2,642"
Entries,726,654,"3,230","1,005","1,356","1,849","1,131","2,964","12,918"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,24,4,25,22,97,142,67,184,564
MT,4,11,14,15,93,161,131,434,862
PL,26,11,57,31,246,418,260,704,"1,752"
CC,17,10,28,34,137,181,93,249,749
16,99,53,336,153,23,72,74,171,980
24,141,98,509,190,69,33,64,167,"1,272"
GP,67,77,368,100,76,65,19,24,794
BP,170,148,"1,068",218,156,141,22,20,"1,943"
Entries,547,411,"2,404",761,897,"1,212",730,"1,954","8,917"
