Exit stations,Entry stations->,,WEEKDAY,,,Oct 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	6 , 	120 , 	112 , 	86 , 	412 , 	99 , 	167 , 	154 , 	181 , 	46 , 	111 , 	81 , 	43 , 	39 , 	45 , 	21 , 	15 , 	36 , 	25 , 	21 , 	21 , 	10 , 	8 , 	19 , 	24 , 	255 , 	236 , 	317 , 	232 , 	131 , 	132 , 	35 , 	65 , 	72 , 	19 , 	7 , 	23 , 	7 , 	42 , 	10 , 	14 , 	24 , 	24 ," 	3,547 ",,,Eastbay," 	80,367 ",,SF CBD," 	226,358 ",63.5%,,,
EN, 	141 , 	12 , 	111 , 	97 , 	969 , 	137 , 	302 , 	445 , 	596 , 	117 , 	146 , 	149 , 	61 , 	54 , 	93 , 	29 , 	34 , 	77 , 	44 , 	27 , 	33 , 	8 , 	14 , 	33 , 	39 , 	841 , 	835 , 	747 , 	644 , 	148 , 	157 , 	57 , 	110 , 	178 , 	23 , 	9 , 	35 , 	12 , 	41 , 	27 , 	33 , 	53 , 	58 ," 	7,772 ",,,Westbay," 	100,632 ",,non-CBD," 	122,743 ",34.4%,,,
EP, 	108 , 	93 , 	7 , 	56 , 	695 , 	78 , 	132 , 	236 , 	281 , 	92 , 	67 , 	57 , 	29 , 	17 , 	30 , 	7 , 	12 , 	38 , 	26 , 	15 , 	23 , 	9 , 	12 , 	37 , 	15 , 	508 , 	572 , 	365 , 	348 , 	75 , 	59 , 	28 , 	40 , 	68 , 	5 , 	6 , 	21 , 	4 , 	13 , 	5 , 	4 , 	48 , 	25 ," 	4,367 ",,,Transbay," 	175,546 ",,,,,,,
NB, 	76 , 	81 , 	53 , 	8 , 	193 , 	56 , 	104 , 	199 , 	256 , 	89 , 	73 , 	68 , 	27 , 	21 , 	20 , 	8 , 	12 , 	33 , 	16 , 	12 , 	21 , 	10 , 	10 , 	19 , 	16 , 	643 , 	662 , 	391 , 	406 , 	132 , 	96 , 	27 , 	36 , 	67 , 	6 , 	7 , 	15 , 	2 , 	14 , 	4 , 	7 , 	72 , 	30 ," 	4,098 ",,,,,,,,,,,
BK, 	442 ," 	1,017 ", 	701 , 	225 , 	23 , 	353 , 	485 , 	524 , 	608 , 	299 , 	319 , 	300 , 	166 , 	157 , 	168 , 	103 , 	164 , 	314 , 	148 , 	163 , 	145 , 	97 , 	69 , 	67 , 	93 , 	845 , 	795 , 	908 , 	803 , 	395 , 	376 , 	154 , 	124 , 	179 , 	40 , 	60 , 	156 , 	44 , 	92 , 	37 , 	36 , 	167 , 	169 ," 	12,525 ",,,,,,,,,,,
AS, 	92 , 	115 , 	74 , 	50 , 	286 , 	10 , 	92 , 	188 , 	215 , 	79 , 	108 , 	90 , 	37 , 	46 , 	39 , 	17 , 	21 , 	58 , 	28 , 	25 , 	27 , 	11 , 	9 , 	18 , 	30 , 	481 , 	531 , 	366 , 	404 , 	179 , 	118 , 	33 , 	47 , 	67 , 	9 , 	11 , 	25 , 	6 , 	27 , 	3 , 	7 , 	43 , 	22 ," 	4,142 ",,,,,,,,,,,
MA, 	162 , 	283 , 	127 , 	100 , 	431 , 	98 , 	15 , 	177 , 	240 , 	95 , 	201 , 	199 , 	114 , 	120 , 	130 , 	71 , 	72 , 	134 , 	138 , 	113 , 	127 , 	48 , 	47 , 	72 , 	67 , 	905 , 	967 , 	801 , 	758 , 	295 , 	205 , 	85 , 	114 , 	142 , 	27 , 	33 , 	96 , 	45 , 	183 , 	26 , 	22 , 	84 , 	44 ," 	8,213 ",,,,,,,,,,,
19, 	150 , 	438 , 	228 , 	210 , 	469 , 	188 , 	171 , 	13 , 	56 , 	48 , 	143 , 	182 , 	216 , 	194 , 	209 , 	154 , 	166 , 	373 , 	283 , 	339 , 	254 , 	153 , 	112 , 	164 , 	62 , 	828 , 	827 , 	680 , 	727 , 	290 , 	251 , 	140 , 	127 , 	170 , 	67 , 	67 , 	250 , 	133 , 	239 , 	74 , 	43 , 	48 , 	103 ," 	10,035 ",,,,,,,,,,,
12, 	192 , 	599 , 	284 , 	267 , 	526 , 	220 , 	230 , 	54 , 	19 , 	50 , 	220 , 	338 , 	343 , 	357 , 	308 , 	214 , 	230 , 	462 , 	325 , 	360 , 	333 , 	177 , 	157 , 	194 , 	83 , 	929 , 	912 , 	884 , 	781 , 	269 , 	284 , 	160 , 	155 , 	211 , 	90 , 	112 , 	320 , 	128 , 	292 , 	73 , 	65 , 	112 , 	127 ," 	12,441 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	46 , 	111 , 	90 , 	95 , 	305 , 	78 , 	98 , 	49 , 	47 , 	7 , 	188 , 	256 , 	291 , 	261 , 	191 , 	116 , 	125 , 	173 , 	34 , 	29 , 	32 , 	16 , 	18 , 	44 , 	49 , 	589 , 	619 , 	570 , 	442 , 	172 , 	126 , 	54 , 	82 , 	141 , 	11 , 	98 , 	228 , 	12 , 	52 , 	13 , 	10 , 	22 , 	22 ," 	6,013 ",,,Dtwn SF,"5,183","15,819","31,093","12,277","19,577","22,457","9,397","115,803"
