Muni Fast Pass Adult/Translink OD,,,,,,Nov 10,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,43,27,104,128,427,770,660,974,"3,133"
MT,27,45,61,117,490,"1,017",880,"1,685","4,321"
PL,150,90,65,94,453,772,529,"1,563","3,716"
CC,99,106,98,35,290,488,373,965,"2,454"
16,368,396,552,321,25,146,155,441,"2,404"
24,615,735,934,499,149,33,138,480,"3,583"
GP,581,652,672,337,160,153,22,102,"2,679"
BP,816,965,"2,153",895,432,482,99,39,"5,880"
Entries,"2,698","3,016","4,639","2,425","2,426","3,861","2,856","6,249","28,171"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,15,7,39,29,160,190,114,249,801
MT,5,18,22,19,156,254,209,687,"1,370"
PL,44,22,57,44,396,619,418,"1,082","2,682"
CC,21,13,47,25,190,249,126,304,973
16,131,91,472,195,21,109,111,226,"1,356"
24,162,142,712,256,104,37,95,250,"1,756"
GP,101,109,511,125,96,98,17,41,"1,098"
BP,190,229,"1,392",249,192,212,43,25,"2,530"
Entries,667,629,"3,251",941,"1,315","1,768","1,131","2,863","12,565"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,19,4,22,21,96,118,60,164,502
MT,3,12,12,18,102,169,112,407,835
PL,29,6,62,33,290,439,288,728,"1,874"
CC,17,8,37,29,133,186,91,240,741
16,102,57,347,156,27,77,81,160,"1,004"
24,125,97,535,196,70,29,67,163,"1,283"
GP,57,68,382,96,67,67,13,22,771
BP,148,130,"1,103",212,152,147,23,24,"1,940"
Entries,500,382,"2,500",761,936,"1,231",734,"1,907","8,950"
