Exit stations,Entry stations->,,SATURDAY,,,Dec 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	6 , 	59 , 	75 , 	42 , 	215 , 	57 , 	71 , 	50 , 	61 , 	19 , 	73 , 	52 , 	18 , 	27 , 	21 , 	11 , 	9 , 	23 , 	21 , 	7 , 	11 , 	4 , 	6 , 	10 , 	15 , 	65 , 	66 , 	241 , 	112 , 	63 , 	82 , 	26 , 	36 , 	24 , 	8 , 	3 , 	7 , 	3 , 	35 , 	8 , 	11 , 	21 , 	14 ," 	1,789 ",,,Eastbay," 	36,473 ",,SF CBD," 	111,284 ",63.0%,,,
EN, 	70 , 	13 , 	78 , 	51 , 	349 , 	82 , 	134 , 	82 , 	147 , 	31 , 	85 , 	94 , 	47 , 	41 , 	31 , 	17 , 	17 , 	49 , 	26 , 	13 , 	25 , 	7 , 	8 , 	14 , 	25 , 	197 , 	199 , 	752 , 	210 , 	74 , 	112 , 	38 , 	51 , 	51 , 	22 , 	7 , 	17 , 	4 , 	29 , 	12 , 	15 , 	50 , 	19 ," 	3,394 ",,,Westbay," 	57,123 ",,non-CBD," 	60,550 ",34.3%,,,
EP, 	80 , 	70 , 	5 , 	49 , 	359 , 	77 , 	74 , 	61 , 	102 , 	25 , 	44 , 	38 , 	13 , 	17 , 	10 , 	2 , 	5 , 	25 , 	10 , 	9 , 	15 , 	6 , 	6 , 	30 , 	12 , 	121 , 	133 , 	479 , 	158 , 	49 , 	50 , 	22 , 	19 , 	17 , 	3 , 	4 , 	13 , 	3 , 	10 , 	3 , 	5 , 	36 , 	13 ," 	2,282 ",,,Transbay," 	83,129 ",,,,,,,
NB, 	50 , 	43 , 	52 , 	6 , 	114 , 	47 , 	55 , 	65 , 	101 , 	26 , 	55 , 	29 , 	18 , 	21 , 	16 , 	6 , 	10 , 	17 , 	15 , 	8 , 	21 , 	8 , 	3 , 	16 , 	14 , 	194 , 	185 , 	489 , 	242 , 	97 , 	100 , 	29 , 	18 , 	16 , 	4 , 	5 , 	7 , 	2 , 	12 , 	2 , 	4 , 	51 , 	10 ," 	2,283 ",,,,,,,,,,,
BK, 	204 , 	330 , 	371 , 	120 , 	20 , 	217 , 	247 , 	251 , 	258 , 	105 , 	161 , 	99 , 	68 , 	84 , 	62 , 	54 , 	58 , 	127 , 	38 , 	53 , 	87 , 	41 , 	44 , 	44 , 	58 , 	374 , 	316 ," 	1,278 ", 	457 , 	213 , 	193 , 	89 , 	60 , 	71 , 	10 , 	25 , 	62 , 	10 , 	32 , 	12 , 	12 , 	121 , 	63 ," 	6,599 ",,,,,,,,,,,
AS, 	51 , 	77 , 	73 , 	42 , 	180 , 	6 , 	74 , 	100 , 	112 , 	33 , 	81 , 	60 , 	23 , 	34 , 	24 , 	14 , 	11 , 	21 , 	13 , 	6 , 	18 , 	10 , 	6 , 	14 , 	25 , 	137 , 	143 , 	384 , 	236 , 	135 , 	99 , 	30 , 	23 , 	16 , 	4 , 	3 , 	13 , 	3 , 	22 , 	3 , 	3 , 	27 , 	16 ," 	2,404 ",,,,,,,,,,,
MA, 	85 , 	123 , 	72 , 	56 , 	247 , 	77 , 	10 , 	85 , 	125 , 	34 , 	112 , 	100 , 	41 , 	72 , 	51 , 	24 , 	15 , 	35 , 	47 , 	31 , 	46 , 	21 , 	15 , 	51 , 	48 , 	274 , 	269 , 	758 , 	386 , 	232 , 	169 , 	44 , 	40 , 	33 , 	5 , 	12 , 	25 , 	8 , 	70 , 	5 , 	11 , 	52 , 	21 ," 	4,037 ",,,,,,,,,,,
19, 	54 , 	78 , 	59 , 	64 , 	199 , 	98 , 	75 , 	12 , 	23 , 	10 , 	81 , 	73 , 	42 , 	69 , 	43 , 	19 , 	22 , 	35 , 	41 , 	39 , 	46 , 	31 , 	32 , 	69 , 	35 , 	189 , 	164 , 	516 , 	310 , 	172 , 	139 , 	37 , 	39 , 	38 , 	9 , 	11 , 	18 , 	16 , 	42 , 	9 , 	12 , 	27 , 	27 ," 	3,124 ",,,,,,,,,,,
12, 	64 , 	129 , 	97 , 	90 , 	221 , 	102 , 	101 , 	24 , 	13 , 	20 , 	131 , 	118 , 	112 , 	124 , 	107 , 	35 , 	88 , 	144 , 	65 , 	42 , 	51 , 	30 , 	31 , 	67 , 	75 , 	214 , 	217 , 	652 , 	252 , 	109 , 	111 , 	40 , 	59 , 	58 , 	18 , 	11 , 	41 , 	13 , 	72 , 	14 , 	21 , 	48 , 	41 ," 	4,071 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	16 , 	31 , 	23 , 	30 , 	101 , 	32 , 	32 , 	17 , 	18 , 	5 , 	68 , 	82 , 	109 , 	120 , 	46 , 	30 , 	41 , 	52 , 	12 , 	10 , 	8 , 	10 , 	13 , 	12 , 	28 , 	156 , 	197 , 	616 , 	223 , 	114 , 	84 , 	30 , 	33 , 	35 , 	3 , 	40 , 	88 , 	3 , 	14 , 	3 , 	7 , 	16 , 	9 ," 	2,616 ",,,Dtwn SF," 	2,715 "," 	7,682 "," 	17,214 "," 	7,402 "," 	8,075 "," 	9,668 "," 	5,186 "," 	57,942 "
FV, 	77 , 	92 , 	50 , 	50 , 	168 , 	75 , 	113 , 	124 , 	178 , 	71 , 	6 , 	139 , 	135 , 	233 , 	138 , 	66 , 	50 , 	69 , 	35 , 	16 , 	30 , 	17 , 	12 , 	36 , 	78 , 	254 , 	220 , 	751 , 	289 , 	159 , 	154 , 	36 , 	64 , 	46 , 	8 , 	30 , 	91 , 	8 , 	58 , 	9 , 	13 , 	34 , 	18 ," 	4,301 ",,,OAK," 	7,355 ", 	990 ," 	1,986 "," 	2,281 "," 	1,122 "," 	2,772 ", 	380 ," 	16,886 "
CL, 	62 , 	86 , 	34 , 	36 , 	369 , 	64 , 	109 , 	115 , 	139 , 	62 , 	147 , 	7 , 	58 , 	157 , 	100 , 	50 , 	58 , 	113 , 	145 , 	63 , 	58 , 	21 , 	32 , 	40 , 	61 , 	156 , 	126 , 	396 , 	168 , 	64 , 	57 , 	29 , 	31 , 	41 , 	6 , 	52 , 	319 , 	41 , 	74 , 	5 , 	13 , 	35 , 	14 ," 	3,813 ",,,CM line," 	16,672 "," 	2,070 "," 	5,519 "," 	1,971 "," 	1,332 "," 	1,736 "," 	1,959 "," 	31,260 "
SL, 	19 , 	39 , 	17 , 	18 , 	63 , 	30 , 	50 , 	73 , 	106 , 	109 , 	141 , 	69 , 	8 , 	99 , 	70 , 	32 , 	34 , 	51 , 	14 , 	5 , 	15 , 	3 , 	2 , 	12 , 	27 , 	135 , 	127 , 	496 , 	128 , 	58 , 	47 , 	27 , 	26 , 	31 , 	6 , 	27 , 	36 , 	3 , 	24 , 	5 , 	8 , 	18 , 	11 ," 	2,318 ",,,RM line," 	7,167 "," 	2,433 "," 	1,954 "," 	3,739 ", 	839 ," 	2,089 ", 	529 ," 	18,751 "
BF, 	21 , 	38 , 	14 , 	19 , 	83 , 	28 , 	73 , 	77 , 	149 , 	111 , 	238 , 	160 , 	95 , 	9 , 	159 , 	90 , 	81 , 	127 , 	17 , 	7 , 	9 , 	3 , 	6 , 	12 , 	44 , 	120 , 	116 , 	534 , 	127 , 	44 , 	36 , 	20 , 	27 , 	32 , 	11 , 	72 , 	118 , 	3 , 	26 , 	3 , 	7 , 	10 , 	4 ," 	2,982 ",,,WP line," 	7,766 "," 	1,233 "," 	1,345 ", 	869 ," 	2,784 "," 	1,143 ", 	639 ," 	15,779 "
HY, 	23 , 	30 , 	11 , 	17 , 	63 , 	25 , 	55 , 	76 , 	83 , 	43 , 	133 , 	105 , 	66 , 	122 , 	9 , 	65 , 	86 , 	141 , 	16 , 	6 , 	11 , 	4 , 	3 , 	11 , 	26 , 	67 , 	59 , 	232 , 	83 , 	28 , 	24 , 	7 , 	12 , 	22 , 	3 , 	21 , 	31 , 	4 , 	26 , 	3 , 	8 , 	16 , 	7 ," 	1,881 ",,,FT/ED line," 	9,477 "," 	2,998 "," 	1,860 "," 	2,491 "," 	1,213 "," 	7,477 ", 	514 ," 	26,030 "
SH, 	12 , 	17 , 	4 , 	4 , 	54 , 	9 , 	24 , 	14 , 	39 , 	28 , 	66 , 	52 , 	37 , 	86 , 	69 , 	3 , 	30 , 	82 , 	7 , 	5 , 	4 , 	0 , 	2 , 	6 , 	13 , 	47 , 	50 , 	185 , 	50 , 	13 , 	26 , 	6 , 	13 , 	13 , 	6 , 	11 , 	28 , 	2 , 	13 , 	2 , 	5 , 	6 , 	3 ," 	1,148 ",,,SFIA," 	4,904 ", 	401 ," 	2,083 ", 	766 , 	628 , 	424 , 	871 ," 	10,077 "
UC, 	12 , 	18 , 	6 , 	7 , 	66 , 	10 , 	16 , 	55 , 	52 , 	31 , 	62 , 	54 , 	39 , 	88 , 	82 , 	34 , 	6 , 	82 , 	9 , 	6 , 	9 , 	3 , 	1 , 	6 , 	11 , 	85 , 	71 , 	335 , 	59 , 	19 , 	21 , 	10 , 	16 , 	34 , 	7 , 	15 , 	32 , 	10 , 	10 , 	5 , 	4 , 	21 , 	8 ," 	1,525 ",,,Entries," 	56,057 "," 	17,808 "," 	31,961 "," 	19,519 "," 	15,994 "," 	25,309 "," 	10,078 "," 	176,725 "
FM, 	21 , 	42 , 	27 , 	22 , 	212 , 	31 , 	41 , 	103 , 	86 , 	48 , 	79 , 	108 , 	58 , 	126 , 	153 , 	88 , 	99 , 	15 , 	23 , 	10 , 	12 , 	7 , 	5 , 	16 , 	16 , 	191 , 	143 , 	669 , 	157 , 	32 , 	26 , 	27 , 	28 , 	40 , 	6 , 	19 , 	60 , 	5 , 	27 , 	4 , 	7 , 	35 , 	8 ," 	2,932 ",,,,,,,,,,,
CN, 	21 , 	25 , 	14 , 	12 , 	51 , 	13 , 	53 , 	44 , 	60 , 	9 , 	30 , 	135 , 	11 , 	14 , 	12 , 	6 , 	5 , 	18 , 	8 , 	50 , 	206 , 	54 , 	23 , 	45 , 	7 , 	140 , 	102 , 	388 , 	126 , 	33 , 	43 , 	27 , 	23 , 	31 , 	9 , 	4 , 	13 , 	24 , 	201 , 	7 , 	14 , 	45 , 	13 ," 	2,168 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	6 , 	16 , 	8 , 	10 , 	48 , 	9 , 	28 , 	39 , 	43 , 	12 , 	12 , 	48 , 	4 , 	6 , 	4 , 	3 , 	5 , 	9 , 	51 , 	4 , 	77 , 	15 , 	8 , 	40 , 	3 , 	179 , 	146 , 	495 , 	140 , 	31 , 	33 , 	26 , 	17 , 	24 , 	10 , 	3 , 	7 , 	11 , 	55 , 	6 , 	6 , 	63 , 	13 ," 	1,775 ",,,Dtwn SF," 	2,715 ",,,,,,,
WC, 	14 , 	21 , 	14 , 	16 , 	88 , 	23 , 	47 , 	49 , 	53 , 	8 , 	28 , 	55 , 	12 , 	7 , 	10 , 	7 , 	8 , 	10 , 	243 , 	81 , 	9 , 	55 , 	27 , 	106 , 	5 , 	292 , 	205 , 	735 , 	255 , 	55 , 	36 , 	32 , 	24 , 	40 , 	9 , 	6 , 	7 , 	23 , 	96 , 	11 , 	7 , 	74 , 	19 ," 	2,922 ",,,OAK," 	15,037 ", 	990 ,,,,,,
LF, 	5 , 	7 , 	8 , 	7 , 	44 , 	11 , 	22 , 	28 , 	39 , 	7 , 	19 , 	18 , 	3 , 	5 , 	3 , 	1 , 	2 , 	6 , 	84 , 	16 , 	52 , 	7 , 	13 , 	60 , 	5 , 	185 , 	162 , 	452 , 	157 , 	29 , 	20 , 	19 , 	5 , 	11 , 	3 , 	0 , 	2 , 	5 , 	17 , 	2 , 	4 , 	60 , 	11 ," 	1,616 ",,,CM line," 	33,885 "," 	4,056 "," 	5,519 ",,,,,
