Exit stations,Entry stations->,,SUNDAY,,,Dec 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	5 , 	39 , 	47 , 	23 , 	109 , 	34 , 	47 , 	30 , 	43 , 	18 , 	48 , 	86 , 	15 , 	15 , 	17 , 	10 , 	7 , 	14 , 	12 , 	3 , 	6 , 	4 , 	3 , 	7 , 	16 , 	56 , 	33 , 	155 , 	58 , 	37 , 	50 , 	13 , 	24 , 	14 , 	8 , 	2 , 	9 , 	2 , 	19 , 	6 , 	9 , 	22 , 	10 ," 	1,179 ",,,Eastbay," 	32,293 ",,SF CBD," 	72,126 ",57.6%,,,
EN, 	47 , 	13 , 	47 , 	37 , 	173 , 	63 , 	78 , 	46 , 	78 , 	33 , 	54 , 	310 , 	26 , 	34 , 	20 , 	11 , 	15 , 	33 , 	22 , 	10 , 	13 , 	4 , 	4 , 	13 , 	17 , 	130 , 	104 , 	441 , 	122 , 	48 , 	50 , 	25 , 	36 , 	22 , 	14 , 	6 , 	14 , 	3 , 	30 , 	6 , 	9 , 	40 , 	19 ," 	2,316 ",,,Westbay," 	39,418 ",,non-CBD," 	48,539 ",38.8%,,,
EP, 	57 , 	44 , 	7 , 	30 , 	216 , 	57 , 	45 , 	49 , 	44 , 	27 , 	33 , 	117 , 	9 , 	10 , 	10 , 	6 , 	6 , 	21 , 	12 , 	5 , 	10 , 	2 , 	3 , 	18 , 	8 , 	84 , 	66 , 	301 , 	104 , 	21 , 	26 , 	23 , 	16 , 	11 , 	3 , 	2 , 	10 , 	2 , 	10 , 	2 , 	2 , 	33 , 	9 ," 	1,566 ",,,Transbay," 	53,518 ",,,,,,,
NB, 	30 , 	29 , 	33 , 	8 , 	60 , 	32 , 	38 , 	47 , 	55 , 	22 , 	33 , 	92 , 	10 , 	20 , 	10 , 	2 , 	5 , 	23 , 	10 , 	8 , 	15 , 	5 , 	4 , 	12 , 	8 , 	104 , 	104 , 	335 , 	156 , 	61 , 	62 , 	21 , 	21 , 	12 , 	3 , 	2 , 	10 , 	3 , 	8 , 	1 , 	4 , 	48 , 	13 ," 	1,575 ",,,,,,,,,,,
BK, 	120 , 	177 , 	224 , 	64 , 	18 , 	119 , 	134 , 	136 , 	147 , 	74 , 	99 , 	140 , 	43 , 	39 , 	36 , 	19 , 	31 , 	106 , 	27 , 	32 , 	54 , 	28 , 	19 , 	21 , 	31 , 	201 , 	155 , 	745 , 	276 , 	126 , 	93 , 	51 , 	39 , 	50 , 	6 , 	12 , 	41 , 	5 , 	18 , 	7 , 	7 , 	111 , 	47 ," 	3,924 ",,,,,,,,,,,
AS, 	42 , 	58 , 	46 , 	30 , 	100 , 	10 , 	44 , 	63 , 	58 , 	25 , 	55 , 	93 , 	18 , 	31 , 	17 , 	8 , 	8 , 	26 , 	10 , 	7 , 	15 , 	5 , 	4 , 	9 , 	20 , 	88 , 	79 , 	234 , 	144 , 	75 , 	61 , 	16 , 	18 , 	13 , 	3 , 	5 , 	12 , 	2 , 	15 , 	1 , 	2 , 	39 , 	11 ," 	1,615 ",,,,,,,,,,,
MA, 	58 , 	76 , 	41 , 	38 , 	129 , 	52 , 	12 , 	42 , 	58 , 	26 , 	60 , 	183 , 	27 , 	52 , 	39 , 	13 , 	15 , 	28 , 	22 , 	21 , 	30 , 	9 , 	9 , 	39 , 	30 , 	152 , 	141 , 	524 , 	235 , 	118 , 	84 , 	28 , 	33 , 	23 , 	6 , 	11 , 	15 , 	6 , 	56 , 	4 , 	8 , 	72 , 	14 ," 	2,633 ",,,,,,,,,,,
19, 	28 , 	36 , 	51 , 	46 , 	123 , 	54 , 	39 , 	9 , 	14 , 	13 , 	45 , 	102 , 	35 , 	37 , 	40 , 	20 , 	16 , 	37 , 	21 , 	24 , 	31 , 	21 , 	14 , 	50 , 	19 , 	124 , 	99 , 	337 , 	181 , 	90 , 	70 , 	28 , 	19 , 	20 , 	4 , 	11 , 	18 , 	7 , 	27 , 	3 , 	8 , 	42 , 	14 ," 	2,021 ",,,,,,,,,,,
12, 	40 , 	64 , 	37 , 	48 , 	120 , 	54 , 	45 , 	13 , 	11 , 	15 , 	53 , 	163 , 	51 , 	67 , 	39 , 	19 , 	25 , 	37 , 	33 , 	21 , 	30 , 	15 , 	14 , 	28 , 	40 , 	124 , 	144 , 	513 , 	181 , 	73 , 	60 , 	27 , 	45 , 	33 , 	16 , 	6 , 	22 , 	5 , 	35 , 	7 , 	12 , 	60 , 	15 ," 	2,452 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	17 , 	26 , 	29 , 	20 , 	72 , 	30 , 	31 , 	10 , 	14 , 	11 , 	76 , 	164 , 	64 , 	77 , 	31 , 	22 , 	31 , 	46 , 	12 , 	6 , 	13 , 	5 , 	9 , 	10 , 	19 , 	92 , 	108 , 	416 , 	144 , 	65 , 	67 , 	23 , 	24 , 	32 , 	5 , 	38 , 	51 , 	3 , 	10 , 	3 , 	4 , 	13 , 	8 ," 	1,945 ",,,Dtwn SF," 	1,717 "," 	4,676 "," 	10,727 "," 	4,132 "," 	4,498 "," 	6,620 "," 	4,691 "," 	37,060 "
FV, 	54 , 	59 , 	35 , 	32 , 	105 , 	55 , 	74 , 	52 , 	61 , 	73 , 	11 , 	301 , 	80 , 	179 , 	94 , 	46 , 	31 , 	63 , 	25 , 	15 , 	17 , 	14 , 	9 , 	22 , 	54 , 	142 , 	105 , 	551 , 	191 , 	91 , 	84 , 	26 , 	42 , 	40 , 	6 , 	26 , 	60 , 	4 , 	41 , 	5 , 	10 , 	39 , 	11 ," 	3,030 ",,,OAK," 	4,694 ", 	591 ," 	1,203 "," 	1,393 ", 	691 ," 	2,106 ", 	331 ," 	11,009 "
CL, 	87 , 	326 , 	112 , 	81 , 	150 , 	85 , 	157 , 	91 , 	125 , 	152 , 	285 , 	10 , 	415 , 	399 , 	221 , 	138 , 	190 , 	562 , 	143 , 	150 , 	137 , 	98 , 	79 , 	70 , 	78 , 	239 , 	162 , 	533 , 	183 , 	50 , 	64 , 	43 , 	33 , 	76 , 	11 , 	188 ," 	1,178 ", 	77 , 	185 , 	17 , 	18 , 	60 , 	50 ," 	7,507 ",,,CM line," 	11,081 "," 	1,205 "," 	3,460 "," 	1,197 ", 	937 ," 	1,445 "," 	1,789 "," 	21,114 "
SL, 	15 , 	17 , 	10 , 	12 , 	42 , 	15 , 	30 , 	30 , 	49 , 	72 , 	87 , 	410 , 	9 , 	77 , 	97 , 	23 , 	24 , 	30 , 	11 , 	9 , 	10 , 	2 , 	2 , 	7 , 	13 , 	82 , 	74 , 	319 , 	89 , 	26 , 	37 , 	19 , 	17 , 	17 , 	3 , 	22 , 	27 , 	1 , 	16 , 	2 , 	4 , 	21 , 	4 ," 	1,876 ",,,RM line," 	4,270 "," 	1,478 "," 	1,166 "," 	2,246 ", 	548 ," 	2,012 ", 	455 ," 	12,175 "
BF, 	22 , 	22 , 	12 , 	13 , 	48 , 	29 , 	51 , 	52 , 	77 , 	76 , 	184 , 	396 , 	64 , 	12 , 	94 , 	58 , 	60 , 	96 , 	14 , 	5 , 	8 , 	2 , 	2 , 	8 , 	31 , 	66 , 	69 , 	350 , 	80 , 	25 , 	25 , 	13 , 	18 , 	29 , 	10 , 	47 , 	102 , 	3 , 	22 , 	3 , 	5 , 	18 , 	4 ," 	2,320 ",,,WP line," 	4,711 ", 	770 , 	933 , 	565 ," 	1,887 "," 	1,489 ", 	673 ," 	11,028 "
HY, 	20 , 	26 , 	9 , 	11 , 	33 , 	14 , 	32 , 	35 , 	47 , 	34 , 	103 , 	217 , 	55 , 	87 , 	6 , 	40 , 	51 , 	87 , 	9 , 	7 , 	8 , 	2 , 	2 , 	7 , 	13 , 	35 , 	24 , 	146 , 	42 , 	15 , 	16 , 	9 , 	12 , 	13 , 	3 , 	10 , 	30 , 	3 , 	20 , 	4 , 	6 , 	13 , 	4 ," 	1,354 ",,,FT/ED line," 	6,645 "," 	2,098 "," 	1,359 "," 	2,010 "," 	1,492 "," 	10,919 ", 	548 ," 	25,070 "
SH, 	8 , 	16 , 	6 , 	3 , 	18 , 	8 , 	16 , 	16 , 	24 , 	16 , 	41 , 	132 , 	25 , 	63 , 	38 , 	3 , 	27 , 	51 , 	4 , 	3 , 	7 , 	1 , 	1 , 	4 , 	6 , 	28 , 	17 , 	125 , 	32 , 	9 , 	18 , 	6 , 	7 , 	9 , 	4 , 	8 , 	18 , 	2 , 	13 , 	1 , 	3 , 	6 , 	2 , 	838 ,,,SFIA," 	3,665 ", 	289 ," 	1,521 ", 	489 , 	595 , 	448 , 	768 ," 	7,774 "
UC, 	10 , 	12 , 	7 , 	6 , 	24 , 	8 , 	16 , 	20 , 	27 , 	29 , 	36 , 	186 , 	24 , 	64 , 	57 , 	20 , 	8 , 	59 , 	7 , 	5 , 	7 , 	2 , 	1 , 	7 , 	7 , 	53 , 	42 , 	229 , 	47 , 	8 , 	13 , 	9 , 	7 , 	17 , 	7 , 	11 , 	27 , 	0 , 	13 , 	4 , 	5 , 	21 , 	4 ," 	1,160 ",,,Entries," 	36,783 "," 	11,107 "," 	20,370 "," 	12,030 "," 	10,648 "," 	25,038 "," 	9,254 "," 	125,229 "
FM, 	19 , 	34 , 	21 , 	17 , 	107 , 	21 , 	34 , 	33 , 	41 , 	55 , 	57 , 	538 , 	33 , 	102 , 	95 , 	55 , 	61 , 	16 , 	20 , 	11 , 	14 , 	4 , 	4 , 	12 , 	8 , 	106 , 	91 , 	430 , 	92 , 	23 , 	18 , 	16 , 	22 , 	26 , 	4 , 	13 , 	41 , 	6 , 	30 , 	3 , 	4 , 	45 , 	4 ," 	2,381 ",,,,,,,,,,,
CN, 	11 , 	22 , 	12 , 	10 , 	28 , 	8 , 	26 , 	23 , 	36 , 	11 , 	24 , 	142 , 	10 , 	12 , 	9 , 	5 , 	6 , 	18 , 	11 , 	31 , 	149 , 	42 , 	13 , 	32 , 	7 , 	82 , 	54 , 	221 , 	71 , 	19 , 	28 , 	17 , 	22 , 	22 , 	10 , 	4 , 	8 , 	13 , 	143 , 	13 , 	6 , 	55 , 	12 ," 	1,491 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFIA,
PH, 	5 , 	13 , 	5 , 	8 , 	31 , 	7 , 	21 , 	24 , 	21 , 	5 , 	9 , 	145 , 	5 , 	6 , 	5 , 	3 , 	4 , 	14 , 	28 , 	12 , 	56 , 	12 , 	11 , 	36 , 	2 , 	95 , 	70 , 	298 , 	115 , 	19 , 	16 , 	20 , 	14 , 	21 , 	7 , 	3 , 	6 , 	6 , 	33 , 	6 , 	6 , 	93 , 	12 ," 	1,322 ",,,Dtwn SF," 	1,717 ",,,,,,,
WC, 	7 , 	11 , 	9 , 	11 , 	52 , 	16 , 	34 , 	35 , 	43 , 	11 , 	16 , 	158 , 	8 , 	10 , 	8 , 	5 , 	4 , 	15 , 	156 , 	53 , 	12 , 	33 , 	17 , 	58 , 	6 , 	157 , 	117 , 	457 , 	175 , 	41 , 	27 , 	26 , 	18 , 	25 , 	6 , 	4 , 	4 , 	15 , 	66 , 	7 , 	4 , 	112 , 	15 ," 	2,059 ",,,OAK," 	9,370 ", 	591 ,,,,,,
LF, 	3 , 	4 , 	3 , 	6 , 	29 , 	6 , 	13 , 	20 , 	21 , 	6 , 	10 , 	92 , 	2 , 	2 , 	2 , 	1 , 	3 , 	5 , 	53 , 	11 , 	27 , 	4 , 	6 , 	38 , 	4 , 	96 , 	78 , 	262 , 	105 , 	22 , 	17 , 	16 , 	8 , 	11 , 	2 , 	2 , 	1 , 	3 , 	14 , 	2 , 	5 , 	50 , 	7 ," 	1,066 ",,,CM line," 	21,808 "," 	2,408 "," 	3,460 ",,,,,
OR, 	2 , 	5 , 	5 , 	3 , 	18 , 	5 , 	12 , 	11 , 	25 , 	6 , 	6 , 	83 , 	2 , 	3 , 	1 , 	-   , 	1 , 	3 , 	13 , 	8 , 	19 , 	8 , 	4 , 	30 , 	4 , 	84 , 	79 , 	222 , 	89 , 	19 , 	13 , 	12 , 	7 , 	8 , 	1 , 	1 , 	2 , 	2 , 	4 , 	1 , 	1 , 	42 , 	2 , 	859 ,,,RM line," 	8,402 "," 	2,871 "," 	2,363 "," 	2,246 ",,,,
RR, 	9 , 	11 , 	17 , 	14 , 	22 , 	11 , 	37 , 	54 , 	31 , 	10 , 	24 , 	82 , 	7 , 	12 , 	7 , 	4 , 	8 , 	11 , 	26 , 	34 , 	62 , 	40 , 	33 , 	9 , 	13 , 	169 , 	153 , 	528 , 	206 , 	85 , 	74 , 	30 , 	12 , 	17 , 	3 , 	1 , 	7 , 	8 , 	18 , 	4 , 	4 , 	78 , 	16 ," 	1,993 ",,,WP line," 	9,209 "," 	1,462 "," 	1,870 "," 	1,112 "," 	1,887 ",,,
OW, 	11 , 	15 , 	12 , 	10 , 	43 , 	20 , 	28 , 	24 , 	47 , 	13 , 	52 , 	74 , 	10 , 	30 , 	15 , 	11 , 	9 , 	8 , 	5 , 	5 , 	7 , 	4 , 	4 , 	16 , 	13 , 	174 , 	141 , 	685 , 	182 , 	77 , 	69 , 	21 , 	29 , 	13 , 	6 , 	6 , 	10 , 	1 , 	18 , 	1 , 	6 , 	34 , 	6 ," 	1,958 ",,,FT/ED line," 	13,265 "," 	4,204 "," 	2,804 "," 	4,021 "," 	2,981 "," 	10,919 ",,
EM, 	62 , 	125 , 	93 , 	130 , 	240 , 	100 , 	182 , 	150 , 	170 , 	110 , 	177 , 	290 , 	96 , 	83 , 	38 , 	31 , 	55 , 	136 , 	97 , 	116 , 	186 , 	102 , 	93 , 	195 , 	194 , 	52 , 	35 , 	237 , 	80 , 	204 , 	274 , 	136 , 	226 , 	100 , 	31 , 	70 , 	259 , 	36 , 	101 , 	31 , 	42 , 	281 , 	77 ," 	5,518 ",,,SFIA," 	8,356 ", 	620 ," 	3,310 ", 	944 ," 	1,268 ", 	996 , 	768 ," 	125,229 "
MT, 	50 , 	113 , 	80 , 	142 , 	181 , 	96 , 	154 , 	129 , 	160 , 	136 , 	119 , 	182 , 	92 , 	85 , 	30 , 	24 , 	49 , 	102 , 	78 , 	95 , 	117 , 	76 , 	73 , 	162 , 	193 , 	21 , 	29 , 	91 , 	81 , 	257 , 	363 , 	235 , 	637 , 	160 , 	66 , 	61 , 	165 , 	35 , 	81 , 	39 , 	42 , 	355 , 	84 ," 	5,514 ",,,,,,,,,,,
PL, 	155 , 	389 , 	269 , 	282 , 	670 , 	230 , 	486 , 	329 , 	403 , 	417 , 	513 , 	545 , 	280 , 	328 , 	137 , 	117 , 	203 , 	396 , 	188 , 	252 , 	404 , 	229 , 	214 , 	442 , 	676 , 	236 , 	52 , 	150 , 	249 ," 	1,163 "," 	1,537 ", 	919 ," 	1,482 ", 	805 , 	303 , 	188 , 	760 , 	103 , 	248 , 	237 , 	254 ," 	1,800 ", 	524 ," 	19,560 ",,,,,,,,,,,
CC, 	68 , 	100 , 	89 , 	124 , 	222 , 	124 , 	212 , 	150 , 	138 , 	131 , 	183 , 	166 , 	80 , 	75 , 	35 , 	31 , 	41 , 	106 , 	62 , 	101 , 	149 , 	112 , 	77 , 	164 , 	160 , 	63 , 	48 , 	227 , 	67 , 	396 , 	496 , 	214 , 	432 , 	201 , 	92 , 	63 , 	233 , 	38 , 	74 , 	56 , 	126 , 	563 , 	184 ," 	6,468 ",,,,,,,,,,,
16, 	45 , 	46 , 	25 , 	63 , 	111 , 	82 , 	116 , 	84 , 	70 , 	66 , 	87 , 	71 , 	26 , 	25 , 	17 , 	12 , 	8 , 	23 , 	25 , 	17 , 	33 , 	21 , 	17 , 	82 , 	83 , 	208 , 	169 ," 	1,250 ", 	458 , 	35 , 	179 , 	162 , 	288 , 	114 , 	69 , 	14 , 	36 , 	6 , 	36 , 	33 , 	84 , 	194 , 	71 ," 	4,660 ",,,,,,,,,,,
24, 	64 , 	49 , 	30 , 	52 , 	95 , 	70 , 	100 , 	67 , 	68 , 	58 , 	79 , 	80 , 	37 , 	27 , 	17 , 	17 , 	14 , 	27 , 	30 , 	17 , 	20 , 	18 , 	12 , 	57 , 	72 , 	284 , 	229 ," 	1,665 ", 	582 , 	177 , 	45 , 	140 , 	278 , 	118 , 	73 , 	14 , 	40 , 	9 , 	51 , 	32 , 	148 , 	196 , 	76 ," 	5,327 ",,,,,,,,,,,
GP, 	15 , 	26 , 	19 , 	19 , 	57 , 	17 , 	29 , 	24 , 	27 , 	16 , 	26 , 	56 , 	18 , 	18 , 	7 , 	4 , 	7 , 	17 , 	19 , 	19 , 	33 , 	16 , 	9 , 	25 , 	21 , 	137 , 	149 ," 	1,097 ", 	204 , 	149 , 	145 , 	22 , 	48 , 	36 , 	35 , 	10 , 	39 , 	6 , 	32 , 	16 , 	67 , 	79 , 	40 ," 	2,847 ",,,,,,,,,,,
BP, 	24 , 	39 , 	13 , 	21 , 	31 , 	18 , 	35 , 	21 , 	40 , 	25 , 	43 , 	41 , 	23 , 	20 , 	13 , 	9 , 	11 , 	23 , 	21 , 	18 , 	22 , 	8 , 	7 , 	14 , 	25 , 	242 , 	206 ," 	1,906 ", 	366 , 	273 , 	240 , 	41 , 	32 , 	45 , 	60 , 	8 , 	50 , 	10 , 	33 , 	23 , 	141 , 	75 , 	58 ," 	4,369 ",,,,,,,,,,,
DC, 	21 , 	30 , 	9 , 	10 , 	49 , 	15 , 	21 , 	23 , 	37 , 	26 , 	35 , 	76 , 	14 , 	25 , 	12 , 	11 , 	13 , 	20 , 	22 , 	18 , 	29 , 	10 , 	8 , 	15 , 	15 , 	103 , 	129 , 	935 , 	220 , 	128 , 	125 , 	45 , 	63 , 	14 , 	31 , 	13 , 	60 , 	12 , 	40 , 	20 , 	102 , 	124 , 	69 ," 	2,792 ",,,,,,,,,,,
CM, 	5 , 	18 , 	3 , 	2 , 	7 , 	2 , 	6 , 	6 , 	12 , 	6 , 	6 , 	10 , 	5 , 	6 , 	5 , 	6 , 	7 , 	7 , 	7 , 	6 , 	6 , 	2 , 	1 , 	4 , 	7 , 	38 , 	47 , 	360 , 	101 , 	60 , 	60 , 	36 , 	63 , 	31 , 	5 , 	2 , 	7 , 	4 , 	14 , 	7 , 	58 , 	58 , 	20 ," 	1,119 ",,,,,,,,,,,
CV, 	3 , 	5 , 	3 , 	2 , 	14 , 	7 , 	13 , 	11 , 	8 , 	37 , 	26 , 	189 , 	20 , 	48 , 	16 , 	11 , 	6 , 	14 , 	3 , 	2 , 	3 , 	1 , 	1 , 	2 , 	7 , 	65 , 	57 , 	221 , 	62 , 	10 , 	13 , 	10 , 	7 , 	11 , 	1 , 	6 , 	62 , 	1 , 	5 , 	2 , 	3 , 	12 , 	3 ," 	1,002 ",,,,,,,,,,,
ED, 	8 , 	16 , 	11 , 	7 , 	37 , 	10 , 	17 , 	19 , 	21 , 	54 , 	66 ," 	1,138 ", 	30 , 	106 , 	31 , 	21 , 	23 , 	42 , 	9 , 	7 , 	6 , 	1 , 	2 , 	5 , 	10 , 	218 , 	160 , 	891 , 	202 , 	38 , 	31 , 	44 , 	44 , 	54 , 	6 , 	63 , 	20 , 	2 , 	9 , 	4 , 	8 , 	108 , 	12 ," 	3,603 ",,,,,,,,,,,
NC, 	1 , 	3 , 	2 , 	2 , 	6 , 	3 , 	9 , 	8 , 	9 , 	2 , 	5 , 	74 , 	1 , 	4 , 	1 , 	2 , 	1 , 	3 , 	13 , 	8 , 	17 , 	3 , 	0 , 	10 , 	2 , 	32 , 	30 , 	110 , 	34 , 	7 , 	7 , 	8 , 	8 , 	7 , 	3 , 	0 , 	3 , 	4 , 	15 , 	2 , 	3 , 	21 , 	2 , 	479 ,,,,,,,,,,,
WP, 	29 , 	28 , 	11 , 	10 , 	20 , 	16 , 	70 , 	31 , 	41 , 	10 , 	41 , 	179 , 	18 , 	24 , 	22 , 	10 , 	11 , 	26 , 	134 , 	36 , 	71 , 	13 , 	9 , 	25 , 	22 , 	82 , 	74 , 	287 , 	83 , 	33 , 	46 , 	27 , 	33 , 	35 , 	13 , 	6 , 	12 , 	19 , 	9 , 	11 , 	10 , 	62 , 	15 ," 	1,758 ",,,,,,,,,,,
SS, 	7 , 	6 , 	1 , 	2 , 	7 , 	1 , 	3 , 	2 , 	5 , 	3 , 	9 , 	17 , 	4 , 	5 , 	2 , 	2 , 	3 , 	3 , 	10 , 	5 , 	6 , 	2 , 	2 , 	3 , 	1 , 	25 , 	29 , 	255 , 	65 , 	22 , 	36 , 	14 , 	21 , 	22 , 	7 , 	2 , 	8 , 	3 , 	10 , 	4 , 	23 , 	23 , 	12 , 	688 ,,,,,,,,,,,
