Exit stations,Entry stations->,,WEEKDAY,,,Dec 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
RM, 	6 , 	105 , 	107 , 	68 , 	309 , 	80 , 	141 , 	128 , 	167 , 	36 , 	96 , 	76 , 	41 , 	41 , 	36 , 	19 , 	16 , 	36 , 	27 , 	17 , 	25 , 	10 , 	11 , 	18 , 	22 , 	225 , 	227 , 	338 , 	206 , 	108 , 	113 , 	27 , 	50 , 	49 , 	14 , 	8 , 	23 , 	8 , 	39 , 	9 , 	14 , 	31 , 	21 ," 	3,148 ",,,Eastbay," 	70,598 ",,SF CBD," 	210,822 ",65.1%,,,
EN, 	120 , 	13 , 	96 , 	85 , 	711 , 	123 , 	264 , 	406 , 	558 , 	93 , 	131 , 	146 , 	62 , 	52 , 	69 , 	30 , 	31 , 	72 , 	41 , 	24 , 	40 , 	10 , 	12 , 	33 , 	39 , 	734 , 	765 , 	844 , 	580 , 	128 , 	142 , 	51 , 	78 , 	125 , 	23 , 	6 , 	34 , 	10 , 	43 , 	26 , 	34 , 	69 , 	37 ," 	6,990 ",,,Westbay," 	93,465 ",,non-CBD," 	105,735 ",32.7%,,,
EP, 	102 , 	85 , 	8 , 	57 , 	565 , 	73 , 	126 , 	208 , 	261 , 	73 , 	63 , 	62 , 	26 , 	19 , 	23 , 	6 , 	11 , 	33 , 	21 , 	13 , 	22 , 	8 , 	9 , 	36 , 	13 , 	441 , 	535 , 	472 , 	307 , 	65 , 	55 , 	24 , 	27 , 	45 , 	5 , 	5 , 	17 , 	4 , 	9 , 	5 , 	4 , 	48 , 	22 ," 	4,012 ",,,Transbay," 	159,606 ",,,,,,,
NB, 	66 , 	74 , 	55 , 	9 , 	169 , 	60 , 	88 , 	171 , 	219 , 	56 , 	61 , 	61 , 	23 , 	20 , 	17 , 	8 , 	9 , 	26 , 	13 , 	13 , 	24 , 	8 , 	7 , 	23 , 	17 , 	540 , 	566 , 	464 , 	339 , 	116 , 	79 , 	26 , 	25 , 	41 , 	5 , 	6 , 	15 , 	3 , 	12 , 	4 , 	5 , 	74 , 	29 ," 	3,647 ",,,,,,,,,,,
BK, 	342 , 	739 , 	559 , 	182 , 	18 , 	323 , 	398 , 	425 , 	487 , 	199 , 	247 , 	212 , 	115 , 	120 , 	114 , 	74 , 	110 , 	227 , 	114 , 	120 , 	126 , 	76 , 	53 , 	56 , 	69 , 	617 , 	621 , 	933 , 	589 , 	283 , 	265 , 	107 , 	81 , 	113 , 	27 , 	48 , 	120 , 	33 , 	72 , 	23 , 	23 , 	139 , 	110 ," 	9,708 ",,,,,,,,,,,
AS, 	80 , 	106 , 	70 , 	52 , 	280 , 	9 , 	90 , 	166 , 	200 , 	56 , 	100 , 	88 , 	31 , 	44 , 	35 , 	17 , 	19 , 	53 , 	26 , 	18 , 	29 , 	10 , 	8 , 	17 , 	29 , 	404 , 	470 , 	411 , 	326 , 	149 , 	111 , 	28 , 	34 , 	41 , 	10 , 	10 , 	26 , 	6 , 	25 , 	4 , 	6 , 	46 , 	20 ," 	3,757 ",,,,,,,,,,,
MA, 	154 , 	259 , 	120 , 	85 , 	366 , 	94 , 	13 , 	160 , 	225 , 	76 , 	171 , 	189 , 	103 , 	117 , 	106 , 	63 , 	68 , 	111 , 	120 , 	102 , 	116 , 	43 , 	36 , 	58 , 	70 , 	784 , 	857 , 	857 , 	652 , 	259 , 	178 , 	70 , 	77 , 	97 , 	25 , 	28 , 	81 , 	38 , 	173 , 	21 , 	20 , 	90 , 	36 ," 	7,366 ",,,,,,,,,,,
19, 	131 , 	411 , 	208 , 	182 , 	383 , 	174 , 	152 , 	11 , 	64 , 	40 , 	140 , 	179 , 	193 , 	188 , 	195 , 	155 , 	155 , 	344 , 	248 , 	306 , 	227 , 	133 , 	97 , 	143 , 	59 , 	707 , 	711 , 	692 , 	602 , 	220 , 	212 , 	122 , 	100 , 	138 , 	57 , 	62 , 	222 , 	119 , 	226 , 	68 , 	37 , 	53 , 	86 ," 	8,950 ",,,,,,,,,,,
12, 	176 , 	545 , 	258 , 	224 , 	409 , 	209 , 	214 , 	57 , 	21 , 	46 , 	201 , 	287 , 	306 , 	323 , 	271 , 	190 , 	213 , 	432 , 	286 , 	321 , 	299 , 	162 , 	138 , 	173 , 	84 , 	808 , 	829 , 	897 , 	670 , 	227 , 	241 , 	137 , 	130 , 	165 , 	86 , 	96 , 	291 , 	120 , 	270 , 	71 , 	64 , 	83 , 	114 ," 	11,147 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	34 , 	88 , 	69 , 	58 , 	191 , 	57 , 	76 , 	39 , 	44 , 	9 , 	144 , 	201 , 	231 , 	218 , 	136 , 	97 , 	112 , 	150 , 	30 , 	21 , 	26 , 	12 , 	14 , 	35 , 	40 , 	493 , 	540 , 	597 , 	373 , 	141 , 	97 , 	45 , 	56 , 	97 , 	11 , 	85 , 	203 , 	10 , 	39 , 	14 , 	10 , 	27 , 	17 ," 	4,987 ",,,Dtwn SF,"5,760","14,480","29,040","11,166","18,240","21,163","8,467","108,316"
