Exit stations,Entry stations->,,SUNDAY,,,Mar 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	4 , 	38 , 	40 , 	28 , 	116 , 	44 , 	51 , 	24 , 	43 , 	18 , 	47 , 	46 , 	17 , 	19 , 	16 , 	10 , 	8 , 	15 , 	9 , 	13 , 	5 , 	4 , 	3 , 	9 , 	13 , 	54 , 	38 , 	165 , 	63 , 	43 , 	47 , 	12 , 	25 , 	22 , 	7 , 	3 , 	9 , 	2 , 	19 , 	8 , 	8 , 	30 , 	15 , 	1 ," 	1,210 ",,,Eastbay," 	26,064 ",,SF CBD," 	58,941 ",55.9%,,,
EN, 	50 , 	7 , 	41 , 	36 , 	173 , 	63 , 	70 , 	46 , 	86 , 	28 , 	65 , 	84 , 	25 , 	27 , 	25 , 	13 , 	16 , 	33 , 	16 , 	22 , 	14 , 	6 , 	4 , 	15 , 	15 , 	104 , 	87 , 	317 , 	115 , 	49 , 	54 , 	23 , 	36 , 	32 , 	13 , 	6 , 	10 , 	3 , 	23 , 	7 , 	10 , 	43 , 	18 , 	2 ," 	1,923 ",,,Westbay," 	34,392 ",,non-CBD," 	41,793 ",39.6%,,,
EP, 	52 , 	40 , 	5 , 	28 , 	220 , 	42 , 	47 , 	36 , 	67 , 	37 , 	34 , 	46 , 	12 , 	11 , 	11 , 	3 , 	6 , 	21 , 	7 , 	9 , 	12 , 	4 , 	3 , 	18 , 	7 , 	60 , 	49 , 	186 , 	113 , 	29 , 	29 , 	9 , 	13 , 	11 , 	2 , 	5 , 	8 , 	1 , 	7 , 	2 , 	1 , 	38 , 	7 , 	3 ," 	1,347 ",,,Transbay," 	45,960 ",,,,,,,
NB, 	31 , 	33 , 	32 , 	7 , 	68 , 	30 , 	39 , 	46 , 	94 , 	30 , 	41 , 	47 , 	15 , 	15 , 	12 , 	4 , 	10 , 	25 , 	9 , 	11 , 	15 , 	5 , 	3 , 	9 , 	10 , 	107 , 	104 , 	242 , 	147 , 	69 , 	60 , 	18 , 	16 , 	9 , 	2 , 	4 , 	9 , 	0 , 	10 , 	3 , 	3 , 	65 , 	17 , 	2 ," 	1,524 ",,,,,,,,,,,
BK, 	138 , 	181 , 	221 , 	70 , 	17 , 	122 , 	169 , 	178 , 	200 , 	73 , 	106 , 	334 , 	41 , 	39 , 	37 , 	14 , 	50 , 	182 , 	19 , 	46 , 	39 , 	27 , 	11 , 	36 , 	33 , 	247 , 	220 , 	672 , 	319 , 	161 , 	130 , 	46 , 	37 , 	54 , 	7 , 	14 , 	49 , 	4 , 	20 , 	8 , 	8 , 	379 , 	87 , 	11 ," 	4,851 ",,,,,,,,,,,
AS, 	44 , 	52 , 	42 , 	35 , 	101 , 	8 , 	58 , 	69 , 	79 , 	27 , 	66 , 	71 , 	23 , 	26 , 	17 , 	8 , 	11 , 	30 , 	7 , 	8 , 	18 , 	7 , 	1 , 	9 , 	20 , 	99 , 	89 , 	221 , 	156 , 	88 , 	72 , 	19 , 	12 , 	11 , 	3 , 	3 , 	11 , 	1 , 	10 , 	4 , 	6 , 	49 , 	11 , 	2 ," 	1,700 ",,,,,,,,,,,
MA, 	64 , 	65 , 	39 , 	37 , 	149 , 	58 , 	10 , 	60 , 	136 , 	41 , 	88 , 	96 , 	29 , 	42 , 	34 , 	19 , 	13 , 	31 , 	22 , 	39 , 	31 , 	8 , 	9 , 	37 , 	38 , 	156 , 	147 , 	371 , 	252 , 	149 , 	123 , 	31 , 	28 , 	27 , 	7 , 	13 , 	9 , 	5 , 	45 , 	3 , 	9 , 	69 , 	18 , 	7 ," 	2,658 ",,,,,,,,,,,
19, 	28 , 	40 , 	37 , 	40 , 	145 , 	61 , 	52 , 	9 , 	19 , 	10 , 	51 , 	56 , 	26 , 	29 , 	32 , 	11 , 	15 , 	27 , 	17 , 	26 , 	30 , 	14 , 	9 , 	46 , 	25 , 	104 , 	91 , 	270 , 	167 , 	102 , 	75 , 	19 , 	16 , 	17 , 	6 , 	7 , 	9 , 	2 , 	17 , 	4 , 	6 , 	44 , 	10 , 	4 ," 	1,820 ",,,,,,,,,,,
12, 	39 , 	70 , 	57 , 	74 , 	170 , 	71 , 	117 , 	14 , 	11 , 	14 , 	88 , 	99 , 	65 , 	66 , 	41 , 	26 , 	40 , 	58 , 	24 , 	41 , 	41 , 	30 , 	34 , 	115 , 	100 , 	173 , 	145 , 	406 , 	184 , 	82 , 	81 , 	30 , 	38 , 	34 , 	13 , 	11 , 	17 , 	7 , 	35 , 	8 , 	9 , 	70 , 	22 , 	4 ," 	2,868 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	18 , 	29 , 	36 , 	27 , 	67 , 	33 , 	43 , 	9 , 	17 , 	7 , 	91 , 	77 , 	72 , 	64 , 	33 , 	20 , 	30 , 	42 , 	9 , 	14 , 	15 , 	7 , 	7 , 	19 , 	27 , 	96 , 	111 , 	324 , 	157 , 	80 , 	64 , 	23 , 	26 , 	22 , 	4 , 	35 , 	43 , 	2 , 	5 , 	3 , 	6 , 	15 , 	6 , 	16 ," 	1,846 ",,,Dtwn SF," 	1,217 "," 	4,151 "," 	9,384 "," 	3,634 "," 	3,267 "," 	4,503 "," 	3,166 "," 	29,320 "
