Exit stations,Entry stations->,,WEEKDAY,,,Apr 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	7 , 	124 , 	108 , 	86 , 	385 , 	101 , 	154 , 	140 , 	191 , 	42 , 	101 , 	85 , 	49 , 	35 , 	44 , 	21 , 	17 , 	42 , 	30 , 	19 , 	24 , 	13 , 	10 , 	24 , 	27 , 	236 , 	236 , 	331 , 	239 , 	124 , 	137 , 	35 , 	62 , 	62 , 	17 , 	8 , 	20 , 	8 , 	45 , 	9 , 	15 , 	25 , 	25 , 	4 ," 	3,520 ",,,Eastbay," 	81,297 ",,SF CBD," 	220,219 ",63.2%,,,
EN, 	135 , 	15 , 	103 , 	93 , 	900 , 	144 , 	294 , 	462 , 	617 , 	107 , 	140 , 	170 , 	66 , 	57 , 	83 , 	33 , 	34 , 	82 , 	44 , 	26 , 	39 , 	13 , 	15 , 	38 , 	42 , 	783 , 	826 , 	761 , 	612 , 	159 , 	162 , 	55 , 	106 , 	160 , 	28 , 	8 , 	40 , 	9 , 	51 , 	27 , 	36 , 	63 , 	43 , 	7 ," 	7,686 ",,,Westbay," 	98,568 ",,non-CBD," 	121,032 ",34.7%,,,
EP, 	108 , 	83 , 	8 , 	57 , 	648 , 	77 , 	125 , 	229 , 	285 , 	82 , 	72 , 	78 , 	26 , 	18 , 	30 , 	7 , 	14 , 	46 , 	27 , 	19 , 	26 , 	10 , 	9 , 	34 , 	12 , 	484 , 	561 , 	366 , 	332 , 	79 , 	70 , 	26 , 	33 , 	55 , 	4 , 	6 , 	18 , 	5 , 	12 , 	6 , 	4 , 	42 , 	22 , 	7 ," 	4,265 ",,,Transbay," 	172,296 ",,,,,,,
NB, 	82 , 	77 , 	56 , 	8 , 	174 , 	61 , 	91 , 	193 , 	251 , 	70 , 	77 , 	77 , 	30 , 	26 , 	23 , 	8 , 	12 , 	33 , 	17 , 	13 , 	25 , 	9 , 	8 , 	21 , 	22 , 	617 , 	646 , 	401 , 	386 , 	131 , 	87 , 	29 , 	36 , 	57 , 	5 , 	7 , 	14 , 	3 , 	17 , 	6 , 	7 , 	74 , 	33 , 	3 ," 	4,019 ",,,,,,,,,,,
BK, 	431 , 	931 , 	669 , 	216 , 	22 , 	368 , 	480 , 	510 , 	556 , 	254 , 	320 , 	292 , 	148 , 	146 , 	145 , 	96 , 	149 , 	289 , 	138 , 	150 , 	139 , 	94 , 	60 , 	56 , 	87 , 	817 , 	790 , 	962 , 	766 , 	379 , 	350 , 	132 , 	116 , 	175 , 	42 , 	50 , 	127 , 	41 , 	94 , 	37 , 	34 , 	163 , 	153 , 	35 ," 	12,012 ",,,,,,,,,,,
AS, 	100 , 	129 , 	72 , 	54 , 	300 , 	9 , 	92 , 	191 , 	223 , 	75 , 	123 , 	113 , 	43 , 	40 , 	45 , 	19 , 	24 , 	60 , 	31 , 	23 , 	29 , 	12 , 	8 , 	16 , 	35 , 	497 , 	566 , 	389 , 	397 , 	176 , 	119 , 	31 , 	45 , 	56 , 	9 , 	10 , 	30 , 	7 , 	26 , 	6 , 	7 , 	40 , 	27 , 	5 ," 	4,310 ",,,,,,,,,,,
MA, 	160 , 	285 , 	122 , 	92 , 	437 , 	99 , 	14 , 	180 , 	253 , 	92 , 	212 , 	229 , 	114 , 	119 , 	141 , 	73 , 	65 , 	132 , 	130 , 	111 , 	130 , 	42 , 	35 , 	66 , 	74 , 	898 , 	992 , 	799 , 	753 , 	313 , 	211 , 	79 , 	96 , 	129 , 	29 , 	32 , 	75 , 	38 , 	193 , 	23 , 	25 , 	80 , 	47 , 	18 ," 	8,234 ",,,,,,,,,,,
19, 	152 , 	454 , 	219 , 	207 , 	463 , 	188 , 	167 , 	12 , 	56 , 	41 , 	149 , 	208 , 	234 , 	187 , 	208 , 	161 , 	182 , 	366 , 	270 , 	327 , 	255 , 	146 , 	100 , 	156 , 	61 , 	792 , 	808 , 	672 , 	701 , 	281 , 	238 , 	134 , 	121 , 	159 , 	58 , 	62 , 	217 , 	146 , 	245 , 	61 , 	46 , 	50 , 	89 , 	50 ," 	9,896 ",,,,,,,,,,,
12, 	199 , 	608 , 	281 , 	257 , 	497 , 	225 , 	247 , 	61 , 	18 , 	45 , 	215 , 	353 , 	324 , 	334 , 	306 , 	215 , 	234 , 	491 , 	300 , 	351 , 	337 , 	170 , 	141 , 	191 , 	90 , 	901 , 	916 , 	886 , 	780 , 	265 , 	280 , 	154 , 	149 , 	198 , 	97 , 	104 , 	275 , 	135 , 	298 , 	77 , 	68 , 	91 , 	121 , 	76 ," 	12,361 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	41 , 	102 , 	80 , 	69 , 	261 , 	78 , 	91 , 	39 , 	47 , 	6 , 	179 , 	243 , 	252 , 	245 , 	171 , 	115 , 	111 , 	165 , 	34 , 	21 , 	30 , 	13 , 	11 , 	34 , 	44 , 	530 , 	628 , 	559 , 	421 , 	157 , 	116 , 	52 , 	79 , 	126 , 	9 , 	100 , 	187 , 	13 , 	50 , 	18 , 	9 , 	26 , 	16 , 	48 ," 	5,626 ",,,Dtwn SF,"4,915","15,537","30,856","12,185","18,651","21,607","8,865","112,615"
FV, 	100 , 	136 , 	68 , 	80 , 	321 , 	126 , 	215 , 	166 , 	252 , 	170 , 	11 , 	277 , 	253 , 	280 , 	277 , 	116 , 	89 , 	145 , 	52 , 	36 , 	51 , 	23 , 	32 , 	66 , 	126 , 	711 , 	724 , 	779 , 	625 , 	231 , 	162 , 	65 , 	102 , 	134 , 	17 , 	62 , 	136 , 	10 , 	71 , 	14 , 	17 , 	48 , 	21 , 	43 ," 	7,440 ",,,OAK,"15,574","1,917","4,024","5,792","4,652","8,226",924,"41,109"
CL, 	91 , 	175 , 	78 , 	85 , 	292 , 	119 , 	238 , 	244 , 	371 , 	224 , 	281 , 	10 , 	156 , 	242 , 	243 , 	112 , 	133 , 	252 , 	85 , 	96 , 	98 , 	49 , 	38 , 	86 , 	111 , 	555 , 	477 , 	551 , 	417 , 	130 , 	113 , 	59 , 	76 , 	117 , 	19 , 	105 , 	328 , 	40 , 	132 , 	21 , 	27 , 	42 , 	37 , 	81 ," 	7,235 ",,,CM line,"29,992","3,862","8,790","3,070","2,230","3,387","2,729","54,059"
SL, 	47 , 	71 , 	25 , 	32 , 	152 , 	48 , 	123 , 	246 , 	334 , 	260 , 	254 , 	158 , 	10 , 	115 , 	156 , 	80 , 	84 , 	170 , 	37 , 	23 , 	27 , 	7 , 	9 , 	18 , 	39 , 	608 , 	563 , 	483 , 	377 , 	103 , 	73 , 	35 , 	67 , 	92 , 	6 , 	39 , 	110 , 	5 , 	43 , 	8 , 	16 , 	31 , 	15 , 	27 ," 	5,225 ",,,RM line,"13,003","5,941","3,349","6,941","1,586","4,026",904,"35,751"
BF, 	34 , 	54 , 	19 , 	21 , 	139 , 	45 , 	122 , 	192 , 	334 , 	238 , 	288 , 	236 , 	118 , 	10 , 	175 , 	118 , 	121 , 	248 , 	28 , 	16 , 	19 , 	4 , 	5 , 	13 , 	43 , 	514 , 	549 , 	450 , 	337 , 	76 , 	61 , 	30 , 	52 , 	94 , 	13 , 	73 , 	207 , 	7 , 	24 , 	9 , 	11 , 	17 , 	11 , 	59 ," 	5,231 ",,,WP line,"19,049","4,695","2,353","1,599","5,283","1,839","1,017","35,836"
HY, 	44 , 	83 , 	32 , 	25 , 	134 , 	53 , 	137 , 	222 , 	304 , 	164 , 	286 , 	240 , 	166 , 	190 , 	10 , 	125 , 	198 , 	365 , 	31 , 	24 , 	25 , 	8 , 	7 , 	18 , 	41 , 	361 , 	347 , 	286 , 	244 , 	76 , 	51 , 	23 , 	39 , 	58 , 	8 , 	27 , 	90 , 	13 , 	44 , 	10 , 	12 , 	15 , 	8 , 	33 ," 	4,678 ",,,FT/ED line,"21,572","8,317","3,479","4,117","1,874","13,199",708,"53,266"
SH, 	23 , 	33 , 	8 , 	10 , 	92 , 	23 , 	71 , 	160 , 	205 , 	104 , 	107 , 	104 , 	78 , 	109 , 	115 , 	6 , 	65 , 	170 , 	18 , 	8 , 	14 , 	3 , 	2 , 	11 , 	18 , 	384 , 	347 , 	232 , 	194 , 	53 , 	39 , 	13 , 	24 , 	58 , 	6 , 	25 , 	43 , 	5 , 	16 , 	6 , 	7 , 	10 , 	7 , 	11 ," 	3,037 ",,,SFIA,"8,412",956,"2,859",915,"1,066",688,"1,150","16,046"
UC, 	19 , 	33 , 	15 , 	11 , 	153 , 	27 , 	66 , 	184 , 	230 , 	116 , 	100 , 	133 , 	88 , 	133 , 	201 , 	69 , 	9 , 	176 , 	19 , 	15 , 	17 , 	5 , 	4 , 	11 , 	18 , 	651 , 	565 , 	316 , 	213 , 	51 , 	32 , 	16 , 	27 , 	62 , 	12 , 	22 , 	65 , 	4 , 	13 , 	7 , 	5 , 	20 , 	8 , 	15 ," 	3,954 ",,,Entries,"112,518","41,224","55,710","34,619","35,342","52,972","16,297","348,682"
FM, 	47 , 	86 , 	47 , 	36 , 	322 , 	63 , 	133 , 	363 , 	482 , 	163 , 	157 , 	247 , 	161 , 	256 , 	368 , 	192 , 	182 , 	21 , 	39 , 	30 , 	26 , 	10 , 	12 , 	28 , 	23 ," 	1,365 "," 	1,145 ", 	522 , 	387 , 	88 , 	43 , 	29 , 	37 , 	95 , 	10 , 	35 , 	89 , 	8 , 	46 , 	7 , 	10 , 	46 , 	7 , 	14 ," 	7,477 ",,,,,,,,,,,
