Exit stations,Entry stations->,,WEEKDAY,,,Aug 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	7 , 	135 , 	101 , 	82 , 	359 , 	102 , 	158 , 	136 , 	168 , 	49 , 	100 , 	87 , 	46 , 	33 , 	40 , 	25 , 	16 , 	37 , 	30 , 	22 , 	23 , 	12 , 	11 , 	18 , 	26 , 	251 , 	235 , 	351 , 	260 , 	120 , 	131 , 	32 , 	60 , 	50 , 	15 , 	7 , 	21 , 	12 , 	44 , 	10 , 	17 , 	31 , 	29 , 	6 ," 	3,506 ",,,Eastbay," 	79,715 ",,SF CBD," 	228,359 ",64.4%,,,
EN, 	147 , 	16 , 	100 , 	89 , 	845 , 	141 , 	303 , 	480 , 	610 , 	112 , 	142 , 	161 , 	65 , 	59 , 	73 , 	33 , 	38 , 	78 , 	48 , 	28 , 	36 , 	16 , 	15 , 	36 , 	43 , 	829 , 	860 , 	795 , 	605 , 	157 , 	166 , 	56 , 	107 , 	120 , 	28 , 	10 , 	35 , 	11 , 	49 , 	27 , 	36 , 	70 , 	50 , 	12 ," 	7,737 ",,,Westbay," 	100,682 ",,non-CBD," 	117,944 ",33.3%,,,
EP, 	108 , 	85 , 	8 , 	62 , 	627 , 	82 , 	133 , 	220 , 	269 , 	71 , 	69 , 	76 , 	24 , 	20 , 	25 , 	10 , 	15 , 	43 , 	25 , 	17 , 	27 , 	12 , 	7 , 	32 , 	15 , 	502 , 	569 , 	380 , 	321 , 	80 , 	59 , 	28 , 	30 , 	47 , 	5 , 	8 , 	19 , 	3 , 	12 , 	7 , 	8 , 	55 , 	23 , 	7 ," 	4,244 ",,,Transbay," 	178,554 ",,,,,,,
NB, 	82 , 	77 , 	61 , 	12 , 	179 , 	56 , 	93 , 	179 , 	241 , 	59 , 	79 , 	68 , 	30 , 	24 , 	23 , 	11 , 	11 , 	30 , 	17 , 	17 , 	29 , 	11 , 	10 , 	19 , 	19 , 	676 , 	696 , 	429 , 	353 , 	147 , 	92 , 	31 , 	30 , 	36 , 	5 , 	6 , 	14 , 	4 , 	16 , 	4 , 	8 , 	90 , 	31 , 	4 ," 	4,107 ",,,,,,,,,,,
BK, 	378 , 	881 , 	654 , 	198 , 	28 , 	354 , 	460 , 	499 , 	545 , 	226 , 	291 , 	263 , 	156 , 	136 , 	129 , 	91 , 	150 , 	342 , 	132 , 	155 , 	149 , 	96 , 	66 , 	64 , 	82 , 	963 , 	876 ," 	1,111 ", 	744 , 	377 , 	321 , 	135 , 	120 , 	138 , 	38 , 	54 , 	141 , 	44 , 	96 , 	34 , 	36 , 	220 , 	174 , 	48 ," 	12,196 ",,,,,,,,,,,
AS, 	101 , 	127 , 	77 , 	54 , 	299 , 	11 , 	93 , 	192 , 	236 , 	72 , 	111 , 	103 , 	42 , 	44 , 	42 , 	23 , 	22 , 	68 , 	24 , 	23 , 	35 , 	12 , 	6 , 	14 , 	35 , 	539 , 	581 , 	407 , 	386 , 	171 , 	119 , 	34 , 	45 , 	42 , 	11 , 	10 , 	29 , 	4 , 	28 , 	6 , 	9 , 	58 , 	29 , 	9 ," 	4,385 ",,,,,,,,,,,
MA, 	169 , 	286 , 	123 , 	87 , 	440 , 	93 , 	18 , 	174 , 	255 , 	88 , 	198 , 	191 , 	123 , 	122 , 	137 , 	74 , 	72 , 	130 , 	141 , 	123 , 	127 , 	48 , 	44 , 	58 , 	69 , 	944 ," 	1,015 ", 	824 , 	721 , 	319 , 	208 , 	77 , 	94 , 	99 , 	29 , 	32 , 	67 , 	36 , 	205 , 	21 , 	26 , 	106 , 	49 , 	21 ," 	8,284 ",,,,,,,,,,,
19, 	150 , 	476 , 	214 , 	197 , 	447 , 	194 , 	161 , 	16 , 	55 , 	44 , 	144 , 	194 , 	217 , 	192 , 	210 , 	164 , 	180 , 	391 , 	292 , 	316 , 	257 , 	138 , 	100 , 	146 , 	65 , 	821 , 	846 , 	681 , 	695 , 	287 , 	247 , 	124 , 	108 , 	140 , 	57 , 	56 , 	218 , 	139 , 	252 , 	61 , 	49 , 	61 , 	96 , 	62 ," 	9,960 ",,,,,,,,,,,
12, 	186 , 	594 , 	269 , 	247 , 	465 , 	234 , 	238 , 	51 , 	24 , 	42 , 	204 , 	322 , 	321 , 	330 , 	302 , 	208 , 	237 , 	472 , 	308 , 	344 , 	333 , 	185 , 	134 , 	182 , 	87 , 	957 , 	926 , 	897 , 	781 , 	284 , 	268 , 	158 , 	151 , 	183 , 	105 , 	102 , 	268 , 	139 , 	293 , 	73 , 	72 , 	103 , 	132 , 	92 ," 	12,303 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	46 , 	106 , 	75 , 	61 , 	214 , 	73 , 	92 , 	46 , 	41 , 	9 , 	152 , 	241 , 	255 , 	225 , 	162 , 	115 , 	119 , 	168 , 	37 , 	21 , 	35 , 	13 , 	14 , 	31 , 	41 , 	585 , 	639 , 	568 , 	427 , 	155 , 	118 , 	59 , 	82 , 	95 , 	9 , 	93 , 	195 , 	12 , 	53 , 	11 , 	9 , 	31 , 	15 , 	58 ," 	5,606 ",,,Dtwn SF,"4,986","15,945","30,847","13,049","19,788","22,534","10,287","117,435"
