Exit stations,Entry stations->,,SATURDAY,,,Oct 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	7 , 	78 , 	82 , 	47 , 	220 , 	81 , 	100 , 	51 , 	74 , 	18 , 	83 , 	58 , 	24 , 	25 , 	25 , 	13 , 	9 , 	24 , 	26 , 	11 , 	16 , 	7 , 	5 , 	13 , 	17 , 	129 , 	70 , 	275 , 	133 , 	79 , 	101 , 	19 , 	37 , 	29 , 	7 , 	5 , 	8 , 	4 , 	30 , 	10 , 	15 , 	18 , 	14 , 	3 ," 	2,100 ",,,Eastbay," 	40,485 ",,SF CBD," 	118,917 ",62.7%,,,
EN, 	90 , 	10 , 	76 , 	58 , 	375 , 	117 , 	140 , 	94 , 	169 , 	41 , 	119 , 	105 , 	37 , 	49 , 	40 , 	20 , 	24 , 	50 , 	27 , 	14 , 	24 , 	8 , 	8 , 	19 , 	26 , 	346 , 	223 , 	642 , 	212 , 	85 , 	119 , 	32 , 	66 , 	54 , 	17 , 	10 , 	15 , 	3 , 	40 , 	12 , 	22 , 	48 , 	24 , 	5 ," 	3,714 ",,,Westbay," 	59,661 ",,non-CBD," 	65,413 ",34.5%,,,
EP, 	86 , 	73 , 	11 , 	45 , 	374 , 	83 , 	75 , 	60 , 	111 , 	28 , 	46 , 	46 , 	13 , 	17 , 	14 , 	9 , 	11 , 	21 , 	12 , 	7 , 	17 , 	12 , 	3 , 	26 , 	8 , 	218 , 	152 , 	330 , 	154 , 	54 , 	52 , 	17 , 	13 , 	21 , 	3 , 	7 , 	9 , 	2 , 	10 , 	4 , 	6 , 	47 , 	15 , 	3 ," 	2,323 ",,,Transbay," 	91,757 ",,,,,,,
NB, 	59 , 	58 , 	51 , 	9 , 	127 , 	40 , 	67 , 	89 , 	125 , 	32 , 	68 , 	51 , 	17 , 	18 , 	13 , 	9 , 	10 , 	25 , 	12 , 	12 , 	21 , 	8 , 	4 , 	17 , 	12 , 	295 , 	211 , 	425 , 	243 , 	122 , 	92 , 	25 , 	24 , 	19 , 	4 , 	6 , 	13 , 	4 , 	10 , 	5 , 	5 , 	59 , 	17 , 	3 ," 	2,538 ",,,,,,,,,,,
BK, 	225 , 	410 , 	398 , 	148 , 	29 , 	288 , 	276 , 	335 , 	330 , 	132 , 	225 , 	171 , 	76 , 	95 , 	74 , 	42 , 	65 , 	208 , 	69 , 	62 , 	94 , 	55 , 	38 , 	47 , 	55 , 	728 , 	495 ," 	1,402 ", 	607 , 	284 , 	225 , 	85 , 	66 , 	107 , 	16 , 	23 , 	74 , 	12 , 	52 , 	17 , 	20 , 	134 , 	97 , 	18 ," 	8,411 ",,,,,,,,,,,
AS, 	87 , 	101 , 	75 , 	46 , 	230 , 	15 , 	90 , 	125 , 	158 , 	34 , 	93 , 	88 , 	37 , 	41 , 	29 , 	10 , 	13 , 	29 , 	15 , 	10 , 	18 , 	8 , 	5 , 	11 , 	31 , 	234 , 	158 , 	361 , 	279 , 	152 , 	104 , 	18 , 	18 , 	20 , 	5 , 	9 , 	17 , 	2 , 	20 , 	3 , 	6 , 	27 , 	17 , 	7 ," 	2,854 ",,,,,,,,,,,
MA, 	102 , 	134 , 	75 , 	61 , 	261 , 	101 , 	17 , 	103 , 	157 , 	31 , 	127 , 	122 , 	56 , 	69 , 	59 , 	28 , 	24 , 	45 , 	61 , 	38 , 	45 , 	18 , 	18 , 	52 , 	54 , 	447 , 	312 , 	730 , 	470 , 	265 , 	177 , 	33 , 	46 , 	30 , 	8 , 	14 , 	16 , 	11 , 	84 , 	6 , 	10 , 	73 , 	23 , 	6 ," 	4,619 ",,,,,,,,,,,
19, 	57 , 	86 , 	65 , 	84 , 	292 , 	124 , 	100 , 	13 , 	22 , 	14 , 	75 , 	84 , 	50 , 	67 , 	55 , 	27 , 	27 , 	50 , 	44 , 	41 , 	60 , 	32 , 	21 , 	86 , 	34 , 	278 , 	218 , 	514 , 	371 , 	226 , 	162 , 	49 , 	38 , 	42 , 	11 , 	16 , 	28 , 	9 , 	49 , 	8 , 	13 , 	35 , 	25 , 	9 ," 	3,711 ",,,,,,,,,,,
12, 	79 , 	142 , 	108 , 	108 , 	283 , 	151 , 	143 , 	19 , 	14 , 	23 , 	98 , 	153 , 	85 , 	107 , 	78 , 	38 , 	45 , 	96 , 	65 , 	43 , 	65 , 	33 , 	27 , 	82 , 	79 , 	381 , 	285 , 	694 , 	324 , 	153 , 	116 , 	53 , 	68 , 	56 , 	21 , 	15 , 	23 , 	17 , 	58 , 	14 , 	16 , 	72 , 	42 , 	8 ," 	4,580 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	23 , 	45 , 	35 , 	53 , 	130 , 	50 , 	50 , 	18 , 	35 , 	11 , 	90 , 	110 , 	131 , 	146 , 	58 , 	34 , 	49 , 	84 , 	10 , 	8 , 	17 , 	9 , 	10 , 	27 , 	23 , 	245 , 	205 , 	520 , 	242 , 	115 , 	89 , 	32 , 	47 , 	40 , 	5 , 	60 , 	72 , 	4 , 	13 , 	3 , 	8 , 	24 , 	10 , 	28 ," 	3,018 ",,,Dtwn SF," 	2,489 "," 	8,812 "," 	17,543 "," 	9,110 "," 	8,489 "," 	10,289 "," 	6,319 "," 	63,051 "
