Exit stations,Entry stations->,,SATURDAY,,,Nov 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	6 , 	70 , 	65 , 	47 , 	189 , 	72 , 	73 , 	46 , 	69 , 	18 , 	74 , 	53 , 	21 , 	17 , 	23 , 	13 , 	8 , 	29 , 	20 , 	9 , 	15 , 	5 , 	5 , 	14 , 	15 , 	109 , 	75 , 	285 , 	91 , 	70 , 	80 , 	21 , 	36 , 	26 , 	8 , 	5 , 	8 , 	4 , 	29 , 	6 , 	14 , 	24 , 	12 , 	2 ," 	1,877 ",,,Eastbay," 	36,113 ",,SF CBD," 	110,918 ",63.1%,,,
EN, 	75 , 	9 , 	68 , 	68 , 	324 , 	100 , 	130 , 	81 , 	145 , 	30 , 	106 , 	79 , 	36 , 	46 , 	35 , 	18 , 	22 , 	41 , 	26 , 	14 , 	21 , 	7 , 	8 , 	25 , 	28 , 	282 , 	222 , 	721 , 	196 , 	78 , 	90 , 	30 , 	59 , 	51 , 	21 , 	10 , 	16 , 	4 , 	35 , 	11 , 	20 , 	51 , 	20 , 	5 ," 	3,457 ",,,Westbay," 	55,751 ",,non-CBD," 	58,899 ",33.5%,,,
EP, 	81 , 	63 , 	10 , 	43 , 	350 , 	82 , 	73 , 	68 , 	93 , 	25 , 	51 , 	38 , 	13 , 	14 , 	12 , 	5 , 	10 , 	26 , 	12 , 	7 , 	15 , 	8 , 	4 , 	23 , 	9 , 	187 , 	157 , 	422 , 	137 , 	56 , 	45 , 	14 , 	18 , 	16 , 	3 , 	5 , 	6 , 	2 , 	12 , 	4 , 	4 , 	41 , 	11 , 	4 ," 	2,273 ",,,Transbay," 	85,889 ",,,,,,,
NB, 	50 , 	56 , 	45 , 	14 , 	121 , 	46 , 	61 , 	81 , 	104 , 	28 , 	61 , 	38 , 	14 , 	16 , 	18 , 	6 , 	8 , 	29 , 	15 , 	13 , 	13 , 	10 , 	3 , 	13 , 	11 , 	302 , 	220 , 	447 , 	236 , 	103 , 	94 , 	25 , 	23 , 	17 , 	4 , 	4 , 	14 , 	4 , 	12 , 	2 , 	4 , 	81 , 	19 , 	4 ," 	2,485 ",,,,,,,,,,,
BK, 	209 , 	339 , 	356 , 	133 , 	27 , 	234 , 	254 , 	266 , 	273 , 	91 , 	180 , 	172 , 	72 , 	77 , 	66 , 	31 , 	76 , 	163 , 	55 , 	36 , 	83 , 	42 , 	36 , 	39 , 	52 , 	671 , 	537 ," 	1,261 ", 	464 , 	250 , 	184 , 	84 , 	57 , 	80 , 	16 , 	20 , 	59 , 	14 , 	59 , 	13 , 	18 , 	170 , 	125 , 	19 ," 	7,458 ",,,,,,,,,,,
AS, 	85 , 	101 , 	71 , 	43 , 	196 , 	11 , 	89 , 	136 , 	147 , 	34 , 	87 , 	76 , 	29 , 	41 , 	32 , 	6 , 	10 , 	28 , 	11 , 	8 , 	22 , 	7 , 	6 , 	11 , 	30 , 	217 , 	159 , 	370 , 	229 , 	164 , 	106 , 	19 , 	16 , 	16 , 	3 , 	8 , 	15 , 	2 , 	24 , 	3 , 	4 , 	54 , 	17 , 	2 ," 	2,740 ",,,,,,,,,,,
MA, 	95 , 	122 , 	60 , 	52 , 	240 , 	92 , 	14 , 	95 , 	132 , 	26 , 	106 , 	115 , 	43 , 	62 , 	58 , 	27 , 	22 , 	41 , 	48 , 	31 , 	46 , 	16 , 	17 , 	45 , 	56 , 	376 , 	293 , 	735 , 	375 , 	235 , 	182 , 	34 , 	41 , 	32 , 	6 , 	11 , 	12 , 	7 , 	87 , 	3 , 	9 , 	94 , 	24 , 	6 ," 	4,218 ",,,,,,,,,,,
19, 	49 , 	73 , 	50 , 	62 , 	230 , 	103 , 	86 , 	8 , 	27 , 	14 , 	71 , 	78 , 	41 , 	54 , 	46 , 	19 , 	26 , 	37 , 	33 , 	29 , 	43 , 	18 , 	20 , 	66 , 	38 , 	213 , 	195 , 	462 , 	276 , 	150 , 	127 , 	28 , 	31 , 	24 , 	6 , 	9 , 	17 , 	11 , 	46 , 	6 , 	9 , 	41 , 	16 , 	5 ," 	2,989 ",,,,,,,,,,,
12, 	71 , 	128 , 	105 , 	121 , 	255 , 	150 , 	140 , 	32 , 	15 , 	13 , 	98 , 	134 , 	75 , 	104 , 	65 , 	42 , 	43 , 	85 , 	61 , 	40 , 	75 , 	41 , 	29 , 	90 , 	85 , 	309 , 	243 , 	676 , 	287 , 	155 , 	125 , 	47 , 	68 , 	53 , 	21 , 	13 , 	33 , 	16 , 	50 , 	16 , 	20 , 	71 , 	43 , 	9 ," 	4,343 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	22 , 	38 , 	22 , 	26 , 	94 , 	37 , 	34 , 	11 , 	18 , 	9 , 	64 , 	123 , 	97 , 	136 , 	54 , 	21 , 	43 , 	52 , 	10 , 	9 , 	13 , 	4 , 	6 , 	17 , 	23 , 	201 , 	189 , 	547 , 	206 , 	91 , 	81 , 	26 , 	38 , 	34 , 	3 , 	48 , 	65 , 	2 , 	12 , 	6 , 	8 , 	22 , 	9 , 	28 ," 	2,594 ",,,Dtwn SF," 	2,437 "," 	7,868 "," 	16,703 "," 	8,307 "," 	8,192 "," 	9,285 "," 	4,954 "," 	57,745 "
