Exit stations,Entry stations->,,SATURDAY,,,Dec 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	10 , 	74 , 	85 , 	45 , 	178 , 	80 , 	89 , 	47 , 	76 , 	18 , 	78 , 	68 , 	23 , 	25 , 	25 , 	12 , 	11 , 	28 , 	23 , 	10 , 	14 , 	6 , 	5 , 	12 , 	18 , 	109 , 	112 , 	294 , 	108 , 	77 , 	101 , 	20 , 	39 , 	29 , 	9 , 	5 , 	8 , 	5 , 	29 , 	9 , 	10 , 	21 , 	12 , 	4 ," 	2,056 ",,,Eastbay," 	40,143 ",,SF CBD," 	132,697 ",65.0%,,,
EN, 	89 , 	11 , 	81 , 	67 , 	350 , 	117 , 	128 , 	92 , 	157 , 	30 , 	127 , 	108 , 	38 , 	50 , 	42 , 	16 , 	22 , 	37 , 	28 , 	14 , 	19 , 	6 , 	8 , 	27 , 	27 , 	271 , 	316 , 	809 , 	213 , 	87 , 	115 , 	38 , 	62 , 	52 , 	19 , 	8 , 	15 , 	3 , 	43 , 	13 , 	18 , 	57 , 	20 , 	4 ," 	3,849 ",,,Westbay," 	65,130 ",,non-CBD," 	65,860 ",32.3%,,,
EP, 	83 , 	81 , 	8 , 	47 , 	335 , 	77 , 	80 , 	74 , 	93 , 	25 , 	42 , 	56 , 	16 , 	15 , 	14 , 	9 , 	9 , 	20 , 	15 , 	9 , 	13 , 	13 , 	4 , 	22 , 	11 , 	178 , 	205 , 	469 , 	151 , 	59 , 	56 , 	30 , 	15 , 	18 , 	5 , 	7 , 	8 , 	3 , 	13 , 	3 , 	4 , 	39 , 	13 , 	3 ," 	2,442 ",,,Transbay," 	101,515 ",,,,,,,
NB, 	52 , 	58 , 	52 , 	12 , 	114 , 	58 , 	62 , 	82 , 	94 , 	27 , 	53 , 	56 , 	16 , 	21 , 	16 , 	6 , 	10 , 	26 , 	12 , 	13 , 	18 , 	7 , 	3 , 	11 , 	12 , 	258 , 	266 , 	511 , 	270 , 	125 , 	99 , 	31 , 	21 , 	14 , 	5 , 	4 , 	11 , 	3 , 	11 , 	4 , 	6 , 	68 , 	16 , 	3 ," 	2,613 ",,,,,,,,,,,
BK, 	182 , 	348 , 	346 , 	129 , 	26 , 	232 , 	257 , 	293 , 	276 , 	85 , 	180 , 	126 , 	64 , 	75 , 	60 , 	32 , 	58 , 	126 , 	46 , 	48 , 	82 , 	43 , 	31 , 	45 , 	55 , 	443 , 	433 ," 	1,108 ", 	499 , 	266 , 	197 , 	81 , 	55 , 	79 , 	11 , 	21 , 	54 , 	8 , 	31 , 	11 , 	15 , 	139 , 	77 , 	13 ," 	6,779 ",,,,,,,,,,,
AS, 	89 , 	103 , 	69 , 	52 , 	180 , 	12 , 	97 , 	134 , 	160 , 	36 , 	92 , 	98 , 	35 , 	49 , 	30 , 	12 , 	13 , 	28 , 	17 , 	8 , 	23 , 	9 , 	5 , 	14 , 	34 , 	187 , 	210 , 	405 , 	261 , 	158 , 	125 , 	29 , 	22 , 	12 , 	5 , 	5 , 	11 , 	1 , 	20 , 	3 , 	5 , 	39 , 	12 , 	6 ," 	2,912 ",,,,,,,,,,,
MA, 	99 , 	131 , 	79 , 	59 , 	246 , 	99 , 	20 , 	112 , 	155 , 	38 , 	117 , 	136 , 	48 , 	62 , 	54 , 	26 , 	23 , 	52 , 	49 , 	36 , 	49 , 	17 , 	16 , 	52 , 	57 , 	391 , 	389 , 	829 , 	461 , 	289 , 	208 , 	45 , 	42 , 	35 , 	8 , 	10 , 	16 , 	14 , 	92 , 	6 , 	11 , 	78 , 	20 , 	10 ," 	4,779 ",,,,,,,,,,,
19, 	63 , 	96 , 	74 , 	87 , 	251 , 	145 , 	104 , 	15 , 	32 , 	16 , 	88 , 	103 , 	57 , 	79 , 	61 , 	27 , 	32 , 	89 , 	49 , 	34 , 	57 , 	33 , 	29 , 	97 , 	37 , 	201 , 	246 , 	516 , 	334 , 	174 , 	140 , 	43 , 	28 , 	28 , 	8 , 	13 , 	21 , 	11 , 	54 , 	7 , 	9 , 	46 , 	19 , 	10 ," 	3,660 ",,,,,,,,,,,
12, 	73 , 	144 , 	103 , 	91 , 	253 , 	139 , 	122 , 	28 , 	16 , 	14 , 	130 , 	169 , 	103 , 	123 , 	104 , 	42 , 	74 , 	94 , 	65 , 	46 , 	56 , 	31 , 	37 , 	88 , 	96 , 	281 , 	300 , 	699 , 	316 , 	142 , 	109 , 	45 , 	71 , 	46 , 	25 , 	14 , 	22 , 	14 , 	67 , 	12 , 	19 , 	64 , 	37 , 	13 ," 	4,533 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	19 , 	33 , 	25 , 	25 , 	88 , 	38 , 	37 , 	18 , 	18 , 	6 , 	76 , 	113 , 	117 , 	153 , 	57 , 	28 , 	40 , 	70 , 	10 , 	6 , 	12 , 	7 , 	7 , 	21 , 	24 , 	313 , 	232 , 	632 , 	240 , 	129 , 	82 , 	31 , 	44 , 	37 , 	2 , 	49 , 	62 , 	2 , 	12 , 	3 , 	6 , 	18 , 	8 , 	21 ," 	2,965 ",,,Dtwn SF," 	3,194 "," 	9,304 "," 	19,372 "," 	8,913 "," 	10,358 "," 	13,148 "," 	6,711 "," 	70,998 "
