Exit stations,Entry stations->,,SUNDAY,,,Jan 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
RM, 	7 , 	54 , 	53 , 	33 , 	116 , 	62 , 	60 , 	32 , 	48 , 	28 , 	54 , 	45 , 	16 , 	18 , 	18 , 	8 , 	5 , 	16 , 	16 , 	7 , 	7 , 	4 , 	3 , 	9 , 	16 , 	59 , 	45 , 	175 , 	69 , 	51 , 	60 , 	15 , 	24 , 	23 , 	7 , 	4 , 	9 , 	2 , 	27 , 	6 , 	8 , 	18 , 	10 , 	2 ," 	1,343 ",,,Eastbay," 	26,218 ",,SF CBD," 	65,406 ",57.4%,,,
EN, 	60 , 	8 , 	54 , 	49 , 	180 , 	82 , 	91 , 	65 , 	92 , 	32 , 	75 , 	93 , 	28 , 	33 , 	22 , 	14 , 	14 , 	31 , 	22 , 	10 , 	18 , 	5 , 	4 , 	18 , 	21 , 	125 , 	102 , 	391 , 	127 , 	52 , 	56 , 	26 , 	48 , 	26 , 	17 , 	7 , 	12 , 	2 , 	25 , 	8 , 	15 , 	57 , 	16 , 	3 ," 	2,231 ",,,Westbay," 	36,752 ",,non-CBD," 	43,565 ",38.3%,,,
EP, 	58 , 	45 , 	5 , 	39 , 	227 , 	60 , 	42 , 	39 , 	57 , 	34 , 	38 , 	35 , 	9 , 	8 , 	10 , 	6 , 	8 , 	21 , 	6 , 	3 , 	10 , 	9 , 	6 , 	21 , 	10 , 	86 , 	71 , 	191 , 	85 , 	41 , 	38 , 	14 , 	16 , 	15 , 	3 , 	3 , 	5 , 	3 , 	7 , 	2 , 	5 , 	34 , 	9 , 	2 ," 	1,429 ",,,Transbay," 	52,203 ",,,,,,,
NB, 	38 , 	38 , 	34 , 	10 , 	82 , 	40 , 	55 , 	44 , 	57 , 	29 , 	39 , 	44 , 	14 , 	18 , 	13 , 	4 , 	10 , 	21 , 	8 , 	12 , 	16 , 	5 , 	5 , 	11 , 	10 , 	137 , 	106 , 	271 , 	169 , 	77 , 	65 , 	27 , 	24 , 	12 , 	5 , 	4 , 	5 , 	2 , 	15 , 	2 , 	6 , 	63 , 	11 , 	2 ," 	1,657 ",,,,,,,,,,,
BK, 	138 , 	182 , 	222 , 	82 , 	20 , 	147 , 	157 , 	176 , 	166 , 	76 , 	103 , 	241 , 	42 , 	52 , 	47 , 	25 , 	47 , 	190 , 	32 , 	28 , 	49 , 	35 , 	24 , 	27 , 	34 , 	285 , 	204 , 	705 , 	332 , 	177 , 	132 , 	62 , 	40 , 	70 , 	13 , 	14 , 	48 , 	10 , 	19 , 	9 , 	8 , 	309 , 	73 , 	11 ," 	4,855 ",,,,,,,,,,,
AS, 	64 , 	76 , 	48 , 	36 , 	125 , 	7 , 	71 , 	91 , 	88 , 	44 , 	66 , 	58 , 	20 , 	31 , 	22 , 	9 , 	12 , 	30 , 	8 , 	7 , 	16 , 	5 , 	3 , 	7 , 	23 , 	110 , 	86 , 	247 , 	166 , 	109 , 	87 , 	20 , 	22 , 	17 , 	4 , 	8 , 	11 , 	3 , 	19 , 	3 , 	5 , 	50 , 	11 , 	4 ," 	1,941 ",,,,,,,,,,,
MA, 	75 , 	79 , 	48 , 	44 , 	154 , 	72 , 	10 , 	58 , 	75 , 	37 , 	80 , 	95 , 	29 , 	43 , 	36 , 	18 , 	13 , 	33 , 	36 , 	23 , 	28 , 	11 , 	15 , 	36 , 	45 , 	213 , 	148 , 	434 , 	273 , 	165 , 	148 , 	38 , 	33 , 	20 , 	7 , 	6 , 	11 , 	7 , 	62 , 	7 , 	10 , 	69 , 	19 , 	5 ," 	2,864 ",,,,,,,,,,,
19, 	35 , 	48 , 	43 , 	39 , 	149 , 	90 , 	52 , 	12 , 	17 , 	12 , 	51 , 	57 , 	29 , 	39 , 	31 , 	15 , 	10 , 	28 , 	28 , 	21 , 	28 , 	9 , 	10 , 	53 , 	26 , 	143 , 	127 , 	315 , 	212 , 	119 , 	96 , 	28 , 	15 , 	17 , 	5 , 	4 , 	10 , 	7 , 	31 , 	2 , 	5 , 	51 , 	16 , 	4 ," 	2,131 ",,,,,,,,,,,
12, 	51 , 	69 , 	57 , 	53 , 	135 , 	76 , 	70 , 	15 , 	13 , 	17 , 	68 , 	78 , 	54 , 	66 , 	51 , 	20 , 	29 , 	59 , 	27 , 	24 , 	38 , 	16 , 	15 , 	37 , 	42 , 	163 , 	162 , 	442 , 	209 , 	99 , 	86 , 	31 , 	43 , 	34 , 	12 , 	7 , 	11 , 	4 , 	38 , 	5 , 	14 , 	70 , 	28 , 	6 ," 	2,638 ",,,,Dtwn SF,OAK,CM line,RM line,WP line,FT/ED line,SFO Ext.,Exits
LM, 	35 , 	31 , 	34 , 	30 , 	69 , 	46 , 	32 , 	10 , 	16 , 	4 , 	99 , 	71 , 	82 , 	95 , 	38 , 	25 , 	31 , 	51 , 	10 , 	10 , 	15 , 	8 , 	8 , 	25 , 	23 , 	135 , 	152 , 	386 , 	193 , 	110 , 	86 , 	30 , 	44 , 	29 , 	3 , 	39 , 	54 , 	1 , 	9 , 	5 , 	6 , 	16 , 	9 , 	17 ," 	2,221 ",,,Dtwn SF," 	1,305 "," 	4,858 "," 	10,225 "," 	4,110 "," 	3,896 "," 	5,132 "," 	3,263 "," 	32,789 "
FV, 	59 , 	69 , 	38 , 	44 , 	116 , 	67 , 	85 , 	58 , 	63 , 	95 , 	11 , 	115 , 	97 , 	160 , 	109 , 	54 , 	36 , 	71 , 	25 , 	12 , 	26 , 	8 , 	9 , 	21 , 	70 , 	168 , 	139 , 	443 , 	243 , 	104 , 	102 , 	31 , 	46 , 	38 , 	6 , 	30 , 	57 , 	7 , 	41 , 	7 , 	9 , 	38 , 	12 , 	30 ," 	3,065 ",,,OAK," 	4,824 ", 	722 ," 	1,583 "," 	1,680 ", 	737 ," 	1,864 ", 	382 ," 	11,791 "
